SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
20MICRONS, EQ, 18-Oct-2019,37.95,38.55,38.65,37.95,37.95,38.15,38.36,13667,5.24,183, 10042, 73.48
21STCENMGM, EQ, 18-Oct-2019,12.65,12.65,12.65,12.65,12.65,12.65,12.65,60,0.01,5, 60, 100.00
3IINFOTECH, EQ, 18-Oct-2019,2.1,2.2,2.4,2.1,2.25,2.2,2.26,4062337,91.72,1480, 1961685, 48.29
3MINDIA, EQ, 18-Oct-2019,22882.1,23000.0,23000.0,20610.0,21790.0,21792.25,20884.0,264810,55302.92,10679, 201058, 75.93
3PLAND, EQ, 18-Oct-2019,6.15,6.2,6.2,6.2,6.2,6.2,6.2,41,0.0,3, 41, 100.00
5PAISA, EQ, 18-Oct-2019,175.1,179.45,183.85,172.0,183.85,183.85,180.93,13400,24.24,358, 11591, 86.50
63MOONS, EQ, 18-Oct-2019,114.9,115.8,117.5,114.0,116.0,114.85,115.43,145859,168.36,1766, 89875, 61.62
A2ZINFRA, EQ, 18-Oct-2019,10.15,10.15,10.65,10.05,10.5,10.55,10.43,162673,16.97,418, 129261, 79.46
AARTIDRUGS, EQ, 18-Oct-2019,448.85,448.0,456.45,447.85,456.35,456.0,453.06,4554,20.63,609, 2941, 64.58
AARTIIND, EQ, 18-Oct-2019,756.45,758.5,808.0,758.5,807.0,804.55,790.89,169263,1338.69,6939, 104511, 61.74
AARVEEDEN, EQ, 18-Oct-2019,14.45,14.45,14.95,13.5,14.0,14.2,14.08,3364,0.47,69, 2033, 60.43
AAVAS, EQ, 18-Oct-2019,1693.3,1699.0,1700.0,1666.05,1674.8,1675.85,1684.21,13645,229.81,3297, 7380, 54.09
ABB, EQ, 18-Oct-2019,1519.3,1525.7,1567.95,1519.3,1562.1,1556.3,1541.26,192308,2963.97,6037, 130777, 68.00
ABBOTINDIA, EQ, 18-Oct-2019,10984.05,10986.0,10998.8,10680.0,10700.0,10704.5,10834.4,7557,818.76,2168, 4632, 61.29
ABCAPITAL, EQ, 18-Oct-2019,76.4,76.6,82.4,76.5,79.2,79.4,79.6,4736445,3770.12,27940, 2038001, 43.03
