Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,AARTIIND, EQ, 23-Aug-2019,1467.3,1452.0,1514.8,1425.75,1497.9,1492.6,1466.46,89263,1309.0,9725,52008,58.26
2019-10-01,AARTIIND, EQ, 01-Oct-2019,800.7,808.2,808.75,743.1,759.9,758.85,766.06,217141,1663.44,16687,153305,70.6
2019-10-03,AARTIIND, EQ, 03-Oct-2019,758.85,759.95,760.0,741.15,749.95,748.9,748.94,110544,827.91,9267,76444,69.15
2019-10-04,AARTIIND, EQ, 04-Oct-2019,748.9,750.0,799.0,741.0,749.5,758.85,755.81,227827,1721.94,7480,173056,75.96
2019-10-07,AARTIIND, EQ, 07-Oct-2019,758.85,762.8,762.8,742.25,755.0,753.6,752.37,42696,321.23,4736,22383,52.42
2019-10-09,AARTIIND, EQ, 09-Oct-2019,753.6,758.3,779.0,746.0,757.05,759.75,757.71,133905,1014.62,5028,102138,76.28
2019-10-10,AARTIIND, EQ, 10-Oct-2019,759.75,764.5,775.0,761.0,765.0,765.15,766.59,40187,308.07,4194,19249,47.9
2019-10-11,AARTIIND, EQ, 11-Oct-2019,765.15,770.25,776.0,755.0,768.0,769.5,767.33,39793,305.35,3854,22238,55.88
2019-10-14,AARTIIND, EQ, 14-Oct-2019,769.5,774.55,783.2,757.0,770.1,770.85,771.97,168979,1304.47,6026,141485,83.73
2019-10-15,AARTIIND, EQ, 15-Oct-2019,770.85,771.1,775.0,753.0,753.1,758.75,763.54,76417,583.47,14072,56303,73.68
2019-10-16,AARTIIND, EQ, 16-Oct-2019,758.75,759.0,767.0,753.1,761.0,762.95,759.1,121572,922.85,7628,95983,78.95
2019-10-17,AARTIIND, EQ, 17-Oct-2019,762.95,767.95,767.95,750.4,757.45,756.45,754.81,264886,1999.4,17242,225627,85.18
2019-10-18,AARTIIND, EQ, 18-Oct-2019,756.45,758.5,808.0,758.5,807.0,804.55,790.89,169263,1338.69,6939,104511,61.74
2019-10-22,AARTIIND, EQ, 22-Oct-2019,804.55,810.0,827.4,804.55,823.0,821.95,813.49,209498,1704.25,10778,151269,72.21
2019-10-23,AARTIIND, EQ, 23-Oct-2019,821.95,828.0,854.85,823.15,840.25,840.95,841.11,140326,1180.3,10277,86149,61.39
2019-10-24,AARTIIND, EQ, 24-Oct-2019,840.95,847.85,879.1,840.95,867.0,868.55,866.31,223597,1937.05,14477,134449,60.13
2019-10-25,AARTIIND, EQ, 25-Oct-2019,868.55,870.0,892.0,855.0,869.0,869.95,869.88,121764,1059.2,7199,80074,65.76
2019-10-27,AARTIIND, EQ, 27-Oct-2019,869.95,882.0,888.0,865.05,876.1,877.55,877.78,22544,197.89,2183,16131,71.55
2019-10-29,AARTIIND, EQ, 29-Oct-2019,877.55,887.0,887.0,855.05,876.0,875.15,878.71,103890,912.89,4194,74936,72.13
2019-10-30,AARTIIND, EQ, 30-Oct-2019,875.15,870.1,879.7,844.0,870.0,870.35,873.16,98961,864.09,3595,75950,76.75
2019-10-31,AARTIIND, EQ, 31-Oct-2019,870.35,876.0,884.85,860.0,880.0,876.5,874.35,204033,1783.97,10109,165018,80.88
2019-11-01,AARTIIND, EQ, 01-Nov-2019,876.5,881.95,881.95,870.0,872.0,877.4,876.09,53188,465.98,4797,34431,64.73
2019-11-04,AARTIIND, EQ, 04-Nov-2019,877.4,870.0,879.95,850.0,853.5,852.1,863.93,78171,675.35,7109,49925,63.87
2019-11-05,AARTIIND, EQ, 05-Nov-2019,852.1,850.3,869.8,838.0,844.6,845.0,857.15,73911,633.53,3362,49668,67.2
2019-11-06,AARTIIND, EQ, 06-Nov-2019,845.0,855.0,855.0,817.0,819.95,819.05,826.97,74497,616.07,7191,46173,61.98
2019-11-07,AARTIIND, EQ, 07-Nov-2019,819.05,823.0,834.0,805.0,825.0,819.55,820.02,150177,1231.49,5357,96657,64.36
2019-11-08,AARTIIND, EQ, 08-Nov-2019,819.55,819.9,822.4,808.1,811.1,812.2,815.3,51620,420.86,3141,26551,51.44
2019-11-11,AARTIIND, EQ, 11-Nov-2019,812.2,812.3,820.0,807.4,820.0,815.9,814.79,167913,1368.14,11274,133642,79.59
2019-11-13,AARTIIND, EQ, 13-Nov-2019,815.9,815.9,820.0,805.1,814.0,814.45,813.01,58073,472.14,4781,28547,49.16
2019-11-14,AARTIIND, EQ, 14-Nov-2019,814.45,807.3,809.95,791.1,799.0,799.0,803.69,139999,1125.15,4778,113559,81.11
2019-11-15,AARTIIND, EQ, 15-Nov-2019,799.0,808.0,818.0,801.0,803.05,805.2,808.65,45710,369.64,2622,27920,61.08
2019-11-18,AARTIIND, EQ, 18-Nov-2019,805.2,814.85,840.0,805.25,835.0,834.8,822.99,137066,1128.04,5866,80294,58.58
2019-11-19,AARTIIND, EQ, 19-Nov-2019,834.8,835.0,855.0,816.0,836.0,841.5,839.25,269118,2258.57,9753, 172373, 64.05
2019-11-20,AARTIIND, EQ, 20-Nov-2019,841.5,848.9,857.5,833.1,851.0,847.75,847.61,94048,797.16,4803, 41256, 43.87
2019-11-21,AARTIIND, EQ, 21-Nov-2019,847.75,851.0,854.65,835.15,839.0,843.5,849.13,116576,989.88,2661,94436,81.01
2019-11-22,AARTIIND, EQ, 22-Nov-2019,843.5,848.9,851.0,823.0,824.0,825.55,832.08,46056,383.22,3229,23819,51.72
2019-11-25,AARTIIND, EQ, 25-Nov-2019,825.55,830.0,833.75,810.0,817.0,816.65,817.85,56560,462.58,5834,31342,55.41
2019-11-26,AARTIIND, EQ, 26-Nov-2019,816.65,823.8,834.9,795.0,795.0,798.15,809.04,122321,989.63,10146, 82554, 67.49
2019-11-27,AARTIIND, EQ, 27-Nov-2019,798.15,798.2,821.1,797.0,819.95,817.45,808.02,104469,844.13,4878,65248,62.46
2019-11-28,AARTIIND, EQ, 28-Nov-2019,817.45,819.0,855.0,808.6,841.6,847.8,835.03,104629,873.68,5472,62747,59.97
2019-11-29,AARTIIND, EQ, 29-Nov-2019,847.8,848.5,854.8,825.0,840.0,843.65,844.95,95209,804.47,9415,51267,53.85
2019-12-02,AARTIIND, EQ, 02-Dec-2019,843.65,843.65,843.65,822.45,826.8,827.25,832.26,83360,693.77,6489, 50264, 60.30
2019-12-03,AARTIIND, EQ, 03-Dec-2019,827.25,828.0,836.15,801.6,808.65,806.85,811.4,169156,1372.54,5565,144141,85.21
2019-12-04,AARTIIND, EQ, 04-Dec-2019,806.85,802.0,814.45,799.75,810.0,806.0,807.29,55378,447.06,3706,32887,59.39
2019-12-05,AARTIIND, EQ, 05-Dec-2019,806.0,813.8,823.35,797.85,800.0,800.05,805.6,77427,623.76,5871,54630,70.56
2019-12-06,AARTIIND, EQ, 06-Dec-2019,800.05,802.0,808.8,763.0,788.9,781.35,786.86,131338,1033.44,9988,86467,65.84
2019-12-09,AARTIIND, EQ, 09-Dec-2019,781.35,789.0,808.0,782.2,799.85,795.65,795.72,159481,1269.03,8964,106840,66.99
