Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,ABB, EQ, 23-Aug-2019,1349.45,1341.25,1352.95,1328.5,1339.0,1339.8,1340.06,56160,752.58,2368,38938,69.33,Capital Goods
2019-10-01,ABB, EQ, 01-Oct-2019,1515.35,1530.0,1555.0,1447.05,1487.0,1485.5,1500.29,135969,2039.92,13702,68157,50.13,Capital Goods
2019-10-03,ABB, EQ, 03-Oct-2019,1485.5,1480.45,1486.0,1450.1,1461.0,1461.1,1461.52,182070,2660.99,10578,136793,75.13,Capital Goods
2019-10-04,ABB, EQ, 04-Oct-2019,1461.1,1470.25,1502.85,1458.0,1461.4,1464.05,1474.21,48748,718.65,3503,12557,25.76,Capital Goods
2019-10-07,ABB, EQ, 07-Oct-2019,1464.05,1460.1,1484.95,1442.0,1474.0,1465.75,1464.99,28184,412.89,2057,9020,32.0,Capital Goods
2019-10-09,ABB, EQ, 09-Oct-2019,1465.75,1474.9,1509.4,1465.5,1490.0,1486.0,1490.8,93666,1396.38,5714,30519,32.58,Capital Goods
2019-10-10,ABB, EQ, 10-Oct-2019,1486.0,1485.0,1493.85,1454.3,1464.95,1464.45,1468.37,31590,463.86,2997,15736,49.81,Capital Goods
2019-10-11,ABB, EQ, 11-Oct-2019,1464.45,1474.95,1505.95,1470.25,1482.0,1483.15,1491.06,95151,1418.76,5665,12462,13.1,Capital Goods
2019-10-14,ABB, EQ, 14-Oct-2019,1483.15,1481.0,1504.4,1467.0,1470.0,1478.4,1487.56,125336,1864.45,3085,106355,84.86,Capital Goods
2019-10-15,ABB, EQ, 15-Oct-2019,1478.4,1479.9,1520.0,1465.65,1515.1,1496.7,1489.13,49536,737.65,2892,31693,63.98,Capital Goods
2019-10-16,ABB, EQ, 16-Oct-2019,1496.7,1513.0,1534.5,1503.15,1520.0,1519.5,1519.58,100101,1521.12,11046,54320,54.27,Capital Goods
2019-10-17,ABB, EQ, 17-Oct-2019,1519.5,1521.8,1535.0,1507.0,1516.0,1519.3,1521.95,50738,772.21,4290,23720,46.75,Capital Goods
2019-10-18,ABB, EQ, 18-Oct-2019,1519.3,1525.7,1567.95,1519.3,1562.1,1556.3,1541.26,192308,2963.97,6037,130777,68.0,Capital Goods
2019-10-22,ABB, EQ, 22-Oct-2019,1556.3,1557.0,1580.0,1521.0,1540.0,1539.2,1552.78,112943,1753.76,3028,86147,76.27,Capital Goods
2019-10-23,ABB, EQ, 23-Oct-2019,1539.2,1540.0,1568.85,1530.0,1539.95,1536.55,1549.64,31500,488.14,3122,10807,34.31,Capital Goods
2019-10-24,ABB, EQ, 24-Oct-2019,1536.55,1539.0,1548.85,1506.05,1520.0,1513.9,1520.62,59085,898.46,2429,44086,74.61,Capital Goods
2019-10-25,ABB, EQ, 25-Oct-2019,1513.9,1520.0,1528.15,1481.6,1495.0,1495.25,1499.94,27316,409.72,2702,9179,33.6,Capital Goods
2019-10-27,ABB, EQ, 27-Oct-2019,1495.25,1509.0,1524.4,1501.0,1518.95,1515.6,1513.21,6183,93.56,803,3538,57.22,Capital Goods
2019-10-29,ABB, EQ, 29-Oct-2019,1515.6,1515.75,1519.95,1463.0,1469.0,1469.65,1480.85,109724,1624.85,9433,63323,57.71,Capital Goods
2019-10-30,ABB, EQ, 30-Oct-2019,1469.65,1482.8,1482.8,1441.65,1449.0,1448.15,1450.4,120399,1746.27,9187,69124,57.41,Capital Goods
2019-10-31,ABB, EQ, 31-Oct-2019,1448.15,1460.9,1498.0,1448.65,1450.0,1458.6,1472.73,283505,4175.27,14197,196172,69.2,Capital Goods
2019-11-01,ABB, EQ, 01-Nov-2019,1458.6,1458.6,1480.0,1451.65,1457.0,1458.85,1462.53,74552,1090.34,5969,38608,51.79,Capital Goods
2019-11-04,ABB, EQ, 04-Nov-2019,1458.85,1467.7,1478.4,1452.7,1459.0,1456.7,1462.72,35652,521.49,2423,17905,50.22,Capital Goods
2019-11-05,ABB, EQ, 05-Nov-2019,1456.7,1457.25,1474.0,1445.55,1449.0,1448.35,1457.82,40619,592.15,4209,17284,42.55,Capital Goods
2019-11-06,ABB, EQ, 06-Nov-2019,1448.35,1445.55,1468.9,1430.0,1461.0,1461.75,1454.37,55496,807.12,3913,29781,53.66,Capital Goods
2019-11-07,ABB, EQ, 07-Nov-2019,1461.75,1465.0,1493.0,1457.05,1480.0,1482.75,1474.42,53442,787.96,2844,33105,61.95,Capital Goods
2019-11-08,ABB, EQ, 08-Nov-2019,1482.75,1474.5,1479.9,1441.65,1470.0,1462.7,1459.46,73375,1070.88,4817,43212,58.89,Capital Goods
2019-11-11,ABB, EQ, 11-Nov-2019,1462.7,1460.0,1469.0,1445.7,1454.0,1457.35,1455.0,43896,638.69,3990,26572,60.53,Capital Goods
2019-11-13,ABB, EQ, 13-Nov-2019,1457.35,1457.35,1538.0,1418.4,1500.0,1497.65,1466.22,357412,5240.45,21076,152098,42.56,Capital Goods
2019-11-14,ABB, EQ, 14-Nov-2019,1497.65,1495.0,1495.0,1465.0,1465.0,1468.9,1477.2,197909,2923.5,5384,170655,86.23,Capital Goods
2019-11-15,ABB, EQ, 15-Nov-2019,1468.9,1471.9,1477.7,1455.3,1472.0,1466.35,1466.15,52525,770.09,6663,33334,63.46,Capital Goods
2019-11-18,ABB, EQ, 18-Nov-2019,1466.35,1466.35,1474.0,1445.0,1454.0,1455.65,1454.57,33730,490.63,2642,16525,48.99,Capital Goods
2019-11-19,ABB, EQ, 19-Nov-2019,1455.65,1451.3,1480.0,1451.3,1466.55,1474.55,1469.85,43691,642.19,4413,26046,59.61,Capital Goods
2019-11-20,ABB, EQ, 20-Nov-2019,1474.55,1471.5,1475.0,1439.25,1441.0,1449.65,1469.57,637863,9373.85,3291,612729,96.06,Capital Goods
2019-11-21,ABB, EQ, 21-Nov-2019,1449.65,1450.0,1458.4,1436.0,1436.5,1439.2,1444.65,32816,474.08,2740,20849,63.53,Capital Goods
