Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,ABBOTINDIA, EQ, 23-Aug-2019,8805.55,8899.5,8899.5,8700.0,8869.0,8790.85,8768.63,13284,1164.82,2425,6521,49.09,Others
2019-10-01,ABBOTINDIA, EQ, 01-Oct-2019,10596.55,10575.0,11070.0,10555.9,11001.0,10861.0,10696.99,8170,873.94,1779,6272,76.77,Others
2019-10-03,ABBOTINDIA, EQ, 03-Oct-2019,10861.0,10961.0,11298.0,10911.0,10974.0,10997.85,11133.43,13582,1512.14,3283,8773,64.59,Others
2019-10-04,ABBOTINDIA, EQ, 04-Oct-2019,10997.85,10997.85,11181.5,10760.6,10800.0,10826.7,10988.68,7854,863.05,2491,4206,53.55,Others
2019-10-07,ABBOTINDIA, EQ, 07-Oct-2019,10826.7,10896.6,10950.0,10600.0,10700.0,10662.0,10755.01,8334,896.32,1682,6147,73.76,Others
2019-10-09,ABBOTINDIA, EQ, 09-Oct-2019,10662.0,10742.1,11050.0,10650.0,10960.0,10998.6,10889.52,8536,929.53,1840,5503,64.47,Others
2019-10-10,ABBOTINDIA, EQ, 10-Oct-2019,10998.6,10990.0,11056.55,10781.6,10990.0,10999.35,10914.75,20392,2225.74,3073,16313,80.0,Others
2019-10-11,ABBOTINDIA, EQ, 11-Oct-2019,10999.35,11000.05,11011.0,10915.2,10999.0,10989.25,10982.59,4587,503.77,1421,2644,57.64,Others
2019-10-14,ABBOTINDIA, EQ, 14-Oct-2019,10989.25,11047.95,11056.55,10916.55,10985.0,10999.6,10999.29,17369,1910.47,5449,15247,87.78,Others
2019-10-15,ABBOTINDIA, EQ, 15-Oct-2019,10999.6,11000.0,11025.0,10765.0,10920.6,10917.9,10864.76,12639,1373.2,1951,8548,67.63,Others
2019-10-16,ABBOTINDIA, EQ, 16-Oct-2019,10917.9,10949.9,10998.8,10868.35,10978.8,10949.35,10951.67,2736,299.64,1152,1344,49.12,Others
2019-10-17,ABBOTINDIA, EQ, 17-Oct-2019,10949.35,10930.05,11000.0,10874.95,10970.0,10984.05,10981.89,9449,1037.68,997,7381,78.11,Others
2019-10-18,ABBOTINDIA, EQ, 18-Oct-2019,10984.05,10986.0,10998.8,10680.0,10700.0,10704.5,10834.4,7557,818.76,2168,4632,61.29,Others
2019-10-22,ABBOTINDIA, EQ, 22-Oct-2019,10704.5,10699.95,11000.0,10350.0,10675.0,10699.85,10740.96,25468,2735.51,5887,16968,66.62,Others
2019-10-23,ABBOTINDIA, EQ, 23-Oct-2019,10699.85,10775.0,10974.0,10699.85,10950.0,10914.25,10863.08,15502,1683.99,1918,12098,78.04,Others
2019-10-24,ABBOTINDIA, EQ, 24-Oct-2019,10914.25,10969.8,11200.0,10925.35,11197.95,11112.05,11072.2,15109,1672.9,2660,9424,62.37,Others
2019-10-25,ABBOTINDIA, EQ, 25-Oct-2019,11112.05,11200.0,11494.0,11126.0,11349.85,11407.25,11386.35,15152,1725.26,4349,6946,45.84,Others
2019-10-27,ABBOTINDIA, EQ, 27-Oct-2019,11407.25,11490.0,11950.0,11489.85,11895.0,11897.35,11854.5,7035,833.96,1914,3916,55.66,Others
2019-10-29,ABBOTINDIA, EQ, 29-Oct-2019,11897.35,11782.0,12173.75,11782.0,11900.0,11876.6,11989.11,10012,1200.35,2732,6134,61.27,Others
2019-10-30,ABBOTINDIA, EQ, 30-Oct-2019,11876.6,11900.0,12051.45,11900.0,11910.0,11922.5,11957.67,22409,2679.6,2078,19212,85.73,Others
2019-10-31,ABBOTINDIA, EQ, 31-Oct-2019,11922.5,11990.0,12051.45,11630.0,11715.0,11774.4,11918.8,6918,824.54,2285,4615,66.71,Others
2019-11-01,ABBOTINDIA, EQ, 01-Nov-2019,11774.4,11750.0,11885.05,11597.0,11630.0,11620.15,11714.45,8388,982.61,3068,5272,62.85,Others
2019-11-04,ABBOTINDIA, EQ, 04-Nov-2019,11620.15,11770.0,12400.0,11770.0,11950.0,11987.25,12042.07,12263,1476.72,3728,5567,45.4,Others
2019-11-05,ABBOTINDIA, EQ, 05-Nov-2019,11987.25,12088.0,12088.0,11705.0,11839.95,11786.55,11824.74,5344,631.91,2194,3231,60.46,Others
2019-11-06,ABBOTINDIA, EQ, 06-Nov-2019,11786.55,11870.0,12000.1,11450.0,11497.95,11480.45,11628.65,11369,1322.06,3722,6339,55.76,Others
2019-11-07,ABBOTINDIA, EQ, 07-Nov-2019,11480.45,11515.0,11760.0,11510.0,11635.85,11695.25,11613.86,5421,629.59,1790,2668,49.22,Others
2019-11-08,ABBOTINDIA, EQ, 08-Nov-2019,11695.25,11700.0,11711.0,11400.0,11410.0,11502.95,11589.27,5622,651.55,1821,2976,52.93,Others
2019-11-11,ABBOTINDIA, EQ, 11-Nov-2019,11502.95,11500.0,11775.0,11350.0,11767.85,11698.85,11525.37,11988,1381.66,3130,6629,55.3,Others
2019-11-13,ABBOTINDIA, EQ, 13-Nov-2019,11698.85,11868.95,12043.95,11702.0,11750.0,11794.6,11820.41,12778,1510.41,3197,7006,54.83,Others
2019-11-14,ABBOTINDIA, EQ, 14-Nov-2019,11794.6,11899.0,12293.1,11899.0,12035.0,12043.25,12065.05,32851,3963.49,5711,19705,59.98,Others
