Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ABCAPITAL, EQ, 23-Aug-2019,88.0,87.2,88.9,84.75,86.5,86.85,87.2,1860285,1622.19,22976,1113054,59.83
2019-10-01,ABCAPITAL, EQ, 01-Oct-2019,84.85,85.0,86.0,76.7,81.25,81.4,80.78,3405311,2750.76,36647,1806006,53.03
2019-10-03,ABCAPITAL, EQ, 03-Oct-2019,81.4,80.6,80.95,78.5,78.85,78.75,79.36,1422854,1129.15,15470,897967,63.11
2019-10-04,ABCAPITAL, EQ, 04-Oct-2019,78.75,79.15,80.25,77.25,78.45,78.5,79.0,1071737,846.66,17132,614648,57.35
2019-10-07,ABCAPITAL, EQ, 07-Oct-2019,78.5,78.9,79.7,78.1,78.5,78.5,78.72,828665,652.32,16305,464077,56.0
2019-10-09,ABCAPITAL, EQ, 09-Oct-2019,78.5,78.7,81.45,78.1,79.5,79.4,79.31,1268265,1005.82,19488,659279,51.98
2019-10-10,ABCAPITAL, EQ, 10-Oct-2019,79.4,79.55,81.2,79.0,79.2,79.2,79.82,670965,535.55,11307,340241,50.71
2019-10-11,ABCAPITAL, EQ, 11-Oct-2019,79.2,79.8,80.5,78.2,78.65,78.6,79.13,681521,539.31,9492,362319,53.16
2019-10-14,ABCAPITAL, EQ, 14-Oct-2019,78.6,79.0,79.6,77.55,77.8,77.85,78.45,1434060,1124.99,14291,1048928,73.14
2019-10-15,ABCAPITAL, EQ, 15-Oct-2019,77.85,78.4,78.5,77.0,77.2,77.25,77.63,729005,565.95,8029,411769,56.48
2019-10-16,ABCAPITAL, EQ, 16-Oct-2019,77.25,77.8,78.75,77.35,78.0,78.05,78.17,854867,668.28,8110,481652,56.34
2019-10-17,ABCAPITAL, EQ, 17-Oct-2019,78.05,78.25,78.4,75.5,76.2,76.4,76.44,2022274,1545.92,29597,1295017,64.04
2019-10-18,ABCAPITAL, EQ, 18-Oct-2019,76.4,76.6,82.4,76.5,79.2,79.4,79.6,4736445,3770.12,27940,2038001,43.03
2019-10-22,ABCAPITAL, EQ, 22-Oct-2019,79.4,79.05,83.7,79.05,83.2,82.95,81.71,3462436,2829.19,30752,1471073,42.49
2019-10-23,ABCAPITAL, EQ, 23-Oct-2019,82.95,83.2,85.9,81.85,82.6,82.65,83.89,2346870,1968.9,26842,1061008,45.21
2019-10-24,ABCAPITAL, EQ, 24-Oct-2019,82.65,83.0,84.0,79.65,80.8,80.9,81.9,1433977,1174.36,18965,741004,51.67
2019-10-25,ABCAPITAL, EQ, 25-Oct-2019,80.9,81.5,81.7,78.75,79.0,79.05,79.53,1365709,1086.17,22188,904646,66.24
2019-10-27,ABCAPITAL, EQ, 27-Oct-2019,79.05,79.8,80.5,79.05,80.45,80.3,80.08,482285,386.22,4829,336191,69.71
2019-10-29,ABCAPITAL, EQ, 29-Oct-2019,80.3,80.0,80.7,79.1,79.45,79.55,79.87,1867006,1491.23,29115,1076142,57.64
2019-10-30,ABCAPITAL, EQ, 30-Oct-2019,79.55,80.0,81.6,79.5,79.55,79.9,80.63,2696635,2174.39,22858,1356971,50.32
2019-10-31,ABCAPITAL, EQ, 31-Oct-2019,79.9,80.2,82.7,79.7,82.2,81.85,81.36,5155816,4194.64,23902,3040407,58.97
2019-11-01,ABCAPITAL, EQ, 01-Nov-2019,81.85,82.2,84.7,82.2,83.15,83.0,83.51,3673750,3067.93,18964,1977350,53.82
2019-11-04,ABCAPITAL, EQ, 04-Nov-2019,83.0,83.2,86.2,82.8,83.45,83.35,84.32,2829489,2385.68,27788,1304104,46.09
2019-11-05,ABCAPITAL, EQ, 05-Nov-2019,83.35,83.65,85.95,83.0,85.5,85.45,84.76,3470582,2941.84,36475,1567173,45.16
2019-11-06,ABCAPITAL, EQ, 06-Nov-2019,85.45,85.5,85.95,83.2,83.4,83.5,84.28,1616856,1362.65,19007,707380,43.75
2019-11-07,ABCAPITAL, EQ, 07-Nov-2019,83.5,83.6,85.5,83.6,84.7,84.7,84.71,4586782,3885.61,22258,3402588,74.18
2019-11-08,ABCAPITAL, EQ, 08-Nov-2019,84.7,85.6,88.6,85.6,86.85,86.85,87.23,6258041,5458.91,35698,2575102,41.15
2019-11-11,ABCAPITAL, EQ, 11-Nov-2019,86.85,87.35,88.4,85.15,86.75,86.9,86.79,2390106,2074.26,15509,981810,41.08
2019-11-13,ABCAPITAL, EQ, 13-Nov-2019,86.9,86.9,86.9,83.05,83.55,83.4,85.1,1691320,1439.3,11782,832058,49.2
2019-11-14,ABCAPITAL, EQ, 14-Nov-2019,83.4,83.0,83.85,79.0,80.15,80.25,80.78,2579465,2083.78,16745,1443369,55.96
