Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,ABFRL, EQ, 23-Aug-2019,189.85,189.1,192.8,185.2,187.85,189.15,189.05,698781,1321.02,17572,427422,61.17,Others
2019-10-01,ABFRL, EQ, 01-Oct-2019,211.35,210.0,210.15,200.5,208.0,206.5,205.76,289021,594.7,5814,148860,51.5,Others
2019-10-03,ABFRL, EQ, 03-Oct-2019,206.5,206.5,211.5,203.3,209.5,210.4,207.72,196473,408.11,5163,97742,49.75,Others
2019-10-04,ABFRL, EQ, 04-Oct-2019,210.4,210.7,211.7,205.1,208.0,208.6,209.21,263109,550.46,7790,125646,47.75,Others
2019-10-07,ABFRL, EQ, 07-Oct-2019,208.6,211.1,212.45,205.85,206.6,207.45,208.04,301985,628.25,3666,209858,69.49,Others
2019-10-09,ABFRL, EQ, 09-Oct-2019,207.45,206.05,209.55,204.6,207.6,208.1,208.02,313571,652.3,6335,213425,68.06,Others
2019-10-10,ABFRL, EQ, 10-Oct-2019,208.1,206.55,208.1,203.55,203.75,204.6,205.73,358364,737.28,5341,289353,80.74,Others
2019-10-11,ABFRL, EQ, 11-Oct-2019,204.6,205.05,207.6,203.55,204.5,205.45,205.55,311448,640.17,7521,243548,78.2,Others
2019-10-14,ABFRL, EQ, 14-Oct-2019,205.45,208.0,208.0,203.4,204.65,205.05,205.16,123386,253.14,3122,64403,52.2,Others
2019-10-15,ABFRL, EQ, 15-Oct-2019,205.05,205.25,205.8,198.2,200.0,200.0,200.92,463568,931.42,9243,355824,76.76,Others
2019-10-16,ABFRL, EQ, 16-Oct-2019,200.0,201.45,203.35,196.0,196.75,197.9,199.92,573490,1146.53,4886,485677,84.69,Others
2019-10-17,ABFRL, EQ, 17-Oct-2019,197.9,197.9,205.0,193.3,202.0,203.5,200.32,467704,936.9,10506,274845,58.76,Others
2019-10-18,ABFRL, EQ, 18-Oct-2019,203.5,203.0,211.5,201.25,210.0,209.2,208.98,562403,1175.33,13768,344555,61.26,Others
2019-10-22,ABFRL, EQ, 22-Oct-2019,209.2,207.55,211.9,204.05,205.85,205.75,207.27,684987,1419.75,4536,588423,85.9,Others
2019-10-23,ABFRL, EQ, 23-Oct-2019,205.75,206.7,210.5,204.2,205.35,205.3,207.3,138197,286.49,2522,50661,36.66,Others
2019-10-24,ABFRL, EQ, 24-Oct-2019,205.3,206.0,207.4,201.2,201.7,202.45,204.45,110779,226.48,3450,41995,37.91,Others
2019-10-25,ABFRL, EQ, 25-Oct-2019,202.45,203.0,205.4,201.3,204.15,203.95,203.98,277592,566.23,3535,203826,73.43,Others
2019-10-27,ABFRL, EQ, 27-Oct-2019,203.95,207.4,209.7,206.0,208.5,208.55,208.16,63435,132.05,1958,43871,69.16,Others
2019-10-29,ABFRL, EQ, 29-Oct-2019,208.55,208.55,209.95,204.0,206.0,205.75,207.16,131325,272.05,2745,53127,40.45,Others
