Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ACC, EQ, 23-Aug-2019,1464.6,1460.0,1478.2,1445.85,1468.9,1468.75,1465.7,807076,11829.3,43093,215700,26.73
2019-10-01,ACC, EQ, 01-Oct-2019,1608.15,1611.65,1627.4,1555.05,1579.8,1575.7,1587.87,460449,7311.32,28156,49503,10.75
2019-10-03,ACC, EQ, 03-Oct-2019,1575.7,1564.0,1582.85,1537.0,1543.9,1545.75,1556.06,715946,11140.55,32528,277689,38.79
2019-10-04,ACC, EQ, 04-Oct-2019,1545.75,1558.1,1559.3,1482.55,1486.0,1488.1,1514.83,620192,9394.87,29156,154647,24.94
2019-10-07,ACC, EQ, 07-Oct-2019,1488.1,1496.0,1496.15,1430.15,1434.75,1435.1,1457.53,1135461,16549.73,55631,465421,40.99
2019-10-09,ACC, EQ, 09-Oct-2019,1435.1,1430.0,1473.95,1416.45,1469.3,1467.1,1445.49,1260259,18216.87,51936,353890,28.08
2019-10-10,ACC, EQ, 10-Oct-2019,1467.1,1459.8,1462.8,1418.1,1424.45,1422.9,1435.49,721330,10354.61,26051,193928,26.88
2019-10-11,ACC, EQ, 11-Oct-2019,1422.9,1430.4,1450.35,1421.5,1444.0,1443.1,1438.05,678797,9761.47,21879,92089,13.57
2019-10-14,ACC, EQ, 14-Oct-2019,1443.1,1448.0,1484.7,1445.0,1470.0,1469.35,1470.22,757992,11144.17,36937,166363,21.95
2019-10-15,ACC, EQ, 15-Oct-2019,1469.35,1479.0,1505.0,1461.3,1497.9,1498.05,1485.13,1702459,25283.77,58539,188701,11.08
2019-10-16,ACC, EQ, 16-Oct-2019,1498.05,1530.0,1560.0,1511.35,1519.65,1521.45,1533.58,3659977,56128.85,104066,535496,14.63
2019-10-17,ACC, EQ, 17-Oct-2019,1521.45,1525.0,1538.9,1507.2,1535.45,1535.1,1527.99,1074461,16417.66,34943,241326,22.46
2019-10-18,ACC, EQ, 18-Oct-2019,1535.1,1535.8,1558.9,1528.0,1552.0,1553.55,1549.73,749817,11620.13,25710,101472,13.53
2019-10-22,ACC, EQ, 22-Oct-2019,1553.55,1551.9,1556.95,1523.8,1536.2,1535.25,1540.62,934518,14397.39,52831,224579,24.03
2019-10-23,ACC, EQ, 23-Oct-2019,1535.25,1537.9,1549.45,1521.0,1526.7,1526.2,1534.54,551466,8462.48,24356,106422,19.3
2019-10-24,ACC, EQ, 24-Oct-2019,1526.2,1536.0,1539.85,1504.3,1517.0,1519.1,1519.75,598530,9096.18,29097,116295,19.43
2019-10-25,ACC, EQ, 25-Oct-2019,1519.1,1524.0,1524.95,1501.0,1519.5,1518.4,1515.97,645397,9784.01,23469,166554,25.81
2019-10-27,ACC, EQ, 27-Oct-2019,1518.4,1527.0,1534.95,1524.0,1526.25,1528.95,1528.92,80946,1237.6,3122,10110,12.49
2019-10-29,ACC, EQ, 29-Oct-2019,1528.95,1531.0,1540.65,1515.5,1532.1,1531.2,1529.36,582262,8904.85,25865,192374,33.04
2019-10-30,ACC, EQ, 30-Oct-2019,1531.2,1532.1,1572.0,1521.2,1539.55,1532.25,1548.87,920215,14252.93,34914,198650,21.59
