Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ADANIENT, EQ, 23-Aug-2019,126.9,123.4,132.2,122.9,130.9,131.3,128.91,4374006,5638.43,21883,423740,9.69
2019-10-01,ADANIENT, EQ, 01-Oct-2019,145.85,146.1,147.7,140.5,143.45,143.65,144.37,3732047,5388.11,16300,430594,11.54
2019-10-03,ADANIENT, EQ, 03-Oct-2019,143.65,143.0,145.0,141.4,142.85,143.55,143.2,2070232,2964.54,11122,168395,8.13
2019-10-04,ADANIENT, EQ, 04-Oct-2019,143.55,143.95,144.5,137.55,137.9,140.0,142.0,2382805,3383.49,11951,437979,18.38
2019-10-07,ADANIENT, EQ, 07-Oct-2019,140.0,138.45,140.0,135.25,135.5,135.8,137.22,2701943,3707.49,12557,378976,14.03
2019-10-09,ADANIENT, EQ, 09-Oct-2019,135.8,134.95,139.65,134.1,138.4,139.0,136.82,2682715,3670.62,15509,294052,10.96
2019-10-10,ADANIENT, EQ, 10-Oct-2019,139.0,138.0,139.1,135.3,136.75,137.4,137.04,2413888,3308.1,13319,215325,8.92
2019-10-11,ADANIENT, EQ, 11-Oct-2019,137.4,137.45,138.8,134.6,136.4,136.95,136.6,2780875,3798.8,12898,353243,12.7
2019-10-14,ADANIENT, EQ, 14-Oct-2019,136.95,137.9,152.4,137.0,146.95,147.1,146.09,10795909,15771.45,55796,1319302,12.22
2019-10-15,ADANIENT, EQ, 15-Oct-2019,147.1,147.7,155.85,146.6,154.9,155.0,152.42,11048872,16840.46,62824,839703,7.6
2019-10-16,ADANIENT, EQ, 16-Oct-2019,155.0,155.0,160.9,155.0,159.85,160.15,158.27,9587304,15174.15,59372,746825,7.79
2019-10-17,ADANIENT, EQ, 17-Oct-2019,160.15,159.8,165.0,157.65,163.0,162.55,161.14,6523046,10511.38,31817,993064,15.22
2019-10-18,ADANIENT, EQ, 18-Oct-2019,162.55,174.9,175.8,165.1,174.2,175.1,171.54,14162661,24295.32,76434,1476099,10.42
2019-10-22,ADANIENT, EQ, 22-Oct-2019,175.1,174.5,180.0,173.4,178.4,178.65,177.84,7909839,14066.54,33677,1418332,17.93
2019-10-23,ADANIENT, EQ, 23-Oct-2019,178.65,178.75,178.75,172.4,175.8,176.45,175.63,4743985,8331.8,25735,492071,10.37
2019-10-24,ADANIENT, EQ, 24-Oct-2019,176.45,175.0,180.0,174.3,179.5,179.0,177.27,4753708,8426.85,26028,595442,12.53
2019-10-25,ADANIENT, EQ, 25-Oct-2019,179.0,179.5,183.7,177.2,180.65,181.3,181.1,7857185,14229.63,42181,1040633,13.24
2019-10-27,ADANIENT, EQ, 27-Oct-2019,181.3,182.9,184.25,182.0,182.8,183.4,183.15,1003414,1837.74,6284,297357,29.63
2019-10-29,ADANIENT, EQ, 29-Oct-2019,183.4,182.8,197.0,182.35,192.95,195.55,191.58,9534790,18266.83,48833,1087990,11.41
