Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ADANIPORTS, EQ, 23-Aug-2019,345.05,346.4,354.15,339.65,348.35,349.35,348.04,2246560,7818.98,50445,540860,24.08
2019-10-01,ADANIPORTS, EQ, 01-Oct-2019,413.95,415.2,417.9,401.6,405.0,404.05,409.86,2532760,10380.77,33166,1094425,43.21
2019-10-03,ADANIPORTS, EQ, 03-Oct-2019,404.05,403.5,406.2,398.6,403.55,403.9,401.96,2619077,10527.65,47878,1309062,49.98
2019-10-04,ADANIPORTS, EQ, 04-Oct-2019,403.9,405.5,407.25,392.95,396.0,394.6,400.51,1610595,6450.53,28417,592311,36.78
2019-10-07,ADANIPORTS, EQ, 07-Oct-2019,394.6,396.0,400.75,390.65,395.4,395.25,395.64,1399825,5538.22,24960,371765,26.56
2019-10-09,ADANIPORTS, EQ, 09-Oct-2019,395.25,396.35,402.85,391.55,399.8,400.45,398.61,3905912,15569.45,47923,2358017,60.37
2019-10-10,ADANIPORTS, EQ, 10-Oct-2019,400.45,397.8,401.6,395.6,400.8,399.9,398.34,3034826,12088.94,45434,2043311,67.33
2019-10-11,ADANIPORTS, EQ, 11-Oct-2019,399.9,401.25,410.25,395.9,409.0,409.05,404.78,2283201,9242.02,34433,728513,31.91
2019-10-14,ADANIPORTS, EQ, 14-Oct-2019,409.05,410.9,413.0,404.8,405.8,407.45,410.12,3313476,13589.16,30820,1949696,58.84
2019-10-15,ADANIPORTS, EQ, 15-Oct-2019,407.45,408.85,414.5,407.45,413.55,413.75,412.37,2434978,10041.08,31421,1142553,46.92
2019-10-16,ADANIPORTS, EQ, 16-Oct-2019,413.75,413.0,413.75,403.6,409.0,410.0,407.49,2008661,8185.02,43628,724085,36.05
2019-10-17,ADANIPORTS, EQ, 17-Oct-2019,410.0,409.1,411.2,404.6,407.95,409.15,407.92,2478950,10112.02,41861,925341,37.33
2019-10-18,ADANIPORTS, EQ, 18-Oct-2019,409.15,410.0,423.8,408.0,422.2,421.7,418.44,4047650,16937.02,58671,1220085,30.14
2019-10-22,ADANIPORTS, EQ, 22-Oct-2019,421.7,421.5,428.85,417.1,420.6,420.75,423.79,2380735,10089.31,36089,560445,23.54
2019-10-23,ADANIPORTS, EQ, 23-Oct-2019,420.75,418.0,419.0,395.0,395.1,396.1,399.7,6752056,26987.81,66672,1754932,25.99
2019-10-24,ADANIPORTS, EQ, 24-Oct-2019,396.1,399.0,401.45,393.35,398.55,399.15,399.21,6433637,25683.75,48660,2130282,33.11
2019-10-25,ADANIPORTS, EQ, 25-Oct-2019,399.15,402.95,402.95,396.85,397.6,398.95,399.82,3272059,13082.2,27005,1473825,45.04
2019-10-27,ADANIPORTS, EQ, 27-Oct-2019,398.95,402.25,402.25,398.55,399.5,399.8,400.41,110114,440.9,2102,38034,34.54
2019-10-29,ADANIPORTS, EQ, 29-Oct-2019,399.8,401.0,401.0,398.15,398.8,398.95,399.82,2269051,9072.22,35195,1352503,59.61
2019-10-30,ADANIPORTS, EQ, 30-Oct-2019,398.95,399.2,405.0,395.5,398.15,398.1,400.49,5590453,22389.18,48437,2382285,42.61
2019-10-31,ADANIPORTS, EQ, 31-Oct-2019,398.1,399.25,400.0,393.65,395.9,395.8,396.41,2529130,10025.66,27803,1577945,62.39
2019-11-01,ADANIPORTS, EQ, 01-Nov-2019,395.8,396.0,397.25,387.85,388.3,389.75,391.58,3665336,14352.62,37071,2085262,56.89
2019-11-04,ADANIPORTS, EQ, 04-Nov-2019,389.75,390.0,394.95,389.75,391.5,391.0,392.49,3146855,12351.18,43747,1723136,54.76
