Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ALKEM, EQ, 23-Aug-2019,1753.75,1775.0,1800.0,1750.55,1772.0,1772.35,1781.96,37895,675.27,4654,21966,57.97
2019-10-01,ALKEM, EQ, 01-Oct-2019,1905.1,1910.0,1969.4,1910.0,1940.25,1949.7,1945.41,56258,1094.45,7298,41858,74.4
2019-10-03,ALKEM, EQ, 03-Oct-2019,1949.7,1916.0,1960.0,1885.0,1898.55,1898.3,1913.04,35304,675.38,8660,15529,43.99
2019-10-04,ALKEM, EQ, 04-Oct-2019,1898.3,1919.9,1945.55,1873.0,1939.9,1938.95,1914.98,17335,331.96,2782,9282,53.54
2019-10-07,ALKEM, EQ, 07-Oct-2019,1938.95,1920.5,1949.0,1916.1,1938.0,1938.55,1926.39,23558,453.82,2560,15965,67.77
2019-10-09,ALKEM, EQ, 09-Oct-2019,1938.55,1941.05,1950.0,1911.0,1949.9,1938.25,1934.08,16138,312.12,1799,12588,78.0
2019-10-10,ALKEM, EQ, 10-Oct-2019,1938.25,1932.6,1950.0,1910.0,1932.0,1929.0,1926.37,51518,992.43,2326,44957,87.26
2019-10-11,ALKEM, EQ, 11-Oct-2019,1929.0,1930.15,1961.0,1930.0,1949.0,1947.3,1947.03,12746,248.17,1880,8327,65.33
2019-10-14,ALKEM, EQ, 14-Oct-2019,1947.3,1954.9,1959.9,1930.0,1931.4,1941.95,1948.56,90443,1762.33,7236,67563,74.7
2019-10-15,ALKEM, EQ, 15-Oct-2019,1941.95,1947.9,1950.0,1911.0,1922.0,1915.1,1936.55,19628,380.11,1972,13432,68.43
2019-10-16,ALKEM, EQ, 16-Oct-2019,1915.1,1916.0,1937.95,1906.0,1920.0,1914.4,1918.19,8762,168.07,1324,4968,56.7
2019-10-17,ALKEM, EQ, 17-Oct-2019,1914.4,1915.85,1926.8,1891.05,1909.0,1918.85,1908.3,12463,237.83,2691,7514,60.29
2019-10-18,ALKEM, EQ, 18-Oct-2019,1918.85,1920.2,2027.9,1920.1,1958.15,1958.95,1958.49,132385,2592.75,6885,108528,81.98
2019-10-22,ALKEM, EQ, 22-Oct-2019,1958.95,1976.9,1985.0,1950.05,1968.0,1974.75,1966.48,83148,1635.08,2454,61068,73.44
2019-10-23,ALKEM, EQ, 23-Oct-2019,1974.75,1974.8,1980.0,1955.0,1962.0,1966.85,1966.73,11472,225.62,1260,7419,64.67
2019-10-24,ALKEM, EQ, 24-Oct-2019,1966.85,1978.65,1978.65,1957.85,1974.7,1968.7,1973.36,45359,895.1,1658,42706,94.15
2019-10-25,ALKEM, EQ, 25-Oct-2019,1968.7,1986.95,1989.95,1948.1,1960.0,1960.2,1959.46,13429,263.14,2641,9364,69.73
