Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,APOLLOHOSP, EQ, 23-Aug-2019,1451.1,1448.05,1464.9,1425.0,1436.85,1440.85,1445.17,737187,10653.58,29438,452947,61.44,Healthcare
2019-10-01,APOLLOHOSP, EQ, 01-Oct-2019,1395.5,1398.0,1408.95,1360.5,1367.0,1369.25,1382.18,356435,4926.58,26986,139497,39.14,Healthcare
2019-10-03,APOLLOHOSP, EQ, 03-Oct-2019,1369.25,1355.65,1383.85,1348.55,1378.0,1379.1,1368.69,443258,6066.84,28799,240208,54.19,Healthcare
2019-10-04,APOLLOHOSP, EQ, 04-Oct-2019,1379.1,1385.0,1422.5,1384.95,1402.75,1400.45,1407.28,860655,12111.84,45078,353977,41.13,Healthcare
2019-10-07,APOLLOHOSP, EQ, 07-Oct-2019,1400.45,1409.2,1430.0,1399.0,1409.0,1410.65,1415.16,673596,9532.46,31253,232920,34.58,Healthcare
2019-10-09,APOLLOHOSP, EQ, 09-Oct-2019,1410.65,1407.5,1431.85,1397.55,1423.0,1425.05,1415.81,381888,5406.82,30309,139625,36.56,Healthcare
2019-10-10,APOLLOHOSP, EQ, 10-Oct-2019,1425.05,1422.0,1438.0,1405.5,1412.25,1412.25,1421.44,435916,6196.28,22062,233726,53.62,Healthcare
2019-10-11,APOLLOHOSP, EQ, 11-Oct-2019,1412.25,1419.3,1454.8,1407.95,1450.05,1448.1,1438.22,649286,9338.16,22470,264292,40.71,Healthcare
2019-10-14,APOLLOHOSP, EQ, 14-Oct-2019,1448.1,1457.15,1477.25,1444.8,1454.95,1451.75,1463.93,878725,12863.9,28145,270991,30.84,Healthcare
2019-10-15,APOLLOHOSP, EQ, 15-Oct-2019,1451.75,1459.9,1489.0,1457.0,1487.0,1483.75,1478.17,594035,8780.83,22527,187498,31.56,Healthcare
2019-10-16,APOLLOHOSP, EQ, 16-Oct-2019,1483.75,1484.0,1494.4,1480.0,1487.95,1483.2,1487.25,304772,4532.72,16253,79742,26.16,Healthcare
2019-10-17,APOLLOHOSP, EQ, 17-Oct-2019,1483.2,1489.0,1493.0,1470.65,1485.0,1487.3,1480.93,354752,5253.64,16489,195367,55.07,Healthcare
2019-10-18,APOLLOHOSP, EQ, 18-Oct-2019,1487.3,1491.0,1531.0,1490.35,1509.0,1507.85,1516.32,562505,8529.38,23738,133655,23.76,Healthcare
2019-10-22,APOLLOHOSP, EQ, 22-Oct-2019,1507.85,1502.0,1540.0,1502.0,1519.0,1519.4,1525.37,621477,9479.82,21280,171438,27.59,Healthcare
2019-10-23,APOLLOHOSP, EQ, 23-Oct-2019,1519.4,1520.0,1530.85,1510.0,1516.0,1513.75,1520.76,193859,2948.14,6689,40533,20.91,Healthcare
2019-10-24,APOLLOHOSP, EQ, 24-Oct-2019,1513.75,1518.3,1540.0,1518.3,1539.35,1536.8,1528.57,340507,5204.89,12572,167973,49.33,Healthcare
2019-10-25,APOLLOHOSP, EQ, 25-Oct-2019,1536.8,1540.0,1543.3,1507.35,1522.5,1519.35,1520.29,289340,4398.8,14672,100024,34.57,Healthcare
2019-10-27,APOLLOHOSP, EQ, 27-Oct-2019,1519.35,1527.0,1533.25,1520.0,1529.95,1529.65,1528.89,31619,483.42,1839,9739,30.8,Healthcare
2019-10-29,APOLLOHOSP, EQ, 29-Oct-2019,1529.65,1526.1,1527.0,1393.0,1432.0,1431.0,1431.71,2296243,32875.44,103812,665098,28.96,Healthcare
2019-10-30,APOLLOHOSP, EQ, 30-Oct-2019,1431.0,1459.8,1489.25,1440.0,1468.0,1461.95,1470.6,751366,11049.58,26968,138879,18.48,Healthcare
2019-10-31,APOLLOHOSP, EQ, 31-Oct-2019,1461.95,1471.0,1499.8,1463.05,1487.0,1484.8,1484.57,457117,6786.21,21923,134724,29.47,Healthcare
2019-11-01,APOLLOHOSP, EQ, 01-Nov-2019,1484.8,1492.8,1508.0,1450.1,1460.95,1460.0,1469.13,551152,8097.16,25678,194354,35.26,Healthcare
2019-11-04,APOLLOHOSP, EQ, 04-Nov-2019,1460.0,1461.0,1471.0,1411.0,1417.95,1414.75,1432.8,519503,7443.46,22952,241646,46.51,Healthcare
2019-11-05,APOLLOHOSP, EQ, 05-Nov-2019,1414.75,1423.5,1446.8,1412.5,1415.5,1414.95,1427.15,620983,8862.39,26334,243787,39.26,Healthcare
2019-11-06,APOLLOHOSP, EQ, 06-Nov-2019,1414.95,1416.0,1429.95,1402.05,1414.0,1413.9,1415.69,604579,8558.94,20667,278093,46.0,Healthcare
2019-11-07,APOLLOHOSP, EQ, 07-Nov-2019,1413.9,1422.7,1469.0,1420.5,1468.0,1463.9,1449.84,909619,13188.06,58059,407465,44.8,Healthcare
2019-11-08,APOLLOHOSP, EQ, 08-Nov-2019,1463.9,1467.9,1467.9,1415.0,1421.0,1418.6,1439.45,504630,7263.92,23231,170075,33.7,Healthcare
2019-11-11,APOLLOHOSP, EQ, 11-Nov-2019,1418.6,1425.0,1445.0,1414.15,1416.05,1419.0,1430.56,475250,6798.73,30899,142195,29.92,Healthcare
2019-11-13,APOLLOHOSP, EQ, 13-Nov-2019,1419.0,1420.05,1435.0,1379.15,1394.0,1388.65,1396.96,506842,7080.37,30392,153462,30.28,Healthcare
2019-11-14,APOLLOHOSP, EQ, 14-Nov-2019,1388.65,1394.0,1441.5,1386.3,1422.0,1419.15,1415.77,1643108,23262.57,54471,584585,35.58,Healthcare
2019-11-15,APOLLOHOSP, EQ, 15-Nov-2019,1419.15,1437.45,1445.4,1380.0,1396.0,1397.25,1410.26,1282545,18087.27,62965,280352,21.86,Healthcare
