Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,APOLLOTYRE, EQ, 23-Aug-2019,163.3,161.65,168.3,161.65,164.85,165.6,165.73,2414430,4001.53,21402,208121,8.62
2019-10-01,APOLLOTYRE, EQ, 01-Oct-2019,181.65,181.7,182.55,167.35,169.6,169.1,172.74,5019342,8670.3,32961,1233418,24.57
2019-10-03,APOLLOTYRE, EQ, 03-Oct-2019,169.1,169.1,172.6,167.2,168.75,168.85,169.79,2587269,4392.96,27010,649061,25.09
2019-10-04,APOLLOTYRE, EQ, 04-Oct-2019,168.85,169.7,174.55,166.75,167.3,168.8,171.4,2865252,4911.11,22109,424908,14.83
2019-10-07,APOLLOTYRE, EQ, 07-Oct-2019,168.8,167.5,168.2,163.5,164.5,164.35,165.28,1684274,2783.75,18379,257107,15.27
2019-10-09,APOLLOTYRE, EQ, 09-Oct-2019,164.35,163.0,169.95,162.55,169.3,168.85,166.16,1858232,3087.64,13707,295927,15.93
2019-10-10,APOLLOTYRE, EQ, 10-Oct-2019,168.85,168.8,169.5,165.0,166.05,165.85,166.94,1585971,2647.6,11515,401153,25.29
2019-10-11,APOLLOTYRE, EQ, 11-Oct-2019,165.85,166.7,170.3,165.65,166.4,166.5,167.25,1199478,2006.13,8724,187563,15.64
2019-10-14,APOLLOTYRE, EQ, 14-Oct-2019,166.5,166.95,172.15,166.5,169.4,169.95,169.74,1843627,3129.3,17319,262782,14.25
2019-10-15,APOLLOTYRE, EQ, 15-Oct-2019,169.95,169.95,173.8,168.65,173.55,173.3,172.06,1647100,2834.03,14081,276066,16.76
2019-10-16,APOLLOTYRE, EQ, 16-Oct-2019,173.3,173.7,177.8,172.85,177.55,177.45,176.71,1914748,3383.58,33398,584511,30.53
2019-10-17,APOLLOTYRE, EQ, 17-Oct-2019,177.45,177.35,182.5,175.1,181.6,181.0,178.02,1323156,2355.49,10814,197056,14.89
2019-10-18,APOLLOTYRE, EQ, 18-Oct-2019,181.0,180.0,186.9,179.05,185.95,186.05,183.92,1620760,2980.89,15051,597257,36.85
2019-10-22,APOLLOTYRE, EQ, 22-Oct-2019,186.05,184.55,188.35,183.4,185.15,185.05,185.86,3680040,6839.87,27127,585508,15.91
2019-10-23,APOLLOTYRE, EQ, 23-Oct-2019,185.05,185.15,185.65,181.4,183.3,183.55,183.48,2078362,3813.3,18791,112471,5.41
2019-10-24,APOLLOTYRE, EQ, 24-Oct-2019,183.55,184.6,184.6,180.65,181.6,181.7,182.32,1215140,2215.49,9258,102972,8.47
2019-10-25,APOLLOTYRE, EQ, 25-Oct-2019,181.7,182.8,184.2,178.95,182.0,181.0,181.74,2541205,4618.45,16538,146036,5.75
2019-10-27,APOLLOTYRE, EQ, 27-Oct-2019,181.0,182.1,183.3,181.0,181.4,181.85,182.06,108516,197.57,1526,30070,27.71
2019-10-29,APOLLOTYRE, EQ, 29-Oct-2019,181.85,181.5,190.1,181.2,187.1,186.85,185.95,3239605,6024.15,38500,1039752,32.1
2019-10-30,APOLLOTYRE, EQ, 30-Oct-2019,186.85,187.75,188.5,184.45,188.0,187.8,187.1,1410885,2639.76,10431,179128,12.7
2019-10-31,APOLLOTYRE, EQ, 31-Oct-2019,187.8,190.3,194.4,189.1,190.2,190.3,192.03,4163472,7995.15,45849,1012038,24.31
2019-11-01,APOLLOTYRE, EQ, 01-Nov-2019,190.3,191.4,196.75,188.1,188.8,189.2,192.47,4995111,9613.89,34821,758617,15.19
2019-11-04,APOLLOTYRE, EQ, 04-Nov-2019,189.2,189.75,190.65,184.8,185.0,185.55,187.17,2125782,3978.81,16488,276244,12.99
2019-11-05,APOLLOTYRE, EQ, 05-Nov-2019,185.55,185.4,187.65,177.95,179.3,179.85,183.09,8595442,15737.07,55040,1330924,15.48
2019-11-06,APOLLOTYRE, EQ, 06-Nov-2019,179.85,178.0,178.6,167.15,167.9,168.5,171.85,6895790,11850.73,46306,1388215,20.13
2019-11-07,APOLLOTYRE, EQ, 07-Nov-2019,168.5,168.4,169.7,166.0,167.25,167.0,167.53,4178035,6999.58,32101,740213,17.72
