Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ASHOKLEY, EQ, 23-Aug-2019,57.9,57.25,60.7,56.95,60.35,60.25,58.89,37001588,21788.78,103153,8782537,23.74
2019-10-01,ASHOKLEY, EQ, 01-Oct-2019,68.7,68.0,69.75,65.0,66.8,65.95,67.2,40792618,27411.67,112877,5203042,12.75
2019-10-03,ASHOKLEY, EQ, 03-Oct-2019,65.95,65.0,68.35,64.35,67.75,67.65,66.61,34086758,22704.59,99313,3852500,11.3
2019-10-04,ASHOKLEY, EQ, 04-Oct-2019,67.65,67.85,72.65,66.8,67.7,68.05,69.79,55436660,38691.47,152806,9440484,17.03
2019-10-07,ASHOKLEY, EQ, 07-Oct-2019,68.05,66.0,66.65,63.5,64.6,64.4,64.85,36232884,23495.44,109804,4924550,13.59
2019-10-09,ASHOKLEY, EQ, 09-Oct-2019,64.4,64.6,69.75,64.45,68.6,69.05,67.49,48874905,32987.81,100660,12327438,25.22
2019-10-10,ASHOKLEY, EQ, 10-Oct-2019,69.05,68.5,70.75,67.55,68.9,68.85,69.15,41367276,28604.75,104813,7750803,18.74
2019-10-11,ASHOKLEY, EQ, 11-Oct-2019,68.85,68.9,69.5,66.8,68.6,68.65,68.3,28366152,19373.38,76141,4995296,17.61
2019-10-14,ASHOKLEY, EQ, 14-Oct-2019,68.65,68.85,69.7,66.7,67.55,67.6,67.85,25586787,17360.0,58176,3154070,12.33
2019-10-15,ASHOKLEY, EQ, 15-Oct-2019,67.6,68.0,69.65,67.35,69.15,69.1,68.67,24809075,17036.8,69650,3113489,12.55
2019-10-16,ASHOKLEY, EQ, 16-Oct-2019,69.1,70.0,71.95,69.1,71.7,71.65,70.56,35894091,25328.14,88955,4416733,12.3
2019-10-17,ASHOKLEY, EQ, 17-Oct-2019,71.65,71.4,74.1,71.0,74.0,73.5,72.64,28557723,20742.98,86669,3447273,12.07
2019-10-18,ASHOKLEY, EQ, 18-Oct-2019,73.5,73.8,78.25,73.05,77.05,77.5,76.19,48555721,36996.65,115387,14379715,29.61
2019-10-22,ASHOKLEY, EQ, 22-Oct-2019,77.5,77.05,77.15,75.15,75.85,76.05,76.04,25729454,19564.88,73766,6463965,25.12
2019-10-23,ASHOKLEY, EQ, 23-Oct-2019,76.05,75.95,76.55,73.7,74.95,75.3,75.01,23077314,17311.04,59371,2981711,12.92
2019-10-24,ASHOKLEY, EQ, 24-Oct-2019,75.3,75.4,77.25,74.75,75.6,75.85,76.01,23358581,17753.96,65354,2967758,12.71
2019-10-25,ASHOKLEY, EQ, 25-Oct-2019,75.85,75.6,75.65,73.15,74.65,74.7,74.27,21594910,16038.24,63474,2897462,13.42
2019-10-27,ASHOKLEY, EQ, 27-Oct-2019,74.7,75.95,76.85,75.0,75.95,75.85,76.03,3478041,2644.32,21196,1140978,32.81
2019-10-29,ASHOKLEY, EQ, 29-Oct-2019,75.85,76.0,80.85,75.7,79.25,79.25,79.01,43289235,34204.33,132308,9379947,21.67
2019-10-30,ASHOKLEY, EQ, 30-Oct-2019,79.25,79.9,80.35,77.55,78.1,78.2,78.87,27208583,21460.08,79708,6750123,24.81
2019-10-31,ASHOKLEY, EQ, 31-Oct-2019,78.2,78.5,79.1,76.3,76.8,76.75,77.75,22232632,17285.82,78572,6564921,29.53
2019-11-01,ASHOKLEY, EQ, 01-Nov-2019,76.75,76.75,77.45,75.2,76.0,75.95,76.34,24861078,18978.66,66870,4317246,17.37
2019-11-04,ASHOKLEY, EQ, 04-Nov-2019,75.95,75.05,76.7,74.0,75.15,75.2,75.25,19855689,14941.81,66242,3826768,19.27
2019-11-05,ASHOKLEY, EQ, 05-Nov-2019,75.2,75.15,76.65,74.7,74.95,74.95,75.49,15228670,11496.47,51878,2599996,17.07
2019-11-06,ASHOKLEY, EQ, 06-Nov-2019,74.95,74.5,77.45,74.4,76.45,76.8,76.32,22004305,16794.06,66804,5220174,23.72
2019-11-07,ASHOKLEY, EQ, 07-Nov-2019,76.8,76.5,77.15,75.15,76.8,76.7,76.32,15633155,11931.25,38658,3718459,23.79
2019-11-08,ASHOKLEY, EQ, 08-Nov-2019,76.7,76.05,79.25,75.7,76.15,76.55,77.46,28384175,21987.44,85462,7845458,27.64
2019-11-11,ASHOKLEY, EQ, 11-Nov-2019,76.55,71.0,79.95,71.0,79.2,79.2,76.46,74700629,57119.37,203729,10746291,14.39
2019-11-13,ASHOKLEY, EQ, 13-Nov-2019,79.2,78.5,82.65,77.2,80.45,80.6,80.52,53302413,42916.61,153792,10938927,20.52
2019-11-14,ASHOKLEY, EQ, 14-Nov-2019,80.6,80.2,80.4,77.4,80.1,79.0,78.93,26587855,20985.42,90472,4804860,18.07
2019-11-15,ASHOKLEY, EQ, 15-Nov-2019,79.0,82.9,83.4,78.9,80.0,79.5,80.76,46353490,37432.94,140438,9073921,19.58
2019-11-18,ASHOKLEY, EQ, 18-Nov-2019,79.5,80.2,82.6,78.8,82.25,82.15,80.84,25361242,20500.98,86387,5181174,20.43
2019-11-19,ASHOKLEY, EQ, 19-Nov-2019,82.15,82.3,82.45,80.2,82.0,82.0,81.67,21836162,17832.87,68629, 4527786, 20.74
2019-11-20,ASHOKLEY, EQ, 20-Nov-2019,82.0,81.8,84.7,81.0,83.15,83.0,83.12,32259341,26815.4,101268, 4675753, 14.49
2019-11-21,ASHOKLEY, EQ, 21-Nov-2019,83.0,83.0,84.2,82.15,82.4,82.5,83.16,18297529,15217.09,60523,2650255,14.48
2019-11-22,ASHOKLEY, EQ, 22-Nov-2019,82.5,82.45,82.75,80.7,81.65,81.35,81.55,17038464,13895.21,64301,3760732,22.07
2019-11-25,ASHOKLEY, EQ, 25-Nov-2019,81.35,81.8,83.65,81.35,83.35,83.35,82.51,14382133,11867.34,49164,2874901,19.99
2019-11-26,ASHOKLEY, EQ, 26-Nov-2019,83.35,84.25,84.5,80.45,80.95,80.8,82.15,22669457,18623.08,76330, 6321222, 27.88
2019-11-27,ASHOKLEY, EQ, 27-Nov-2019,80.8,83.0,83.4,80.8,81.95,81.8,82.13,28362167,23293.6,87582,3771032,13.3
2019-11-28,ASHOKLEY, EQ, 28-Nov-2019,81.8,82.2,82.3,80.9,81.45,81.45,81.32,15337865,12473.3,48705,4847773,31.61
2019-11-29,ASHOKLEY, EQ, 29-Nov-2019,81.45,81.0,82.1,78.25,79.05,79.15,79.92,22446824,17939.1,77623,6690081,29.8
2019-12-02,ASHOKLEY, EQ, 02-Dec-2019,79.15,78.5,80.8,77.5,79.85,79.6,79.2,27354475,21663.41,87793, 6714927, 24.55
2019-12-03,ASHOKLEY, EQ, 03-Dec-2019,79.6,79.75,80.1,77.05,77.7,77.7,78.09,11718674,9150.64,47452,2155448,18.39
2019-12-04,ASHOKLEY, EQ, 04-Dec-2019,77.7,77.45,77.9,75.85,77.4,77.55,76.93,15559207,11969.87,55512,2470191,15.88
2019-12-05,ASHOKLEY, EQ, 05-Dec-2019,77.55,78.0,78.6,76.15,76.2,76.45,77.19,12040850,9294.64,40538,1682588,13.97
2019-12-06,ASHOKLEY, EQ, 06-Dec-2019,76.45,76.9,77.2,75.65,76.5,76.5,76.36,13925691,10634.2,43703,3407919,24.47
