Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ASIANPAINT, EQ, 23-Aug-2019,1570.2,1569.9,1583.35,1555.65,1582.8,1580.4,1569.23,984637,15451.19,58223,435109,44.19
2019-10-01,ASIANPAINT, EQ, 01-Oct-2019,1762.15,1768.95,1799.9,1757.0,1763.55,1766.1,1777.42,1317945,23425.44,58559,242587,18.41
2019-10-03,ASIANPAINT, EQ, 03-Oct-2019,1766.1,1765.0,1768.25,1732.2,1748.0,1748.95,1745.75,1010826,17646.49,63631,360461,35.66
2019-10-04,ASIANPAINT, EQ, 04-Oct-2019,1748.95,1753.9,1761.7,1717.1,1721.85,1724.4,1741.71,1231811,21454.55,72199,466863,37.9
2019-10-07,ASIANPAINT, EQ, 07-Oct-2019,1724.4,1724.95,1742.95,1717.85,1725.2,1725.15,1730.32,562559,9734.08,33656,143454,25.5
2019-10-09,ASIANPAINT, EQ, 09-Oct-2019,1725.15,1725.7,1778.0,1725.7,1767.2,1773.45,1752.0,1777552,31142.78,81865,789996,44.44
2019-10-10,ASIANPAINT, EQ, 10-Oct-2019,1773.45,1765.0,1793.0,1756.5,1776.0,1778.6,1778.05,1599166,28433.95,63553,508312,31.79
2019-10-11,ASIANPAINT, EQ, 11-Oct-2019,1778.6,1787.6,1801.8,1764.05,1787.6,1790.25,1785.24,1442236,25747.39,57060,639692,44.35
2019-10-14,ASIANPAINT, EQ, 14-Oct-2019,1790.25,1790.0,1806.3,1784.7,1796.1,1798.7,1797.53,881724,15849.23,27250,277052,31.42
2019-10-15,ASIANPAINT, EQ, 15-Oct-2019,1798.7,1807.7,1825.0,1796.0,1804.1,1803.1,1811.95,1204392,21822.98,47958,347462,28.85
2019-10-16,ASIANPAINT, EQ, 16-Oct-2019,1803.1,1808.5,1814.0,1756.55,1767.5,1765.7,1777.0,1403020,24931.63,67178,665255,47.42
2019-10-17,ASIANPAINT, EQ, 17-Oct-2019,1765.7,1772.0,1816.65,1756.0,1811.0,1812.3,1792.24,1722055,30863.33,80177,884325,51.35
2019-10-18,ASIANPAINT, EQ, 18-Oct-2019,1812.3,1815.0,1824.45,1786.7,1816.8,1816.75,1811.11,1682488,30471.71,50086,813457,48.35
2019-10-22,ASIANPAINT, EQ, 22-Oct-2019,1816.75,1822.7,1825.0,1775.0,1780.0,1780.2,1796.37,2135313,38358.14,95446,1112998,52.12
2019-10-23,ASIANPAINT, EQ, 23-Oct-2019,1780.2,1762.4,1800.0,1762.0,1771.2,1767.4,1776.98,3369253,59870.84,89107,1758401,52.19
2019-10-24,ASIANPAINT, EQ, 24-Oct-2019,1767.4,1778.0,1794.95,1753.05,1794.1,1790.5,1776.97,1497854,26616.38,95826,743173,49.62
2019-10-25,ASIANPAINT, EQ, 25-Oct-2019,1790.5,1797.0,1808.4,1785.05,1795.5,1796.3,1798.29,1202154,21618.2,92434,502378,41.79
2019-10-27,ASIANPAINT, EQ, 27-Oct-2019,1796.3,1802.0,1807.55,1788.1,1791.45,1792.6,1795.76,124929,2243.42,6526,47514,38.03
2019-10-29,ASIANPAINT, EQ, 29-Oct-2019,1792.6,1792.1,1820.0,1772.55,1817.05,1814.25,1801.49,1050123,18917.88,80563,465325,44.31
2019-10-30,ASIANPAINT, EQ, 30-Oct-2019,1814.25,1830.0,1830.0,1804.0,1825.0,1821.3,1816.91,1133258,20590.25,67069,494729,43.66
2019-10-31,ASIANPAINT, EQ, 31-Oct-2019,1821.3,1826.3,1834.8,1803.5,1809.0,1809.6,1820.66,1297114,23616.01,47831,630029,48.57
2019-11-01,ASIANPAINT, EQ, 01-Nov-2019,1809.6,1816.0,1821.0,1762.0,1770.0,1766.35,1778.41,1527660,27168.01,65734,801030,52.44
2019-11-04,ASIANPAINT, EQ, 04-Nov-2019,1766.35,1775.0,1790.0,1766.2,1785.0,1785.9,1779.16,821893,14622.81,48364,327865,39.89
2019-11-05,ASIANPAINT, EQ, 05-Nov-2019,1785.9,1780.0,1797.8,1767.6,1794.95,1793.85,1781.94,1251974,22309.48,47682,731110,58.4
2019-11-06,ASIANPAINT, EQ, 06-Nov-2019,1793.85,1789.0,1815.0,1780.6,1798.1,1797.6,1803.17,1136777,20497.97,46649,521274,45.86
2019-11-07,ASIANPAINT, EQ, 07-Nov-2019,1797.6,1810.0,1830.9,1798.2,1826.8,1826.95,1814.54,1380635,25052.12,72914,699138,50.64
2019-11-08,ASIANPAINT, EQ, 08-Nov-2019,1826.95,1826.0,1826.8,1790.8,1790.8,1794.85,1804.75,1077136,19439.64,78960,421617,39.14
2019-11-11,ASIANPAINT, EQ, 11-Nov-2019,1794.85,1789.95,1793.95,1768.0,1773.75,1773.95,1774.67,860384,15268.95,33703,420430,48.87
2019-11-13,ASIANPAINT, EQ, 13-Nov-2019,1773.95,1773.75,1787.0,1756.7,1769.0,1770.45,1770.33,983760,17415.76,50961,440807,44.81
2019-11-14,ASIANPAINT, EQ, 14-Nov-2019,1770.45,1778.0,1800.0,1766.45,1770.2,1771.85,1780.59,1116800,19885.63,48710,425773,38.12
2019-11-15,ASIANPAINT, EQ, 15-Nov-2019,1771.85,1780.85,1784.0,1756.3,1760.0,1760.7,1769.85,729613,12913.05,34367,394186,54.03
2019-11-18,ASIANPAINT, EQ, 18-Nov-2019,1760.7,1760.7,1765.45,1734.5,1742.0,1739.0,1742.87,1273055,22187.68,75506,642892,50.5
2019-11-19,ASIANPAINT, EQ, 19-Nov-2019,1739.0,1747.95,1748.0,1718.5,1723.0,1721.35,1728.15,1187377,20519.63,66120, 744098, 62.67
2019-11-20,ASIANPAINT, EQ, 20-Nov-2019,1721.35,1729.9,1748.85,1715.45,1723.0,1723.5,1728.2,1374382,23752.07,56776, 587781, 42.77
2019-11-21,ASIANPAINT, EQ, 21-Nov-2019,1723.5,1727.9,1734.85,1711.0,1719.0,1720.35,1721.12,913095,15715.48,57876,439420,48.12
2019-11-22,ASIANPAINT, EQ, 22-Nov-2019,1720.35,1710.0,1713.95,1676.0,1682.8,1682.75,1692.21,1275334,21581.37,72412,554009,43.44
2019-11-25,ASIANPAINT, EQ, 25-Nov-2019,1682.75,1684.0,1718.0,1666.15,1716.95,1710.7,1689.34,1320689,22310.99,53391,573528,43.43
2019-11-26,ASIANPAINT, EQ, 26-Nov-2019,1710.7,1718.0,1728.85,1687.6,1719.1,1710.3,1710.46,2714721,46434.34,75798, 1935195, 71.29
2019-11-27,ASIANPAINT, EQ, 27-Nov-2019,1710.3,1714.0,1731.0,1704.6,1719.8,1715.35,1718.79,883771,15190.18,58586,324525,36.72
2019-11-28,ASIANPAINT, EQ, 28-Nov-2019,1715.35,1718.25,1727.55,1701.75,1717.0,1714.6,1714.16,691147,11847.38,36864,194893,28.2
2019-11-29,ASIANPAINT, EQ, 29-Nov-2019,1714.6,1715.0,1720.4,1677.35,1706.0,1706.15,1694.22,1890290,32025.71,112615,1181189,62.49
2019-12-02,ASIANPAINT, EQ, 02-Dec-2019,1706.15,1706.2,1742.5,1698.35,1741.0,1738.25,1721.13,1476972,25420.68,54565, 594602, 40.26
2019-12-03,ASIANPAINT, EQ, 03-Dec-2019,1738.25,1740.0,1750.95,1725.0,1728.0,1736.45,1737.34,1374317,23876.51,46105,563016,40.97
2019-12-04,ASIANPAINT, EQ, 04-Dec-2019,1736.45,1731.2,1734.4,1710.25,1721.95,1720.3,1721.44,853421,14691.12,51830,427847,50.13
2019-12-05,ASIANPAINT, EQ, 05-Dec-2019,1720.3,1717.4,1738.15,1707.0,1716.0,1715.85,1722.83,971984,16745.68,52765,395132,40.65
2019-12-06,ASIANPAINT, EQ, 06-Dec-2019,1715.85,1722.9,1747.6,1712.85,1719.3,1716.65,1732.44,1031777,17874.93,41170,254643,24.68
2019-12-09,ASIANPAINT, EQ, 09-Dec-2019,1716.65,1725.0,1732.9,1711.0,1725.9,1726.35,1722.88,751290,12943.85,42771,279275,37.17
2019-12-10,ASIANPAINT, EQ, 10-Dec-2019,1726.35,1726.0,1732.0,1709.0,1715.0,1713.15,1717.86,686580,11794.47,49558,274602,40.0
2019-12-11,ASIANPAINT, EQ, 11-Dec-2019,1713.15,1718.0,1741.6,1713.25,1735.0,1738.2,1731.9,827804,14336.76,63773,332894,40.21
2019-12-12,ASIANPAINT, EQ, 12-Dec-2019,1738.2,1740.35,1754.0,1728.1,1747.0,1750.65,1742.12,802332,13977.62,53415,340162,42.4
2019-12-13,ASIANPAINT, EQ, 13-Dec-2019,1750.65,1751.0,1757.7,1735.55,1743.95,1743.95,1744.01,960033,16743.05,50875,446442,46.5
2019-12-16,ASIANPAINT, EQ, 16-Dec-2019,1743.95,1744.0,1752.0,1728.05,1732.6,1731.45,1737.68,707437,12292.96,30063,292222,41.31
2019-12-17,ASIANPAINT, EQ, 17-Dec-2019,1731.45,1735.2,1748.95,1730.25,1744.5,1745.4,1740.52,873024,15195.14,44734,552444,63.28
2019-12-18,ASIANPAINT, EQ, 18-Dec-2019,1745.4,1749.25,1782.0,1733.65,1779.9,1778.45,1763.13,1476506,26032.66,72805,648242,43.9
2019-12-19,ASIANPAINT, EQ, 19-Dec-2019,1778.45,1778.8,1807.8,1775.6,1800.0,1803.1,1796.38,2554245,45883.98,71111,1350186,52.86
2019-12-20,ASIANPAINT, EQ, 20-Dec-2019,1803.1,1804.95,1809.0,1795.0,1806.0,1799.25,1800.24,1419128,25547.69,45575,805732,56.78
2019-12-23,ASIANPAINT, EQ, 23-Dec-2019,1799.25,1795.8,1814.6,1786.2,1814.0,1807.55,1798.74,659899,11869.87,38252,223457,33.86
2019-12-24,ASIANPAINT, EQ, 24-Dec-2019,1807.55,1812.0,1826.0,1799.05,1800.85,1803.45,1812.6,896574,16251.28,36149,195430,21.8
2019-12-26,ASIANPAINT, EQ, 26-Dec-2019,1803.45,1799.4,1819.7,1797.05,1811.0,1809.6,1809.2,1161570,21015.13,35485,470576,40.51
2019-12-27,ASIANPAINT, EQ, 27-Dec-2019,1809.6,1811.0,1826.0,1800.6,1815.0,1812.25,1813.92,930468,16877.9,31583,313679,33.71
2019-12-30,ASIANPAINT, EQ, 30-Dec-2019,1812.25,1810.0,1818.45,1798.7,1802.0,1802.3,1805.35,562492,10154.95,34861,189097,33.62
2019-12-31,ASIANPAINT, EQ, 31-Dec-2019,1802.3,1805.0,1805.0,1781.1,1790.2,1784.95,1790.83,928396,16625.97,30896,506891,54.6
2020-01-01,ASIANPAINT, EQ, 01-Jan-2020,1784.95,1790.2,1802.55,1783.2,1784.25,1793.2,1794.29,397285,7128.46,15386,79648,20.05
2020-01-02,ASIANPAINT, EQ, 02-Jan-2020,1793.2,1791.0,1799.9,1783.4,1789.8,1790.65,1791.83,411266,7369.17,22042,130259,31.67
2020-01-03,ASIANPAINT, EQ, 03-Jan-2020,1790.65,1779.8,1779.8,1747.05,1750.0,1751.4,1758.01,1318628,23181.57,66172,466498,35.38
2020-01-06,ASIANPAINT, EQ, 06-Jan-2020,1751.4,1737.95,1738.0,1694.0,1710.0,1707.15,1708.88,1871804,31986.89,70558,729821,38.99
2020-01-07,ASIANPAINT, EQ, 07-Jan-2020,1707.15,1711.0,1740.5,1711.0,1730.65,1724.4,1729.25,1033650,17874.4,70683,318738,30.84
2020-01-08,ASIANPAINT, EQ, 08-Jan-2020,1724.4,1696.0,1736.0,1695.0,1732.6,1728.8,1716.72,1006057,17271.18,45401,286023,28.43
2020-01-09,ASIANPAINT, EQ, 09-Jan-2020,1728.8,1763.0,1775.0,1741.0,1767.35,1772.55,1758.07,1781733,31324.11,72574,1003861,56.34
2020-01-10,ASIANPAINT, EQ, 10-Jan-2020,1772.55,1772.0,1797.3,1760.0,1793.3,1792.55,1783.77,1256612,22415.07,44862,623304,49.6
2020-01-13,ASIANPAINT, EQ, 13-Jan-2020,1792.55,1799.0,1807.95,1794.35,1804.0,1804.9,1801.41,823821,14840.39,38516,329761,40.03
2020-01-14,ASIANPAINT, EQ, 14-Jan-2020,1804.9,1805.0,1821.65,1804.8,1819.0,1819.15,1816.62,775629,14090.23,37999,339481,43.77
2020-01-15,ASIANPAINT, EQ, 15-Jan-2020,1819.15,1817.5,1845.0,1810.1,1839.8,1842.25,1829.41,1252925,22921.14,49053,413218,32.98
2020-01-16,ASIANPAINT, EQ, 16-Jan-2020,1842.25,1835.95,1848.0,1828.75,1838.9,1835.15,1836.46,1031569,18944.37,55042,581521,56.37
2020-01-17,ASIANPAINT, EQ, 17-Jan-2020,1835.15,1835.6,1838.9,1815.0,1836.0,1830.05,1826.78,862204,15750.59,44885, 411022, 47.67
2020-01-20,ASIANPAINT, EQ, 20-Jan-2020,1830.05,1838.0,1862.25,1833.6,1847.5,1848.75,1851.25,1091453,20205.49,60609,346819,31.78
2020-01-21,ASIANPAINT, EQ, 21-Jan-2020,1848.75,1839.95,1842.55,1793.85,1809.0,1810.75,1810.96,2101561,38058.39,79182,657762,31.3
2020-01-22,ASIANPAINT, EQ, 22-Jan-2020,1810.75,1815.0,1818.7,1766.85,1773.2,1779.25,1791.56,3415306,61187.37,118628,816114,23.9
2020-01-23,ASIANPAINT, EQ, 23-Jan-2020,1779.25,1779.0,1789.0,1757.1,1778.1,1776.1,1769.08,1885275,33352.1,84213,900798,47.78
2020-01-24,ASIANPAINT, EQ, 24-Jan-2020,1776.1,1783.65,1799.9,1780.25,1791.4,1786.8,1791.35,1195596,21417.29,48875,453815,37.96
2020-01-27,ASIANPAINT, EQ, 27-Jan-2020,1786.8,1787.0,1805.75,1780.0,1790.0,1788.35,1793.25,969054,17377.52,46103,254554,26.27
2020-01-28,ASIANPAINT, EQ, 28-Jan-2020,1788.35,1794.0,1794.0,1773.0,1780.0,1779.1,1780.07,873291,15545.23,55125,400185,45.82
2020-01-29,ASIANPAINT, EQ, 29-Jan-2020,1779.1,1787.0,1803.85,1781.0,1798.0,1796.95,1794.76,873805,15682.67,55308,280153,32.06
2020-01-30,ASIANPAINT, EQ, 30-Jan-2020,1796.95,1800.0,1808.9,1786.0,1795.55,1805.0,1796.25,1005975,18069.86,56855,447227,44.46
2020-01-31,ASIANPAINT, EQ, 31-Jan-2020,1805.0,1810.0,1824.0,1788.7,1797.0,1795.65,1808.22,1169614,21149.17,61384,471814,40.34
2020-02-01,ASIANPAINT, EQ, 01-Feb-2020,1795.65,1802.0,1817.8,1747.0,1759.9,1755.35,1789.78,750220,13427.27,32832,182360,24.31
2020-02-03,ASIANPAINT, EQ, 03-Feb-2020,1755.35,1768.8,1872.9,1765.0,1866.65,1867.65,1832.22,2854532,52301.27,118212,967520,33.89
2020-02-04,ASIANPAINT, EQ, 04-Feb-2020,1867.65,1870.0,1896.75,1855.05,1896.75,1891.3,1877.61,1830049,34361.13,90719,709331,38.76
