Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ASTRAL, EQ, 23-Aug-2019,1239.3,1231.1,1248.8,1229.3,1239.0,1236.25,1235.77,24568,303.6,2819,15442,62.85
2019-10-01,ASTRAL, EQ, 01-Oct-2019,1147.85,1159.35,1159.35,1111.1,1145.0,1146.3,1132.94,202752,2297.06,8496,157957,77.91
2019-10-03,ASTRAL, EQ, 03-Oct-2019,1146.3,1144.85,1182.0,1131.15,1156.9,1154.4,1166.27,54929,640.62,7815,28729,52.3
2019-10-04,ASTRAL, EQ, 04-Oct-2019,1154.4,1164.95,1179.75,1151.05,1175.0,1174.85,1174.32,49995,587.1,4275,31224,62.45
2019-10-07,ASTRAL, EQ, 07-Oct-2019,1174.85,1180.0,1199.0,1163.05,1196.9,1189.9,1190.18,60754,723.08,4375,28533,46.96
2019-10-09,ASTRAL, EQ, 09-Oct-2019,1189.9,1196.9,1199.85,1173.95,1192.0,1190.5,1190.16,120989,1439.96,4155,108266,89.48
2019-10-10,ASTRAL, EQ, 10-Oct-2019,1190.5,1198.0,1198.25,1153.0,1164.0,1163.4,1164.74,60454,704.13,3611,42471,70.25
2019-10-11,ASTRAL, EQ, 11-Oct-2019,1163.4,1160.4,1185.6,1151.3,1179.0,1175.55,1178.32,30505,359.45,2529,20551,67.37
2019-10-14,ASTRAL, EQ, 14-Oct-2019,1175.55,1188.6,1189.2,1160.0,1165.0,1164.5,1166.67,68737,801.93,4563,62460,90.87
2019-10-15,ASTRAL, EQ, 15-Oct-2019,1164.5,1164.1,1179.95,1150.5,1169.9,1169.55,1169.06,62938,735.78,5235,39154,62.21
2019-10-16,ASTRAL, EQ, 16-Oct-2019,1169.55,1178.95,1178.95,1155.1,1158.0,1159.0,1171.64,45369,531.56,3477,34895,76.91
2019-10-17,ASTRAL, EQ, 17-Oct-2019,1159.0,1158.0,1177.0,1158.0,1173.7,1172.7,1172.62,52716,618.16,2078,46090,87.43
2019-10-18,ASTRAL, EQ, 18-Oct-2019,1172.7,1180.0,1180.0,1156.45,1166.1,1165.1,1163.72,384853,4478.61,2549,371048,96.41
2019-10-22,ASTRAL, EQ, 22-Oct-2019,1165.1,1171.5,1208.0,1136.0,1139.0,1140.35,1161.45,109413,1270.78,9269,80520,73.59
2019-10-23,ASTRAL, EQ, 23-Oct-2019,1140.35,1141.0,1155.0,1130.0,1135.0,1135.55,1136.14,583296,6627.05,4332,542555,93.02
2019-10-24,ASTRAL, EQ, 24-Oct-2019,1135.55,1145.8,1145.8,1130.1,1131.0,1134.4,1137.13,164064,1865.63,4615,140145,85.42
2019-10-25,ASTRAL, EQ, 25-Oct-2019,1134.4,1175.0,1185.0,1120.0,1124.0,1123.8,1141.15,243013,2773.14,6559,175113,72.06
2019-10-27,ASTRAL, EQ, 27-Oct-2019,1123.8,1145.0,1145.0,1133.2,1138.45,1138.35,1138.36,9629,109.61,904,7918,82.23
2019-10-29,ASTRAL, EQ, 29-Oct-2019,1138.35,1150.0,1150.0,1120.4,1123.0,1123.05,1131.5,268199,3034.67,4641,239579,89.33
2019-10-30,ASTRAL, EQ, 30-Oct-2019,1123.05,1134.9,1140.0,1106.0,1109.0,1113.55,1124.33,98398,1106.32,5136,74481,75.69
