Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,ATUL, EQ, 23-Aug-2019,3532.0,3572.85,3572.85,3503.55,3550.0,3560.2,3559.37,8193,291.62,3687,4711,57.5
2019-10-01,ATUL, EQ, 01-Oct-2019,3996.8,3997.0,4070.0,3942.0,3942.0,3975.6,4016.76,9532,382.88,2469,2484,26.06
2019-10-03,ATUL, EQ, 03-Oct-2019,3975.6,3976.55,4025.0,3953.55,4020.05,4015.55,3996.1,4317,172.51,1194,1970,45.63
2019-10-04,ATUL, EQ, 04-Oct-2019,4015.55,4010.0,4035.0,3950.0,3964.0,3963.45,4002.5,6588,263.68,2196,3557,53.99
2019-10-07,ATUL, EQ, 07-Oct-2019,3963.45,3992.6,3992.6,3910.05,3960.0,3966.3,3970.97,2356,93.56,876,977,41.47
2019-10-09,ATUL, EQ, 09-Oct-2019,3966.3,3980.0,3998.0,3927.0,3958.9,3943.1,3946.01,4681,184.71,2073,3047,65.09
2019-10-10,ATUL, EQ, 10-Oct-2019,3943.1,3943.1,3986.4,3870.0,3876.1,3896.4,3913.15,7696,301.16,1818,4887,63.5
2019-10-11,ATUL, EQ, 11-Oct-2019,3896.4,3916.9,4050.0,3881.0,4040.0,3993.4,3953.65,9399,371.6,1917,6094,64.84
2019-10-14,ATUL, EQ, 14-Oct-2019,3993.4,4038.1,4050.0,3955.05,4022.25,4026.4,4007.61,6983,279.85,1746,3428,49.09
2019-10-15,ATUL, EQ, 15-Oct-2019,4026.4,4027.1,4042.65,3960.15,3973.0,3973.85,3997.28,4983,199.18,1532,2921,58.62
2019-10-16,ATUL, EQ, 16-Oct-2019,3973.85,3992.45,4000.0,3880.1,3975.0,3967.1,3933.41,19195,755.02,2696,10930,56.94
2019-10-17,ATUL, EQ, 17-Oct-2019,3967.1,3989.95,4220.0,3965.0,4200.0,4208.4,4129.82,27516,1136.36,5761,14677,53.34
2019-10-18,ATUL, EQ, 18-Oct-2019,4208.4,4208.4,4263.3,4170.0,4219.95,4215.55,4226.7,17036,720.06,5356,8441,49.55
2019-10-22,ATUL, EQ, 22-Oct-2019,4215.55,4215.0,4285.0,4203.75,4265.0,4264.3,4247.89,10264,436.0,2734,6656,64.85
2019-10-23,ATUL, EQ, 23-Oct-2019,4264.3,4285.0,4323.95,4174.1,4220.5,4227.05,4259.99,14063,599.08,3005,7489,53.25
2019-10-24,ATUL, EQ, 24-Oct-2019,4227.05,4242.05,4312.0,4181.5,4309.0,4306.1,4267.95,25689,1096.39,6411,15863,61.75
2019-10-25,ATUL, EQ, 25-Oct-2019,4306.1,4312.0,4347.0,4221.2,4250.0,4251.6,4277.11,39154,1674.66,8489,11439,29.22
2019-10-27,ATUL, EQ, 27-Oct-2019,4251.6,4320.0,4345.0,4251.6,4300.0,4322.5,4313.43,6114,263.72,1280,3628,59.34
2019-10-29,ATUL, EQ, 29-Oct-2019,4322.5,4290.0,4379.85,4270.0,4270.0,4276.6,4304.12,19225,827.47,7007,12631,65.7
2019-10-30,ATUL, EQ, 30-Oct-2019,4276.6,4280.4,4314.95,4231.1,4246.0,4251.95,4269.12,10532,449.62,3029,5891,55.93
2019-10-31,ATUL, EQ, 31-Oct-2019,4251.95,4298.1,4305.05,4238.85,4290.0,4295.25,4285.12,11000,471.36,3153,7690,69.91
