Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,AUBANK, EQ, 23-Aug-2019,671.6,668.0,669.5,646.25,657.0,659.75,655.44,117296,768.81,7504,54901,46.81
2019-10-01,AUBANK, EQ, 01-Oct-2019,659.5,652.35,663.9,645.0,647.35,653.9,655.27,236795,1551.64,27488,149424,63.1
2019-10-03,AUBANK, EQ, 03-Oct-2019,653.9,650.0,652.8,642.65,648.0,649.85,649.61,179831,1168.2,8350,145171,80.73
2019-10-04,AUBANK, EQ, 04-Oct-2019,649.85,654.9,654.9,640.25,644.0,644.55,648.57,170150,1103.54,6227,110739,65.08
2019-10-07,AUBANK, EQ, 07-Oct-2019,644.55,648.6,654.8,645.0,650.0,652.95,649.5,329269,2138.59,7479,294817,89.54
2019-10-09,AUBANK, EQ, 09-Oct-2019,652.95,654.8,654.8,639.65,641.0,641.25,649.68,466926,3033.52,6890,415813,89.05
2019-10-10,AUBANK, EQ, 10-Oct-2019,641.25,644.7,649.0,636.3,640.0,638.7,642.74,54896,352.84,3955,24028,43.77
2019-10-11,AUBANK, EQ, 11-Oct-2019,638.7,642.0,661.0,638.0,657.1,653.85,648.0,105242,681.96,4207,65911,62.63
2019-10-14,AUBANK, EQ, 14-Oct-2019,653.85,657.95,663.8,640.55,644.95,643.7,655.84,203615,1335.39,5986,146832,72.11
2019-10-15,AUBANK, EQ, 15-Oct-2019,643.7,646.0,653.0,641.0,644.0,643.55,649.23,332462,2158.45,3472,292554,88.0
2019-10-16,AUBANK, EQ, 16-Oct-2019,643.55,647.55,675.0,643.0,647.9,647.45,657.02,335890,2206.88,10271,199722,59.46
2019-10-17,AUBANK, EQ, 17-Oct-2019,647.45,650.0,656.0,637.7,650.0,647.85,650.11,93629,608.69,8692,46086,49.22
2019-10-18,AUBANK, EQ, 18-Oct-2019,647.85,650.0,666.5,641.45,654.0,654.4,650.76,701198,4563.09,11292,590160,84.16
2019-10-22,AUBANK, EQ, 22-Oct-2019,654.4,675.0,696.5,667.0,688.4,689.25,681.41,1473667,10041.79,53833,1105664,75.03
2019-10-23,AUBANK, EQ, 23-Oct-2019,689.25,700.0,700.0,677.1,694.35,694.25,693.75,602722,4181.4,18221,424451,70.42
2019-10-24,AUBANK, EQ, 24-Oct-2019,694.25,699.7,699.7,660.35,678.9,681.75,679.44,708504,4813.84,20012,335710,47.38
2019-10-25,AUBANK, EQ, 25-Oct-2019,681.75,680.0,694.95,673.0,690.0,688.4,687.11,486059,3339.74,24748,363284,74.74
