Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,AUROPHARMA, EQ, 23-Aug-2019,590.8,592.3,605.8,585.1,600.0,598.25,598.28,2321620,13889.77,70207,507597,21.86,Pharma
2019-10-01,AUROPHARMA, EQ, 01-Oct-2019,589.0,589.05,596.5,567.5,577.1,576.2,581.56,1631987,9491.01,51892,433110,26.54,Pharma
2019-10-03,AUROPHARMA, EQ, 03-Oct-2019,576.2,570.0,583.7,559.1,580.5,579.65,573.51,1673837,9599.62,32699,390932,23.36,Pharma
2019-10-04,AUROPHARMA, EQ, 04-Oct-2019,579.65,581.0,582.45,565.8,566.55,567.5,574.82,1232497,7084.65,35163,346894,28.15,Pharma
2019-10-07,AUROPHARMA, EQ, 07-Oct-2019,567.5,560.55,564.35,450.35,451.7,459.85,489.25,22618778,110663.47,390536,3804079,16.82,Pharma
2019-10-09,AUROPHARMA, EQ, 09-Oct-2019,459.85,474.15,485.0,454.15,474.4,474.4,472.35,17998262,85014.54,244850,3646094,20.26,Pharma
2019-10-10,AUROPHARMA, EQ, 10-Oct-2019,474.4,474.0,474.0,436.65,461.8,465.15,455.4,12092242,55068.53,186501,1084161,8.97,Pharma
2019-10-11,AUROPHARMA, EQ, 11-Oct-2019,465.15,465.0,466.1,435.35,436.5,438.95,447.31,11001202,49209.12,172788,2189636,19.9,Pharma
2019-10-14,AUROPHARMA, EQ, 14-Oct-2019,438.95,441.0,473.2,440.2,455.9,459.25,458.09,10052508,46049.56,154557,2453429,24.41,Pharma
2019-10-15,AUROPHARMA, EQ, 15-Oct-2019,459.25,459.25,467.6,450.0,454.55,455.35,457.28,4811384,22001.72,72745,546537,11.36,Pharma
2019-10-16,AUROPHARMA, EQ, 16-Oct-2019,455.35,458.0,465.85,447.35,462.45,463.7,457.66,4685706,21444.78,78605,853719,18.22,Pharma
2019-10-17,AUROPHARMA, EQ, 17-Oct-2019,463.7,462.45,468.45,457.0,465.75,466.45,463.17,2581845,11958.42,41872,286291,11.09,Pharma
2019-10-18,AUROPHARMA, EQ, 18-Oct-2019,466.45,470.0,485.45,468.35,477.6,476.45,477.24,3907119,18646.37,62436,636755,16.3,Pharma
2019-10-22,AUROPHARMA, EQ, 22-Oct-2019,476.45,477.0,485.4,471.2,479.0,477.25,480.47,2551851,12260.89,54106,887672,34.79,Pharma
2019-10-23,AUROPHARMA, EQ, 23-Oct-2019,477.25,481.45,487.7,472.4,476.2,476.05,477.83,3011909,14391.7,46848,980707,32.56,Pharma
2019-10-24,AUROPHARMA, EQ, 24-Oct-2019,476.05,479.05,483.0,466.45,468.0,469.3,473.09,2659154,12580.1,36579,496497,18.67,Pharma
2019-10-25,AUROPHARMA, EQ, 25-Oct-2019,469.3,466.5,475.0,463.0,468.95,470.75,468.41,3181241,14901.22,41800,966930,30.39,Pharma
2019-10-27,AUROPHARMA, EQ, 27-Oct-2019,470.75,471.95,473.0,468.85,470.8,470.85,470.78,208635,982.22,3903,76696,36.76,Pharma
2019-10-29,AUROPHARMA, EQ, 29-Oct-2019,470.85,469.1,474.7,467.15,471.6,471.85,471.96,1673171,7896.75,55889,528268,31.57,Pharma
2019-10-30,AUROPHARMA, EQ, 30-Oct-2019,471.85,472.45,478.55,459.15,462.9,463.0,466.96,2381573,11120.91,39403,638806,26.82,Pharma
2019-10-31,AUROPHARMA, EQ, 31-Oct-2019,463.0,466.4,476.0,463.55,469.8,469.85,469.16,2479674,11633.65,35798,882583,35.59,Pharma
2019-11-01,AUROPHARMA, EQ, 01-Nov-2019,469.85,472.4,482.9,467.5,480.55,480.5,475.76,2983662,14195.02,50370,1198354,40.16,Pharma
2019-11-04,AUROPHARMA, EQ, 04-Nov-2019,480.5,479.5,507.5,474.05,477.35,477.65,487.99,7280307,35526.82,103787,1173843,16.12,Pharma
2019-11-05,AUROPHARMA, EQ, 05-Nov-2019,477.65,478.0,485.5,470.4,473.55,473.9,477.04,3270484,15601.62,53140,1258088,38.47,Pharma
2019-11-06,AUROPHARMA, EQ, 06-Nov-2019,473.9,475.0,479.75,442.3,450.0,450.9,454.48,8240447,37451.17,121409,1781359,21.62,Pharma
2019-11-07,AUROPHARMA, EQ, 07-Nov-2019,450.9,451.5,454.8,442.6,452.6,452.0,448.63,3916537,17570.62,58817,1064544,27.18,Pharma
2019-11-08,AUROPHARMA, EQ, 08-Nov-2019,452.0,452.6,456.25,436.5,439.65,439.95,446.61,3189184,14243.24,47232,878513,27.55,Pharma
2019-11-11,AUROPHARMA, EQ, 11-Nov-2019,439.95,437.0,443.9,431.3,437.55,437.7,437.74,4784575,20944.23,57025,1777991,37.16,Pharma
2019-11-13,AUROPHARMA, EQ, 13-Nov-2019,437.7,445.0,457.95,427.65,432.45,433.85,441.92,10083492,44561.07,124222,3295148,32.68,Pharma
2019-11-14,AUROPHARMA, EQ, 14-Nov-2019,433.85,412.65,412.65,389.35,397.0,395.8,396.98,16978139,67400.26,226984,3509003,20.67,Pharma
