Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,AXISBANK, EQ, 23-Aug-2019,661.15,659.75,671.55,645.25,664.1,663.9,661.78,7775604,51457.76,134432,3111773,40.02
2019-10-01,AXISBANK, EQ, 01-Oct-2019,685.0,687.1,701.25,656.25,676.75,679.15,679.81,49442205,336114.04,401465,27080443,54.77
2019-10-03,AXISBANK, EQ, 03-Oct-2019,679.15,675.0,675.9,646.7,667.15,668.4,664.55,17615854,117066.65,261635,7910729,44.91
2019-10-04,AXISBANK, EQ, 04-Oct-2019,668.4,669.9,677.4,651.4,655.05,656.4,663.42,15317105,101616.63,206078,6019862,39.3
2019-10-07,AXISBANK, EQ, 07-Oct-2019,656.4,660.95,681.9,651.7,668.7,673.45,669.13,21554138,144224.72,169198,11190248,51.92
2019-10-09,AXISBANK, EQ, 09-Oct-2019,673.45,671.9,689.5,664.3,686.95,686.3,677.95,11537721,78219.75,153497,4453034,38.6
2019-10-10,AXISBANK, EQ, 10-Oct-2019,686.3,680.0,684.3,665.35,674.9,672.95,672.31,8679981,58356.42,129012,3400225,39.17
2019-10-11,AXISBANK, EQ, 11-Oct-2019,672.95,676.55,686.0,668.3,672.1,672.7,675.5,11042828,74594.3,140619,3468697,31.41
2019-10-14,AXISBANK, EQ, 14-Oct-2019,672.7,677.8,693.95,673.35,684.0,683.5,684.61,11099352,75987.64,126825,4360303,39.28
2019-10-15,AXISBANK, EQ, 15-Oct-2019,683.5,682.6,694.85,681.3,689.9,690.05,688.51,9260732,63760.62,100513,3784795,40.87
2019-10-16,AXISBANK, EQ, 16-Oct-2019,690.05,693.4,695.4,683.55,692.65,693.4,690.06,10404705,71798.81,157036,3961277,38.07
2019-10-17,AXISBANK, EQ, 17-Oct-2019,693.4,690.5,712.4,690.5,710.35,710.3,703.33,10617761,74678.22,169129,3073773,28.95
2019-10-18,AXISBANK, EQ, 18-Oct-2019,710.3,709.85,715.7,705.25,710.35,709.55,710.02,9500635,67456.26,104518,2654760,27.94
2019-10-22,AXISBANK, EQ, 22-Oct-2019,709.55,712.4,723.0,703.3,713.25,712.75,715.7,9704016,69451.9,173046,3447622,35.53
2019-10-23,AXISBANK, EQ, 23-Oct-2019,712.75,718.0,730.0,710.05,716.4,714.85,719.35,16158781,116238.82,265520,4843437,29.97
2019-10-24,AXISBANK, EQ, 24-Oct-2019,714.85,719.95,723.0,701.55,708.0,707.7,710.99,8986203,63891.13,151738,3097932,34.47
2019-10-25,AXISBANK, EQ, 25-Oct-2019,707.7,708.0,711.0,695.0,709.85,708.6,702.61,8226456,57800.12,119946,2701413,32.84
2019-10-27,AXISBANK, EQ, 27-Oct-2019,708.6,711.0,715.05,708.55,709.05,710.1,711.31,965772,6869.61,15526,231217,23.94
2019-10-29,AXISBANK, EQ, 29-Oct-2019,710.1,706.5,742.9,704.25,740.0,738.45,726.54,10422117,75721.02,169766,4136900,39.69
2019-10-30,AXISBANK, EQ, 30-Oct-2019,738.45,745.0,749.9,735.5,748.8,747.4,744.8,10188947,75887.16,119891,3764919,36.95
2019-10-31,AXISBANK, EQ, 31-Oct-2019,747.4,748.0,750.0,732.05,732.1,736.35,740.64,8775411,64994.37,119420,4041522,46.06
2019-11-01,AXISBANK, EQ, 01-Nov-2019,736.35,736.0,750.0,728.1,749.4,748.3,743.09,8484197,63045.35,89752,3024892,35.65
2019-11-04,AXISBANK, EQ, 04-Nov-2019,748.3,754.95,754.95,735.55,741.8,742.6,743.61,7851370,58383.27,114187,3467964,44.17
2019-11-05,AXISBANK, EQ, 05-Nov-2019,742.6,741.8,745.6,730.6,735.8,738.05,737.91,7306253,53913.38,168813,3343045,45.76
2019-11-06,AXISBANK, EQ, 06-Nov-2019,738.05,736.95,750.9,728.75,745.55,747.25,741.45,7821243,57990.38,119024,2697901,34.49
2019-11-07,AXISBANK, EQ, 07-Nov-2019,747.25,750.0,756.0,732.5,737.0,734.75,741.93,9871570,73240.37,148004,3873191,39.24
2019-11-08,AXISBANK, EQ, 08-Nov-2019,734.75,735.9,735.9,722.8,725.4,725.5,730.37,7427196,54246.04,114812,1989495,26.79
2019-11-11,AXISBANK, EQ, 11-Nov-2019,725.5,723.4,735.5,721.2,733.7,733.7,729.17,6355142,46339.74,122111,2123672,33.42
2019-11-13,AXISBANK, EQ, 13-Nov-2019,733.7,733.7,737.4,707.85,710.2,711.2,723.05,9290616,67175.43,259623,4014256,43.21
2019-11-14,AXISBANK, EQ, 14-Nov-2019,711.2,711.0,721.8,707.25,716.25,715.9,714.77,8000528,57185.11,127491,2195183,27.44
2019-11-15,AXISBANK, EQ, 15-Nov-2019,715.9,716.75,723.5,710.6,716.2,716.9,716.16,9315652,66715.25,116585,4218488,45.28
2019-11-18,AXISBANK, EQ, 18-Nov-2019,716.9,717.8,725.5,712.2,724.1,722.95,718.56,7907958,56823.28,146520,3532088,44.66
2019-11-19,AXISBANK, EQ, 19-Nov-2019,722.95,725.0,750.2,725.0,749.8,747.8,739.93,14424251,106729.83,204504, 5983016, 41.48
