Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BAJAJ-AUTO, EQ, 23-Aug-2019,2744.25,2743.95,2765.0,2714.15,2752.75,2749.15,2743.96,332505,9123.8,24682,48916,14.71
2019-10-01,BAJAJ-AUTO, EQ, 01-Oct-2019,2941.8,2945.0,2977.7,2888.05,2915.95,2910.0,2925.89,546876,16000.98,37011,87206,15.95
2019-10-03,BAJAJ-AUTO, EQ, 03-Oct-2019,2910.0,2915.0,2939.7,2882.5,2883.8,2897.9,2906.09,292132,8489.61,47328,82623,28.28
2019-10-04,BAJAJ-AUTO, EQ, 04-Oct-2019,2897.9,2915.0,2935.0,2855.0,2856.0,2863.55,2903.42,342652,9948.61,32953,95899,27.99
2019-10-07,BAJAJ-AUTO, EQ, 07-Oct-2019,2863.55,2859.9,2900.05,2854.95,2888.9,2892.3,2880.69,276023,7951.38,22126,55225,20.01
2019-10-09,BAJAJ-AUTO, EQ, 09-Oct-2019,2892.3,2889.0,2915.0,2877.75,2879.5,2891.85,2894.48,355878,10300.83,23178,156712,44.04
2019-10-10,BAJAJ-AUTO, EQ, 10-Oct-2019,2891.85,2881.0,2932.0,2865.0,2898.0,2886.25,2900.1,313632,9095.66,25151,94064,29.99
2019-10-11,BAJAJ-AUTO, EQ, 11-Oct-2019,2886.25,2898.0,2925.0,2883.55,2899.5,2898.8,2901.27,198610,5762.22,15473,41448,20.87
2019-10-14,BAJAJ-AUTO, EQ, 14-Oct-2019,2898.8,2889.1,2975.0,2888.0,2950.0,2958.05,2953.6,367105,10842.8,27259,99236,27.03
2019-10-15,BAJAJ-AUTO, EQ, 15-Oct-2019,2958.05,2964.0,3029.9,2953.45,3010.6,3011.95,3001.85,636441,19105.01,38503,155041,24.36
2019-10-16,BAJAJ-AUTO, EQ, 16-Oct-2019,3011.95,3035.0,3050.0,3015.25,3022.0,3023.7,3033.55,572575,17369.33,43829,157740,27.55
2019-10-17,BAJAJ-AUTO, EQ, 17-Oct-2019,3023.7,3009.0,3140.0,2995.0,3138.0,3111.5,3046.67,707480,21554.57,43494,230182,32.54
2019-10-18,BAJAJ-AUTO, EQ, 18-Oct-2019,3111.5,3119.0,3119.95,3075.0,3090.0,3087.05,3090.84,398223,12308.45,29698,83771,21.04
2019-10-22,BAJAJ-AUTO, EQ, 22-Oct-2019,3087.05,3090.05,3154.4,3089.65,3122.35,3122.3,3128.63,379635,11877.36,27720,79241,20.87
2019-10-23,BAJAJ-AUTO, EQ, 23-Oct-2019,3122.3,3122.4,3237.35,3095.0,3159.0,3162.65,3178.88,2111842,67132.83,117465,514399,24.36
2019-10-24,BAJAJ-AUTO, EQ, 24-Oct-2019,3162.65,3165.0,3201.0,3143.45,3175.0,3167.85,3175.92,656713,20856.65,58278,197256,30.04
2019-10-25,BAJAJ-AUTO, EQ, 25-Oct-2019,3167.85,3187.15,3187.15,3110.0,3133.75,3129.65,3135.1,369730,11591.4,29691,61291,16.58
