Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BAJAJFINSV, EQ, 23-Aug-2019,6767.35,6773.0,6963.0,6581.0,6900.0,6884.6,6808.41,613954,41800.53,72611,63302,10.31,Financials
2019-10-01,BAJAJFINSV, EQ, 01-Oct-2019,8513.0,8571.0,8613.95,8285.9,8471.0,8458.35,8472.43,352809,29891.5,44501,66460,18.84,Financials
2019-10-03,BAJAJFINSV, EQ, 03-Oct-2019,8458.35,8433.0,8485.0,8320.45,8420.1,8446.45,8425.3,207759,17504.32,24262,33937,16.33,Financials
2019-10-04,BAJAJFINSV, EQ, 04-Oct-2019,8446.45,8514.0,8541.35,8250.7,8284.75,8300.75,8414.91,271416,22839.41,29653,43424,16.0,Financials
2019-10-07,BAJAJFINSV, EQ, 07-Oct-2019,8300.75,8295.0,8355.0,8190.0,8240.0,8220.0,8278.57,276990,22930.81,27601,62593,22.6,Financials
2019-10-09,BAJAJFINSV, EQ, 09-Oct-2019,8220.0,8279.0,8349.9,8176.0,8300.0,8318.25,8257.09,329837,27234.93,33409,95587,28.98,Financials
2019-10-10,BAJAJFINSV, EQ, 10-Oct-2019,8318.25,8280.0,8345.0,8175.0,8202.0,8201.85,8242.46,200005,16485.34,23125,60685,30.34,Financials
2019-10-11,BAJAJFINSV, EQ, 11-Oct-2019,8201.85,8224.0,8328.85,8105.0,8147.55,8169.45,8201.2,270260,22164.57,30822,44468,16.45,Financials
2019-10-14,BAJAJFINSV, EQ, 14-Oct-2019,8169.45,8195.0,8254.1,8052.0,8070.0,8082.25,8156.94,190372,15528.53,20728,44387,23.32,Financials
2019-10-15,BAJAJFINSV, EQ, 15-Oct-2019,8082.25,8130.0,8130.0,8013.0,8050.0,8035.85,8070.25,217114,17521.65,19905,60604,27.91,Financials
2019-10-16,BAJAJFINSV, EQ, 16-Oct-2019,8035.85,8085.55,8260.0,8065.05,8151.0,8134.3,8140.85,453154,36890.6,42082,135854,29.98,Financials
2019-10-17,BAJAJFINSV, EQ, 17-Oct-2019,8134.3,8154.0,8357.4,8102.0,8316.65,8316.65,8213.54,622466,51126.46,39639,237298,38.12,Financials
2019-10-18,BAJAJFINSV, EQ, 18-Oct-2019,8316.65,8316.0,8437.6,8230.0,8285.0,8265.95,8328.42,352909,29391.76,31151,77086,21.84,Financials
2019-10-22,BAJAJFINSV, EQ, 22-Oct-2019,8265.95,8300.0,8393.0,7975.25,8005.0,8008.85,8192.78,503368,41239.83,51345,139370,27.69,Financials
2019-10-23,BAJAJFINSV, EQ, 23-Oct-2019,8008.85,8173.0,8276.6,8021.0,8076.1,8070.95,8142.77,570989,46494.32,53255,109932,19.25,Financials
2019-10-24,BAJAJFINSV, EQ, 24-Oct-2019,8070.95,8129.95,8200.0,8035.0,8085.0,8091.0,8127.75,336515,27351.1,33640,78361,23.29,Financials
2019-10-25,BAJAJFINSV, EQ, 25-Oct-2019,8091.0,8141.0,8160.0,7852.0,7978.0,7972.15,8011.76,354844,28429.25,40102,67233,18.95,Financials
2019-10-27,BAJAJFINSV, EQ, 27-Oct-2019,7972.15,7980.0,8085.45,7954.35,8016.15,8001.5,8015.01,41755,3346.67,5011,12162,29.13,Financials
2019-10-29,BAJAJFINSV, EQ, 29-Oct-2019,8001.5,8113.0,8174.35,8013.0,8150.0,8150.9,8119.33,389923,31659.14,52616,186241,47.76,Financials
2019-10-30,BAJAJFINSV, EQ, 30-Oct-2019,8150.9,8196.85,8199.05,8061.25,8086.0,8082.4,8120.49,226406,18385.27,26805,71612,31.63,Financials
2019-10-31,BAJAJFINSV, EQ, 31-Oct-2019,8082.4,8120.0,8241.95,8100.0,8130.0,8134.35,8179.3,423287,34621.92,36910,175782,41.53,Financials
2019-11-01,BAJAJFINSV, EQ, 01-Nov-2019,8134.35,8168.0,8429.0,8110.5,8394.85,8384.75,8347.47,656439,54796.08,56137,248572,37.87,Financials
2019-11-04,BAJAJFINSV, EQ, 04-Nov-2019,8384.75,8480.0,8750.0,8450.25,8745.0,8706.6,8636.2,552812,47741.98,47326,129957,23.51,Financials
2019-11-05,BAJAJFINSV, EQ, 05-Nov-2019,8706.6,8800.0,8887.75,8655.4,8839.9,8845.75,8776.22,598420,52518.66,66393,141179,23.59,Financials
2019-11-06,BAJAJFINSV, EQ, 06-Nov-2019,8845.75,8800.0,8875.0,8721.05,8735.3,8772.85,8787.72,320303,28147.32,35973,63525,19.83,Financials
2019-11-07,BAJAJFINSV, EQ, 07-Nov-2019,8772.85,8798.0,8859.7,8762.05,8827.4,8832.9,8815.72,213383,18811.24,26266,46514,21.8,Financials
2019-11-08,BAJAJFINSV, EQ, 08-Nov-2019,8832.9,8795.0,8950.0,8750.0,8812.0,8818.85,8853.34,294904,26108.86,34977,52673,17.86,Financials
2019-11-11,BAJAJFINSV, EQ, 11-Nov-2019,8818.85,8799.0,8925.0,8775.0,8925.0,8903.3,8862.6,174978,15507.6,21337,37131,21.22,Financials
2019-11-13,BAJAJFINSV, EQ, 13-Nov-2019,8903.3,8888.0,9027.0,8855.55,8970.0,8978.35,8956.21,360673,32302.64,37151,117054,32.45,Financials
2019-11-14,BAJAJFINSV, EQ, 14-Nov-2019,8978.35,8979.95,9091.0,8900.0,9090.0,9061.85,9014.63,348634,31428.05,55135,104816,30.06,Financials
2019-11-15,BAJAJFINSV, EQ, 15-Nov-2019,9061.85,9070.2,9140.0,9033.6,9057.9,9057.85,9095.92,295919,26916.56,29859,91036,30.76,Financials
2019-11-18,BAJAJFINSV, EQ, 18-Nov-2019,9057.85,9065.5,9126.0,9015.45,9099.5,9104.25,9077.84,211760,19223.22,24040,46616,22.01,Financials
2019-11-19,BAJAJFINSV, EQ, 19-Nov-2019,9104.25,9070.0,9189.0,9066.3,9163.0,9152.8,9147.14,237653,21738.45,26363,67305,28.32,Financials
2019-11-20,BAJAJFINSV, EQ, 20-Nov-2019,9152.8,9135.0,9185.0,9060.0,9074.55,9079.25,9133.13,243993,22284.2,24747,82635,33.87,Financials
2019-11-21,BAJAJFINSV, EQ, 21-Nov-2019,9079.25,9085.0,9117.0,9032.0,9050.0,9055.1,9079.38,173328,15737.1,18910,34661,20.0,Financials
2019-11-22,BAJAJFINSV, EQ, 22-Nov-2019,9055.1,9059.8,9080.0,8981.0,9074.0,9039.3,9025.26,155772,14058.83,15923,29176,18.73,Financials
2019-11-25,BAJAJFINSV, EQ, 25-Nov-2019,9039.3,9051.0,9220.0,9015.2,9190.0,9175.0,9106.62,148437,13517.59,16287,38060,25.64,Financials
2019-11-26,BAJAJFINSV, EQ, 26-Nov-2019,9175.0,9170.0,9215.0,9089.6,9121.35,9121.3,9149.88,295094,27000.76,34027,159844,54.17,Financials
2019-11-27,BAJAJFINSV, EQ, 27-Nov-2019,9121.3,9141.0,9260.3,9121.3,9255.2,9228.45,9188.39,147351,13539.19,22220,43155,29.29,Financials
2019-11-28,BAJAJFINSV, EQ, 28-Nov-2019,9228.45,9254.5,9284.75,9190.05,9240.2,9240.1,9228.39,164635,15193.16,19853,29566,17.96,Financials
2019-11-29,BAJAJFINSV, EQ, 29-Nov-2019,9240.1,9230.0,9235.8,9095.3,9118.9,9110.25,9155.1,148877,13629.84,21054,38263,25.7,Financials
2019-12-02,BAJAJFINSV, EQ, 02-Dec-2019,9110.25,9110.0,9110.0,8900.0,8995.2,8948.3,8952.38,320750,28714.76,33145,101839,31.75,Financials
2019-12-03,BAJAJFINSV, EQ, 03-Dec-2019,8948.3,8975.0,9127.3,8926.5,9100.0,9089.75,9020.96,180880,16317.11,24835,40399,22.33,Financials
2019-12-04,BAJAJFINSV, EQ, 04-Dec-2019,9089.75,9068.9,9088.0,8955.05,8993.0,9030.25,9008.4,216459,19499.48,22715,72331,33.42,Financials
2019-12-05,BAJAJFINSV, EQ, 05-Dec-2019,9030.25,9015.0,9030.25,8935.05,8955.0,8965.5,8984.16,119246,10713.25,14665,28318,23.75,Financials
2019-12-06,BAJAJFINSV, EQ, 06-Dec-2019,8965.5,9012.0,9035.5,8824.25,8860.0,8853.1,8917.32,167027,14894.33,17509,38007,22.76,Financials
2019-12-09,BAJAJFINSV, EQ, 09-Dec-2019,8853.1,8896.7,8994.75,8821.05,8921.0,8929.0,8926.11,149833,13374.26,20760,33190,22.15,Financials
2019-12-10,BAJAJFINSV, EQ, 10-Dec-2019,8929.0,8910.0,8993.0,8879.0,8935.0,8927.2,8942.2,143935,12870.95,18476,39232,27.26,Financials
2019-12-11,BAJAJFINSV, EQ, 11-Dec-2019,8927.2,8950.0,9100.0,8935.05,9095.0,9079.1,9045.19,225881,20431.37,28926,67720,29.98,Financials
2019-12-12,BAJAJFINSV, EQ, 12-Dec-2019,9079.1,9100.0,9184.0,9081.2,9170.0,9169.25,9145.41,191985,17557.81,21988,40806,21.25,Financials
2019-12-13,BAJAJFINSV, EQ, 13-Dec-2019,9169.25,9200.0,9274.9,9142.15,9217.3,9210.3,9215.56,215357,19846.36,25579,58116,26.99,Financials
2019-12-16,BAJAJFINSV, EQ, 16-Dec-2019,9210.3,9250.0,9300.0,9150.0,9281.8,9288.1,9268.71,197075,18266.31,26216,64306,32.63,Financials
2019-12-17,BAJAJFINSV, EQ, 17-Dec-2019,9288.1,9281.8,9389.8,9261.4,9382.95,9361.75,9333.11,220998,20625.99,31676,72311,32.72,Financials
2019-12-18,BAJAJFINSV, EQ, 18-Dec-2019,9361.75,9365.0,9421.0,9326.65,9360.0,9362.6,9373.35,228424,21410.98,25026,65968,28.88,Financials
2019-12-19,BAJAJFINSV, EQ, 19-Dec-2019,9362.6,9350.0,9358.8,9256.6,9290.0,9270.75,9306.67,135843,12642.46,19830,30819,22.69,Financials
2019-12-20,BAJAJFINSV, EQ, 20-Dec-2019,9270.75,9290.0,9333.0,9260.0,9282.0,9280.05,9291.74,167670,15579.46,26435,65391,39.0,Financials
2019-12-23,BAJAJFINSV, EQ, 23-Dec-2019,9280.05,9281.75,9370.0,9260.75,9290.0,9304.05,9318.34,169704,15813.59,23274,33709,19.86,Financials
2019-12-24,BAJAJFINSV, EQ, 24-Dec-2019,9304.05,9290.05,9327.9,9252.3,9302.1,9294.85,9300.11,100160,9314.99,10822,19951,19.92,Financials
2019-12-26,BAJAJFINSV, EQ, 26-Dec-2019,9294.85,9325.0,9392.0,9290.0,9347.9,9350.1,9353.31,165007,15433.61,17511,26427,16.02,Financials
2019-12-27,BAJAJFINSV, EQ, 27-Dec-2019,9350.1,9360.0,9465.0,9348.05,9440.0,9443.15,9410.36,133407,12554.08,15206,25342,19.0,Financials
2019-12-30,BAJAJFINSV, EQ, 30-Dec-2019,9443.15,9444.0,9482.0,9402.55,9423.8,9439.2,9441.31,124965,11798.34,12641,27362,21.9,Financials
2019-12-31,BAJAJFINSV, EQ, 31-Dec-2019,9439.2,9422.4,9444.95,9379.0,9420.0,9393.35,9415.62,116732,10991.04,11628,33658,28.83,Financials
2020-01-01,BAJAJFINSV, EQ, 01-Jan-2020,9393.35,9420.0,9432.45,9351.95,9371.35,9378.45,9386.28,63668,5976.05,7532,9700,15.24,Financials
2020-01-02,BAJAJFINSV, EQ, 02-Jan-2020,9378.45,9378.5,9530.95,9378.45,9525.0,9505.6,9474.82,157891,14959.89,13307,65379,41.41,Financials
2020-01-03,BAJAJFINSV, EQ, 03-Jan-2020,9505.6,9465.0,9504.6,9324.0,9352.0,9345.85,9395.24,182479,17144.33,21847,43650,23.92,Financials
2020-01-06,BAJAJFINSV, EQ, 06-Jan-2020,9345.85,9339.0,9339.0,9022.0,9029.0,9042.7,9118.93,244289,22276.54,29396,66207,27.1,Financials
2020-01-07,BAJAJFINSV, EQ, 07-Jan-2020,9042.7,9125.0,9265.0,9065.05,9080.0,9095.65,9141.52,242676,22184.27,23159,26715,11.01,Financials
