Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BAJFINANCE, EQ, 23-Aug-2019,3114.1,3118.0,3200.0,2998.0,3170.05,3174.35,3129.94,3143787,98398.72,170512,303311,9.65,Financials
2019-10-01,BAJFINANCE, EQ, 01-Oct-2019,4046.05,4080.0,4089.1,3946.3,3991.0,3992.4,4019.82,1615506,64940.39,104667,459038,28.41,Financials
2019-10-03,BAJFINANCE, EQ, 03-Oct-2019,3992.4,3985.0,4004.95,3931.85,3959.0,3959.8,3966.94,1245840,49421.67,105919,420788,33.78,Financials
2019-10-04,BAJFINANCE, EQ, 04-Oct-2019,3959.8,3979.0,4004.0,3892.3,3904.0,3903.95,3951.48,1478266,58413.34,87354,342927,23.2,Financials
2019-10-07,BAJFINANCE, EQ, 07-Oct-2019,3903.95,3880.0,3958.25,3819.45,3915.0,3900.9,3906.52,1406152,54931.65,73448,198212,14.1,Financials
2019-10-09,BAJFINANCE, EQ, 09-Oct-2019,3900.9,3915.0,4035.0,3880.05,4023.95,4023.9,3950.38,1356600,53590.86,82528,251225,18.52,Financials
2019-10-10,BAJFINANCE, EQ, 10-Oct-2019,4023.9,4013.65,4015.0,3931.0,3952.0,3948.9,3963.11,1102788,43704.75,78619,302597,27.44,Financials
2019-10-11,BAJFINANCE, EQ, 11-Oct-2019,3948.9,3979.0,4015.0,3925.0,3969.9,3973.2,3968.05,1623866,64435.84,76477,417233,25.69,Financials
2019-10-14,BAJFINANCE, EQ, 14-Oct-2019,3973.2,3988.0,4006.3,3853.05,3868.0,3883.3,3931.5,1768352,69522.75,90161,653957,36.98,Financials
2019-10-15,BAJFINANCE, EQ, 15-Oct-2019,3883.3,3895.0,3916.0,3843.0,3884.3,3879.45,3885.01,1394894,54191.75,108824,369178,26.47,Financials
2019-10-16,BAJFINANCE, EQ, 16-Oct-2019,3879.45,3910.0,4032.0,3900.0,4025.0,4016.4,3987.73,2381769,94978.49,117679,588080,24.69,Financials
2019-10-17,BAJFINANCE, EQ, 17-Oct-2019,4016.4,4020.05,4117.2,4001.0,4096.0,4106.8,4061.6,2103593,85439.47,102281,404362,19.22,Financials
2019-10-18,BAJFINANCE, EQ, 18-Oct-2019,4106.8,4100.0,4199.0,4080.0,4139.0,4137.65,4147.65,1836213,76159.74,92676,365879,19.93,Financials
2019-10-22,BAJFINANCE, EQ, 22-Oct-2019,4137.65,4165.0,4219.85,4000.1,4050.0,4034.15,4111.92,5034755,207025.34,266830,1593838,31.66,Financials
2019-10-23,BAJFINANCE, EQ, 23-Oct-2019,4034.15,4089.95,4110.0,3968.0,4047.0,4038.35,4053.0,2442249,98984.24,132383,359251,14.71,Financials
2019-10-24,BAJFINANCE, EQ, 24-Oct-2019,4038.35,4062.0,4080.0,4012.55,4029.95,4026.15,4038.05,1267557,51184.63,75488,231716,18.28,Financials
2019-10-25,BAJFINANCE, EQ, 25-Oct-2019,4026.15,4037.8,4063.85,3900.0,3979.0,3987.25,3991.92,1758098,70181.86,92133,228268,12.98,Financials
2019-10-27,BAJFINANCE, EQ, 27-Oct-2019,3987.25,4015.0,4015.0,3955.0,3984.0,3978.9,3985.73,214742,8559.03,14870,66158,30.81,Financials
2019-10-29,BAJFINANCE, EQ, 29-Oct-2019,3978.9,3990.0,4060.0,3962.45,4041.0,4047.25,4030.11,1335515,53822.7,71249,366830,27.47,Financials
2019-10-30,BAJFINANCE, EQ, 30-Oct-2019,4047.25,4074.95,4074.95,3985.0,3995.0,3992.0,4012.94,1338554,53715.39,79482,348126,26.01,Financials
2019-10-31,BAJFINANCE, EQ, 31-Oct-2019,3992.0,4004.2,4050.0,3995.0,4029.0,4027.55,4027.39,1251220,50391.47,58308,380509,30.41,Financials
2019-11-01,BAJFINANCE, EQ, 01-Nov-2019,4027.55,4029.0,4110.0,4021.0,4075.0,4069.85,4073.59,1875612,76404.76,86761,510074,27.2,Financials
2019-11-04,BAJFINANCE, EQ, 04-Nov-2019,4069.85,4087.0,4177.5,4076.15,4120.0,4113.0,4128.71,1863158,76924.32,86340,312504,16.77,Financials
2019-11-05,BAJFINANCE, EQ, 05-Nov-2019,4113.0,4172.0,4255.0,4135.0,4250.25,4227.8,4191.15,2934652,122995.73,129389,726298,24.75,Financials
2019-11-06,BAJFINANCE, EQ, 06-Nov-2019,4227.8,4260.0,4280.0,4176.65,4187.0,4188.15,4219.45,2076695,87625.11,91132,605419,29.15,Financials
2019-11-07,BAJFINANCE, EQ, 07-Nov-2019,4188.15,4204.7,4239.2,4188.2,4225.0,4225.85,4220.25,1141603,48178.53,58529,358936,31.44,Financials
2019-11-08,BAJFINANCE, EQ, 08-Nov-2019,4225.85,4220.0,4240.0,4148.0,4160.0,4159.45,4194.63,1509693,63325.96,94208,545259,36.12,Financials
2019-11-11,BAJFINANCE, EQ, 11-Nov-2019,4159.45,4160.0,4188.0,4142.9,4167.0,4169.05,4167.25,769302,32058.77,44768,165693,21.54,Financials
2019-11-13,BAJFINANCE, EQ, 13-Nov-2019,4169.05,4166.9,4175.0,4132.0,4136.55,4144.55,4153.44,899015,37340.09,67932,347178,38.62,Financials
2019-11-14,BAJFINANCE, EQ, 14-Nov-2019,4144.55,4158.0,4221.0,4120.4,4218.9,4210.55,4190.47,1383629,57980.54,64582,369446,26.7,Financials
2019-11-15,BAJFINANCE, EQ, 15-Nov-2019,4210.55,4220.2,4247.25,4175.55,4190.65,4187.6,4214.33,1193171,50284.14,61204,425010,35.62,Financials
2019-11-18,BAJFINANCE, EQ, 18-Nov-2019,4187.6,4199.0,4209.55,4145.15,4151.3,4154.9,4167.58,927364,38648.62,56030,391985,42.27,Financials
2019-11-19,BAJFINANCE, EQ, 19-Nov-2019,4154.9,4165.0,4182.15,4126.25,4140.0,4135.75,4152.48,829535,34446.25,55854,264574,31.89,Financials
2019-11-20,BAJFINANCE, EQ, 20-Nov-2019,4135.75,4140.0,4182.0,4127.4,4130.4,4138.55,4155.43,813879,33820.15,50079,246103,30.24,Financials
2019-11-21,BAJFINANCE, EQ, 21-Nov-2019,4138.55,4140.0,4160.0,4112.0,4121.0,4123.65,4135.51,702853,29066.53,55485,311852,44.37,Financials
2019-11-22,BAJFINANCE, EQ, 22-Nov-2019,4123.65,4130.0,4143.8,4041.0,4080.0,4078.3,4086.51,1222615,49962.33,62793,297705,24.35,Financials
2019-11-25,BAJFINANCE, EQ, 25-Nov-2019,4078.3,4100.0,4149.15,4062.3,4140.9,4141.7,4108.31,1389304,57076.94,67143,592191,42.63,Financials
2019-11-26,BAJFINANCE, EQ, 26-Nov-2019,4141.7,4145.0,4173.95,4087.0,4097.9,4098.35,4123.85,1502727,61970.27,67605,667959,44.45,Financials
2019-11-27,BAJFINANCE, EQ, 27-Nov-2019,4098.35,4121.0,4124.9,4095.0,4124.0,4118.35,4112.85,485064,19949.95,29206,98784,20.37,Financials
2019-11-28,BAJFINANCE, EQ, 28-Nov-2019,4118.35,4120.0,4139.05,4065.0,4107.0,4102.05,4100.38,969708,39761.76,81001,297528,30.68,Financials
2019-11-29,BAJFINANCE, EQ, 29-Nov-2019,4102.05,4095.0,4135.0,4062.35,4068.0,4074.2,4087.55,831983,34007.71,61467,288947,34.73,Financials
2019-12-02,BAJFINANCE, EQ, 02-Dec-2019,4074.2,4075.0,4077.35,3920.1,3952.0,3950.45,3966.28,2065404,81919.61,119607,829218,40.15,Financials
2019-12-03,BAJFINANCE, EQ, 03-Dec-2019,3950.45,3939.95,3995.0,3886.5,3965.0,3964.55,3958.17,1984382,78545.3,110537,751447,37.87,Financials
2019-12-04,BAJFINANCE, EQ, 04-Dec-2019,3964.55,3958.0,4004.1,3935.0,3990.15,3990.85,3971.9,1430830,56831.08,76072,394462,27.57,Financials
2019-12-05,BAJFINANCE, EQ, 05-Dec-2019,3990.85,3990.85,4034.0,3968.0,3982.3,3990.85,3994.45,1255304,50142.54,73090,458281,36.51,Financials
2019-12-06,BAJFINANCE, EQ, 06-Dec-2019,3990.85,4010.0,4027.8,3927.4,3958.95,3951.65,3974.18,1171355,46551.7,61983,382380,32.64,Financials
2019-12-09,BAJFINANCE, EQ, 09-Dec-2019,3951.65,3969.6,3971.45,3880.25,3948.4,3944.85,3934.48,1268942,49926.25,80028,445735,35.13,Financials
2019-12-10,BAJFINANCE, EQ, 10-Dec-2019,3944.85,3950.0,3995.0,3945.5,3994.5,3986.85,3970.8,1159480,46040.61,66938,546746,47.15,Financials
2019-12-11,BAJFINANCE, EQ, 11-Dec-2019,3986.85,4001.5,4055.0,3984.05,4037.0,4036.8,4027.83,1365981,55019.37,86852,467782,34.25,Financials
2019-12-12,BAJFINANCE, EQ, 12-Dec-2019,4036.8,4050.0,4065.0,4010.05,4048.0,4057.15,4045.46,1087056,43976.44,71252,386157,35.52,Financials
2019-12-13,BAJFINANCE, EQ, 13-Dec-2019,4057.15,4070.0,4089.25,4041.1,4076.0,4071.95,4068.17,861656,35053.67,49698,261221,30.32,Financials
