Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BALRAMCHIN, EQ, 23-Aug-2019,125.3,124.8,124.8,118.7,121.35,121.05,120.99,1335387,1615.66,29326,696974,52.19
2019-10-01,BALRAMCHIN, EQ, 01-Oct-2019,154.45,156.75,161.0,154.1,159.4,159.65,157.8,2097866,3310.52,28361,1191202,56.78
2019-10-03,BALRAMCHIN, EQ, 03-Oct-2019,159.65,159.85,164.5,157.95,162.5,163.1,161.63,1987937,3213.03,21293,614506,30.91
2019-10-04,BALRAMCHIN, EQ, 04-Oct-2019,163.1,162.05,163.75,152.7,155.4,155.8,158.12,1428087,2258.03,43685,632813,44.31
2019-10-07,BALRAMCHIN, EQ, 07-Oct-2019,155.8,155.8,159.5,153.35,155.25,155.4,156.27,919602,1437.09,19480,400357,43.54
2019-10-09,BALRAMCHIN, EQ, 09-Oct-2019,155.4,155.55,156.9,151.3,154.85,154.2,154.26,627170,967.48,11379,272374,43.43
2019-10-10,BALRAMCHIN, EQ, 10-Oct-2019,154.2,153.75,155.55,150.4,151.4,151.8,152.41,620796,946.16,7180,205860,33.16
2019-10-11,BALRAMCHIN, EQ, 11-Oct-2019,151.8,152.0,155.0,150.0,150.6,151.3,152.01,629791,957.33,12183,202718,32.19
2019-10-14,BALRAMCHIN, EQ, 14-Oct-2019,151.3,152.05,157.9,152.0,153.85,154.35,155.56,970290,1509.34,11601,351177,36.19
2019-10-15,BALRAMCHIN, EQ, 15-Oct-2019,154.35,154.4,156.95,154.0,155.0,155.1,155.25,840535,1304.91,12923,445019,52.94
2019-10-16,BALRAMCHIN, EQ, 16-Oct-2019,155.1,155.5,156.45,150.0,150.15,150.6,151.92,651328,989.49,15162,311137,47.77
2019-10-17,BALRAMCHIN, EQ, 17-Oct-2019,150.6,150.0,152.7,147.35,148.25,148.55,149.54,851693,1273.63,12847,395838,46.48
