Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BANDHANBNK, EQ, 23-Aug-2019,458.45,461.0,462.85,454.55,460.0,459.85,459.27,546504,2509.95,18663,319739,58.51
2019-10-01,BANDHANBNK, EQ, 01-Oct-2019,491.9,495.5,495.5,465.5,472.3,470.35,474.01,728512,3453.22,51891,335479,46.05
2019-10-03,BANDHANBNK, EQ, 03-Oct-2019,470.35,471.0,491.2,464.6,479.6,478.5,479.26,475319,2278.03,27634,174612,36.74
2019-10-04,BANDHANBNK, EQ, 04-Oct-2019,478.5,480.0,490.0,480.0,485.25,484.35,484.88,422022,2046.3,26844,140258,33.23
2019-10-07,BANDHANBNK, EQ, 07-Oct-2019,484.35,488.0,488.0,469.05,478.75,479.55,478.47,299710,1434.01,24418,116552,38.89
2019-10-09,BANDHANBNK, EQ, 09-Oct-2019,479.55,482.1,484.4,471.15,480.0,480.55,477.93,403420,1928.06,39986,199235,49.39
2019-10-10,BANDHANBNK, EQ, 10-Oct-2019,480.55,482.0,511.0,477.0,509.0,506.65,503.0,2186326,10997.27,89500,1189175,54.39
2019-10-11,BANDHANBNK, EQ, 11-Oct-2019,506.65,536.1,607.95,536.1,581.15,583.5,580.35,10461345,60712.05,237504,4546981,43.46
2019-10-14,BANDHANBNK, EQ, 14-Oct-2019,583.5,579.0,579.7,556.3,565.3,568.7,565.52,4659162,26348.32,213690,2607590,55.97
2019-10-15,BANDHANBNK, EQ, 15-Oct-2019,568.7,570.2,638.0,570.2,629.0,623.7,616.82,59302088,365788.69,528745,36190494,61.03
2019-10-16,BANDHANBNK, EQ, 16-Oct-2019,623.7,603.0,603.0,577.5,582.95,583.6,589.89,6024521,35538.01,256390,3019778,50.12
2019-10-17,BANDHANBNK, EQ, 17-Oct-2019,583.6,576.7,577.0,560.2,568.0,568.5,568.58,1880827,10693.95,92757,1113353,59.19
2019-10-18,BANDHANBNK, EQ, 18-Oct-2019,568.5,568.0,568.0,548.0,552.95,554.7,556.02,2945367,16376.96,42857,2268333,77.01
2019-10-22,BANDHANBNK, EQ, 22-Oct-2019,554.7,554.0,580.45,553.8,555.0,559.35,566.0,2860120,16188.17,53818,1973052,68.98
2019-10-23,BANDHANBNK, EQ, 23-Oct-2019,559.35,560.0,565.0,551.7,555.9,555.7,557.12,871830,4857.13,17879,594209,68.16
2019-10-24,BANDHANBNK, EQ, 24-Oct-2019,555.7,561.0,585.8,559.5,570.6,570.55,571.81,3748392,21433.72,67777,1771484,47.26
2019-10-25,BANDHANBNK, EQ, 25-Oct-2019,570.55,577.05,599.0,577.05,593.2,594.85,591.06,2512565,14850.71,49836,1384358,55.1
2019-10-27,BANDHANBNK, EQ, 27-Oct-2019,594.85,599.5,604.7,578.7,590.0,592.15,597.04,214241,1279.09,6257,100764,47.03
2019-10-29,BANDHANBNK, EQ, 29-Oct-2019,592.15,596.8,650.0,592.0,626.0,624.25,622.15,3377753,21014.61,72467,1746217,51.7
2019-10-30,BANDHANBNK, EQ, 30-Oct-2019,624.25,614.9,623.75,594.0,613.4,614.25,615.45,5763829,35473.26,135081,4152136,72.04
2019-10-31,BANDHANBNK, EQ, 31-Oct-2019,614.25,619.95,626.9,602.0,613.2,612.3,615.31,2076831,12778.89,83483,1143038,55.04
2019-11-01,BANDHANBNK, EQ, 01-Nov-2019,612.3,616.95,618.9,594.2,597.6,599.0,606.76,1740679,10561.71,63204,968752,55.65
2019-11-04,BANDHANBNK, EQ, 04-Nov-2019,599.0,598.0,605.3,584.15,590.0,590.0,592.29,755659,4475.68,26641,359249,47.54
2019-11-05,BANDHANBNK, EQ, 05-Nov-2019,590.0,590.9,592.9,580.0,586.75,587.0,586.93,828572,4863.17,52601,516726,62.36
2019-11-06,BANDHANBNK, EQ, 06-Nov-2019,587.0,587.95,587.95,569.55,580.35,582.5,578.35,1558506,9013.61,60768,967487,62.08
2019-11-07,BANDHANBNK, EQ, 07-Nov-2019,582.5,589.7,589.7,565.4,569.2,568.6,574.4,1794482,10307.57,98074,1253648,69.86
2019-11-08,BANDHANBNK, EQ, 08-Nov-2019,568.6,568.0,574.25,548.5,550.55,550.8,556.96,1979356,11024.13,161905,1301193,65.74
2019-11-11,BANDHANBNK, EQ, 11-Nov-2019,550.8,551.95,564.8,534.05,549.9,549.85,549.04,2396741,13159.12,67090,1616148,67.43
2019-11-13,BANDHANBNK, EQ, 13-Nov-2019,549.85,552.25,574.7,552.25,564.65,563.95,565.16,3157399,17844.5,62516,2145412,67.95
2019-11-14,BANDHANBNK, EQ, 14-Nov-2019,563.95,565.3,576.7,552.05,556.5,557.55,559.82,1883718,10545.42,51425,1194008,63.39
