Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BANKBARODA, EQ, 23-Aug-2019,90.65,90.75,94.6,89.9,93.5,93.5,92.77,26850219,24910.16,75633,3895110,14.51
2019-10-01,BANKBARODA, EQ, 01-Oct-2019,93.05,94.0,94.8,85.65,92.6,91.3,91.14,37248976,33949.0,89573,4197989,11.27
2019-10-03,BANKBARODA, EQ, 03-Oct-2019,91.3,90.75,93.1,89.4,90.9,90.9,91.33,32868099,30017.05,78416,4584591,13.95
2019-10-04,BANKBARODA, EQ, 04-Oct-2019,90.9,92.0,92.45,88.0,88.15,88.6,90.41,26723333,24161.36,84440,3078520,11.52
2019-10-07,BANKBARODA, EQ, 07-Oct-2019,88.6,88.25,89.65,85.75,86.85,87.25,87.07,32910801,28655.63,74382,3917477,11.9
2019-10-09,BANKBARODA, EQ, 09-Oct-2019,87.25,86.2,91.6,86.0,91.1,91.05,89.06,29668675,26422.37,81565,3156842,10.64
2019-10-10,BANKBARODA, EQ, 10-Oct-2019,91.05,89.9,89.9,87.25,87.75,87.8,88.21,23558861,20780.66,63980,1860855,7.9
2019-10-11,BANKBARODA, EQ, 11-Oct-2019,87.8,88.45,91.2,86.3,90.8,90.85,88.95,36434582,32406.82,93415,4081438,11.2
2019-10-14,BANKBARODA, EQ, 14-Oct-2019,90.85,88.0,91.0,87.25,87.95,88.3,89.33,32891475,29383.29,84802,3070785,9.34
2019-10-15,BANKBARODA, EQ, 15-Oct-2019,88.3,88.25,88.75,86.8,87.9,88.0,87.99,25324047,22283.8,65283,2820412,11.14
2019-10-16,BANKBARODA, EQ, 16-Oct-2019,88.0,88.25,89.85,87.0,87.2,87.3,88.28,21601532,19070.26,59645,3010559,13.94
2019-10-17,BANKBARODA, EQ, 17-Oct-2019,87.3,87.3,89.45,86.3,88.9,89.0,87.93,33807958,29728.12,102478,8935746,26.43
2019-10-18,BANKBARODA, EQ, 18-Oct-2019,89.0,88.9,90.85,88.15,89.55,89.8,89.92,26210863,23568.94,73734,4229940,16.14
2019-10-22,BANKBARODA, EQ, 22-Oct-2019,89.8,89.5,92.6,89.05,90.15,90.15,90.91,24388459,22170.51,67482,2642106,10.83
2019-10-23,BANKBARODA, EQ, 23-Oct-2019,90.15,90.1,92.95,89.5,92.7,92.45,91.56,22808547,20884.61,58910,2637824,11.57
2019-10-24,BANKBARODA, EQ, 24-Oct-2019,92.45,92.7,93.6,87.95,89.9,89.9,91.36,26248072,23979.04,82133,3115234,11.87
2019-10-25,BANKBARODA, EQ, 25-Oct-2019,89.9,90.0,92.15,88.7,91.5,91.55,90.38,31767476,28711.78,64884,4921761,15.49
2019-10-27,BANKBARODA, EQ, 27-Oct-2019,91.55,92.0,92.45,91.3,91.4,91.6,91.82,2519207,2313.08,10379,785906,31.2
2019-10-29,BANKBARODA, EQ, 29-Oct-2019,91.6,90.1,93.6,90.1,93.15,93.05,92.46,19787731,18296.14,51078,2478504,12.53
2019-10-30,BANKBARODA, EQ, 30-Oct-2019,93.05,93.4,97.1,92.8,95.75,95.55,95.2,31568294,30054.21,83607,5722005,18.13
2019-10-31,BANKBARODA, EQ, 31-Oct-2019,95.55,96.25,99.0,95.65,97.3,97.2,97.21,43288594,42082.91,114100,7844703,18.12
2019-11-01,BANKBARODA, EQ, 01-Nov-2019,97.2,97.5,100.95,96.9,99.9,100.0,99.78,39869804,39783.12,99682,5949636,14.92
2019-11-04,BANKBARODA, EQ, 04-Nov-2019,100.0,100.45,103.75,100.35,102.1,101.95,102.23,33014625,33750.8,80631,4501205,13.63
2019-11-05,BANKBARODA, EQ, 05-Nov-2019,101.95,102.15,103.95,101.3,101.7,101.9,102.59,32355920,33195.31,81103,5707024,17.64
2019-11-06,BANKBARODA, EQ, 06-Nov-2019,101.9,101.7,101.9,98.75,99.05,99.45,100.17,30831213,30883.84,71433,3473594,11.27
2019-11-07,BANKBARODA, EQ, 07-Nov-2019,99.45,99.9,100.65,95.65,96.4,96.2,97.8,34005915,33259.24,78282,6793427,19.98
2019-11-08,BANKBARODA, EQ, 08-Nov-2019,96.2,95.7,97.15,93.35,93.9,93.8,95.23,36265152,34533.79,89956,4987151,13.75
2019-11-11,BANKBARODA, EQ, 11-Nov-2019,93.8,94.0,98.9,94.0,96.75,96.5,96.85,42257119,40927.89,105184,4864984,11.51
2019-11-13,BANKBARODA, EQ, 13-Nov-2019,96.5,97.0,97.35,93.0,93.45,93.35,95.35,23333054,22249.08,59922,2588186,11.09
2019-11-14,BANKBARODA, EQ, 14-Nov-2019,93.35,93.5,94.0,90.65,93.05,93.3,92.65,29659716,27479.21,75096,3134730,10.57
2019-11-15,BANKBARODA, EQ, 15-Nov-2019,93.3,93.65,96.55,93.65,94.3,94.3,95.11,34167904,32497.35,80096,3018363,8.83
2019-11-18,BANKBARODA, EQ, 18-Nov-2019,94.3,94.9,96.2,94.3,96.0,95.9,95.35,20091100,19156.25,51999,3072747,15.29
2019-11-19,BANKBARODA, EQ, 19-Nov-2019,95.9,96.0,99.55,95.8,99.4,99.0,97.72,34458756,33671.87,85730, 5118744, 14.85
2019-11-20,BANKBARODA, EQ, 20-Nov-2019,99.0,100.0,101.35,98.05,98.45,98.9,99.54,34325824,34168.56,81229, 3931166, 11.45
2019-11-21,BANKBARODA, EQ, 21-Nov-2019,98.9,99.35,100.5,98.35,98.6,98.6,99.38,23420705,23276.2,60343,3549729,15.16
2019-11-22,BANKBARODA, EQ, 22-Nov-2019,98.6,99.0,99.8,98.4,99.1,99.1,98.97,19122025,18925.92,51119,1864782,9.75
2019-11-25,BANKBARODA, EQ, 25-Nov-2019,99.1,99.1,100.9,98.9,100.7,100.55,99.89,17679743,17660.67,51331,2875686,16.27
2019-11-26,BANKBARODA, EQ, 26-Nov-2019,100.55,100.95,103.15,99.1,100.1,99.9,101.48,32085550,32560.21,81841, 3521698, 10.98
2019-11-27,BANKBARODA, EQ, 27-Nov-2019,99.9,100.3,102.7,99.4,102.35,102.15,100.76,21675598,21839.39,57148,3366764,15.53
2019-11-28,BANKBARODA, EQ, 28-Nov-2019,102.15,102.85,106.8,102.6,106.55,106.4,104.91,46186176,48453.52,129018,7112533,15.4
2019-11-29,BANKBARODA, EQ, 29-Nov-2019,106.4,106.95,108.25,104.5,104.7,104.9,106.45,36061330,38385.6,92980,4644815,12.88
2019-12-02,BANKBARODA, EQ, 02-Dec-2019,104.9,105.0,106.15,104.05,104.4,104.4,104.73,17206241,18019.72,40417, 1824482, 10.60
2019-12-03,BANKBARODA, EQ, 03-Dec-2019,104.4,104.4,105.0,100.55,100.95,101.1,102.06,23193098,23671.84,51585,2487490,10.73
2019-12-04,BANKBARODA, EQ, 04-Dec-2019,101.1,101.0,104.0,100.05,103.9,103.75,102.58,25535652,26193.55,62457,2084835,8.16
2019-12-05,BANKBARODA, EQ, 05-Dec-2019,103.75,104.85,105.65,101.65,102.15,102.25,103.75,30318270,31454.06,83229,3144310,10.37
2019-12-06,BANKBARODA, EQ, 06-Dec-2019,102.25,103.3,103.65,96.2,96.55,97.05,99.2,38792538,38480.75,106066,5902245,15.21
2019-12-09,BANKBARODA, EQ, 09-Dec-2019,97.05,97.05,98.4,95.5,96.9,96.95,97.19,32714343,31794.12,74720,2477539,7.57
2019-12-10,BANKBARODA, EQ, 10-Dec-2019,96.95,97.75,98.05,95.2,95.7,95.6,96.88,26343866,25521.72,61890,2151085,8.17
2019-12-11,BANKBARODA, EQ, 11-Dec-2019,95.6,95.75,96.5,94.2,96.0,95.7,95.44,18308976,17474.48,45867,1472252,8.04
2019-12-12,BANKBARODA, EQ, 12-Dec-2019,95.7,96.3,98.3,95.75,97.5,97.9,96.93,18708706,18133.77,47502,3297730,17.63
2019-12-13,BANKBARODA, EQ, 13-Dec-2019,97.9,98.45,102.15,98.2,101.95,101.75,100.77,34076279,34337.67,81322,5090393,14.94
2019-12-16,BANKBARODA, EQ, 16-Dec-2019,101.75,102.2,102.2,100.35,100.95,101.0,101.15,18058824,18266.01,41560,1564876,8.67
