Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BATAINDIA, EQ, 23-Aug-2019,1457.15,1456.2,1486.0,1435.6,1482.0,1481.6,1468.12,640851,9408.46,34792,150514,23.49,Others
2019-10-01,BATAINDIA, EQ, 01-Oct-2019,1722.2,1724.85,1754.0,1723.0,1736.0,1736.95,1740.03,665366,11577.56,28018,155231,23.33,Others
2019-10-03,BATAINDIA, EQ, 03-Oct-2019,1736.95,1719.55,1738.55,1676.0,1686.2,1688.0,1703.03,538283,9167.13,26452,79162,14.71,Others
2019-10-04,BATAINDIA, EQ, 04-Oct-2019,1688.0,1699.85,1700.0,1668.0,1675.0,1673.0,1683.5,426642,7182.51,25293,68175,15.98,Others
2019-10-07,BATAINDIA, EQ, 07-Oct-2019,1673.0,1674.0,1699.4,1652.55,1694.15,1681.75,1680.14,633304,10640.39,30151,198814,31.39,Others
2019-10-09,BATAINDIA, EQ, 09-Oct-2019,1681.75,1680.0,1735.0,1660.5,1719.7,1723.5,1699.61,816170,13871.75,37900,238646,29.24,Others
2019-10-10,BATAINDIA, EQ, 10-Oct-2019,1723.5,1717.0,1748.0,1691.0,1700.0,1701.65,1718.03,895098,15378.08,31688,215615,24.09,Others
2019-10-11,BATAINDIA, EQ, 11-Oct-2019,1701.65,1712.3,1727.65,1700.0,1709.45,1709.45,1713.26,568615,9741.83,21804,133350,23.45,Others
2019-10-14,BATAINDIA, EQ, 14-Oct-2019,1709.45,1713.55,1737.8,1709.45,1730.0,1730.85,1724.3,313885,5412.33,12329,102660,32.71,Others
2019-10-15,BATAINDIA, EQ, 15-Oct-2019,1730.85,1730.0,1735.0,1708.1,1717.1,1717.1,1718.92,409419,7037.57,32378,142111,34.71,Others
2019-10-16,BATAINDIA, EQ, 16-Oct-2019,1717.1,1717.6,1720.95,1694.0,1700.3,1700.5,1702.57,463115,7884.85,26343,191094,41.26,Others
2019-10-17,BATAINDIA, EQ, 17-Oct-2019,1700.5,1700.0,1750.8,1688.05,1744.0,1746.85,1728.26,752572,13006.43,35922,265679,35.3,Others
2019-10-18,BATAINDIA, EQ, 18-Oct-2019,1746.85,1740.0,1780.0,1736.15,1764.15,1769.1,1763.4,898576,15845.46,35624,208794,23.24,Others
2019-10-22,BATAINDIA, EQ, 22-Oct-2019,1769.1,1773.75,1804.95,1742.15,1767.5,1767.85,1778.56,767897,13657.52,25969,212671,27.7,Others
