Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BEL, EQ, 23-Aug-2019,93.3,93.8,100.95,92.8,100.15,99.9,97.67,17316377,16913.73,64228,4808576,27.77
2019-10-01,BEL, EQ, 01-Oct-2019,108.3,108.6,111.2,105.65,106.6,107.15,108.45,10149956,11007.13,63161,2270940,22.37
2019-10-03,BEL, EQ, 03-Oct-2019,107.15,106.2,107.2,104.3,105.3,105.4,105.77,6971659,7373.83,23407,1341940,19.25
2019-10-04,BEL, EQ, 04-Oct-2019,105.4,106.0,107.5,104.25,105.1,104.95,105.94,8720254,9238.04,37387,2230599,25.58
2019-10-07,BEL, EQ, 07-Oct-2019,104.95,105.1,106.25,103.5,104.2,104.35,104.67,6213977,6504.34,28206,1863268,29.99
2019-10-09,BEL, EQ, 09-Oct-2019,104.35,105.0,106.65,104.05,105.1,105.4,105.16,6724764,7071.75,31830,1689270,25.12
2019-10-10,BEL, EQ, 10-Oct-2019,105.4,105.1,106.45,103.9,105.5,105.65,105.36,4572778,4817.88,20126,1006224,22.0
2019-10-11,BEL, EQ, 11-Oct-2019,105.65,105.7,106.4,104.0,105.15,105.05,105.18,6218063,6540.16,24091,2204588,35.45
2019-10-14,BEL, EQ, 14-Oct-2019,105.05,105.6,110.15,105.5,109.2,108.95,108.82,11093633,12071.61,70757,3994518,36.01
2019-10-15,BEL, EQ, 15-Oct-2019,108.95,109.95,111.15,108.15,111.1,110.5,109.75,8543399,9376.62,62999,3450989,40.39
2019-10-16,BEL, EQ, 16-Oct-2019,110.5,111.0,112.6,110.15,112.15,111.95,111.52,10490110,11698.11,60813,4113592,39.21
2019-10-17,BEL, EQ, 17-Oct-2019,111.95,111.95,113.5,111.65,112.95,113.2,112.65,8183449,9218.91,38817,3564990,43.56
2019-10-18,BEL, EQ, 18-Oct-2019,113.2,112.95,121.0,112.9,116.65,116.55,117.3,25981224,30476.44,96120,9585134,36.89
2019-10-22,BEL, EQ, 22-Oct-2019,116.55,116.8,118.05,114.65,114.9,115.35,116.25,9520425,11067.58,36842,3624286,38.07
2019-10-23,BEL, EQ, 23-Oct-2019,115.35,115.35,116.55,113.3,113.9,113.95,114.47,10947625,12531.49,42510,5472817,49.99
