Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BERGEPAINT, EQ, 23-Aug-2019,361.85,361.85,365.5,358.6,363.5,363.6,362.09,968202,3505.76,15062,442518,45.71
2019-10-01,BERGEPAINT, EQ, 01-Oct-2019,434.8,435.6,441.0,426.9,430.7,433.45,433.61,2319020,10055.57,93813,1154860,49.8
2019-10-03,BERGEPAINT, EQ, 03-Oct-2019,433.45,432.05,432.9,423.3,428.0,428.05,426.68,1354552,5779.65,80996,699304,51.63
2019-10-04,BERGEPAINT, EQ, 04-Oct-2019,428.05,428.5,436.35,423.0,425.3,424.75,429.69,1546166,6643.71,65287,790131,51.1
2019-10-07,BERGEPAINT, EQ, 07-Oct-2019,424.75,424.0,438.25,422.15,435.25,435.35,432.88,2482283,10745.39,75417,916222,36.91
2019-10-09,BERGEPAINT, EQ, 09-Oct-2019,435.35,436.5,451.9,432.05,450.0,449.9,444.08,3846974,17083.71,109277,1222370,31.77
2019-10-10,BERGEPAINT, EQ, 10-Oct-2019,449.9,450.8,476.45,447.05,466.9,469.35,459.5,4118801,18926.05,102675,1025228,24.89
2019-10-11,BERGEPAINT, EQ, 11-Oct-2019,469.35,469.85,484.8,462.55,480.0,478.0,476.46,4296186,20469.44,96592,1115325,25.96
2019-10-14,BERGEPAINT, EQ, 14-Oct-2019,478.0,478.5,488.4,475.0,480.0,477.1,481.95,2375121,11446.98,83622,583567,24.57
2019-10-15,BERGEPAINT, EQ, 15-Oct-2019,477.1,480.0,484.8,475.45,480.0,478.25,479.87,1856109,8906.88,73037,597851,32.21
2019-10-16,BERGEPAINT, EQ, 16-Oct-2019,478.25,480.65,482.0,467.8,469.45,470.65,475.9,2068941,9846.1,50364,664587,32.12
2019-10-17,BERGEPAINT, EQ, 17-Oct-2019,470.65,472.0,490.95,470.5,488.0,486.5,479.89,3280804,15744.28,68293,1105403,33.69
2019-10-18,BERGEPAINT, EQ, 18-Oct-2019,486.5,488.0,506.0,487.3,505.15,499.05,494.66,2623650,12978.06,55797,640049,24.4
2019-10-22,BERGEPAINT, EQ, 22-Oct-2019,499.05,503.0,504.8,477.0,479.5,479.1,487.88,2792726,13625.09,76031,1408920,50.45
2019-10-23,BERGEPAINT, EQ, 23-Oct-2019,479.1,476.6,491.9,475.0,487.75,488.35,486.62,2667106,12978.67,67870,1003597,37.63
2019-10-24,BERGEPAINT, EQ, 24-Oct-2019,488.35,491.35,494.6,486.25,487.15,489.2,490.09,1851820,9075.66,51277,745513,40.26
2019-10-25,BERGEPAINT, EQ, 25-Oct-2019,489.2,489.95,501.95,486.4,491.8,492.1,493.81,2557982,12631.63,46480,1131320,44.23
2019-10-27,BERGEPAINT, EQ, 27-Oct-2019,492.1,497.0,498.0,486.4,488.0,489.75,490.67,213432,1047.25,4740,83097,38.93
2019-10-29,BERGEPAINT, EQ, 29-Oct-2019,489.75,491.5,501.5,486.1,499.65,499.1,495.34,1447753,7171.28,45797,499016,34.47
2019-10-30,BERGEPAINT, EQ, 30-Oct-2019,499.1,501.0,502.9,495.55,499.5,498.0,498.91,1388372,6926.67,23577,540519,38.93
