Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BHARATFORG, EQ, 23-Aug-2019,383.8,382.45,395.8,379.6,390.75,390.7,387.71,1299982,5040.14,22273,468872,36.07,Auto Ancillary
2019-10-01,BHARATFORG, EQ, 01-Oct-2019,446.35,449.15,456.05,438.2,444.25,444.85,448.79,1637370,7348.35,39263,531143,32.44,Auto Ancillary
2019-10-03,BHARATFORG, EQ, 03-Oct-2019,444.85,443.55,452.25,435.75,442.0,441.25,443.54,1433241,6357.01,31913,529523,36.95,Auto Ancillary
2019-10-04,BHARATFORG, EQ, 04-Oct-2019,441.25,442.5,449.8,421.3,422.0,425.25,436.84,1715848,7495.55,51095,646028,37.65,Auto Ancillary
2019-10-07,BHARATFORG, EQ, 07-Oct-2019,425.25,424.0,429.4,417.0,425.0,425.25,424.63,697196,2960.48,21500,244617,35.09,Auto Ancillary
2019-10-09,BHARATFORG, EQ, 09-Oct-2019,425.25,425.0,438.35,419.1,431.8,432.3,429.03,921692,3954.34,17613,271603,29.47,Auto Ancillary
2019-10-10,BHARATFORG, EQ, 10-Oct-2019,432.3,430.65,433.3,422.1,423.3,423.9,426.36,624592,2663.04,16852,249320,39.92,Auto Ancillary
2019-10-11,BHARATFORG, EQ, 11-Oct-2019,423.9,420.2,426.0,413.2,418.25,418.15,417.89,1441510,6023.92,28101,528600,36.67,Auto Ancillary
2019-10-14,BHARATFORG, EQ, 14-Oct-2019,418.15,416.0,436.0,414.6,429.2,430.35,430.45,960679,4135.25,14563,155344,16.17,Auto Ancillary
2019-10-15,BHARATFORG, EQ, 15-Oct-2019,430.35,432.45,437.35,425.45,425.6,428.4,430.77,1279522,5511.82,16930,200172,15.64,Auto Ancillary
2019-10-16,BHARATFORG, EQ, 16-Oct-2019,428.4,428.85,441.0,428.5,437.15,437.4,436.4,1060884,4629.72,18108,215596,20.32,Auto Ancillary
