Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BHARTIARTL, EQ, 23-Aug-2019,352.75,354.0,358.95,350.5,355.95,356.4,355.35,4590240,16311.23,73865,2432559,52.99
2019-10-01,BHARTIARTL, EQ, 01-Oct-2019,367.05,370.0,370.65,346.85,352.0,350.95,356.45,7208995,25696.26,88351,1897301,26.32
2019-10-03,BHARTIARTL, EQ, 03-Oct-2019,350.95,350.95,355.6,341.3,346.5,344.9,348.71,4944826,17242.87,71947,1562219,31.59
2019-10-04,BHARTIARTL, EQ, 04-Oct-2019,344.9,348.3,348.7,334.25,338.85,339.5,340.42,4705661,16018.81,91542,1812445,38.52
2019-10-07,BHARTIARTL, EQ, 07-Oct-2019,339.5,338.0,346.75,337.1,341.6,341.55,343.03,3500384,12007.51,53795,580841,16.59
2019-10-09,BHARTIARTL, EQ, 09-Oct-2019,341.55,343.1,360.85,339.0,359.4,359.4,354.01,8685318,30747.11,83977,2537605,29.22
2019-10-10,BHARTIARTL, EQ, 10-Oct-2019,359.4,362.9,385.0,362.0,375.05,377.25,376.25,47660614,179323.5,422520,24993447,52.44
2019-10-11,BHARTIARTL, EQ, 11-Oct-2019,377.25,374.95,385.35,372.6,384.45,382.9,378.67,10908530,41307.45,116345,3474734,31.85
2019-10-14,BHARTIARTL, EQ, 14-Oct-2019,382.9,384.45,397.0,380.25,392.95,393.55,390.64,10729180,41912.03,108851,3338973,31.12
2019-10-15,BHARTIARTL, EQ, 15-Oct-2019,393.55,390.0,391.95,381.55,382.4,383.65,385.68,8585170,33111.19,80720,3167721,36.9
2019-10-16,BHARTIARTL, EQ, 16-Oct-2019,383.65,381.1,386.8,377.35,385.0,385.25,384.24,8912567,34245.27,140584,4316565,48.43
2019-10-17,BHARTIARTL, EQ, 17-Oct-2019,385.25,385.0,387.5,379.05,384.95,385.85,383.67,4787789,18369.43,66315,1977345,41.3
2019-10-18,BHARTIARTL, EQ, 18-Oct-2019,385.85,384.95,386.4,380.5,383.3,383.5,383.24,3979009,15249.1,47678,1751416,44.02
2019-10-22,BHARTIARTL, EQ, 22-Oct-2019,383.5,381.8,396.5,367.2,372.65,374.1,385.63,11357444,43797.83,146478,5294730,46.62
2019-10-23,BHARTIARTL, EQ, 23-Oct-2019,374.1,373.5,378.0,355.0,360.4,360.35,364.08,13337712,48559.75,123290,4673816,35.04
2019-10-24,BHARTIARTL, EQ, 24-Oct-2019,360.35,353.95,376.35,325.5,371.0,372.35,350.57,72697775,254855.6,511839,22123919,30.43
2019-10-25,BHARTIARTL, EQ, 25-Oct-2019,372.35,369.9,378.4,362.6,372.25,375.15,369.89,27754837,102661.99,211920,11448260,41.25
2019-10-27,BHARTIARTL, EQ, 27-Oct-2019,375.15,372.0,375.5,365.6,372.5,373.1,370.79,1995673,7399.83,16824,143546,7.19
2019-10-29,BHARTIARTL, EQ, 29-Oct-2019,373.1,363.0,365.65,353.1,360.8,359.9,359.78,36231891,130354.91,250129,17421538,48.08
2019-10-30,BHARTIARTL, EQ, 30-Oct-2019,359.9,364.3,371.35,360.65,367.55,367.95,367.32,16869202,61964.14,151095,7194119,42.65
2019-10-31,BHARTIARTL, EQ, 31-Oct-2019,367.95,366.7,376.8,363.75,373.4,374.25,370.28,12794123,47374.11,146440,6376791,49.84
2019-11-01,BHARTIARTL, EQ, 01-Nov-2019,374.25,363.35,376.4,363.35,373.4,373.05,371.44,13682012,50821.1,86732,7334037,53.6
2019-11-04,BHARTIARTL, EQ, 04-Nov-2019,373.05,378.25,381.7,374.0,377.35,378.0,378.31,7620719,28830.2,72747,3749882,49.21
2019-11-05,BHARTIARTL, EQ, 05-Nov-2019,378.0,377.0,385.5,374.55,385.0,383.95,381.36,6641731,25329.1,80001,3014755,45.39
2019-11-06,BHARTIARTL, EQ, 06-Nov-2019,383.95,385.0,385.4,370.25,370.75,371.45,375.26,8181919,30703.81,102652,3969762,48.52
2019-11-07,BHARTIARTL, EQ, 07-Nov-2019,371.45,374.8,375.5,369.05,372.6,371.75,372.3,4816149,17930.75,60144,2192580,45.53
2019-11-08,BHARTIARTL, EQ, 08-Nov-2019,371.75,370.0,375.85,366.6,368.4,369.15,370.37,5982102,22156.12,50951,2826260,47.25
2019-11-11,BHARTIARTL, EQ, 11-Nov-2019,369.15,371.25,373.95,368.25,371.7,371.5,371.18,2774571,10298.76,33936,914505,32.96
2019-11-13,BHARTIARTL, EQ, 13-Nov-2019,371.5,372.1,373.4,366.15,366.15,368.6,369.49,6424227,23736.86,59572,4255455,66.24
2019-11-14,BHARTIARTL, EQ, 14-Nov-2019,368.6,357.9,367.1,350.3,365.6,362.5,358.32,21091587,75574.78,234261,9521820,45.15
2019-11-15,BHARTIARTL, EQ, 15-Nov-2019,362.5,357.85,398.5,357.25,396.0,393.05,384.9,55174490,212367.61,431042,10115442,18.33
2019-11-18,BHARTIARTL, EQ, 18-Nov-2019,393.05,396.0,420.55,392.1,411.2,409.2,409.8,42661408,174828.16,340162,7809498,18.31
2019-11-19,BHARTIARTL, EQ, 19-Nov-2019,409.2,426.9,445.65,421.45,444.65,439.35,431.74,62786851,271076.64,499382, 23085997, 36.77
2019-11-20,BHARTIARTL, EQ, 20-Nov-2019,439.35,448.3,452.95,433.1,437.4,437.3,444.16,55644344,247150.08,336654, 21010650, 37.76
2019-11-21,BHARTIARTL, EQ, 21-Nov-2019,437.3,442.5,442.5,422.2,426.85,426.3,428.02,22178883,94929.25,174349,7425728,33.48
2019-11-22,BHARTIARTL, EQ, 22-Nov-2019,426.3,423.0,429.95,417.0,418.35,420.65,422.84,16775621,70933.73,129774,4880604,29.09
2019-11-25,BHARTIARTL, EQ, 25-Nov-2019,420.65,421.35,455.65,421.35,454.85,451.4,442.17,33483563,148055.59,232992,9252878,27.63
2019-11-26,BHARTIARTL, EQ, 26-Nov-2019,451.4,445.0,447.0,429.9,433.2,432.35,435.86,23466171,102280.53,212454, 11477863, 48.91
2019-11-27,BHARTIARTL, EQ, 27-Nov-2019,432.35,433.5,437.0,426.4,435.55,433.35,431.4,13336531,57533.98,97343,4742292,35.56
2019-11-28,BHARTIARTL, EQ, 28-Nov-2019,433.35,433.35,443.9,428.5,439.7,436.65,435.71,21940833,95598.73,171624,7018791,31.99
2019-11-29,BHARTIARTL, EQ, 29-Nov-2019,436.65,439.6,449.65,435.15,441.55,442.45,443.78,20010753,88803.58,225731,6197972,30.97
2019-12-02,BHARTIARTL, EQ, 02-Dec-2019,442.45,471.15,485.6,455.05,460.7,458.6,470.8,55735805,262403.42,412018, 22791403, 40.89
2019-12-03,BHARTIARTL, EQ, 03-Dec-2019,458.6,462.8,465.05,445.25,460.85,459.1,454.58,23871561,108515.4,199272,5695228,23.86
2019-12-04,BHARTIARTL, EQ, 04-Dec-2019,459.1,460.85,464.8,454.7,460.8,461.4,460.21,16541195,76124.88,165487,5932359,35.86
2019-12-05,BHARTIARTL, EQ, 05-Dec-2019,461.4,463.3,463.6,445.35,449.15,447.35,451.19,17317332,78134.53,159675,5003771,28.89
2019-12-06,BHARTIARTL, EQ, 06-Dec-2019,447.35,451.9,452.4,442.85,442.95,444.85,447.18,11415172,51046.59,103951,3247080,28.45
2019-12-09,BHARTIARTL, EQ, 09-Dec-2019,444.85,447.6,451.6,441.7,445.45,445.85,446.7,7865300,35134.45,77331,2186480,27.8
2019-12-10,BHARTIARTL, EQ, 10-Dec-2019,445.85,445.45,451.0,443.25,449.65,447.0,447.61,7140031,31959.69,85032,1586891,22.23
2019-12-11,BHARTIARTL, EQ, 11-Dec-2019,447.0,444.5,449.05,440.6,441.35,442.75,444.42,6803615,30236.51,100306,3215920,47.27
2019-12-12,BHARTIARTL, EQ, 12-Dec-2019,442.75,442.9,443.85,436.5,438.0,438.65,440.54,7389050,32551.51,86589,3615935,48.94
2019-12-13,BHARTIARTL, EQ, 13-Dec-2019,438.65,440.0,440.7,426.0,430.0,427.8,430.67,13074677,56308.35,103192,6612870,50.58
2019-12-16,BHARTIARTL, EQ, 16-Dec-2019,427.8,430.4,431.05,420.45,421.0,421.85,425.05,6962613,29594.87,74144,3126485,44.9
2019-12-17,BHARTIARTL, EQ, 17-Dec-2019,421.85,424.75,441.5,417.6,441.0,439.95,428.39,22991811,98493.8,157276,10761468,46.81
2019-12-18,BHARTIARTL, EQ, 18-Dec-2019,439.95,447.0,447.1,434.15,437.7,438.3,438.27,17654537,77374.88,166740,7973591,45.16
2019-12-19,BHARTIARTL, EQ, 19-Dec-2019,438.3,436.0,456.8,430.25,450.3,449.45,441.91,13974432,61754.86,116150,4702388,33.65
2019-12-20,BHARTIARTL, EQ, 20-Dec-2019,449.45,449.9,460.4,445.7,452.9,453.8,453.87,21289419,96625.34,152762,7651006,35.94
2019-12-23,BHARTIARTL, EQ, 23-Dec-2019,453.8,449.05,459.15,446.45,454.5,454.8,452.33,10434970,47200.83,74419,2997006,28.72
2019-12-24,BHARTIARTL, EQ, 24-Dec-2019,454.8,454.5,460.0,452.4,456.5,457.15,456.75,6845488,31266.77,67891,1132577,16.54
2019-12-26,BHARTIARTL, EQ, 26-Dec-2019,457.15,455.3,456.5,446.0,448.05,447.55,450.94,5887041,26546.94,66735,1461689,24.83
2019-12-27,BHARTIARTL, EQ, 27-Dec-2019,447.55,449.0,457.05,449.0,456.2,455.1,453.12,5887082,26675.34,62590,1725960,29.32
2019-12-30,BHARTIARTL, EQ, 30-Dec-2019,455.1,460.0,464.7,455.1,459.6,460.5,460.6,11917988,54894.5,121989,3317499,27.84
2019-12-31,BHARTIARTL, EQ, 31-Dec-2019,460.5,460.0,462.5,454.5,456.0,455.8,459.22,5116528,23496.2,52921,969761,18.95
2020-01-01,BHARTIARTL, EQ, 01-Jan-2020,455.8,456.05,460.5,449.75,453.7,453.3,454.52,5059995,22998.87,67334,1123980,22.21
2020-01-02,BHARTIARTL, EQ, 02-Jan-2020,453.3,454.1,459.4,453.5,455.3,455.2,455.54,4842142,22057.87,78890,1761330,36.38
2020-01-03,BHARTIARTL, EQ, 03-Jan-2020,455.2,455.7,459.2,451.5,457.15,455.1,454.8,5059594,23010.88,97228,1968386,38.9
2020-01-06,BHARTIARTL, EQ, 06-Jan-2020,455.1,453.9,457.45,444.65,448.5,449.65,449.9,7399981,33292.61,73742,3006323,40.63
2020-01-07,BHARTIARTL, EQ, 07-Jan-2020,449.65,452.0,455.3,443.1,445.05,445.1,448.34,4273646,19160.57,52718,1127213,26.38
2020-01-08,BHARTIARTL, EQ, 08-Jan-2020,445.1,442.6,460.75,440.35,458.9,458.85,450.78,13858623,62472.54,126722,4104144,29.61
