Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,BIOCON, EQ, 23-Aug-2019,221.9,222.0,225.2,215.05,224.2,224.15,220.71,4049142,8937.0,42725,1133736,28.0
2019-10-01,BIOCON, EQ, 01-Oct-2019,222.95,223.0,229.0,220.6,222.85,222.15,225.08,5199099,11702.17,68130,1978951,38.06
2019-10-03,BIOCON, EQ, 03-Oct-2019,222.15,222.5,233.0,221.45,232.05,232.2,229.21,4420153,10131.59,44593,1371098,31.02
2019-10-04,BIOCON, EQ, 04-Oct-2019,232.2,233.3,235.95,230.25,230.9,231.1,233.41,3920558,9150.86,46019,1175656,29.99
2019-10-07,BIOCON, EQ, 07-Oct-2019,231.1,232.55,233.6,226.35,227.8,228.6,229.6,2548046,5850.4,29890,445930,17.5
2019-10-09,BIOCON, EQ, 09-Oct-2019,228.6,229.0,234.8,223.75,234.5,233.5,230.38,3434478,7912.43,44879,963045,28.04
2019-10-10,BIOCON, EQ, 10-Oct-2019,233.5,233.0,243.2,233.0,239.8,240.15,239.65,5293267,12685.4,48199,991928,18.74
2019-10-11,BIOCON, EQ, 11-Oct-2019,240.15,241.75,250.4,239.25,246.5,247.6,245.07,9019033,22103.16,71036,2885571,31.99
2019-10-14,BIOCON, EQ, 14-Oct-2019,247.6,248.0,254.5,245.0,253.25,253.35,249.85,3897859,9738.8,45438,1154193,29.61
2019-10-15,BIOCON, EQ, 15-Oct-2019,253.35,252.2,262.6,251.25,260.5,260.3,256.71,6484566,16646.51,65589,2519944,38.86
2019-10-16,BIOCON, EQ, 16-Oct-2019,260.3,261.95,261.95,254.5,259.05,259.95,258.36,3208876,8290.53,36981,726312,22.63
2019-10-17,BIOCON, EQ, 17-Oct-2019,259.95,257.6,258.85,255.0,257.3,258.05,256.71,2271152,5830.33,22087,499127,21.98
2019-10-18,BIOCON, EQ, 18-Oct-2019,258.05,258.0,262.85,255.9,259.25,259.45,259.47,2197794,5702.64,17918,434033,19.75
2019-10-22,BIOCON, EQ, 22-Oct-2019,259.45,257.5,261.35,256.05,256.05,256.95,258.41,2416440,6244.23,27392,843352,34.9
2019-10-23,BIOCON, EQ, 23-Oct-2019,256.95,256.85,258.9,253.55,257.95,258.3,256.63,2577640,6615.06,18660,272118,10.56
2019-10-24,BIOCON, EQ, 24-Oct-2019,258.3,249.6,250.9,241.2,245.0,245.05,245.6,8606912,21138.63,68813,1201941,13.96
2019-10-25,BIOCON, EQ, 25-Oct-2019,245.05,244.15,245.05,236.15,242.0,241.65,239.95,8084796,19399.64,54566,3732140,46.16
2019-10-27,BIOCON, EQ, 27-Oct-2019,241.65,244.9,245.05,240.0,243.0,242.7,243.19,347213,844.39,3973,101086,29.11
2019-10-29,BIOCON, EQ, 29-Oct-2019,242.7,243.0,246.25,240.4,244.15,244.1,243.19,3420282,8317.68,23431,1144533,33.46
2019-10-30,BIOCON, EQ, 30-Oct-2019,244.1,244.15,249.6,244.0,247.15,248.25,247.52,3232514,8001.03,24198,1701801,52.65
2019-10-31,BIOCON, EQ, 31-Oct-2019,248.25,249.2,250.0,244.35,245.2,246.1,247.81,2665863,6606.18,20591,1314215,49.3
2019-11-01,BIOCON, EQ, 01-Nov-2019,246.1,246.75,248.5,243.0,247.0,246.25,246.05,3805645,9363.85,25272,801442,21.06
2019-11-04,BIOCON, EQ, 04-Nov-2019,246.25,246.5,265.0,246.05,263.4,263.6,258.18,7579244,19568.21,55815,1355090,17.88
2019-11-05,BIOCON, EQ, 05-Nov-2019,263.6,264.5,272.6,254.25,254.95,256.25,259.69,9080951,23582.05,92461,2049413,22.57
2019-11-06,BIOCON, EQ, 06-Nov-2019,256.25,256.2,262.25,255.1,260.0,260.75,259.54,3790931,9838.95,36930,854154,22.53
2019-11-07,BIOCON, EQ, 07-Nov-2019,260.75,260.1,264.85,256.05,263.9,263.95,261.43,5664711,14809.37,38227,1494101,26.38
2019-11-08,BIOCON, EQ, 08-Nov-2019,263.95,263.85,268.5,262.1,265.0,265.0,266.45,3380307,9006.76,32920,1330413,39.36
2019-11-11,BIOCON, EQ, 11-Nov-2019,265.0,262.1,267.5,262.1,262.25,263.5,264.7,2187838,5791.19,20876,554359,25.34
2019-11-13,BIOCON, EQ, 13-Nov-2019,263.5,262.25,264.15,255.05,256.5,256.7,259.65,1384512,3594.86,13248,293604,21.21
2019-11-14,BIOCON, EQ, 14-Nov-2019,256.7,255.1,258.35,249.65,254.35,254.7,254.26,2855539,7260.59,29744,849829,29.76
2019-11-15,BIOCON, EQ, 15-Nov-2019,254.7,255.0,262.0,253.1,257.3,257.25,257.67,1929705,4972.19,17943,370462,19.2
2019-11-18,BIOCON, EQ, 18-Nov-2019,257.25,258.55,263.0,257.3,260.6,260.5,260.47,1470719,3830.79,13517,267065,18.16
2019-11-19,BIOCON, EQ, 19-Nov-2019,260.5,260.6,262.7,257.4,259.0,258.55,259.27,1196367,3101.88,14004, 316755, 26.48
2019-11-20,BIOCON, EQ, 20-Nov-2019,258.55,258.85,265.25,255.5,262.0,262.8,261.69,3361132,8795.89,28829, 936602, 27.87
2019-11-21,BIOCON, EQ, 21-Nov-2019,262.8,263.75,263.95,253.35,254.25,254.35,257.74,2416856,6229.09,35496,838346,34.69
2019-11-22,BIOCON, EQ, 22-Nov-2019,254.35,255.5,258.25,252.5,256.05,255.9,255.84,2112123,5403.74,18065,758071,35.89
2019-11-25,BIOCON, EQ, 25-Nov-2019,255.9,256.3,260.4,255.05,257.65,258.6,258.2,3109987,8030.09,20429,1531873,49.26
2019-11-26,BIOCON, EQ, 26-Nov-2019,258.6,257.65,270.75,257.3,264.0,264.35,266.24,7533282,20056.5,67919, 1451964, 19.27
2019-11-27,BIOCON, EQ, 27-Nov-2019,264.35,269.95,279.3,268.1,276.3,276.55,275.87,13468016,37153.97,101670,1963766,14.58
2019-11-28,BIOCON, EQ, 28-Nov-2019,276.55,275.1,284.9,273.85,284.5,283.75,280.64,7459630,20934.76,63744,1680404,22.53
2019-11-29,BIOCON, EQ, 29-Nov-2019,283.75,283.2,288.4,280.55,282.0,281.65,284.05,3744414,10636.17,32629,845671,22.58
2019-12-02,BIOCON, EQ, 02-Dec-2019,281.65,283.2,291.95,282.45,287.95,285.8,287.44,5871834,16878.04,46424, 1156548, 19.70
2019-12-03,BIOCON, EQ, 03-Dec-2019,285.8,299.0,299.0,282.85,284.15,285.7,289.91,14029949,40674.2,110899,2101410,14.98
2019-12-04,BIOCON, EQ, 04-Dec-2019,285.7,284.0,289.0,281.15,287.95,287.2,286.21,3777498,10811.65,32156,797205,21.1
2019-12-05,BIOCON, EQ, 05-Dec-2019,287.2,287.2,289.25,283.9,286.75,286.6,286.53,2282643,6540.53,22667,677997,29.7
2019-12-06,BIOCON, EQ, 06-Dec-2019,286.6,288.05,293.35,286.05,289.2,289.0,289.84,4928960,14286.3,38424,1147725,23.29
2019-12-09,BIOCON, EQ, 09-Dec-2019,289.0,290.7,291.9,287.75,288.2,289.2,290.1,2425661,7036.89,21829,561564,23.15
2019-12-10,BIOCON, EQ, 10-Dec-2019,289.2,288.95,290.25,286.3,290.0,289.65,288.44,1742487,5026.0,15463,457539,26.26
2019-12-11,BIOCON, EQ, 11-Dec-2019,289.65,290.0,291.7,283.95,290.25,290.4,287.75,2758154,7936.57,22989,467506,16.95
2019-12-12,BIOCON, EQ, 12-Dec-2019,290.4,290.1,294.25,287.2,292.65,292.85,291.06,4016927,11691.83,37535,895518,22.29
2019-12-13,BIOCON, EQ, 13-Dec-2019,292.85,294.0,295.0,290.6,291.7,292.35,293.01,2882337,8445.51,26389,581948,20.19
2019-12-16,BIOCON, EQ, 16-Dec-2019,292.35,291.7,298.6,290.8,295.5,295.6,295.86,3806083,11260.76,36352,1034368,27.18
