Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BPCL, EQ, 23-Aug-2019,313.0,312.1,330.8,308.35,329.35,329.35,321.6,4669618,15017.53,64226,900059,19.27,Oil & Gas
2019-10-01,BPCL, EQ, 01-Oct-2019,470.1,498.0,511.55,478.75,492.9,493.9,497.67,34100909,169711.57,314682,5016152,14.71,Oil & Gas
2019-10-03,BPCL, EQ, 03-Oct-2019,493.9,496.2,539.9,494.4,530.95,531.6,517.68,25984601,134515.83,309843,4378336,16.85,Oil & Gas
2019-10-04,BPCL, EQ, 04-Oct-2019,531.6,545.0,545.0,511.6,514.0,515.55,521.98,27515921,143627.76,295736,4751686,17.27,Oil & Gas
2019-10-07,BPCL, EQ, 07-Oct-2019,515.55,502.05,507.45,475.45,488.9,490.65,493.03,27449237,135332.8,264193,8466926,30.85,Oil & Gas
2019-10-09,BPCL, EQ, 09-Oct-2019,490.65,490.0,495.75,481.65,491.0,492.85,490.63,10858033,53272.75,100796,2671068,24.6,Oil & Gas
2019-10-10,BPCL, EQ, 10-Oct-2019,492.85,490.0,494.0,484.1,489.5,489.9,489.64,4629540,22668.0,67444,759812,16.41,Oil & Gas
2019-10-11,BPCL, EQ, 11-Oct-2019,489.9,488.15,492.55,478.6,487.1,488.0,486.77,7371044,35879.78,108570,1453158,19.71,Oil & Gas
2019-10-14,BPCL, EQ, 14-Oct-2019,488.0,490.55,499.0,483.2,485.95,485.95,491.2,11556126,56764.17,133250,3968687,34.34,Oil & Gas
2019-10-15,BPCL, EQ, 15-Oct-2019,485.95,489.95,494.5,487.95,491.15,490.3,490.85,5842162,28676.04,73253,1614873,27.64,Oil & Gas
2019-10-16,BPCL, EQ, 16-Oct-2019,490.3,504.9,520.0,501.3,511.45,512.4,513.21,20380758,104596.87,232908,2899417,14.23,Oil & Gas
2019-10-17,BPCL, EQ, 17-Oct-2019,512.4,512.4,515.3,504.1,511.5,513.3,509.24,8351837,42531.07,98532,1608602,19.26,Oil & Gas
2019-10-18,BPCL, EQ, 18-Oct-2019,513.3,510.0,534.9,506.75,523.0,520.3,521.82,14186741,74028.57,142758,3840032,27.07,Oil & Gas
2019-10-22,BPCL, EQ, 22-Oct-2019,520.3,532.0,538.6,522.35,532.7,534.1,530.33,13574072,71987.74,162953,2681461,19.75,Oil & Gas
2019-10-23,BPCL, EQ, 23-Oct-2019,534.1,531.5,536.8,524.6,526.0,527.1,530.19,5297051,28084.64,74310,956092,18.05,Oil & Gas
2019-10-24,BPCL, EQ, 24-Oct-2019,527.1,525.9,525.9,500.65,516.8,513.05,509.72,14079076,71763.45,177608,3059839,21.73,Oil & Gas
2019-10-25,BPCL, EQ, 25-Oct-2019,513.05,516.75,533.2,509.75,523.05,524.15,525.36,13381183,70299.75,143921,1572310,11.75,Oil & Gas
2019-10-27,BPCL, EQ, 27-Oct-2019,524.15,528.9,529.0,521.0,529.0,526.8,526.35,1038183,5464.47,11318,253499,24.42,Oil & Gas
2019-10-29,BPCL, EQ, 29-Oct-2019,526.8,534.0,534.0,518.0,522.5,522.9,525.12,8316972,43673.87,105050,1797785,21.62,Oil & Gas
2019-10-30,BPCL, EQ, 30-Oct-2019,522.9,527.0,534.6,518.45,525.7,525.1,528.11,7523025,39730.2,122328,2065867,27.46,Oil & Gas
2019-10-31,BPCL, EQ, 31-Oct-2019,525.1,527.0,530.85,520.55,525.65,526.6,525.47,7135919,37497.07,95624,3390758,47.52,Oil & Gas
2019-11-01,BPCL, EQ, 01-Nov-2019,526.6,520.05,525.8,516.0,519.75,519.4,520.02,5061143,26319.07,63536,1327016,26.22,Oil & Gas
2019-11-04,BPCL, EQ, 04-Nov-2019,519.4,520.0,527.45,514.3,522.4,522.2,521.78,4681345,24426.21,79257,1781774,38.06,Oil & Gas
2019-11-05,BPCL, EQ, 05-Nov-2019,522.2,519.0,522.2,513.4,517.0,517.5,518.05,3281529,16999.98,73057,1042345,31.76,Oil & Gas
2019-11-06,BPCL, EQ, 06-Nov-2019,517.5,518.0,525.25,516.1,524.25,523.9,521.04,3805931,19830.26,86362,1002407,26.34,Oil & Gas
2019-11-07,BPCL, EQ, 07-Nov-2019,523.9,524.3,526.55,510.3,512.4,513.2,516.73,4101853,21195.3,59350,788636,19.23,Oil & Gas
2019-11-08,BPCL, EQ, 08-Nov-2019,513.2,515.0,515.7,500.5,501.15,502.75,508.03,9862300,50103.56,102393,2915139,29.56,Oil & Gas
2019-11-11,BPCL, EQ, 11-Nov-2019,502.75,506.65,519.5,499.0,516.9,517.6,511.35,8765071,44819.78,92055,1905892,21.74,Oil & Gas
2019-11-13,BPCL, EQ, 13-Nov-2019,517.6,514.0,523.0,507.4,510.0,510.1,515.75,7232793,37303.26,76496,1410629,19.5,Oil & Gas
2019-11-14,BPCL, EQ, 14-Nov-2019,510.1,507.0,520.05,503.8,511.8,514.65,512.54,5416081,27759.85,54478,1052427,19.43,Oil & Gas
2019-11-15,BPCL, EQ, 15-Nov-2019,514.65,513.95,513.95,504.0,505.05,506.55,508.61,4165497,21186.26,52720,1363066,32.72,Oil & Gas
2019-11-18,BPCL, EQ, 18-Nov-2019,506.55,520.0,528.0,517.25,520.5,521.75,522.92,17072336,89274.71,180943,2193178,12.85,Oil & Gas
2019-11-19,BPCL, EQ, 19-Nov-2019,521.75,520.65,521.9,513.5,520.7,518.95,518.18,3549931,18394.87,48370,767955,21.63,Oil & Gas
2019-11-20,BPCL, EQ, 20-Nov-2019,518.95,528.9,548.0,522.05,544.0,544.6,536.34,18844498,101069.97,177254,2997724,15.91,Oil & Gas
2019-11-21,BPCL, EQ, 21-Nov-2019,544.6,549.0,549.0,511.0,512.1,514.1,529.18,22312660,118074.35,227806,3312369,14.85,Oil & Gas
2019-11-22,BPCL, EQ, 22-Nov-2019,514.1,513.8,515.45,505.5,508.6,509.4,510.15,11812445,60261.61,111296,2166033,18.34,Oil & Gas
2019-11-25,BPCL, EQ, 25-Nov-2019,509.4,508.0,514.8,503.3,507.25,507.4,508.87,7698964,39177.52,102582,1573712,20.44,Oil & Gas
2019-11-26,BPCL, EQ, 26-Nov-2019,507.4,509.0,510.4,494.4,495.95,496.65,499.36,12419094,62016.24,162500,4136763,33.31,Oil & Gas
2019-11-27,BPCL, EQ, 27-Nov-2019,496.65,493.0,509.25,488.0,507.0,505.9,499.65,12207925,60997.32,107955,2082600,17.06,Oil & Gas
2019-11-28,BPCL, EQ, 28-Nov-2019,505.9,506.5,514.25,502.1,509.7,510.0,507.9,7832976,39783.76,83533,1433666,18.3,Oil & Gas
2019-11-29,BPCL, EQ, 29-Nov-2019,510.0,511.0,518.45,505.2,510.1,511.55,512.65,7529450,38599.63,93112,1428484,18.97,Oil & Gas
2019-12-02,BPCL, EQ, 02-Dec-2019,511.55,508.05,509.5,498.75,499.75,500.05,503.02,4410021,22183.38,65110,1645903,37.32,Oil & Gas
2019-12-03,BPCL, EQ, 03-Dec-2019,500.05,502.0,502.4,493.3,494.15,494.5,496.97,3790337,18836.96,63654,1311468,34.6,Oil & Gas
2019-12-04,BPCL, EQ, 04-Dec-2019,494.5,494.0,504.25,492.2,500.0,501.2,499.26,4285438,21395.53,51779,981908,22.91,Oil & Gas
2019-12-05,BPCL, EQ, 05-Dec-2019,501.2,495.0,499.9,490.3,491.5,491.85,494.74,3133215,15501.34,55739,904393,28.86,Oil & Gas
2019-12-06,BPCL, EQ, 06-Dec-2019,491.85,491.0,496.5,483.5,488.95,488.5,489.94,4693613,22996.0,51791,1123949,23.95,Oil & Gas
2019-12-09,BPCL, EQ, 09-Dec-2019,488.5,487.45,501.8,485.55,499.25,499.65,495.6,5474113,27129.6,68869,904523,16.52,Oil & Gas
2019-12-10,BPCL, EQ, 10-Dec-2019,499.65,495.9,503.7,484.2,485.15,486.3,493.75,7171084,35407.01,91405,1131841,15.78,Oil & Gas
2019-12-11,BPCL, EQ, 11-Dec-2019,486.3,485.0,491.85,476.2,484.2,482.65,483.79,6880479,33287.08,87519,2402063,34.91,Oil & Gas
2019-12-12,BPCL, EQ, 12-Dec-2019,482.65,486.75,498.3,486.0,491.65,491.75,491.45,6414478,31524.25,89774,1642307,25.6,Oil & Gas
2019-12-13,BPCL, EQ, 13-Dec-2019,491.75,492.5,500.8,486.2,496.95,496.75,493.41,7629757,37645.85,102768,1747719,22.91,Oil & Gas
2019-12-16,BPCL, EQ, 16-Dec-2019,496.75,495.0,499.4,491.1,491.75,492.0,494.11,3006310,14854.5,53132,918086,30.54,Oil & Gas
2019-12-17,BPCL, EQ, 17-Dec-2019,492.0,492.0,503.5,491.1,496.5,496.05,497.63,6143569,30572.23,88062,1582944,25.77,Oil & Gas
2019-12-18,BPCL, EQ, 18-Dec-2019,496.05,496.5,498.25,488.1,489.3,489.25,490.77,4657085,22855.44,75310,2176326,46.73,Oil & Gas
2019-12-19,BPCL, EQ, 19-Dec-2019,489.25,489.0,492.5,485.55,489.95,489.95,489.5,4662706,22823.9,64038,1479143,31.72,Oil & Gas
2019-12-20,BPCL, EQ, 20-Dec-2019,489.95,489.95,492.4,486.5,487.0,487.8,488.94,3734227,18258.21,57096,1862536,49.88,Oil & Gas
2019-12-23,BPCL, EQ, 23-Dec-2019,487.8,488.0,499.45,488.0,492.85,493.0,494.33,7428823,36723.12,61546,2694863,36.28,Oil & Gas
2019-12-24,BPCL, EQ, 24-Dec-2019,493.0,492.0,494.45,471.65,479.6,477.8,483.23,7428318,35895.78,80604,2266753,30.52,Oil & Gas
2019-12-26,BPCL, EQ, 26-Dec-2019,477.8,476.0,484.55,474.25,476.5,477.2,479.08,10371636,49688.18,95765,1441873,13.9,Oil & Gas
2019-12-27,BPCL, EQ, 27-Dec-2019,477.2,479.5,492.1,477.0,489.95,490.95,486.28,8454378,41111.99,94289,2102232,24.87,Oil & Gas
2019-12-30,BPCL, EQ, 30-Dec-2019,490.95,490.95,494.8,481.65,492.7,493.05,489.74,8186523,40093.05,83770,1384789,16.92,Oil & Gas
2019-12-31,BPCL, EQ, 31-Dec-2019,493.05,492.0,496.0,486.35,491.45,491.55,491.92,5794952,28506.42,69767,1123507,19.39,Oil & Gas
2020-01-01,BPCL, EQ, 01-Jan-2020,491.55,492.0,493.9,488.5,491.2,491.65,491.53,2383296,11714.58,27812,305674,12.83,Oil & Gas
2020-01-02,BPCL, EQ, 02-Jan-2020,491.65,491.2,491.7,486.45,486.85,487.55,488.33,3212483,15687.41,37044,932646,29.03,Oil & Gas
2020-01-03,BPCL, EQ, 03-Jan-2020,487.55,483.9,486.75,472.85,482.5,483.5,481.4,11327770,54532.23,115581,3142382,27.74,Oil & Gas
2020-01-06,BPCL, EQ, 06-Jan-2020,483.5,475.0,480.0,465.15,467.9,469.15,471.45,7666317,36143.13,87316,1545870,20.16,Oil & Gas
2020-01-07,BPCL, EQ, 07-Jan-2020,469.15,467.9,474.75,459.85,462.05,461.0,466.44,11727294,54701.0,102152,1740580,14.84,Oil & Gas
2020-01-08,BPCL, EQ, 08-Jan-2020,461.0,450.0,464.4,448.55,461.85,459.9,454.3,12371538,56204.31,125543,3052989,24.68,Oil & Gas
2020-01-09,BPCL, EQ, 09-Jan-2020,459.9,472.15,474.4,465.45,469.45,470.55,469.71,6499656,30529.63,72429,1472897,22.66,Oil & Gas
