Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BRITANNIA, EQ, 23-Aug-2019,2440.75,2425.4,2502.0,2402.2,2464.5,2466.65,2469.9,629497,15547.96,38223,177752,28.24,FMCG
2019-10-01,BRITANNIA, EQ, 01-Oct-2019,2944.15,2952.0,2987.4,2900.15,2927.6,2919.55,2944.41,474514,13971.62,43429,164496,34.67,FMCG
2019-10-03,BRITANNIA, EQ, 03-Oct-2019,2919.55,2914.8,2919.0,2850.0,2900.05,2902.95,2893.76,285265,8254.89,30818,119578,41.92,FMCG
2019-10-04,BRITANNIA, EQ, 04-Oct-2019,2902.95,2915.0,2931.35,2835.1,2844.0,2845.15,2873.96,313496,9009.76,24140,135999,43.38,FMCG
2019-10-07,BRITANNIA, EQ, 07-Oct-2019,2845.15,2857.85,2968.75,2851.45,2955.45,2953.35,2929.89,969709,28411.42,52500,410757,42.36,FMCG
2019-10-09,BRITANNIA, EQ, 09-Oct-2019,2953.35,2971.8,3074.65,2926.9,3060.1,3058.5,3008.89,1037068,31204.25,53808,476860,45.98,FMCG
2019-10-10,BRITANNIA, EQ, 10-Oct-2019,3058.5,3060.1,3061.0,3001.0,3037.8,3037.75,3025.82,422209,12775.3,30536,187909,44.51,FMCG
2019-10-11,BRITANNIA, EQ, 11-Oct-2019,3037.75,3048.9,3096.95,3043.3,3085.0,3081.95,3077.36,510119,15698.2,29134,220734,43.27,FMCG
2019-10-14,BRITANNIA, EQ, 14-Oct-2019,3081.95,3093.95,3124.0,3068.95,3121.1,3109.65,3101.63,350920,10884.25,24539,141077,40.2,FMCG
2019-10-15,BRITANNIA, EQ, 15-Oct-2019,3109.65,3129.1,3193.65,3112.35,3176.55,3181.1,3148.71,583008,18357.21,37083,262531,45.03,FMCG
2019-10-16,BRITANNIA, EQ, 16-Oct-2019,3181.1,3185.0,3185.0,3155.0,3177.8,3176.75,3168.0,271629,8605.21,23561,116723,42.97,FMCG
2019-10-17,BRITANNIA, EQ, 17-Oct-2019,3176.75,3176.0,3266.35,3160.0,3235.0,3247.85,3239.18,673820,21826.27,41309,235419,34.94,FMCG
2019-10-18,BRITANNIA, EQ, 18-Oct-2019,3247.85,3227.85,3259.2,3222.55,3257.2,3252.35,3245.54,230815,7491.2,19210,97356,42.18,FMCG
2019-10-22,BRITANNIA, EQ, 22-Oct-2019,3252.35,3220.1,3291.9,3220.1,3260.0,3248.05,3258.53,435837,14201.9,35068,272057,62.42,FMCG
2019-10-23,BRITANNIA, EQ, 23-Oct-2019,3248.05,3260.0,3344.5,3253.0,3300.0,3294.7,3298.71,591914,19525.5,45145,309615,52.31,FMCG
2019-10-24,BRITANNIA, EQ, 24-Oct-2019,3294.7,3312.0,3342.0,3260.25,3278.05,3283.8,3305.23,401741,13278.47,33429,194554,48.43,FMCG
2019-10-25,BRITANNIA, EQ, 25-Oct-2019,3283.8,3298.85,3298.85,3247.0,3271.0,3267.1,3261.92,213353,6959.4,22286,88773,41.61,FMCG
2019-10-27,BRITANNIA, EQ, 27-Oct-2019,3267.1,3292.0,3305.05,3237.35,3259.6,3259.1,3269.41,39585,1294.19,4107,11892,30.04,FMCG
2019-10-29,BRITANNIA, EQ, 29-Oct-2019,3259.1,3273.0,3367.0,3259.0,3356.25,3352.5,3339.98,458464,15312.59,40158,236008,51.48,FMCG
2019-10-30,BRITANNIA, EQ, 30-Oct-2019,3352.5,3373.0,3399.0,3276.0,3289.9,3290.1,3313.71,496662,16457.93,31427,236631,47.64,FMCG
2019-10-31,BRITANNIA, EQ, 31-Oct-2019,3290.1,3298.6,3343.55,3255.0,3275.95,3266.6,3291.66,488894,16092.73,34442,219351,44.87,FMCG
2019-11-01,BRITANNIA, EQ, 01-Nov-2019,3266.6,3295.0,3295.0,3236.7,3280.55,3268.55,3263.36,320106,10446.21,31206,143841,44.94,FMCG
2019-11-04,BRITANNIA, EQ, 04-Nov-2019,3268.55,3290.0,3299.0,3227.0,3239.45,3239.85,3249.04,283144,9199.46,22732,131971,46.61,FMCG
2019-11-05,BRITANNIA, EQ, 05-Nov-2019,3239.85,3255.0,3280.0,3202.3,3234.8,3231.75,3232.79,330794,10693.89,29836,165453,50.02,FMCG
2019-11-06,BRITANNIA, EQ, 06-Nov-2019,3231.75,3239.85,3257.85,3191.0,3232.0,3227.85,3220.46,347320,11185.29,26429,176104,50.7,FMCG
2019-11-07,BRITANNIA, EQ, 07-Nov-2019,3227.85,3249.0,3256.6,3204.9,3222.1,3223.8,3225.4,288996,9321.27,23851,148043,51.23,FMCG
2019-11-08,BRITANNIA, EQ, 08-Nov-2019,3223.8,3228.0,3245.45,3143.0,3162.0,3158.0,3201.02,376182,12041.67,35062,147089,39.1,FMCG
2019-11-11,BRITANNIA, EQ, 11-Nov-2019,3158.0,3157.0,3195.0,3110.0,3125.0,3119.55,3149.02,464906,14639.99,35007,119605,25.73,FMCG
2019-11-13,BRITANNIA, EQ, 13-Nov-2019,3119.55,3271.0,3299.0,3200.0,3270.75,3269.75,3266.45,1853222,60534.61,108094,216788,11.7,FMCG
2019-11-14,BRITANNIA, EQ, 14-Nov-2019,3269.75,3274.9,3274.9,3200.0,3229.0,3230.8,3223.69,515326,16612.51,28477,156696,30.41,FMCG
2019-11-15,BRITANNIA, EQ, 15-Nov-2019,3230.8,3230.2,3260.0,3185.15,3203.0,3195.55,3219.62,261412,8416.46,16380,72311,27.66,FMCG
2019-11-18,BRITANNIA, EQ, 18-Nov-2019,3195.55,3203.0,3217.15,3126.0,3142.1,3140.9,3154.72,429862,13560.94,28724,170821,39.74,FMCG
2019-11-19,BRITANNIA, EQ, 19-Nov-2019,3140.9,3140.9,3158.35,3110.0,3124.5,3120.35,3129.87,261351,8179.94,21674,82409,31.53,FMCG
2019-11-20,BRITANNIA, EQ, 20-Nov-2019,3120.35,3120.0,3135.0,3060.0,3110.0,3116.3,3099.36,504339,15631.29,38421,159268,31.58,FMCG
2019-11-21,BRITANNIA, EQ, 21-Nov-2019,3116.3,3113.0,3113.0,3061.65,3065.0,3072.65,3084.61,295648,9119.58,22297,118349,40.03,FMCG
2019-11-22,BRITANNIA, EQ, 22-Nov-2019,3072.65,3062.25,3072.0,3016.15,3025.0,3022.65,3041.41,349622,10633.44,20955,84817,24.26,FMCG
2019-11-25,BRITANNIA, EQ, 25-Nov-2019,3022.65,3025.5,3045.0,3004.3,3043.0,3040.6,3028.11,437144,13237.21,35509,168259,38.49,FMCG
2019-11-26,BRITANNIA, EQ, 26-Nov-2019,3040.6,3048.0,3083.0,3041.0,3058.0,3055.25,3061.5,620959,19010.64,47782,378400,60.94,FMCG
2019-11-27,BRITANNIA, EQ, 27-Nov-2019,3055.25,3060.0,3100.0,3060.0,3100.0,3091.1,3085.1,235618,7269.05,17194,80754,34.27,FMCG
2019-11-28,BRITANNIA, EQ, 28-Nov-2019,3091.1,3110.4,3110.4,3060.0,3093.95,3098.25,3088.53,234706,7248.96,16813,62715,26.72,FMCG
2019-11-29,BRITANNIA, EQ, 29-Nov-2019,3098.25,3085.0,3095.0,3050.0,3056.0,3057.7,3061.78,221117,6770.11,19054,94340,42.67,FMCG
2019-12-02,BRITANNIA, EQ, 02-Dec-2019,3057.7,3057.7,3089.95,3051.55,3077.0,3069.7,3070.76,387666,11904.3,38229,232309,59.93,FMCG
2019-12-03,BRITANNIA, EQ, 03-Dec-2019,3069.7,3069.7,3116.0,3027.15,3038.55,3048.3,3071.78,522267,16042.87,36772,270123,51.72,FMCG
2019-12-04,BRITANNIA, EQ, 04-Dec-2019,3048.3,3039.9,3067.35,3023.55,3060.0,3049.25,3044.57,263755,8030.21,18723,117204,44.44,FMCG
