Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,BSOFT, EQ, 23-Aug-2019,58.95,59.0,62.0,57.55,61.2,61.45,60.25,708910,427.13,3395,106892,15.08,Others
2019-10-01,BSOFT, EQ, 01-Oct-2019,69.25,69.95,70.3,66.25,66.7,66.6,67.29,377871,254.29,4419,183630,48.6,Others
2019-10-03,BSOFT, EQ, 03-Oct-2019,66.6,66.7,67.15,61.0,61.35,62.05,63.57,971266,617.43,10641,518894,53.42,Others
2019-10-04,BSOFT, EQ, 04-Oct-2019,62.05,62.05,63.7,62.0,62.05,62.25,62.71,353696,221.8,3313,99898,28.24,Others
2019-10-07,BSOFT, EQ, 07-Oct-2019,62.25,62.3,63.75,61.0,61.5,61.65,62.41,206526,128.89,2610,51077,24.73,Others
2019-10-09,BSOFT, EQ, 09-Oct-2019,61.65,61.65,62.2,59.8,60.75,60.85,60.85,334537,203.58,3541,161881,48.39,Others
2019-10-10,BSOFT, EQ, 10-Oct-2019,60.85,61.05,61.05,58.7,59.75,59.85,59.55,418597,249.27,8400,240489,57.45,Others
2019-10-11,BSOFT, EQ, 11-Oct-2019,59.85,59.05,60.75,58.3,58.3,58.8,59.17,285377,168.86,6230,132937,46.58,Others
2019-10-14,BSOFT, EQ, 14-Oct-2019,58.8,61.5,66.3,61.05,63.0,63.15,64.09,1283694,822.77,9958,495694,38.61,Others
2019-10-15,BSOFT, EQ, 15-Oct-2019,63.15,63.15,64.75,63.15,64.5,64.45,64.31,442495,284.57,7969,272647,61.62,Others
2019-10-16,BSOFT, EQ, 16-Oct-2019,64.45,64.45,66.4,62.1,64.45,64.25,65.32,355826,232.44,4870,145031,40.76,Others
2019-10-17,BSOFT, EQ, 17-Oct-2019,64.25,64.2,65.1,63.25,64.8,64.75,64.26,195415,125.58,4113,97443,49.86,Others
2019-10-18,BSOFT, EQ, 18-Oct-2019,64.75,64.75,67.0,64.1,66.9,66.0,65.78,342509,225.3,3774,252189,73.63,Others
2019-10-22,BSOFT, EQ, 22-Oct-2019,66.0,66.0,67.8,66.0,67.55,67.2,67.11,267738,179.67,3865,184372,68.86,Others
2019-10-23,BSOFT, EQ, 23-Oct-2019,67.2,67.9,72.0,64.7,70.0,70.45,67.87,532073,361.09,7655,391352,73.55,Others
2019-10-24,BSOFT, EQ, 24-Oct-2019,70.45,72.0,73.35,67.6,70.0,69.65,69.86,627501,438.37,8560,428804,68.34,Others
2019-10-25,BSOFT, EQ, 25-Oct-2019,69.65,69.0,71.9,68.7,70.0,70.15,70.46,292706,206.26,4749,179221,61.23,Others
2019-10-27,BSOFT, EQ, 27-Oct-2019,70.15,72.5,72.5,70.25,70.55,70.7,71.15,31380,22.33,374,16132,51.41,Others
2019-10-29,BSOFT, EQ, 29-Oct-2019,70.7,70.7,71.0,68.15,68.8,68.6,69.47,188119,130.68,2604,133915,71.19,Others
2019-10-30,BSOFT, EQ, 30-Oct-2019,68.6,69.7,70.7,66.5,66.7,66.75,67.06,294380,197.4,7012,175313,59.55,Others
2019-10-31,BSOFT, EQ, 31-Oct-2019,66.75,67.7,68.9,66.0,66.95,66.6,67.16,256941,172.56,2459,118191,46.0,Others
2019-11-01,BSOFT, EQ, 01-Nov-2019,66.6,66.65,67.5,65.2,65.8,66.1,66.59,187740,125.01,2080,119873,63.85,Others
2019-11-04,BSOFT, EQ, 04-Nov-2019,66.1,67.7,67.7,66.1,66.75,66.55,66.64,193697,129.08,2346,131378,67.83,Others
2019-11-05,BSOFT, EQ, 05-Nov-2019,66.55,67.45,67.45,65.25,65.85,65.4,65.96,120515,79.5,2665,86849,72.06,Others
2019-11-06,BSOFT, EQ, 06-Nov-2019,65.4,66.9,66.9,63.55,63.65,63.8,64.24,207497,133.3,3565,131444,63.35,Others
2019-11-07,BSOFT, EQ, 07-Nov-2019,63.8,63.8,65.9,61.3,62.05,61.95,62.92,473481,297.9,3464,308451,65.15,Others
2019-11-08,BSOFT, EQ, 08-Nov-2019,61.95,62.3,65.9,61.1,63.8,63.4,63.61,888267,565.04,5388,181221,20.4,Others
