Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,CANBK, EQ, 23-Aug-2019,209.8,209.2,219.25,207.4,216.0,216.7,214.09,7122918,15249.23,43168,632411,8.88,Banking
2019-10-01,CANBK, EQ, 01-Oct-2019,182.4,183.5,185.75,170.6,179.0,178.1,179.74,10789148,19392.7,66831,568343,5.27,Banking
2019-10-03,CANBK, EQ, 03-Oct-2019,178.1,176.3,183.75,175.1,181.1,181.4,180.58,8064670,14562.87,44863,364516,4.52,Banking
2019-10-04,CANBK, EQ, 04-Oct-2019,181.4,183.0,185.7,178.25,181.35,180.0,181.81,9213073,16750.29,48445,342073,3.71,Banking
2019-10-07,CANBK, EQ, 07-Oct-2019,180.0,181.15,182.65,178.0,179.0,179.4,180.24,5630108,10147.72,34122,330381,5.87,Banking
2019-10-09,CANBK, EQ, 09-Oct-2019,179.4,178.6,185.7,174.3,185.4,184.25,180.81,9177259,16593.12,54938,731054,7.97,Banking
2019-10-10,CANBK, EQ, 10-Oct-2019,184.25,183.0,183.7,176.65,177.85,178.1,179.05,6430752,11514.0,39569,387872,6.03,Banking
2019-10-11,CANBK, EQ, 11-Oct-2019,178.1,179.0,181.75,175.6,178.85,179.05,178.74,8450904,15105.57,44722,407897,4.83,Banking
2019-10-14,CANBK, EQ, 14-Oct-2019,179.05,180.0,183.7,178.1,178.5,179.2,181.19,6580725,11923.93,38714,270943,4.12,Banking
2019-10-15,CANBK, EQ, 15-Oct-2019,179.2,179.5,181.85,176.8,180.25,180.6,179.58,6716299,12061.0,36033,281403,4.19,Banking
2019-10-16,CANBK, EQ, 16-Oct-2019,180.6,181.75,182.8,178.55,180.0,180.1,180.69,5930463,10715.52,31393,355826,6.0,Banking
2019-10-17,CANBK, EQ, 17-Oct-2019,180.1,179.9,187.25,178.8,186.1,186.5,183.08,7640363,13987.9,44490,665397,8.71,Banking
2019-10-18,CANBK, EQ, 18-Oct-2019,186.5,186.0,190.0,185.0,188.5,188.85,188.24,6751345,12708.98,33698,460966,6.83,Banking
2019-10-22,CANBK, EQ, 22-Oct-2019,188.85,188.5,195.2,187.7,189.25,189.7,191.63,6362785,12192.88,33868,352026,5.53,Banking
2019-10-23,CANBK, EQ, 23-Oct-2019,189.7,190.0,193.75,187.3,191.55,191.55,191.33,5857194,11206.72,33913,278653,4.76,Banking
2019-10-24,CANBK, EQ, 24-Oct-2019,191.55,192.85,192.85,184.2,187.8,187.6,189.27,7641031,14462.4,36095,856499,11.21,Banking
2019-10-25,CANBK, EQ, 25-Oct-2019,187.6,188.5,193.9,185.65,192.3,192.7,189.89,7565309,14365.56,36365,495883,6.55,Banking
2019-10-27,CANBK, EQ, 27-Oct-2019,192.7,194.0,194.0,191.85,191.9,192.5,192.78,521706,1005.75,3496,110495,21.18,Banking
2019-10-29,CANBK, EQ, 29-Oct-2019,192.5,192.0,198.4,191.5,194.75,195.25,195.3,5772432,11273.58,28536,542520,9.4,Banking
2019-10-30,CANBK, EQ, 30-Oct-2019,195.25,196.0,202.1,194.15,198.9,200.05,198.96,7626092,15172.76,44450,534900,7.01,Banking
2019-10-31,CANBK, EQ, 31-Oct-2019,200.05,201.1,209.1,200.5,202.8,203.55,204.48,11153307,22806.3,64332,1506100,13.5,Banking
2019-11-01,CANBK, EQ, 01-Nov-2019,203.55,203.7,209.9,202.6,206.45,207.1,207.25,8367769,17341.93,42171,635052,7.59,Banking
2019-11-04,CANBK, EQ, 04-Nov-2019,207.1,208.0,211.6,206.65,207.5,207.85,208.9,6348189,13261.28,34429,501241,7.9,Banking
2019-11-05,CANBK, EQ, 05-Nov-2019,207.85,208.0,213.65,205.25,206.5,206.8,209.87,10318146,21654.92,55379,1083920,10.5,Banking
2019-11-06,CANBK, EQ, 06-Nov-2019,206.8,206.8,214.5,202.25,210.9,210.9,208.78,18828663,39309.58,100110,866491,4.6,Banking
2019-11-07,CANBK, EQ, 07-Nov-2019,210.9,213.95,215.0,208.35,209.2,209.6,211.64,8214699,17385.21,38041,717242,8.73,Banking
2019-11-08,CANBK, EQ, 08-Nov-2019,209.6,208.5,209.25,200.4,200.7,201.35,205.51,7691214,15806.44,36610,758017,9.86,Banking
2019-11-11,CANBK, EQ, 11-Nov-2019,201.35,200.85,204.1,199.0,203.85,203.4,201.75,6452868,13018.84,28171,471664,7.31,Banking
2019-11-13,CANBK, EQ, 13-Nov-2019,203.4,203.4,204.65,196.05,197.7,196.95,200.77,5466935,10976.13,27495,668193,12.22,Banking
2019-11-14,CANBK, EQ, 14-Nov-2019,196.95,197.9,201.45,193.7,200.6,200.1,198.84,6630768,13184.3,32653,376306,5.68,Banking
2019-11-15,CANBK, EQ, 15-Nov-2019,200.1,203.5,214.4,202.55,206.0,205.2,208.7,21438479,44741.34,102626,1064717,4.97,Banking
2019-11-18,CANBK, EQ, 18-Nov-2019,205.2,206.8,211.45,205.3,211.0,210.8,209.0,9063595,18942.64,43496,755573,8.34,Banking
2019-11-19,CANBK, EQ, 19-Nov-2019,210.8,210.9,223.0,209.4,222.75,221.15,217.2,16903143,36714.43,92489,1784518,10.56,Banking
2019-11-20,CANBK, EQ, 20-Nov-2019,221.15,224.0,228.15,220.2,221.95,222.5,223.95,16373708,36668.9,81984,1959449,11.97,Banking
2019-11-21,CANBK, EQ, 21-Nov-2019,222.5,225.0,226.55,220.85,221.95,221.85,223.36,8721292,19479.6,41805,367829,4.22,Banking
