Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,CANFINHOME, EQ, 23-Aug-2019,368.65,368.75,378.0,360.05,377.0,370.75,365.88,540390,1977.18,7386,390009,72.17,Others
2019-10-01,CANFINHOME, EQ, 01-Oct-2019,393.25,391.6,399.0,388.25,391.0,394.05,393.22,181872,715.16,4306,85985,47.28,Others
2019-10-03,CANFINHOME, EQ, 03-Oct-2019,394.05,390.0,397.0,385.8,390.0,390.15,391.11,105163,411.3,3404,46279,44.01,Others
2019-10-04,CANFINHOME, EQ, 04-Oct-2019,390.15,392.0,397.0,390.0,393.85,392.95,392.8,137583,540.43,6773,73608,53.5,Others
2019-10-07,CANFINHOME, EQ, 07-Oct-2019,392.95,393.0,394.95,368.5,382.2,380.25,376.5,1140672,4294.68,13044,846605,74.22,Others
2019-10-09,CANFINHOME, EQ, 09-Oct-2019,380.25,379.0,393.95,376.55,391.7,391.0,387.64,131502,509.75,4849,44902,34.15,Others
2019-10-10,CANFINHOME, EQ, 10-Oct-2019,391.0,386.0,400.9,386.0,388.1,389.25,393.05,198015,778.3,5415,67104,33.89,Others
2019-10-11,CANFINHOME, EQ, 11-Oct-2019,389.25,391.0,398.9,382.5,383.0,384.3,390.78,148001,578.36,4413,54040,36.51,Others
2019-10-14,CANFINHOME, EQ, 14-Oct-2019,384.3,384.9,388.45,379.0,383.0,382.25,383.96,161594,620.45,4046,63501,39.3,Others
2019-10-15,CANFINHOME, EQ, 15-Oct-2019,382.25,382.6,386.9,380.6,382.5,382.55,383.76,143749,551.65,3907,71084,49.45,Others
2019-10-16,CANFINHOME, EQ, 16-Oct-2019,382.55,386.35,396.9,383.75,385.4,385.05,387.24,198403,768.3,3643,86547,43.62,Others
2019-10-17,CANFINHOME, EQ, 17-Oct-2019,385.05,385.1,388.75,384.15,386.0,385.4,386.21,162344,626.99,2668,91657,56.46,Others
2019-10-18,CANFINHOME, EQ, 18-Oct-2019,385.4,386.8,405.9,386.05,397.1,402.0,398.88,360080,1436.27,11706,156726,43.53,Others
2019-10-22,CANFINHOME, EQ, 22-Oct-2019,402.0,393.1,403.0,391.45,393.5,395.8,397.33,194725,773.7,7213,90485,46.47,Others
2019-10-23,CANFINHOME, EQ, 23-Oct-2019,395.8,393.7,398.8,386.5,387.85,388.1,394.02,137529,541.89,3442,52244,37.99,Others
2019-10-24,CANFINHOME, EQ, 24-Oct-2019,388.1,390.0,393.5,385.0,386.4,386.0,389.41,92135,358.78,2732,35730,38.78,Others
2019-10-25,CANFINHOME, EQ, 25-Oct-2019,386.0,386.4,410.3,385.15,395.5,395.2,398.04,358132,1425.49,8441,100470,28.05,Others
2019-10-27,CANFINHOME, EQ, 27-Oct-2019,395.2,392.0,410.0,392.0,399.6,405.2,404.11,214640,867.37,4880,37107,17.29,Others
2019-10-29,CANFINHOME, EQ, 29-Oct-2019,405.2,402.0,405.0,394.3,396.4,396.85,399.51,137526,549.43,3440,49396,35.92,Others
2019-10-30,CANFINHOME, EQ, 30-Oct-2019,396.85,397.15,402.0,392.8,394.35,394.55,397.52,122641,487.52,2981,43336,35.34,Others
2019-10-31,CANFINHOME, EQ, 31-Oct-2019,394.55,395.55,406.6,390.05,394.5,394.8,400.27,378915,1516.7,8654,126672,33.43,Others
2019-11-01,CANFINHOME, EQ, 01-Nov-2019,394.8,396.0,409.7,394.5,406.0,405.55,402.94,394654,1590.23,20497,164892,41.78,Others
2019-11-04,CANFINHOME, EQ, 04-Nov-2019,405.55,408.5,433.0,398.05,423.0,426.3,422.34,1983433,8376.76,37756,354731,17.88,Others
2019-11-05,CANFINHOME, EQ, 05-Nov-2019,426.3,431.0,433.7,411.2,416.0,417.35,421.14,644380,2713.71,19914,237857,36.91,Others
2019-11-06,CANFINHOME, EQ, 06-Nov-2019,417.35,416.3,420.25,410.0,410.3,411.35,413.8,223363,924.27,7055,92766,41.53,Others
2019-11-07,CANFINHOME, EQ, 07-Nov-2019,411.35,415.2,423.7,407.1,408.8,408.6,414.62,330004,1368.27,6083,115786,35.09,Others
2019-11-08,CANFINHOME, EQ, 08-Nov-2019,408.6,410.0,413.75,400.75,402.95,401.95,408.54,292005,1192.96,21337,162892,55.78,Others
2019-11-11,CANFINHOME, EQ, 11-Nov-2019,401.95,402.0,405.75,391.8,393.05,394.6,397.77,172570,686.43,4495,67680,39.22,Others
2019-11-13,CANFINHOME, EQ, 13-Nov-2019,394.6,394.9,395.9,376.25,378.9,380.5,386.63,173022,668.95,5777,100589,58.14,Others
2019-11-14,CANFINHOME, EQ, 14-Nov-2019,380.5,381.0,384.9,376.5,378.75,378.6,380.79,145342,553.44,3671,75424,51.89,Others
2019-11-15,CANFINHOME, EQ, 15-Nov-2019,378.6,379.95,389.0,378.05,385.2,385.1,384.77,186620,718.05,6627,69610,37.3,Others
2019-11-18,CANFINHOME, EQ, 18-Nov-2019,385.1,380.05,388.9,378.8,382.0,384.0,383.3,156182,598.64,5412,62830,40.23,Others
2019-11-19,CANFINHOME, EQ, 19-Nov-2019,384.0,383.25,409.85,382.0,393.25,393.9,400.2,874070,3498.0,18171,175931,20.13,Others
2019-11-20,CANFINHOME, EQ, 20-Nov-2019,393.9,394.45,405.0,394.0,394.0,395.9,399.58,245151,979.58,5215,95367,38.9,Others
2019-11-21,CANFINHOME, EQ, 21-Nov-2019,395.9,394.2,401.9,393.1,396.1,396.75,397.88,150312,598.07,6139,57074,37.97,Others
2019-11-22,CANFINHOME, EQ, 22-Nov-2019,396.75,397.25,407.7,390.35,391.3,392.8,401.08,447394,1794.42,11531,120646,26.97,Others
2019-11-25,CANFINHOME, EQ, 25-Nov-2019,392.8,394.9,399.8,390.0,397.05,394.35,395.07,164698,650.67,4632,58726,35.66,Others
2019-11-26,CANFINHOME, EQ, 26-Nov-2019,394.35,397.6,398.35,383.6,387.3,387.15,389.69,211955,825.96,6266,123295,58.17,Others
2019-11-27,CANFINHOME, EQ, 27-Nov-2019,387.15,389.1,393.9,388.1,392.0,391.85,391.31,134985,528.21,5603,63342,46.93,Others
2019-11-28,CANFINHOME, EQ, 28-Nov-2019,391.85,392.0,399.8,387.25,395.45,393.8,394.06,254451,1002.7,5214,66858,26.28,Others
2019-11-29,CANFINHOME, EQ, 29-Nov-2019,393.8,395.25,399.5,389.25,399.0,398.3,395.59,285923,1131.07,5118,143567,50.21,Others
2019-12-02,CANFINHOME, EQ, 02-Dec-2019,398.3,399.3,403.5,392.45,396.0,394.95,397.64,187952,747.38,5568,86859,46.21,Others
2019-12-03,CANFINHOME, EQ, 03-Dec-2019,394.95,397.0,397.0,385.25,389.0,387.95,389.58,131466,512.17,3132,65885,50.12,Others
2019-12-04,CANFINHOME, EQ, 04-Dec-2019,387.95,389.75,403.25,386.05,403.0,400.55,396.38,250327,992.25,6178,174949,69.89,Others
2019-12-05,CANFINHOME, EQ, 05-Dec-2019,400.55,405.0,424.6,402.65,419.2,421.25,412.29,1430444,5897.53,40690,434922,30.4,Others
2019-12-06,CANFINHOME, EQ, 06-Dec-2019,421.25,419.3,419.9,407.5,413.4,414.45,412.81,395409,1632.3,15325,142160,35.95,Others
2019-12-09,CANFINHOME, EQ, 09-Dec-2019,414.45,414.0,419.1,407.2,412.5,410.55,412.3,252612,1041.51,7228,113699,45.01,Others
2019-12-10,CANFINHOME, EQ, 10-Dec-2019,410.55,410.95,412.15,401.75,408.9,406.7,407.31,91374,372.18,4344,42917,46.97,Others
2019-12-11,CANFINHOME, EQ, 11-Dec-2019,406.7,412.1,416.75,407.05,412.45,411.8,411.58,281266,1157.63,7019,82211,29.23,Others
2019-12-12,CANFINHOME, EQ, 12-Dec-2019,411.8,414.75,414.75,406.85,412.0,411.05,411.49,110315,453.94,4303,47540,43.09,Others
2019-12-13,CANFINHOME, EQ, 13-Dec-2019,411.05,411.1,421.4,408.65,416.25,416.55,415.32,186515,774.64,4910,92408,49.54,Others
2019-12-16,CANFINHOME, EQ, 16-Dec-2019,416.55,418.6,418.6,408.2,418.0,417.1,414.37,241444,1000.47,5940,139311,57.7,Others
2019-12-17,CANFINHOME, EQ, 17-Dec-2019,417.1,417.95,422.5,414.95,415.1,419.6,419.78,939895,3945.47,32684,642078,68.31,Others
2019-12-18,CANFINHOME, EQ, 18-Dec-2019,419.6,418.75,418.75,405.05,407.0,406.6,410.59,119045,488.79,3136,53812,45.2,Others
2019-12-19,CANFINHOME, EQ, 19-Dec-2019,406.6,405.45,405.45,396.0,398.0,398.25,401.17,257091,1031.38,10685,135013,52.52,Others
2019-12-20,CANFINHOME, EQ, 20-Dec-2019,398.25,394.2,404.75,391.15,391.8,392.25,396.53,276718,1097.27,6142,109107,39.43,Others
2019-12-23,CANFINHOME, EQ, 23-Dec-2019,392.25,391.0,402.0,389.0,398.0,398.05,397.73,624985,2485.78,5940,474429,75.91,Others
2019-12-24,CANFINHOME, EQ, 24-Dec-2019,398.05,399.0,399.35,392.3,396.4,396.15,395.89,147224,582.84,2458,100091,67.99,Others
2019-12-26,CANFINHOME, EQ, 26-Dec-2019,396.15,396.4,398.0,390.0,391.3,391.2,392.48,169955,667.04,4790,85614,50.37,Others
2019-12-27,CANFINHOME, EQ, 27-Dec-2019,391.2,395.75,397.8,390.2,391.3,391.25,394.36,615507,2427.29,4487,515903,83.82,Others
2019-12-30,CANFINHOME, EQ, 30-Dec-2019,391.25,391.2,398.3,388.0,398.0,395.8,392.88,177566,697.61,4403,92834,52.28,Others
2019-12-31,CANFINHOME, EQ, 31-Dec-2019,395.8,396.0,400.95,392.2,393.0,393.05,395.42,189009,747.37,6941,99143,52.45,Others
2020-01-01,CANFINHOME, EQ, 01-Jan-2020,393.05,395.0,396.35,393.9,395.0,395.35,395.48,53092,209.97,1588,30631,57.69,Others
2020-01-02,CANFINHOME, EQ, 02-Jan-2020,395.35,396.0,404.7,395.5,400.0,400.3,400.71,178064,713.52,4157,71356,40.07,Others
2020-01-03,CANFINHOME, EQ, 03-Jan-2020,400.3,400.5,402.35,392.85,396.0,395.25,395.7,121673,481.46,3500,39946,32.83,Others
2020-01-06,CANFINHOME, EQ, 06-Jan-2020,395.25,393.45,393.9,382.0,382.55,383.4,385.18,169654,653.48,4175,88475,52.15,Others
2020-01-07,CANFINHOME, EQ, 07-Jan-2020,383.4,385.35,398.75,385.35,387.0,388.15,389.54,91083,354.81,2918,33083,36.32,Others
2020-01-08,CANFINHOME, EQ, 08-Jan-2020,388.15,385.0,388.3,381.6,384.2,384.3,384.48,74785,287.53,2504,30681,41.03,Others
2020-01-09,CANFINHOME, EQ, 09-Jan-2020,384.3,395.0,395.0,384.5,385.5,386.6,387.32,146359,566.88,5588,73088,49.94,Others
2020-01-10,CANFINHOME, EQ, 10-Jan-2020,386.6,387.5,393.6,384.5,385.3,385.8,389.29,272941,1062.52,4655,138706,50.82,Others
2020-01-13,CANFINHOME, EQ, 13-Jan-2020,385.8,385.2,390.0,383.3,386.5,385.75,385.59,120210,463.52,6346,55861,46.47,Others
2020-01-14,CANFINHOME, EQ, 14-Jan-2020,385.75,387.75,390.0,384.9,386.0,386.45,387.2,151786,587.72,5020,86006,56.66,Others
