Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,CHAMBLFERT, EQ, 23-Aug-2019,135.8,137.7,151.5,135.75,148.3,149.1,146.21,256655,375.25,4146,82878,32.29
2019-10-01,CHAMBLFERT, EQ, 01-Oct-2019,153.8,159.8,163.45,154.0,154.6,154.75,159.14,715701,1139.0,10208,324060,45.28
2019-10-03,CHAMBLFERT, EQ, 03-Oct-2019,154.75,153.3,153.3,146.6,149.3,149.1,150.45,188896,284.19,4453,99536,52.69
2019-10-04,CHAMBLFERT, EQ, 04-Oct-2019,149.1,151.0,152.5,148.45,150.0,150.25,150.61,130009,195.81,2932,58065,44.66
2019-10-07,CHAMBLFERT, EQ, 07-Oct-2019,150.25,150.3,151.15,144.15,144.75,145.35,147.23,142033,209.12,3602,59827,42.12
2019-10-09,CHAMBLFERT, EQ, 09-Oct-2019,145.35,145.5,149.0,144.4,146.75,147.0,146.4,150858,220.86,3439,77905,51.64
2019-10-10,CHAMBLFERT, EQ, 10-Oct-2019,147.0,146.65,148.75,146.5,147.5,147.55,147.64,66687,98.46,1163,38063,57.08
2019-10-11,CHAMBLFERT, EQ, 11-Oct-2019,147.55,148.95,151.6,147.8,147.95,148.25,148.71,118040,175.54,1940,63142,53.49
2019-10-14,CHAMBLFERT, EQ, 14-Oct-2019,148.25,147.4,152.0,145.0,146.5,146.45,147.12,108283,159.31,2515,57057,52.69
2019-10-15,CHAMBLFERT, EQ, 15-Oct-2019,146.45,146.6,148.75,144.75,146.0,145.55,146.49,85377,125.07,1891,34858,40.83
2019-10-16,CHAMBLFERT, EQ, 16-Oct-2019,145.55,147.0,153.5,146.25,151.9,151.9,151.1,628463,949.61,7821,390868,62.19
2019-10-17,CHAMBLFERT, EQ, 17-Oct-2019,151.9,151.8,155.5,151.25,155.0,154.6,153.52,130633,200.54,5759,67987,52.04
2019-10-18,CHAMBLFERT, EQ, 18-Oct-2019,154.6,154.5,158.9,153.5,155.2,155.4,156.63,147570,231.14,2823,48381,32.79
2019-10-22,CHAMBLFERT, EQ, 22-Oct-2019,155.4,155.8,161.0,154.8,157.1,156.2,157.91,246022,388.5,4382,94602,38.45
2019-10-23,CHAMBLFERT, EQ, 23-Oct-2019,156.2,157.0,161.8,156.0,160.1,160.25,159.7,210308,335.86,3392,123160,58.56
2019-10-24,CHAMBLFERT, EQ, 24-Oct-2019,160.25,160.75,161.0,156.25,159.3,157.95,158.13,125043,197.73,4226,59547,47.62
2019-10-25,CHAMBLFERT, EQ, 25-Oct-2019,157.95,159.65,161.6,156.25,160.15,160.1,159.54,189661,302.59,4325,109191,57.57
2019-10-27,CHAMBLFERT, EQ, 27-Oct-2019,160.1,160.15,161.2,158.85,159.8,159.55,159.67,17969,28.69,440,11914,66.3
