Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,CHOLAFIN, EQ, 23-Aug-2019,249.15,247.2,265.75,242.55,260.0,260.65,256.77,2205008,5661.81,46925,1068895,48.48
2019-10-01,CHOLAFIN, EQ, 01-Oct-2019,307.8,309.7,311.85,287.1,293.55,293.55,298.49,1608613,4801.5,32439,552049,34.32
2019-10-03,CHOLAFIN, EQ, 03-Oct-2019,293.55,293.55,300.85,285.0,290.0,290.1,290.24,1823132,5291.47,22110,818194,44.88
2019-10-04,CHOLAFIN, EQ, 04-Oct-2019,290.1,290.75,293.65,287.25,287.9,289.65,290.18,1022709,2967.67,16343,455234,44.51
2019-10-07,CHOLAFIN, EQ, 07-Oct-2019,289.65,287.2,293.4,278.95,289.75,290.5,287.08,1353432,3885.48,18732,502294,37.11
2019-10-09,CHOLAFIN, EQ, 09-Oct-2019,290.5,291.0,298.0,285.05,295.0,296.2,291.21,1668659,4859.24,26401,429272,25.73
2019-10-10,CHOLAFIN, EQ, 10-Oct-2019,296.2,292.2,295.2,282.65,283.85,283.3,286.48,823820,2360.06,16001,280959,34.1
2019-10-11,CHOLAFIN, EQ, 11-Oct-2019,283.3,285.05,288.9,280.35,283.65,283.95,284.06,851664,2419.26,21788,264672,31.08
2019-10-14,CHOLAFIN, EQ, 14-Oct-2019,283.95,284.0,290.0,283.25,285.0,285.1,286.04,651063,1862.3,12718,210669,32.36
2019-10-15,CHOLAFIN, EQ, 15-Oct-2019,285.1,286.9,286.9,276.3,280.9,279.85,280.7,1723921,4839.0,28690,710664,41.22
2019-10-16,CHOLAFIN, EQ, 16-Oct-2019,279.85,281.2,283.0,269.5,271.0,270.6,274.63,1695268,4655.73,24100,792808,46.77
2019-10-17,CHOLAFIN, EQ, 17-Oct-2019,270.6,271.0,290.0,269.65,287.0,287.5,281.1,1757918,4941.5,20286,354907,20.19
2019-10-18,CHOLAFIN, EQ, 18-Oct-2019,287.5,287.05,304.35,284.5,300.1,302.5,295.65,2162692,6393.94,28838,898431,41.54
