Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,CIPLA, EQ, 23-Aug-2019,464.0,464.0,467.35,449.2,464.15,465.9,459.81,2217428,10195.86,39853,744507,33.58,Pharma
2019-10-01,CIPLA, EQ, 01-Oct-2019,425.5,426.9,426.9,402.7,411.8,412.65,413.65,4914716,20329.78,91539,2578040,52.46,Pharma
2019-10-03,CIPLA, EQ, 03-Oct-2019,412.65,411.0,421.0,406.5,416.95,418.1,417.25,2639852,11014.77,52073,1681732,63.71,Pharma
2019-10-04,CIPLA, EQ, 04-Oct-2019,418.1,419.5,431.3,416.15,417.5,418.35,424.92,4182360,17771.52,110356,1531179,36.61,Pharma
2019-10-07,CIPLA, EQ, 07-Oct-2019,418.35,419.95,419.95,405.5,408.3,408.25,411.02,2564196,10539.26,72908,917481,35.78,Pharma
2019-10-09,CIPLA, EQ, 09-Oct-2019,408.25,408.3,427.0,407.5,423.35,423.35,417.79,4117690,17203.49,59791,1614750,39.21,Pharma
2019-10-10,CIPLA, EQ, 10-Oct-2019,423.35,423.1,427.3,418.55,422.95,422.15,423.13,2381621,10077.36,35214,1109618,46.59,Pharma
2019-10-11,CIPLA, EQ, 11-Oct-2019,422.15,422.55,443.0,389.55,442.05,441.35,422.49,17354782,73322.71,176315,4493599,25.89,Pharma
2019-10-14,CIPLA, EQ, 14-Oct-2019,441.35,441.35,446.45,433.5,440.9,440.9,439.52,5861895,25764.19,66762,1611954,27.5,Pharma
2019-10-15,CIPLA, EQ, 15-Oct-2019,440.9,440.0,448.5,435.35,446.3,446.55,444.0,3153015,13999.3,42434,1512367,47.97,Pharma
2019-10-16,CIPLA, EQ, 16-Oct-2019,446.55,446.3,447.85,438.95,445.3,446.8,443.27,2180925,9667.4,41167,562926,25.81,Pharma
2019-10-17,CIPLA, EQ, 17-Oct-2019,446.8,445.3,447.7,439.4,445.5,446.3,443.23,1818421,8059.72,52716,424623,23.35,Pharma
2019-10-18,CIPLA, EQ, 18-Oct-2019,446.3,448.5,451.15,440.1,440.2,444.15,445.69,2850227,12703.14,38211,1025726,35.99,Pharma
2019-10-22,CIPLA, EQ, 22-Oct-2019,444.15,441.25,457.75,440.2,453.65,453.9,451.37,2333810,10534.12,56529,807534,34.6,Pharma
2019-10-23,CIPLA, EQ, 23-Oct-2019,453.9,453.65,456.8,448.1,453.3,454.25,453.77,2262575,10266.96,41985,1179978,52.15,Pharma
2019-10-24,CIPLA, EQ, 24-Oct-2019,454.25,455.0,456.0,443.55,447.9,446.85,449.18,1733751,7787.74,42582,799170,46.09,Pharma
2019-10-25,CIPLA, EQ, 25-Oct-2019,446.85,447.1,461.45,441.75,459.6,459.85,450.95,2647759,11940.13,63109,1288357,48.66,Pharma
2019-10-27,CIPLA, EQ, 27-Oct-2019,459.85,462.0,463.9,459.5,462.0,461.05,461.61,179612,829.1,3975,46702,26.0,Pharma
2019-10-29,CIPLA, EQ, 29-Oct-2019,461.05,463.9,478.4,462.0,472.25,473.05,472.34,3498572,16525.3,81941,1558460,44.55,Pharma
2019-10-30,CIPLA, EQ, 30-Oct-2019,473.05,478.95,478.95,462.25,463.15,465.0,465.65,2640132,12293.66,50512,1359944,51.51,Pharma
2019-10-31,CIPLA, EQ, 31-Oct-2019,465.0,465.0,472.7,460.15,472.0,466.85,465.1,3944718,18346.7,81657,2621452,66.45,Pharma
2019-11-01,CIPLA, EQ, 01-Nov-2019,466.85,467.3,474.2,462.4,468.5,469.2,468.9,3649879,17114.3,63021,2007816,55.01,Pharma
2019-11-04,CIPLA, EQ, 04-Nov-2019,469.2,471.4,478.5,467.05,468.2,468.3,471.62,2393325,11287.51,40727,935388,39.08,Pharma
2019-11-05,CIPLA, EQ, 05-Nov-2019,468.3,470.15,475.5,465.15,467.85,467.85,470.24,1391429,6543.05,29733,350329,25.18,Pharma
2019-11-06,CIPLA, EQ, 06-Nov-2019,467.85,469.05,487.95,464.25,482.0,480.85,477.31,17751556,84729.62,208415,3750152,21.13,Pharma
2019-11-07,CIPLA, EQ, 07-Nov-2019,480.85,482.0,487.4,470.0,471.8,471.85,478.33,5892783,28187.14,75353,2308890,39.18,Pharma
2019-11-08,CIPLA, EQ, 08-Nov-2019,471.85,470.1,470.1,461.25,462.55,462.5,463.88,4300075,19947.33,43985,2836029,65.95,Pharma
2019-11-11,CIPLA, EQ, 11-Nov-2019,462.5,459.4,459.4,451.75,454.4,454.85,455.44,4109355,18715.84,35365,2557330,62.23,Pharma
2019-11-13,CIPLA, EQ, 13-Nov-2019,454.85,452.0,455.0,446.0,446.55,447.9,451.25,3001272,13543.21,45146,1583391,52.76,Pharma
2019-11-14,CIPLA, EQ, 14-Nov-2019,447.9,445.2,458.2,442.65,451.95,451.4,449.91,2659601,11965.8,45399,1281467,48.18,Pharma
2019-11-15,CIPLA, EQ, 15-Nov-2019,451.4,448.0,468.05,435.4,462.2,463.25,451.09,10693852,48238.63,139803,3740608,34.98,Pharma
2019-11-18,CIPLA, EQ, 18-Nov-2019,463.25,463.0,472.0,457.65,458.95,460.6,464.28,2847404,13220.04,39141,457515,16.07,Pharma
2019-11-19,CIPLA, EQ, 19-Nov-2019,460.6,461.2,477.5,459.55,473.3,472.1,473.34,5080106,24046.2,60326,1572025,30.94,Pharma
2019-11-20,CIPLA, EQ, 20-Nov-2019,472.1,472.0,483.7,468.65,480.65,482.6,479.21,4080054,19551.98,45014,1211394,29.69,Pharma
2019-11-21,CIPLA, EQ, 21-Nov-2019,482.6,482.6,492.3,476.6,485.0,485.5,486.14,5600894,27227.96,68254,2005994,35.82,Pharma
2019-11-22,CIPLA, EQ, 22-Nov-2019,485.5,485.0,485.0,472.7,478.65,478.85,478.81,2778328,13302.91,43339,640477,23.05,Pharma
2019-11-25,CIPLA, EQ, 25-Nov-2019,478.85,478.25,485.35,475.9,483.25,483.5,482.04,1465490,7064.18,23548,311665,21.27,Pharma
2019-11-26,CIPLA, EQ, 26-Nov-2019,483.5,483.0,490.55,476.7,478.4,478.55,482.61,3880896,18729.5,41373,2011286,51.83,Pharma
2019-11-27,CIPLA, EQ, 27-Nov-2019,478.55,475.0,475.0,464.55,468.0,468.0,468.09,3494515,16357.53,55599,944164,27.02,Pharma
2019-11-28,CIPLA, EQ, 28-Nov-2019,468.0,472.0,476.5,464.1,469.2,468.35,469.94,2933958,13787.99,43105,523823,17.85,Pharma
2019-11-29,CIPLA, EQ, 29-Nov-2019,468.35,469.65,473.4,465.6,467.0,466.7,468.53,1307574,6126.34,35757,366803,28.05,Pharma
2019-12-02,CIPLA, EQ, 02-Dec-2019,466.7,469.6,469.6,455.35,463.5,464.0,461.87,2492362,11511.39,35785,920299,36.92,Pharma
2019-12-03,CIPLA, EQ, 03-Dec-2019,464.0,465.0,465.85,460.0,465.5,464.25,462.75,1067139,4938.17,25298,472402,44.27,Pharma
2019-12-04,CIPLA, EQ, 04-Dec-2019,464.25,463.0,471.85,462.0,469.0,470.0,468.36,1426757,6682.32,30525,486383,34.09,Pharma
2019-12-05,CIPLA, EQ, 05-Dec-2019,470.0,469.5,470.3,460.4,462.4,461.6,463.89,1483537,6881.91,25332,802399,54.09,Pharma
2019-12-06,CIPLA, EQ, 06-Dec-2019,461.6,463.0,467.0,454.0,455.5,455.45,461.67,2520045,11634.19,35180,1602559,63.59,Pharma
2019-12-09,CIPLA, EQ, 09-Dec-2019,455.45,457.4,457.75,444.6,449.5,447.9,450.02,3761784,16928.81,35815,1678267,44.61,Pharma
2019-12-10,CIPLA, EQ, 10-Dec-2019,447.9,450.6,454.95,449.5,452.8,453.05,452.94,2807906,12718.18,40146,1186800,42.27,Pharma
2019-12-11,CIPLA, EQ, 11-Dec-2019,453.05,453.0,453.1,446.7,449.95,449.95,449.53,1806996,8122.98,47502,657628,36.39,Pharma
2019-12-12,CIPLA, EQ, 12-Dec-2019,449.95,452.2,463.1,452.2,460.0,461.05,459.44,2730092,12543.02,58643,691400,25.33,Pharma
2019-12-13,CIPLA, EQ, 13-Dec-2019,461.05,461.05,465.0,456.6,460.65,461.25,460.85,1213599,5592.88,21613,325448,26.82,Pharma
2019-12-16,CIPLA, EQ, 16-Dec-2019,461.25,463.05,464.75,457.5,458.0,458.25,461.17,903737,4167.78,23326,251013,27.78,Pharma
2019-12-17,CIPLA, EQ, 17-Dec-2019,458.25,462.05,466.2,460.35,463.5,463.95,463.16,2434853,11277.19,61124,770470,31.64,Pharma
2019-12-18,CIPLA, EQ, 18-Dec-2019,463.95,464.0,469.25,461.5,467.65,467.8,466.26,1705929,7954.01,32427,706747,41.43,Pharma
2019-12-19,CIPLA, EQ, 19-Dec-2019,467.8,465.65,471.5,464.8,467.35,467.6,468.12,1485123,6952.14,36482,371966,25.05,Pharma
2019-12-20,CIPLA, EQ, 20-Dec-2019,467.6,466.9,474.45,463.9,467.8,465.75,468.86,2248997,10544.6,38431,792072,35.22,Pharma
2019-12-23,CIPLA, EQ, 23-Dec-2019,465.75,467.0,469.0,464.5,467.2,467.85,466.41,866023,4039.25,22296,276761,31.96,Pharma
