Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,COALINDIA, EQ, 23-Aug-2019,180.85,180.85,189.4,180.15,187.8,188.0,185.04,11447263,21182.2,104146,5855955,51.16
2019-10-01,COALINDIA, EQ, 01-Oct-2019,199.85,200.0,200.6,190.75,194.15,194.1,194.94,10416295,20305.57,54682,5001096,48.01
2019-10-03,COALINDIA, EQ, 03-Oct-2019,194.1,193.0,193.0,185.25,187.4,186.75,188.04,12270678,23074.38,102074,4381316,35.71
2019-10-04,COALINDIA, EQ, 04-Oct-2019,186.75,187.7,189.35,182.15,186.45,185.8,185.88,12238072,22747.53,110583,4125309,33.71
2019-10-07,COALINDIA, EQ, 07-Oct-2019,185.8,186.95,188.2,183.0,184.0,184.4,185.15,6160378,11405.71,60092,1988226,32.27
2019-10-09,COALINDIA, EQ, 09-Oct-2019,184.4,184.8,186.7,183.0,185.7,185.35,185.23,5808768,10759.35,40309,2342231,40.32
2019-10-10,COALINDIA, EQ, 10-Oct-2019,185.35,185.0,185.9,183.7,184.7,184.55,185.0,4047661,7488.25,29251,1321312,32.64
2019-10-11,COALINDIA, EQ, 11-Oct-2019,184.55,185.25,190.25,185.25,189.0,189.05,188.29,7104915,13377.92,50351,2146233,30.21
2019-10-14,COALINDIA, EQ, 14-Oct-2019,189.05,189.6,190.8,187.95,190.3,190.1,189.78,6340044,12032.07,46022,2716471,42.85
2019-10-15,COALINDIA, EQ, 15-Oct-2019,190.1,189.0,192.7,188.05,191.25,191.15,190.58,5459056,10404.03,39669,1753496,32.12
2019-10-16,COALINDIA, EQ, 16-Oct-2019,191.15,192.3,196.2,191.35,194.2,194.55,194.46,7396404,14383.05,82432,2745869,37.12
2019-10-17,COALINDIA, EQ, 17-Oct-2019,194.55,194.0,199.95,192.9,198.85,199.4,197.58,6611768,13063.62,62621,2669552,40.38
2019-10-18,COALINDIA, EQ, 18-Oct-2019,199.4,198.8,206.5,197.75,206.0,205.95,204.2,12709671,25953.04,87808,6179197,48.62
2019-10-22,COALINDIA, EQ, 22-Oct-2019,205.95,206.0,209.95,203.3,209.95,208.8,206.28,9795154,20205.11,150851,4821320,49.22
2019-10-23,COALINDIA, EQ, 23-Oct-2019,208.8,209.4,211.7,206.55,208.7,208.8,209.04,7137614,14920.61,52389,3202840,44.87
2019-10-24,COALINDIA, EQ, 24-Oct-2019,208.8,210.0,210.0,204.4,205.1,205.2,206.73,8470734,17511.7,43646,4877347,57.58
2019-10-25,COALINDIA, EQ, 25-Oct-2019,205.2,206.6,206.95,203.0,206.2,205.85,205.23,5368529,11017.89,36060,3167870,59.01
2019-10-27,COALINDIA, EQ, 27-Oct-2019,205.85,206.7,208.8,201.55,203.0,202.85,204.22,755888,1543.66,8854,288700,38.19
2019-10-29,COALINDIA, EQ, 29-Oct-2019,202.85,204.0,210.45,199.6,209.4,209.75,207.52,6925785,14372.11,74743,3160693,45.64
2019-10-30,COALINDIA, EQ, 30-Oct-2019,209.75,210.75,210.95,205.6,206.05,206.25,206.91,4487164,9284.26,48903,1899103,42.32
2019-10-31,COALINDIA, EQ, 31-Oct-2019,206.25,207.0,209.0,206.0,208.25,207.55,207.32,6655719,13798.51,39490,3927791,59.01
2019-11-01,COALINDIA, EQ, 01-Nov-2019,207.55,205.0,208.0,201.85,206.85,207.1,205.3,7118433,14614.38,78782,2748007,38.6
2019-11-04,COALINDIA, EQ, 04-Nov-2019,207.1,206.0,215.6,205.8,214.95,215.0,211.92,8489492,17990.9,57309,2780629,32.75
