Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2020-08-20,COFORGE, EQ, 20-Aug-2020,2017.45,2000.0,2028.0,1990.45,2000.0,2002.5,2011.07,102303,2057.38,6617,25468,24.89
2020-08-21,COFORGE, EQ, 21-Aug-2020,2002.5,2009.95,2019.4,1974.15,1986.0,1984.6,2001.23,126598,2533.52,6214,52479,41.45
2020-08-24,COFORGE, EQ, 24-Aug-2020,1984.6,1988.0,2000.0,1945.4,1957.0,1955.45,1965.86,140538,2762.78,8461,44193,31.45
2020-08-25,COFORGE, EQ, 25-Aug-2020,1955.45,1958.0,1973.25,1931.6,1937.65,1943.55,1953.12,113506,2216.91,9262,25030,22.05
2020-08-26,COFORGE, EQ, 26-Aug-2020,1943.55,1950.0,1958.6,1920.15,1952.95,1950.1,1941.31,102513,1990.1,5538,28858,28.15
2020-08-27,COFORGE, EQ, 27-Aug-2020,1950.1,1970.0,1975.0,1934.0,1948.0,1940.15,1949.36,149884,2921.77,9540,45825,30.57
2020-08-28,COFORGE, EQ, 28-Aug-2020,1940.15,1945.2,2024.45,1945.2,2007.0,2001.45,1972.92,156148,3080.67,11343,56442,36.15
2020-08-31,COFORGE, EQ, 31-Aug-2020,2001.45,2020.0,2035.0,1910.1,1931.85,1924.0,1974.15,190664,3763.99,10108,35541,18.64
2020-09-01,COFORGE, EQ, 01-Sep-2020,1924.0,1933.5,1949.95,1880.5,1895.0,1891.0,1910.43,113377,2165.99,7952,19044,16.8
2020-09-02,COFORGE, EQ, 02-Sep-2020,1891.0,1895.0,1959.9,1892.5,1959.9,1945.95,1925.3,83162,1601.11,5556,12253,14.73
2020-09-03,COFORGE, EQ, 03-Sep-2020,1945.95,1965.2,1992.55,1942.25,1966.0,1960.45,1971.39,153257,3021.3,9902,34282,22.37
2020-09-04,COFORGE, EQ, 04-Sep-2020,1960.45,1921.0,1974.7,1910.9,1921.9,1919.1,1937.3,83977,1626.89,6310,20761,24.72
2020-09-07,COFORGE, EQ, 07-Sep-2020,1919.1,1922.0,1947.15,1885.0,1917.85,1922.5,1910.36,79638,1521.37,5264,9795,12.3
2020-09-08,COFORGE, EQ, 08-Sep-2020,1922.5,1932.0,1984.9,1910.0,1940.7,1944.15,1954.84,225447,4407.12,13341,28337,12.57
