Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,COLPAL, EQ, 23-Aug-2019,1189.9,1191.0,1203.95,1181.2,1193.7,1191.35,1190.94,294334,3505.34,14553,145376,49.39,FMCG
2019-10-01,COLPAL, EQ, 01-Oct-2019,1503.95,1500.0,1520.95,1478.8,1499.0,1495.85,1499.97,528435,7926.35,58360,263090,49.79,FMCG
2019-10-03,COLPAL, EQ, 03-Oct-2019,1495.85,1499.7,1501.95,1477.35,1492.9,1489.75,1495.15,322883,4827.6,45043,147953,45.82,FMCG
2019-10-04,COLPAL, EQ, 04-Oct-2019,1489.75,1496.95,1507.85,1442.1,1444.2,1446.0,1461.27,481659,7038.36,54516,200263,41.58,FMCG
2019-10-07,COLPAL, EQ, 07-Oct-2019,1446.0,1440.0,1470.65,1434.55,1464.75,1465.25,1461.56,502087,7338.32,53622,269446,53.67,FMCG
2019-10-09,COLPAL, EQ, 09-Oct-2019,1465.25,1462.75,1503.9,1457.4,1499.9,1498.7,1481.53,497854,7375.84,68754,227673,45.73,FMCG
2019-10-10,COLPAL, EQ, 10-Oct-2019,1498.7,1494.95,1503.65,1483.55,1500.0,1496.2,1493.67,242765,3626.11,38806,100877,41.55,FMCG
2019-10-11,COLPAL, EQ, 11-Oct-2019,1496.2,1496.7,1518.4,1491.25,1498.65,1498.65,1505.88,775154,11672.91,103014,451962,58.31,FMCG
2019-10-14,COLPAL, EQ, 14-Oct-2019,1498.65,1507.35,1529.0,1502.7,1523.25,1520.5,1520.95,548021,8335.13,53488,292678,53.41,FMCG
2019-10-15,COLPAL, EQ, 15-Oct-2019,1520.5,1529.8,1569.85,1528.0,1551.05,1557.6,1554.58,1093280,16995.89,84543,447574,40.94,FMCG
2019-10-16,COLPAL, EQ, 16-Oct-2019,1557.6,1551.0,1557.95,1520.2,1525.2,1526.0,1531.83,659434,10101.44,59813,356756,54.1,FMCG
2019-10-17,COLPAL, EQ, 17-Oct-2019,1526.0,1529.9,1535.2,1514.2,1526.1,1530.4,1528.26,526950,8053.17,29663,303895,57.67,FMCG
2019-10-18,COLPAL, EQ, 18-Oct-2019,1530.4,1535.0,1547.4,1528.95,1543.0,1540.8,1540.67,431992,6655.58,26826,256987,59.49,FMCG
2019-10-22,COLPAL, EQ, 22-Oct-2019,1540.8,1546.0,1554.9,1524.0,1538.5,1533.2,1539.92,437466,6736.62,28294,235426,53.82,FMCG
2019-10-23,COLPAL, EQ, 23-Oct-2019,1533.2,1542.0,1586.7,1533.0,1564.0,1560.2,1565.23,723368,11322.34,41129,290497,40.16,FMCG
2019-10-24,COLPAL, EQ, 24-Oct-2019,1560.2,1565.0,1569.65,1540.95,1564.0,1564.05,1558.76,586741,9145.89,39842,154541,26.34,FMCG
2019-10-25,COLPAL, EQ, 25-Oct-2019,1564.05,1564.0,1569.0,1496.85,1519.05,1519.55,1530.83,1352011,20696.97,85534,615602,45.53,FMCG
2019-10-27,COLPAL, EQ, 27-Oct-2019,1519.55,1532.7,1534.95,1512.9,1528.0,1527.9,1526.08,66683,1017.64,4377,23329,34.98,FMCG
2019-10-29,COLPAL, EQ, 29-Oct-2019,1527.9,1535.0,1535.0,1499.85,1514.9,1513.0,1520.43,386782,5880.77,32079,214747,55.52,FMCG
2019-10-30,COLPAL, EQ, 30-Oct-2019,1513.0,1521.65,1539.4,1510.05,1535.0,1535.25,1522.45,440097,6700.25,46778,300325,68.24,FMCG
2019-10-31,COLPAL, EQ, 31-Oct-2019,1535.25,1540.05,1560.0,1534.0,1550.0,1549.2,1543.63,372636,5752.12,29608,202845,54.44,FMCG
2019-11-01,COLPAL, EQ, 01-Nov-2019,1549.2,1558.8,1564.5,1528.0,1529.9,1534.25,1543.51,460658,7110.3,51677,315094,68.4,FMCG
2019-11-04,COLPAL, EQ, 04-Nov-2019,1534.25,1530.0,1554.95,1528.0,1550.75,1552.45,1542.19,450746,6951.37,35838,226325,50.21,FMCG
2019-11-05,COLPAL, EQ, 05-Nov-2019,1552.45,1544.9,1549.1,1513.15,1522.05,1522.95,1524.42,647110,9864.65,39294,361198,55.82,FMCG
2019-11-06,COLPAL, EQ, 06-Nov-2019,1522.95,1523.1,1557.0,1508.15,1546.35,1547.3,1538.37,759900,11690.11,46532,362090,47.65,FMCG
2019-11-07,COLPAL, EQ, 07-Nov-2019,1547.3,1549.0,1611.0,1535.0,1600.2,1601.3,1585.53,1368053,21690.87,54113,577459,42.21,FMCG
2019-11-08,COLPAL, EQ, 08-Nov-2019,1601.3,1623.0,1642.6,1562.0,1576.0,1579.65,1597.33,2829810,45201.53,136869,1412252,49.91,FMCG
2019-11-11,COLPAL, EQ, 11-Nov-2019,1579.65,1575.65,1611.75,1575.65,1592.15,1589.85,1597.6,697289,11139.89,66701,330195,47.35,FMCG
2019-11-13,COLPAL, EQ, 13-Nov-2019,1589.85,1599.0,1602.6,1547.7,1560.0,1560.8,1568.73,1042685,16356.94,65578,667226,63.99,FMCG
2019-11-14,COLPAL, EQ, 14-Nov-2019,1560.8,1555.0,1559.1,1539.95,1545.0,1547.2,1547.97,601227,9306.84,40036,394269,65.58,FMCG
2019-11-15,COLPAL, EQ, 15-Nov-2019,1547.2,1550.0,1589.95,1538.05,1570.0,1578.9,1564.28,806638,12618.09,39748,436470,54.11,FMCG
