Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,CONCOR, EQ, 23-Aug-2019,482.3,482.0,510.05,475.7,486.95,487.75,496.42,1305391,6480.21,35166,420276,32.2,Logistics
2019-10-01,CONCOR, EQ, 01-Oct-2019,604.75,635.0,666.0,615.0,643.0,640.2,640.3,8702870,55724.9,154553,2415964,27.76,Logistics
2019-10-03,CONCOR, EQ, 03-Oct-2019,640.2,635.0,642.75,622.3,630.9,631.85,632.23,1868252,11811.6,42745,695493,37.23,Logistics
2019-10-04,CONCOR, EQ, 04-Oct-2019,631.85,633.0,638.8,611.25,614.0,614.8,620.25,2227939,13818.83,84466,646457,29.02,Logistics
2019-10-07,CONCOR, EQ, 07-Oct-2019,614.8,601.0,601.0,561.05,575.05,573.8,574.61,3305170,18991.92,75328,894619,27.07,Logistics
2019-10-09,CONCOR, EQ, 09-Oct-2019,573.8,576.1,579.5,562.25,568.7,571.0,568.72,2770455,15756.25,72375,1601802,57.82,Logistics
2019-10-10,CONCOR, EQ, 10-Oct-2019,571.0,561.55,571.35,561.15,566.0,566.5,566.12,811503,4594.06,21324,311884,38.43,Logistics
2019-10-11,CONCOR, EQ, 11-Oct-2019,566.5,569.3,569.55,559.0,562.35,564.2,563.87,798696,4503.62,26680,348522,43.64,Logistics
2019-10-14,CONCOR, EQ, 14-Oct-2019,564.2,570.95,597.8,564.65,578.3,578.25,583.53,3189291,18610.63,98983,1156614,36.27,Logistics
2019-10-15,CONCOR, EQ, 15-Oct-2019,578.25,586.95,598.0,582.45,595.2,595.0,590.35,3221765,19019.57,76952,1510648,46.89,Logistics
2019-10-16,CONCOR, EQ, 16-Oct-2019,595.0,598.0,608.0,590.35,607.9,604.7,599.86,1710063,10257.92,43372,659477,38.56,Logistics
2019-10-17,CONCOR, EQ, 17-Oct-2019,604.7,607.5,609.5,597.45,597.9,599.4,602.08,2718516,16367.53,37369,1655223,60.89,Logistics
2019-10-18,CONCOR, EQ, 18-Oct-2019,599.4,599.0,620.4,595.2,609.25,611.5,609.1,2556249,15570.21,57522,1293868,50.62,Logistics
2019-10-22,CONCOR, EQ, 22-Oct-2019,611.5,629.9,632.75,603.75,607.0,607.95,615.25,2847565,17519.78,52606,947915,33.29,Logistics
2019-10-23,CONCOR, EQ, 23-Oct-2019,607.95,608.0,617.4,602.65,610.9,613.05,610.97,1076177,6575.1,26891,365168,33.93,Logistics
2019-10-24,CONCOR, EQ, 24-Oct-2019,613.05,609.0,613.8,582.85,586.0,586.95,596.13,2699775,16094.16,39968,1287854,47.7,Logistics
2019-10-25,CONCOR, EQ, 25-Oct-2019,586.95,591.15,598.0,583.7,587.1,588.25,591.69,1076084,6367.03,27474,260689,24.23,Logistics
2019-10-27,CONCOR, EQ, 27-Oct-2019,588.25,590.0,603.45,588.1,603.0,600.8,597.73,215363,1287.3,5176,61802,28.7,Logistics
2019-10-29,CONCOR, EQ, 29-Oct-2019,600.8,603.9,605.25,591.35,597.35,597.3,598.58,1160422,6946.03,33603,567970,48.95,Logistics
2019-10-30,CONCOR, EQ, 30-Oct-2019,597.3,602.3,607.8,588.45,591.9,592.85,596.91,1751576,10455.39,37902,485149,27.7,Logistics
2019-10-31,CONCOR, EQ, 31-Oct-2019,592.85,586.0,608.6,582.0,588.05,588.35,593.88,3399357,20188.25,71043,1149407,33.81,Logistics
2019-11-01,CONCOR, EQ, 01-Nov-2019,588.35,585.5,595.0,571.4,579.55,580.7,583.6,2025302,11819.7,29082,884657,43.68,Logistics
2019-11-04,CONCOR, EQ, 04-Nov-2019,580.7,579.9,591.2,577.05,579.55,578.7,581.72,1582095,9203.33,24512,648666,41.0,Logistics
2019-11-05,CONCOR, EQ, 05-Nov-2019,578.7,581.5,586.5,572.35,577.0,576.85,577.27,811208,4682.85,25209,349612,43.1,Logistics
2019-11-06,CONCOR, EQ, 06-Nov-2019,576.85,577.5,585.0,573.0,580.0,580.4,579.39,1184456,6862.65,16839,716449,60.49,Logistics
2019-11-07,CONCOR, EQ, 07-Nov-2019,580.4,580.0,586.4,577.8,578.0,579.6,581.65,542342,3154.53,11744,257857,47.55,Logistics
2019-11-08,CONCOR, EQ, 08-Nov-2019,579.6,579.9,584.15,568.05,569.0,570.9,576.14,1215210,7001.27,38306,738657,60.78,Logistics
2019-11-11,CONCOR, EQ, 11-Nov-2019,570.9,573.6,586.6,562.85,582.95,582.35,578.19,1452164,8396.33,38043,674516,46.45,Logistics
2019-11-13,CONCOR, EQ, 13-Nov-2019,582.35,582.0,591.7,575.1,576.8,577.0,583.52,1480592,8639.53,34934,388314,26.23,Logistics
2019-11-14,CONCOR, EQ, 14-Nov-2019,577.0,577.0,582.95,572.15,574.0,575.4,576.61,771324,4447.5,33918,455609,59.07,Logistics
2019-11-15,CONCOR, EQ, 15-Nov-2019,575.4,576.1,581.7,568.25,570.35,570.7,574.65,1025774,5894.6,18295,586393,57.17,Logistics
2019-11-18,CONCOR, EQ, 18-Nov-2019,570.7,577.0,577.85,565.75,567.65,569.15,570.12,1941042,11066.28,46146,1003904,51.72,Logistics
2019-11-19,CONCOR, EQ, 19-Nov-2019,569.15,570.9,572.55,564.55,567.8,568.15,568.19,1313981,7465.91,18859,835860,63.61,Logistics
2019-11-20,CONCOR, EQ, 20-Nov-2019,568.15,580.0,584.6,571.6,579.9,578.15,577.91,5306743,30668.04,116423,2532206,47.72,Logistics
2019-11-21,CONCOR, EQ, 21-Nov-2019,578.15,603.0,603.0,573.25,575.15,577.15,581.37,4868875,28306.35,74533,1870628,38.42,Logistics
2019-11-22,CONCOR, EQ, 22-Nov-2019,577.15,575.15,575.8,554.25,559.8,558.15,562.88,1569013,8831.65,38310,484946,30.91,Logistics
2019-11-25,CONCOR, EQ, 25-Nov-2019,558.15,557.0,565.5,553.5,557.2,559.15,560.88,919300,5156.18,26683,310052,33.73,Logistics
2019-11-26,CONCOR, EQ, 26-Nov-2019,559.15,559.9,564.6,555.0,556.0,557.15,560.1,2039345,11422.43,37401,1042684,51.13,Logistics
2019-11-27,CONCOR, EQ, 27-Nov-2019,557.15,557.0,560.5,550.3,550.35,551.45,554.75,1350016,7489.25,24502,650011,48.15,Logistics
2019-11-28,CONCOR, EQ, 28-Nov-2019,551.45,552.5,557.4,547.7,552.5,552.85,552.22,1222592,6751.43,40273,578988,47.36,Logistics
2019-11-29,CONCOR, EQ, 29-Nov-2019,552.85,556.0,580.75,553.8,578.7,579.0,572.07,2342285,13399.55,45797,794059,33.9,Logistics
2019-12-02,CONCOR, EQ, 02-Dec-2019,579.0,579.9,580.45,565.0,571.0,572.0,570.5,1275873,7278.88,29511,636755,49.91,Logistics
2019-12-03,CONCOR, EQ, 03-Dec-2019,572.0,575.0,575.0,555.2,558.1,560.25,564.92,810428,4578.26,18465,339265,41.86,Logistics
2019-12-04,CONCOR, EQ, 04-Dec-2019,560.25,559.0,564.35,554.1,556.0,555.85,557.87,670540,3740.73,17568,316021,47.13,Logistics
