Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,COROMANDEL, EQ, 23-Aug-2019,357.75,354.95,362.0,351.0,360.0,360.05,356.1,90208,321.23,2277,37234,41.28
2019-10-01,COROMANDEL, EQ, 01-Oct-2019,415.4,419.0,421.6,411.1,413.0,413.7,415.22,81134,336.88,5508,57203,70.5
2019-10-03,COROMANDEL, EQ, 03-Oct-2019,413.7,415.9,417.5,410.7,417.0,412.6,414.25,54915,227.48,2235,36006,65.57
2019-10-04,COROMANDEL, EQ, 04-Oct-2019,412.6,413.55,420.0,401.1,405.0,408.25,407.31,98133,399.7,4554,44289,45.13
2019-10-07,COROMANDEL, EQ, 07-Oct-2019,408.25,407.0,414.7,402.6,408.1,408.3,408.21,53611,218.85,2415,31999,59.69
2019-10-09,COROMANDEL, EQ, 09-Oct-2019,408.3,407.45,410.9,400.55,403.75,403.85,404.51,117727,476.22,4575,72347,61.45
2019-10-10,COROMANDEL, EQ, 10-Oct-2019,403.85,403.8,407.7,399.95,402.15,403.45,403.49,32295,130.31,1968,14499,44.9
2019-10-11,COROMANDEL, EQ, 11-Oct-2019,403.45,404.15,406.0,400.3,404.3,404.9,403.11,45251,182.41,2342,26850,59.34
2019-10-14,COROMANDEL, EQ, 14-Oct-2019,404.9,401.0,413.5,400.75,406.5,406.95,406.36,93129,378.44,3432,73875,79.33
2019-10-15,COROMANDEL, EQ, 15-Oct-2019,406.95,409.5,410.35,400.35,403.55,406.95,403.34,328308,1324.18,2936,299613,91.26
2019-10-16,COROMANDEL, EQ, 16-Oct-2019,406.95,406.8,412.0,403.1,408.0,408.05,407.95,81093,330.82,6847,46848,57.77
2019-10-17,COROMANDEL, EQ, 17-Oct-2019,408.05,406.25,414.0,404.0,411.0,411.45,409.47,105692,432.77,9617,66930,63.33
2019-10-18,COROMANDEL, EQ, 18-Oct-2019,411.45,411.1,421.7,409.05,419.0,418.35,417.06,295109,1230.78,14920,230079,77.96
2019-10-22,COROMANDEL, EQ, 22-Oct-2019,418.35,419.9,422.0,414.1,418.0,418.3,418.07,347440,1452.54,6869,311730,89.72
2019-10-23,COROMANDEL, EQ, 23-Oct-2019,418.3,425.0,458.8,423.0,451.0,449.25,446.71,789642,3527.39,20559,426447,54.01
2019-10-24,COROMANDEL, EQ, 24-Oct-2019,449.25,451.95,472.5,451.95,466.0,469.2,464.04,508229,2358.41,7780,336382,66.19
2019-10-25,COROMANDEL, EQ, 25-Oct-2019,469.2,469.0,482.2,462.05,480.2,478.8,472.18,351323,1658.87,7506,275015,78.28
2019-10-27,COROMANDEL, EQ, 27-Oct-2019,478.8,480.0,483.0,468.2,471.2,472.5,474.3,17422,82.63,731,10030,57.57
2019-10-29,COROMANDEL, EQ, 29-Oct-2019,472.5,472.0,483.0,468.65,470.4,472.5,479.18,313370,1501.59,10949,258384,82.45
2019-10-30,COROMANDEL, EQ, 30-Oct-2019,472.5,473.0,473.0,465.0,470.0,470.55,470.23,149693,703.9,5216,115674,77.27
2019-10-31,COROMANDEL, EQ, 31-Oct-2019,470.55,472.95,478.85,470.0,476.0,475.4,472.36,276696,1307.0,5950,199298,72.03
2019-11-01,COROMANDEL, EQ, 01-Nov-2019,475.4,478.8,499.0,472.85,473.7,477.0,487.24,260899,1271.2,13447,159943,61.3
2019-11-04,COROMANDEL, EQ, 04-Nov-2019,477.0,477.9,485.5,456.1,466.0,466.15,478.2,331155,1583.59,8886,275765,83.27
2019-11-05,COROMANDEL, EQ, 05-Nov-2019,466.15,468.9,474.0,457.05,458.2,460.5,465.65,76355,355.55,6627,40288,52.76
2019-11-06,COROMANDEL, EQ, 06-Nov-2019,460.5,461.75,472.5,458.3,470.55,469.1,465.06,103672,482.14,5846,59341,57.24
2019-11-07,COROMANDEL, EQ, 07-Nov-2019,469.1,476.9,476.9,464.9,470.65,469.25,467.91,82685,386.89,4600,44939,54.35
2019-11-08,COROMANDEL, EQ, 08-Nov-2019,469.25,471.4,474.0,466.75,468.3,469.7,470.59,72309,340.28,6805,52079,72.02
2019-11-11,COROMANDEL, EQ, 11-Nov-2019,469.7,471.5,480.95,470.05,476.75,475.95,478.56,293578,1404.94,8500,201895,68.77
2019-11-13,COROMANDEL, EQ, 13-Nov-2019,475.95,480.0,480.0,466.4,476.0,475.45,473.06,101730,481.24,3413,67130,65.99
2019-11-14,COROMANDEL, EQ, 14-Nov-2019,475.45,479.7,479.7,470.1,475.35,476.05,474.73,140098,665.09,3531,112218,80.1
2019-11-15,COROMANDEL, EQ, 15-Nov-2019,476.05,473.15,480.0,472.95,479.9,476.55,476.12,55004,261.89,3707,31841,57.89
2019-11-18,COROMANDEL, EQ, 18-Nov-2019,476.55,479.9,480.0,469.4,475.0,473.45,473.3,66726,315.82,3719,39270,58.85
2019-11-19,COROMANDEL, EQ, 19-Nov-2019,473.45,472.0,477.45,471.3,473.25,475.3,474.86,43968,208.78,2422, 31824, 72.38
2019-11-20,COROMANDEL, EQ, 20-Nov-2019,475.3,475.3,475.3,467.25,468.7,469.55,470.39,68751,323.39,2656, 41694, 60.64
2019-11-21,COROMANDEL, EQ, 21-Nov-2019,469.55,469.0,471.95,461.0,466.45,464.8,465.11,141900,659.99,3851,83852,59.09
2019-11-22,COROMANDEL, EQ, 22-Nov-2019,464.8,463.4,468.95,458.0,466.0,466.95,464.65,50670,235.44,3060,21821,43.06
2019-11-25,COROMANDEL, EQ, 25-Nov-2019,466.95,467.0,476.0,465.3,475.0,473.85,469.67,35969,168.93,1624,24494,68.1
2019-11-26,COROMANDEL, EQ, 26-Nov-2019,473.85,478.0,478.0,470.1,473.9,475.05,474.89,86065,408.71,3617, 59443, 69.07
