Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,CROMPTON, EQ, 23-Aug-2019,223.55,222.4,226.95,222.4,223.5,225.25,224.85,180711,406.33,7539,77931,43.12
2019-10-01,CROMPTON, EQ, 01-Oct-2019,250.3,251.85,255.6,241.1,246.0,246.5,247.73,341404,845.76,10220,218552,64.02
2019-10-03,CROMPTON, EQ, 03-Oct-2019,246.5,244.0,247.9,239.2,243.25,244.0,242.69,607080,1473.34,10494,482408,79.46
2019-10-04,CROMPTON, EQ, 04-Oct-2019,244.0,245.0,247.6,243.5,244.35,245.1,245.88,407326,1001.55,16315,317922,78.05
2019-10-07,CROMPTON, EQ, 07-Oct-2019,245.1,245.0,258.5,240.2,252.0,254.05,249.48,293741,732.83,6435,206693,70.37
2019-10-09,CROMPTON, EQ, 09-Oct-2019,254.05,254.05,262.5,252.1,259.0,259.6,259.69,874901,2272.01,48773,608697,69.57
2019-10-10,CROMPTON, EQ, 10-Oct-2019,259.6,259.55,260.05,256.15,256.95,257.6,258.01,493507,1273.31,14903,434925,88.13
2019-10-11,CROMPTON, EQ, 11-Oct-2019,257.6,257.9,260.8,255.2,256.05,256.45,256.56,574858,1474.86,21866,442662,77.0
2019-10-14,CROMPTON, EQ, 14-Oct-2019,256.45,256.0,259.95,250.1,253.95,253.6,254.24,737906,1876.07,23707,613679,83.16
2019-10-15,CROMPTON, EQ, 15-Oct-2019,253.6,253.1,255.75,248.65,254.0,253.15,252.6,767892,1939.72,5959,682554,88.89
2019-10-16,CROMPTON, EQ, 16-Oct-2019,253.15,255.0,262.0,253.1,257.9,259.2,258.02,993599,2563.73,14980,834345,83.97
2019-10-17,CROMPTON, EQ, 17-Oct-2019,259.2,261.4,268.05,258.5,264.9,263.5,261.83,889279,2328.4,20466,675766,75.99
2019-10-18,CROMPTON, EQ, 18-Oct-2019,263.5,265.0,268.8,263.5,266.5,266.1,266.55,288820,769.84,6985,165765,57.39
2019-10-22,CROMPTON, EQ, 22-Oct-2019,266.1,266.45,269.0,263.15,265.8,265.5,266.33,765312,2038.22,6599,682689,89.2
2019-10-23,CROMPTON, EQ, 23-Oct-2019,265.5,268.5,268.8,261.25,262.5,262.65,265.09,214799,569.4,8810,119836,55.79
2019-10-24,CROMPTON, EQ, 24-Oct-2019,262.65,262.65,265.6,251.0,254.85,255.1,257.1,584198,1501.97,18645,375398,64.26
2019-10-25,CROMPTON, EQ, 25-Oct-2019,255.1,253.65,256.95,250.75,253.55,254.75,254.53,1781939,4535.65,11982,1627402,91.33
2019-10-27,CROMPTON, EQ, 27-Oct-2019,254.75,255.15,259.9,253.2,257.0,256.3,256.34,37169,95.28,1403,22577,60.74
2019-10-29,CROMPTON, EQ, 29-Oct-2019,256.3,255.0,258.4,251.05,254.0,254.4,255.32,884749,2258.96,17367,757528,85.62
2019-10-30,CROMPTON, EQ, 30-Oct-2019,254.4,254.0,254.75,248.3,249.05,249.45,250.3,414063,1036.38,8999,292436,70.63
2019-10-31,CROMPTON, EQ, 31-Oct-2019,249.45,250.0,255.15,242.05,255.0,248.9,250.4,1245092,3117.75,28943,783220,62.9
2019-11-01,CROMPTON, EQ, 01-Nov-2019,248.9,251.7,256.7,251.1,252.0,253.1,253.71,1123889,2851.41,19123,954396,84.92
2019-11-04,CROMPTON, EQ, 04-Nov-2019,253.1,254.1,258.0,253.85,255.0,254.95,256.08,737983,1889.79,13888,556110,75.36
2019-11-05,CROMPTON, EQ, 05-Nov-2019,254.95,255.45,255.45,248.05,248.7,249.15,249.73,1119164,2794.86,13874,1033845,92.38
2019-11-06,CROMPTON, EQ, 06-Nov-2019,249.15,249.15,253.3,246.95,249.0,248.95,249.24,660503,1646.27,13478,514716,77.93
2019-11-07,CROMPTON, EQ, 07-Nov-2019,248.95,250.5,256.8,249.1,255.0,255.1,254.66,913035,2325.09,18621,688510,75.41
2019-11-08,CROMPTON, EQ, 08-Nov-2019,255.1,255.1,261.35,254.1,257.0,257.55,258.46,393290,1016.51,9774,216488,55.05
2019-11-11,CROMPTON, EQ, 11-Nov-2019,257.55,257.1,266.9,257.1,259.25,259.75,263.06,507438,1334.85,17322,260043,51.25
2019-11-13,CROMPTON, EQ, 13-Nov-2019,259.75,259.6,263.8,256.6,261.0,259.1,258.7,1190521,3079.82,18100,1046487,87.9
2019-11-14,CROMPTON, EQ, 14-Nov-2019,259.1,259.7,263.5,256.55,261.0,260.25,260.46,473633,1233.61,7858,379909,80.21
2019-11-15,CROMPTON, EQ, 15-Nov-2019,260.25,259.0,262.75,258.85,260.0,260.05,260.06,926521,2409.47,5699,843251,91.01
2019-11-18,CROMPTON, EQ, 18-Nov-2019,260.05,260.05,268.2,259.55,265.0,264.8,262.91,3194286,8397.96,13097,2847652,89.15
2019-11-19,CROMPTON, EQ, 19-Nov-2019,264.8,265.15,268.0,264.2,265.3,265.0,265.29,972977,2581.25,12466, 830557, 85.36
2019-11-20,CROMPTON, EQ, 20-Nov-2019,265.0,265.1,265.25,254.5,257.0,257.15,258.81,2127892,5507.15,7399, 1975527, 92.84
2019-11-21,CROMPTON, EQ, 21-Nov-2019,257.15,256.3,257.15,250.0,252.25,251.55,252.11,409406,1032.17,17286,259964,63.5
2019-11-22,CROMPTON, EQ, 22-Nov-2019,251.55,253.0,258.95,250.0,251.15,254.65,252.37,393639,993.41,11444,243248,61.79
2019-11-25,CROMPTON, EQ, 25-Nov-2019,254.65,252.6,254.35,250.3,252.0,252.0,252.48,362212,914.53,6117,282406,77.97
2019-11-26,CROMPTON, EQ, 26-Nov-2019,252.0,252.05,256.45,250.0,250.0,250.1,252.11,801343,2020.28,10096, 690672, 86.19
2019-11-27,CROMPTON, EQ, 27-Nov-2019,250.1,250.0,251.1,240.45,244.0,244.15,244.88,639915,1567.05,19986,428111,66.9
2019-11-28,CROMPTON, EQ, 28-Nov-2019,244.15,245.5,250.25,244.35,247.4,247.55,248.07,724449,1797.14,6429,638466,88.13
2019-11-29,CROMPTON, EQ, 29-Nov-2019,247.55,247.3,256.0,246.1,255.95,254.65,250.65,393032,985.14,4819,272647,69.37
2019-12-02,CROMPTON, EQ, 02-Dec-2019,254.65,257.5,257.5,248.0,251.7,252.0,251.85,256290,645.46,10339, 150947, 58.90
2019-12-03,CROMPTON, EQ, 03-Dec-2019,252.0,263.15,267.0,245.0,245.7,246.65,250.7,1654795,4148.58,25006,943218,57.0
2019-12-04,CROMPTON, EQ, 04-Dec-2019,246.65,246.4,257.4,244.05,256.0,255.5,250.6,609543,1527.5,16847,352705,57.86
2019-12-05,CROMPTON, EQ, 05-Dec-2019,255.5,255.55,255.8,251.0,253.3,254.0,254.08,466418,1185.08,23483,314711,67.47
2019-12-06,CROMPTON, EQ, 06-Dec-2019,254.0,254.4,254.45,245.3,247.0,247.65,247.94,939899,2330.38,11054,663031,70.54
2019-12-09,CROMPTON, EQ, 09-Dec-2019,247.65,247.45,249.9,245.15,247.0,247.1,247.22,295504,730.54,9989,211652,71.62
2019-12-10,CROMPTON, EQ, 10-Dec-2019,247.1,247.45,247.45,241.35,243.1,243.05,243.01,1233521,2997.56,23232,1025375,83.13
2019-12-11,CROMPTON, EQ, 11-Dec-2019,243.05,242.9,247.3,241.0,243.05,243.0,244.34,285084,696.58,7991,168667,59.16
2019-12-12,CROMPTON, EQ, 12-Dec-2019,243.0,244.65,246.4,242.9,243.4,243.1,244.26,145239,354.76,6119,87849,60.49
2019-12-13,CROMPTON, EQ, 13-Dec-2019,243.1,244.3,249.85,243.25,244.0,245.15,246.39,272075,670.36,12591,169358,62.25
2019-12-16,CROMPTON, EQ, 16-Dec-2019,245.15,244.1,245.25,240.6,242.5,242.4,243.8,1434223,3496.57,26518,1276499,89.0
2019-12-17,CROMPTON, EQ, 17-Dec-2019,242.4,243.9,244.35,241.25,243.1,242.95,243.32,2280256,5548.22,16932,2105352,92.33
2019-12-18,CROMPTON, EQ, 18-Dec-2019,242.95,243.55,246.9,242.5,244.25,245.35,243.73,3290419,8019.61,16244,3007543,91.4
2019-12-19,CROMPTON, EQ, 19-Dec-2019,245.35,245.7,247.65,243.15,247.0,246.15,245.75,937399,2303.61,15581,787843,84.05
2019-12-20,CROMPTON, EQ, 20-Dec-2019,246.15,247.2,249.45,241.5,243.0,242.8,244.98,1237367,3031.29,10322,1054734,85.24
2019-12-23,CROMPTON, EQ, 23-Dec-2019,242.8,242.05,245.7,242.0,243.55,243.65,243.73,375728,915.76,16216,271943,72.38
2019-12-24,CROMPTON, EQ, 24-Dec-2019,243.65,243.8,246.4,243.0,245.6,245.55,245.01,945631,2316.92,11364,834879,88.29
2019-12-26,CROMPTON, EQ, 26-Dec-2019,245.55,246.55,246.9,242.3,243.0,243.0,243.55,312830,761.91,15364,201942,64.55
2019-12-27,CROMPTON, EQ, 27-Dec-2019,243.0,243.05,244.85,240.6,242.55,242.8,242.57,624201,1514.11,23707,485002,77.7
2019-12-30,CROMPTON, EQ, 30-Dec-2019,242.8,243.05,245.0,240.5,241.0,241.55,242.45,276548,670.48,5758,208775,75.49
2019-12-31,CROMPTON, EQ, 31-Dec-2019,241.55,241.85,243.0,237.1,239.0,239.85,241.36,567740,1370.3,20611,447781,78.87
2020-01-01,CROMPTON, EQ, 01-Jan-2020,239.85,239.95,243.0,239.75,242.3,242.5,241.52,196029,473.44,4989,142636,72.76
2020-01-02,CROMPTON, EQ, 02-Jan-2020,242.5,243.0,243.2,240.0,240.5,240.55,241.3,2590099,6249.84,9502,2466833,95.24
2020-01-03,CROMPTON, EQ, 03-Jan-2020,240.55,241.5,242.8,238.0,239.55,240.65,240.53,2072976,4986.15,25343,1766241,85.2
2020-01-06,CROMPTON, EQ, 06-Jan-2020,240.65,240.5,240.5,236.1,237.5,237.95,238.01,439592,1046.28,11987,333629,75.9
2020-01-07,CROMPTON, EQ, 07-Jan-2020,237.95,239.0,240.35,235.9,239.35,239.5,238.88,1202103,2871.6,12602,1059432,88.13
2020-01-08,CROMPTON, EQ, 08-Jan-2020,239.5,238.0,241.4,236.2,239.6,239.65,239.43,760973,1822.0,30106,563686,74.07
2020-01-09,CROMPTON, EQ, 09-Jan-2020,239.65,241.0,242.35,237.05,237.35,238.75,239.19,1162161,2779.72,41562,1002927,86.3
2020-01-10,CROMPTON, EQ, 10-Jan-2020,238.75,238.95,240.5,237.65,238.2,238.55,238.66,746064,1780.56,27785,600320,80.46
