Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,CUB, EQ, 23-Aug-2019,196.05,193.3,195.0,191.1,191.25,191.85,192.78,416383,802.71,12013,283540,68.1
2019-10-01,CUB, EQ, 01-Oct-2019,218.65,217.05,217.85,210.2,211.3,211.3,212.87,1144332,2435.98,14464,958665,83.78
2019-10-03,CUB, EQ, 03-Oct-2019,211.3,210.0,212.9,206.0,212.0,211.25,209.35,409418,857.11,14794,235976,57.64
2019-10-04,CUB, EQ, 04-Oct-2019,211.25,212.2,220.3,210.2,217.95,217.6,216.96,1222349,2652.0,20639,707318,57.87
2019-10-07,CUB, EQ, 07-Oct-2019,217.6,218.95,222.9,214.4,222.0,221.45,220.46,471989,1040.55,5770,281624,59.67
2019-10-09,CUB, EQ, 09-Oct-2019,221.45,221.95,224.25,219.0,221.25,222.45,222.34,310301,689.94,6939,165989,53.49
2019-10-10,CUB, EQ, 10-Oct-2019,222.45,220.1,222.5,216.7,220.45,220.5,220.47,386725,852.62,8736,200999,51.97
2019-10-11,CUB, EQ, 11-Oct-2019,220.5,220.45,224.0,219.0,220.9,221.7,221.71,531470,1178.31,13733,330367,62.16
2019-10-14,CUB, EQ, 14-Oct-2019,221.7,221.0,221.15,216.3,217.5,217.55,218.67,194760,425.88,9520,92821,47.66
2019-10-15,CUB, EQ, 15-Oct-2019,217.55,218.9,218.95,212.5,213.8,213.95,215.26,404695,871.13,16031,248183,61.33
2019-10-16,CUB, EQ, 16-Oct-2019,213.95,214.0,216.75,213.0,213.3,213.65,214.32,361810,775.42,20064,233167,64.44
2019-10-17,CUB, EQ, 17-Oct-2019,213.65,214.0,220.5,213.35,217.0,216.95,218.18,749231,1634.68,13266,216244,28.86
2019-10-18,CUB, EQ, 18-Oct-2019,216.95,217.0,223.2,212.55,213.5,215.55,219.41,1026344,2251.86,23398,639335,62.29
2019-10-22,CUB, EQ, 22-Oct-2019,215.55,214.0,216.4,207.5,210.0,210.15,210.64,1670781,3519.31,36417,1195826,71.57
2019-10-23,CUB, EQ, 23-Oct-2019,210.15,210.2,214.0,207.1,209.05,209.05,208.8,2685226,5606.83,12299,2460619,91.64
2019-10-24,CUB, EQ, 24-Oct-2019,209.05,209.65,211.9,207.55,208.9,208.65,208.87,1058047,2209.93,8925,829393,78.39
2019-10-25,CUB, EQ, 25-Oct-2019,208.65,208.9,212.65,205.1,211.05,209.6,208.99,1962720,4101.87,14344,1652861,84.21
2019-10-27,CUB, EQ, 27-Oct-2019,209.6,208.05,213.9,208.05,212.8,212.65,212.29,48463,102.88,1053,31041,64.05
2019-10-29,CUB, EQ, 29-Oct-2019,212.65,213.75,213.95,209.6,211.0,211.25,212.27,723640,1536.1,9132,598250,82.67
2019-10-30,CUB, EQ, 30-Oct-2019,211.25,212.0,212.0,208.0,208.05,208.35,209.56,269978,565.75,5468,165932,61.46
2019-10-31,CUB, EQ, 31-Oct-2019,208.35,208.35,212.75,207.45,212.0,211.9,210.98,977043,2061.38,14598,759036,77.69
2019-11-01,CUB, EQ, 01-Nov-2019,211.9,210.0,214.35,210.0,212.6,212.95,212.9,782700,1666.36,10167,670703,85.69
2019-11-04,CUB, EQ, 04-Nov-2019,212.95,213.0,214.85,210.35,212.25,212.2,211.99,580093,1229.76,16745,379979,65.5
2019-11-05,CUB, EQ, 05-Nov-2019,212.2,213.5,213.5,204.35,206.0,206.8,206.2,1245138,2567.51,16805,978481,78.58
2019-11-06,CUB, EQ, 06-Nov-2019,206.8,207.45,209.5,204.7,205.1,205.4,206.17,394748,813.86,8350,249134,63.11
