Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,CUMMINSIND, EQ, 23-Aug-2019,568.75,568.15,585.5,559.0,574.0,576.05,576.05,200232,1153.44,9083,47865,23.9
2019-10-01,CUMMINSIND, EQ, 01-Oct-2019,572.8,574.0,579.7,560.25,563.0,563.25,570.26,248081,1414.72,11169,74663,30.1
2019-10-03,CUMMINSIND, EQ, 03-Oct-2019,563.25,564.0,574.0,556.25,558.25,559.5,567.06,466250,2643.9,9099,265050,56.85
2019-10-04,CUMMINSIND, EQ, 04-Oct-2019,559.5,559.55,571.45,538.3,547.1,550.8,554.29,1023935,5675.55,27074,290573,28.38
2019-10-07,CUMMINSIND, EQ, 07-Oct-2019,550.8,550.8,572.8,544.25,564.85,561.45,562.64,1014021,5705.31,22621,670247,66.1
2019-10-09,CUMMINSIND, EQ, 09-Oct-2019,561.45,563.5,578.25,561.5,568.9,568.4,568.5,987965,5616.57,30259,503579,50.97
2019-10-10,CUMMINSIND, EQ, 10-Oct-2019,568.4,568.4,574.0,562.0,563.0,564.75,568.54,332475,1890.27,12669,176951,53.22
2019-10-11,CUMMINSIND, EQ, 11-Oct-2019,564.75,564.65,570.5,559.45,565.0,565.3,565.12,317011,1791.48,6924,174750,55.12
2019-10-14,CUMMINSIND, EQ, 14-Oct-2019,565.3,565.3,576.95,564.95,572.85,572.8,572.31,199099,1139.47,4634,69784,35.05
2019-10-15,CUMMINSIND, EQ, 15-Oct-2019,572.8,574.9,574.9,563.55,569.15,569.3,568.53,140162,796.86,3376,63120,45.03
2019-10-16,CUMMINSIND, EQ, 16-Oct-2019,569.3,569.9,582.0,567.6,575.55,575.5,574.83,652912,3753.13,15256,266528,40.82
2019-10-17,CUMMINSIND, EQ, 17-Oct-2019,575.5,576.9,581.0,560.0,571.05,569.95,566.36,699406,3961.15,12606,317079,45.34
2019-10-18,CUMMINSIND, EQ, 18-Oct-2019,569.95,570.9,594.9,570.0,582.95,583.3,587.66,789534,4639.81,19979,197201,24.98
2019-10-22,CUMMINSIND, EQ, 22-Oct-2019,583.3,586.0,590.0,575.0,578.3,578.7,583.43,459932,2683.36,12838,113991,24.78
2019-10-23,CUMMINSIND, EQ, 23-Oct-2019,578.7,581.5,588.0,574.2,580.95,578.9,583.37,288724,1684.33,6848,122098,42.29
2019-10-24,CUMMINSIND, EQ, 24-Oct-2019,578.9,577.0,591.0,538.3,545.0,546.95,553.85,2801951,15518.67,61271,584587,20.86
2019-10-25,CUMMINSIND, EQ, 25-Oct-2019,546.95,545.0,553.75,532.2,540.0,541.15,542.73,1969631,10689.82,35783,927711,47.1
2019-10-27,CUMMINSIND, EQ, 27-Oct-2019,541.15,541.15,548.0,541.15,546.9,545.8,545.51,34622,188.87,1477,17188,49.64
2019-10-29,CUMMINSIND, EQ, 29-Oct-2019,545.8,546.1,546.95,536.45,541.9,540.8,540.34,489114,2642.85,10321,278543,56.95
2019-10-30,CUMMINSIND, EQ, 30-Oct-2019,540.8,544.0,557.75,541.35,553.0,554.15,549.51,944203,5188.46,14719,607828,64.37
2019-10-31,CUMMINSIND, EQ, 31-Oct-2019,554.15,557.0,557.5,539.5,542.8,543.95,548.77,1302173,7145.92,41993,850634,65.32
2019-11-01,CUMMINSIND, EQ, 01-Nov-2019,543.95,545.0,558.75,541.7,551.0,550.05,550.38,1055623,5809.89,21507,544383,51.57
2019-11-04,CUMMINSIND, EQ, 04-Nov-2019,550.05,552.4,558.8,543.05,546.95,546.6,549.36,460153,2527.91,16118,172405,37.47
2019-11-05,CUMMINSIND, EQ, 05-Nov-2019,546.6,550.0,550.0,541.3,547.0,546.5,544.96,574136,3128.8,16732,276143,48.1
2019-11-06,CUMMINSIND, EQ, 06-Nov-2019,546.5,549.0,554.0,542.2,551.0,551.3,549.34,562286,3088.89,10958,336550,59.85
2019-11-07,CUMMINSIND, EQ, 07-Nov-2019,551.3,553.85,553.85,545.25,552.7,552.2,550.02,681069,3745.99,8385,504458,74.07
2019-11-08,CUMMINSIND, EQ, 08-Nov-2019,552.2,550.7,562.75,548.0,555.1,556.9,557.6,507267,2828.52,11432,138614,27.33
2019-11-11,CUMMINSIND, EQ, 11-Nov-2019,556.9,555.3,564.5,552.85,560.0,559.7,560.84,555723,3116.71,11358,360976,64.96
2019-11-13,CUMMINSIND, EQ, 13-Nov-2019,559.7,561.0,576.9,561.0,565.95,565.7,570.07,1018794,5807.87,22445,273813,26.88
2019-11-14,CUMMINSIND, EQ, 14-Nov-2019,565.7,569.1,569.2,552.7,560.0,560.4,559.59,256669,1436.29,6834,64928,25.3
2019-11-15,CUMMINSIND, EQ, 15-Nov-2019,560.4,560.4,568.2,556.55,562.1,563.6,563.2,224680,1265.39,8133,56600,25.19
2019-11-18,CUMMINSIND, EQ, 18-Nov-2019,563.6,565.95,567.7,554.25,557.5,557.2,558.41,189922,1060.54,6655,80163,42.21
2019-11-19,CUMMINSIND, EQ, 19-Nov-2019,557.2,557.2,567.0,556.7,563.85,562.4,563.24,179194,1009.29,8323, 61932, 34.56
2019-11-20,CUMMINSIND, EQ, 20-Nov-2019,562.4,564.9,571.0,562.25,570.0,569.55,568.86,418796,2382.38,8973, 128771, 30.75
2019-11-21,CUMMINSIND, EQ, 21-Nov-2019,569.55,569.0,574.75,557.6,562.0,562.9,568.24,509317,2894.12,12751,172300,33.83
2019-11-22,CUMMINSIND, EQ, 22-Nov-2019,562.9,563.0,569.45,559.75,567.0,566.85,565.66,440576,2492.17,9580,212813,48.3
2019-11-25,CUMMINSIND, EQ, 25-Nov-2019,566.85,572.0,577.35,561.3,568.8,568.8,569.44,413320,2353.62,11185,85419,20.67
2019-11-26,CUMMINSIND, EQ, 26-Nov-2019,568.8,567.0,572.5,563.6,566.4,566.2,566.21,559467,3167.75,5864, 358135, 64.01
2019-11-27,CUMMINSIND, EQ, 27-Nov-2019,566.2,564.35,568.4,560.6,561.15,562.7,564.2,190085,1072.45,4335,53668,28.23
2019-11-28,CUMMINSIND, EQ, 28-Nov-2019,562.7,560.6,564.75,544.65,545.0,547.3,551.35,1473537,8124.36,14196,1034920,70.23
2019-11-29,CUMMINSIND, EQ, 29-Nov-2019,547.3,548.0,552.0,538.0,542.95,542.25,543.72,826998,4496.53,17130,288972,34.94
2019-12-02,CUMMINSIND, EQ, 02-Dec-2019,542.25,543.25,544.95,535.35,540.9,539.7,539.18,259454,1398.92,7558, 51699, 19.93
2019-12-03,CUMMINSIND, EQ, 03-Dec-2019,539.7,540.0,541.75,527.45,532.5,532.75,533.0,281310,1499.38,8018,74473,26.47
2019-12-04,CUMMINSIND, EQ, 04-Dec-2019,532.75,534.0,539.1,527.5,537.5,537.65,534.11,219540,1172.58,6528,52324,23.83
2019-12-05,CUMMINSIND, EQ, 05-Dec-2019,537.65,539.9,546.05,537.0,539.0,539.35,542.06,332307,1801.29,9636,73189,22.02
2019-12-06,CUMMINSIND, EQ, 06-Dec-2019,539.35,540.9,542.4,519.4,520.0,520.7,526.48,841065,4428.07,12605,448070,53.27
2019-12-09,CUMMINSIND, EQ, 09-Dec-2019,520.7,520.0,532.3,515.3,530.0,527.15,525.79,342495,1800.8,8809,46916,13.7
2019-12-10,CUMMINSIND, EQ, 10-Dec-2019,527.15,528.0,535.5,526.2,527.5,527.5,530.16,543958,2883.83,14375,172662,31.74
2019-12-11,CUMMINSIND, EQ, 11-Dec-2019,527.5,527.5,527.8,504.0,523.5,522.3,513.44,1262201,6480.59,30423,304826,24.15
2019-12-12,CUMMINSIND, EQ, 12-Dec-2019,522.3,524.7,540.0,523.75,539.85,538.85,532.67,355078,1891.39,8656,68721,19.35
2019-12-13,CUMMINSIND, EQ, 13-Dec-2019,538.85,538.8,550.0,530.0,548.6,548.55,544.28,531553,2893.13,14373,161905,30.46
2019-12-16,CUMMINSIND, EQ, 16-Dec-2019,548.55,550.5,554.5,542.05,546.0,545.95,547.82,380512,2084.52,11884,76969,20.23
2019-12-17,CUMMINSIND, EQ, 17-Dec-2019,545.95,545.95,565.0,541.25,561.25,562.05,555.05,928497,5153.6,15301,480703,51.77
2019-12-18,CUMMINSIND, EQ, 18-Dec-2019,562.05,562.4,564.95,556.5,560.95,561.3,560.69,414344,2323.18,8788,70951,17.12
2019-12-19,CUMMINSIND, EQ, 19-Dec-2019,561.3,557.2,563.65,557.2,560.95,560.95,561.4,210520,1181.87,5810,55750,26.48
2019-12-20,CUMMINSIND, EQ, 20-Dec-2019,560.95,560.7,566.0,551.45,557.65,556.15,557.43,339617,1893.14,8072,76359,22.48
2019-12-23,CUMMINSIND, EQ, 23-Dec-2019,556.15,557.0,561.75,548.65,550.65,551.5,554.86,214842,1192.08,5162,50448,23.48
2019-12-24,CUMMINSIND, EQ, 24-Dec-2019,551.5,551.05,557.9,550.5,555.5,555.95,554.17,273424,1515.23,5936,42157,15.42
2019-12-26,CUMMINSIND, EQ, 26-Dec-2019,555.95,555.95,559.4,552.5,553.05,555.4,555.96,395366,2198.09,6972,145192,36.72
2019-12-27,CUMMINSIND, EQ, 27-Dec-2019,555.4,555.1,563.55,553.9,559.0,559.95,560.37,222476,1246.69,6352,61277,27.54
2019-12-30,CUMMINSIND, EQ, 30-Dec-2019,559.95,559.0,568.55,548.0,551.0,549.95,556.33,651196,3622.77,11893,341337,52.42
2019-12-31,CUMMINSIND, EQ, 31-Dec-2019,549.95,553.0,555.95,548.75,551.25,550.85,551.71,226406,1249.11,7133,49172,21.72
2020-01-01,CUMMINSIND, EQ, 01-Jan-2020,550.85,550.85,553.95,548.4,551.5,552.15,551.45,148568,819.28,4549,34638,23.31
2020-01-02,CUMMINSIND, EQ, 02-Jan-2020,552.15,550.1,571.0,550.1,570.05,569.05,563.35,702328,3956.56,8307,412278,58.7
2020-01-03,CUMMINSIND, EQ, 03-Jan-2020,569.05,572.5,589.65,565.0,572.8,573.0,579.21,1823916,10564.3,28675,676536,37.09
2020-01-06,CUMMINSIND, EQ, 06-Jan-2020,573.0,570.3,581.7,562.4,570.5,570.7,573.59,880116,5048.22,28223,229093,26.03
2020-01-07,CUMMINSIND, EQ, 07-Jan-2020,570.7,576.0,582.85,570.5,572.0,573.55,576.03,620142,3572.19,18212,318768,51.4
2020-01-08,CUMMINSIND, EQ, 08-Jan-2020,573.55,567.85,582.7,564.25,578.55,578.4,576.67,574685,3314.01,19821,222649,38.74
2020-01-09,CUMMINSIND, EQ, 09-Jan-2020,578.4,579.1,596.7,579.1,592.0,592.25,591.16,788564,4661.65,19141,213071,27.02
2020-01-10,CUMMINSIND, EQ, 10-Jan-2020,592.25,593.3,600.9,584.15,586.95,588.1,593.19,603502,3579.93,11079,194360,32.21
2020-01-13,CUMMINSIND, EQ, 13-Jan-2020,588.1,591.9,592.4,586.0,590.1,590.4,590.01,242018,1427.93,4791,89891,37.14
2020-01-14,CUMMINSIND, EQ, 14-Jan-2020,590.4,591.85,598.8,589.45,591.75,593.45,593.83,298076,1770.08,8064,81650,27.39
2020-01-15,CUMMINSIND, EQ, 15-Jan-2020,593.45,593.8,595.0,577.05,580.1,580.35,582.47,541744,3155.5,12689,126478,23.35
2020-01-16,CUMMINSIND, EQ, 16-Jan-2020,580.35,582.0,597.25,582.0,592.0,591.8,589.39,749424,4417.06,20648,264242,35.26
2020-01-17,CUMMINSIND, EQ, 17-Jan-2020,591.8,595.45,597.1,577.45,579.95,578.9,586.53,470283,2758.36,13508, 116036, 24.67
2020-01-20,CUMMINSIND, EQ, 20-Jan-2020,578.9,581.7,588.9,573.0,584.75,584.15,581.96,425150,2474.22,14987,108248,25.46
2020-01-21,CUMMINSIND, EQ, 21-Jan-2020,584.15,580.0,592.0,578.7,580.05,580.4,585.56,361234,2115.25,9740,98673,27.32
2020-01-22,CUMMINSIND, EQ, 22-Jan-2020,580.4,579.9,587.65,579.9,582.9,584.15,584.13,215727,1260.12,7569,98902,45.85
2020-01-23,CUMMINSIND, EQ, 23-Jan-2020,584.15,587.0,587.0,568.0,569.0,569.35,573.6,608267,3489.04,12420,261770,43.04
2020-01-24,CUMMINSIND, EQ, 24-Jan-2020,569.35,570.9,606.0,570.35,598.0,595.15,594.31,1515868,9008.95,29287,447859,29.54
2020-01-27,CUMMINSIND, EQ, 27-Jan-2020,595.15,594.0,608.95,590.15,603.9,605.25,604.33,1922343,11617.38,33669,758264,39.44
2020-01-28,CUMMINSIND, EQ, 28-Jan-2020,605.25,608.4,614.4,583.6,594.0,588.35,602.81,1051918,6341.09,26087,242616,23.06
2020-01-29,CUMMINSIND, EQ, 29-Jan-2020,588.35,624.0,652.8,594.0,597.55,601.2,618.62,18713513,115765.72,313450,2666134,14.25
2020-01-30,CUMMINSIND, EQ, 30-Jan-2020,601.2,597.9,600.95,580.1,587.0,584.6,589.49,1929888,11376.58,40073,378431,19.61
2020-01-31,CUMMINSIND, EQ, 31-Jan-2020,584.6,585.0,595.45,572.2,574.0,574.55,580.04,991940,5753.65,23561,255171,25.72
2020-02-01,CUMMINSIND, EQ, 01-Feb-2020,574.55,568.0,585.0,552.0,562.0,562.1,574.85,889597,5113.8,17608,264054,29.68
