Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,CYIENT, EQ, 23-Aug-2019,440.6,440.6,444.35,437.45,439.5,439.4,441.4,141096,622.8,13615,103582,73.41
2019-10-01,CYIENT, EQ, 01-Oct-2019,465.35,469.0,475.95,460.0,463.95,463.4,465.46,58656,273.02,7332,32363,55.17
2019-10-03,CYIENT, EQ, 03-Oct-2019,463.4,463.4,470.0,455.85,466.0,466.8,466.45,96805,451.55,4760,85162,87.97
2019-10-04,CYIENT, EQ, 04-Oct-2019,466.8,461.0,470.2,457.3,457.9,458.5,464.03,20993,97.41,1546,12127,57.77
2019-10-07,CYIENT, EQ, 07-Oct-2019,458.5,460.0,462.8,445.95,452.0,450.1,449.51,266457,1197.74,2397,252171,94.64
2019-10-09,CYIENT, EQ, 09-Oct-2019,450.1,450.1,454.7,445.4,447.0,447.35,449.48,66229,297.69,5035,54203,81.84
2019-10-10,CYIENT, EQ, 10-Oct-2019,447.35,452.0,462.95,451.0,460.0,455.85,457.45,59083,270.27,4123,34835,58.96
2019-10-11,CYIENT, EQ, 11-Oct-2019,455.85,457.35,471.0,452.0,454.8,456.3,464.72,77191,358.73,5389,48332,62.61
2019-10-14,CYIENT, EQ, 14-Oct-2019,456.3,459.95,467.05,452.65,453.0,458.35,460.67,67670,311.74,5252,48832,72.16
2019-10-15,CYIENT, EQ, 15-Oct-2019,458.35,460.0,463.45,451.55,455.8,455.3,458.21,179155,820.91,4567,120977,67.53
2019-10-16,CYIENT, EQ, 16-Oct-2019,455.3,456.0,460.0,451.0,452.5,453.0,456.13,41786,190.6,2893,21123,50.55
2019-10-17,CYIENT, EQ, 17-Oct-2019,453.0,455.85,460.0,441.15,448.0,447.65,449.15,227378,1021.26,11600,133963,58.92
2019-10-18,CYIENT, EQ, 18-Oct-2019,447.65,455.0,459.0,439.3,448.0,448.1,449.74,346430,1558.05,15611,201045,58.03
2019-10-22,CYIENT, EQ, 22-Oct-2019,448.1,446.75,448.05,421.2,422.0,423.1,430.6,264200,1137.64,7849,178013,67.38
2019-10-23,CYIENT, EQ, 23-Oct-2019,423.1,424.0,427.45,422.0,423.5,423.4,424.56,57008,242.03,3363,24306,42.64
2019-10-24,CYIENT, EQ, 24-Oct-2019,423.4,427.0,428.05,396.3,399.1,405.05,413.87,156236,646.61,5146,75085,48.06
2019-10-25,CYIENT, EQ, 25-Oct-2019,405.05,407.9,409.0,396.85,403.7,400.9,400.79,268550,1076.32,4831,208917,77.79
2019-10-27,CYIENT, EQ, 27-Oct-2019,400.9,400.0,409.7,400.0,408.7,408.25,407.63,11291,46.02,670,8198,72.61
2019-10-29,CYIENT, EQ, 29-Oct-2019,408.25,406.25,415.0,402.15,405.5,406.25,406.07,94689,384.5,3823,52177,55.1
2019-10-30,CYIENT, EQ, 30-Oct-2019,406.25,406.0,406.0,398.0,400.0,399.3,400.79,100942,404.56,3239,57015,56.48
2019-10-31,CYIENT, EQ, 31-Oct-2019,399.3,399.45,409.0,396.5,407.5,406.75,404.0,142247,574.68,8840,86699,60.95
2019-11-01,CYIENT, EQ, 01-Nov-2019,406.75,406.75,409.9,401.5,408.0,408.05,407.5,76694,312.53,3884,39626,51.67
2019-11-04,CYIENT, EQ, 04-Nov-2019,408.05,409.5,424.95,409.5,410.75,411.5,417.87,175980,735.38,10594,85984,48.86
2019-11-05,CYIENT, EQ, 05-Nov-2019,411.5,412.0,414.85,400.25,402.0,401.15,404.77,112323,454.65,7484,71651,63.79
2019-11-06,CYIENT, EQ, 06-Nov-2019,401.15,401.15,404.5,380.0,388.0,387.6,390.79,558783,2183.67,14798,372942,66.74
2019-11-07,CYIENT, EQ, 07-Nov-2019,387.6,387.6,392.8,384.05,386.0,385.45,386.64,455960,1762.91,5479,417519,91.57
2019-11-08,CYIENT, EQ, 08-Nov-2019,385.45,388.5,393.0,388.45,391.2,391.55,391.37,80626,315.54,2742,45702,56.68
2019-11-11,CYIENT, EQ, 11-Nov-2019,391.55,392.0,399.9,392.0,398.15,398.4,397.09,55334,219.73,1787,31382,56.71
2019-11-13,CYIENT, EQ, 13-Nov-2019,398.4,402.4,404.9,397.0,401.0,399.95,399.78,112494,449.72,6740,77973,69.31
2019-11-14,CYIENT, EQ, 14-Nov-2019,399.95,399.95,409.0,385.7,400.1,399.7,396.56,168702,669.01,10405,80589,47.77
2019-11-15,CYIENT, EQ, 15-Nov-2019,399.7,401.95,401.95,395.0,399.5,397.1,398.61,114548,456.6,10143,79919,69.77
2019-11-18,CYIENT, EQ, 18-Nov-2019,397.1,400.0,400.0,393.15,396.55,396.6,395.66,44781,177.18,4387,28094,62.74
2019-11-19,CYIENT, EQ, 19-Nov-2019,396.6,396.0,398.95,393.0,398.1,397.2,396.26,42069,166.7,2756, 27155, 64.55
2019-11-20,CYIENT, EQ, 20-Nov-2019,397.2,398.0,400.0,394.05,397.0,398.5,396.36,34634,137.28,2232, 18844, 54.41
2019-11-21,CYIENT, EQ, 21-Nov-2019,398.5,397.0,400.0,394.1,398.0,398.25,397.07,49657,197.17,1921,29467,59.34
2019-11-22,CYIENT, EQ, 22-Nov-2019,398.25,399.0,403.15,391.55,392.9,392.85,395.02,76199,301.0,2778,49457,64.91
2019-11-25,CYIENT, EQ, 25-Nov-2019,392.85,395.0,396.7,389.0,395.3,395.35,391.7,98524,385.91,4665,54190,55.0
