Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,DABUR, EQ, 23-Aug-2019,427.5,426.0,429.65,422.85,424.5,424.4,427.38,1681100,7184.65,40617,959534,57.08,FMCG
2019-10-01,DABUR, EQ, 01-Oct-2019,447.25,446.0,451.5,438.0,438.9,439.65,445.46,1043636,4648.97,42547,448324,42.96,FMCG
2019-10-03,DABUR, EQ, 03-Oct-2019,439.65,436.1,438.95,431.65,433.5,433.65,435.02,1637904,7125.28,35173,1111174,67.84,FMCG
2019-10-04,DABUR, EQ, 04-Oct-2019,433.65,434.75,436.05,424.25,425.1,425.7,429.69,2334293,10030.11,28189,1627559,69.72,FMCG
2019-10-07,DABUR, EQ, 07-Oct-2019,425.7,425.15,433.95,421.5,431.45,432.55,430.43,1546043,6654.56,18488,903215,58.42,FMCG
2019-10-09,DABUR, EQ, 09-Oct-2019,432.55,432.8,445.75,431.25,441.65,443.8,439.66,1488325,6543.55,24545,735739,49.43,FMCG
2019-10-10,DABUR, EQ, 10-Oct-2019,443.8,443.4,443.45,436.45,439.3,439.4,439.74,571364,2512.52,13903,152648,26.72,FMCG
2019-10-11,DABUR, EQ, 11-Oct-2019,439.4,441.4,447.0,440.0,445.0,445.6,444.01,846266,3757.54,20686,299630,35.41,FMCG
2019-10-14,DABUR, EQ, 14-Oct-2019,445.6,446.85,456.85,444.0,455.1,455.0,453.02,2030424,9198.29,24522,1213494,59.77,FMCG
2019-10-15,DABUR, EQ, 15-Oct-2019,455.0,458.6,459.05,447.4,450.0,450.0,452.12,2746832,12419.0,35717,1132983,41.25,FMCG
2019-10-16,DABUR, EQ, 16-Oct-2019,450.0,452.0,458.0,450.0,455.85,456.1,453.9,927864,4211.53,18431,384760,41.47,FMCG
2019-10-17,DABUR, EQ, 17-Oct-2019,456.1,455.95,463.6,454.4,463.05,462.4,459.77,1122519,5161.04,19194,443011,39.47,FMCG
2019-10-18,DABUR, EQ, 18-Oct-2019,462.4,462.5,467.7,461.0,465.5,466.5,464.85,918558,4269.96,19448,323817,35.25,FMCG
2019-10-22,DABUR, EQ, 22-Oct-2019,466.5,466.0,480.0,465.7,471.0,472.6,473.9,1981127,9388.6,44539,903113,45.59,FMCG
2019-10-23,DABUR, EQ, 23-Oct-2019,472.6,474.0,478.1,468.35,471.5,471.75,472.43,1432436,6767.24,25667,718893,50.19,FMCG
2019-10-24,DABUR, EQ, 24-Oct-2019,471.75,472.05,479.0,464.3,468.85,469.8,470.82,1429210,6728.99,29917,707285,49.49,FMCG
2019-10-25,DABUR, EQ, 25-Oct-2019,469.8,472.15,472.8,463.0,465.6,465.55,467.38,649773,3036.88,16859,244795,37.67,FMCG
2019-10-27,DABUR, EQ, 27-Oct-2019,465.55,468.65,470.8,467.0,468.95,469.3,469.47,153353,719.94,4168,58572,38.19,FMCG
2019-10-29,DABUR, EQ, 29-Oct-2019,469.3,469.3,469.9,458.7,465.05,465.85,464.38,1134661,5269.12,49573,662900,58.42,FMCG
2019-10-30,DABUR, EQ, 30-Oct-2019,465.85,465.85,467.8,456.95,462.0,460.35,461.27,1796647,8287.46,32243,1027782,57.21,FMCG
2019-10-31,DABUR, EQ, 31-Oct-2019,460.35,462.0,465.0,458.15,462.0,461.95,460.82,1885493,8688.65,46125,1311357,69.55,FMCG
2019-11-01,DABUR, EQ, 01-Nov-2019,461.95,462.5,471.95,461.0,463.9,463.85,466.73,1818491,8487.44,27779,854306,46.98,FMCG
2019-11-04,DABUR, EQ, 04-Nov-2019,463.85,464.2,467.95,458.0,458.2,460.4,463.5,1679706,7785.49,38453,824247,49.07,FMCG
2019-11-05,DABUR, EQ, 05-Nov-2019,460.4,459.05,483.4,455.2,482.9,481.35,474.1,8858287,41997.48,112850,1490589,16.83,FMCG
2019-11-06,DABUR, EQ, 06-Nov-2019,481.35,484.5,487.7,473.5,477.85,476.55,481.01,3883468,18679.93,61326,751681,19.36,FMCG
2019-11-07,DABUR, EQ, 07-Nov-2019,476.55,478.55,480.8,472.0,479.7,477.7,476.61,1456741,6943.0,22120,687208,47.17,FMCG
2019-11-08,DABUR, EQ, 08-Nov-2019,477.7,477.7,484.3,471.6,474.9,473.65,478.18,1561299,7465.76,26490,409324,26.22,FMCG
2019-11-11,DABUR, EQ, 11-Nov-2019,473.65,474.4,480.6,472.1,477.15,477.45,477.74,1100336,5256.71,32349,494354,44.93,FMCG
2019-11-13,DABUR, EQ, 13-Nov-2019,477.45,479.0,480.65,462.45,465.0,463.9,471.23,1734670,8174.23,32800,836791,48.24,FMCG
2019-11-14,DABUR, EQ, 14-Nov-2019,463.9,465.5,468.75,455.0,461.6,462.55,463.18,1593020,7378.48,26046,782983,49.15,FMCG
2019-11-15,DABUR, EQ, 15-Nov-2019,462.55,464.5,466.6,460.05,461.0,461.7,463.0,594085,2750.61,14392,186451,31.38,FMCG
2019-11-18,DABUR, EQ, 18-Nov-2019,461.7,461.7,462.85,452.2,455.1,455.1,455.14,1318573,6001.4,31883,537810,40.79,FMCG
2019-11-19,DABUR, EQ, 19-Nov-2019,455.1,455.9,456.65,448.6,456.5,453.7,452.16,1811882,8192.61,45502,1030090,56.85,FMCG
2019-11-20,DABUR, EQ, 20-Nov-2019,453.7,458.0,470.9,455.5,470.0,468.8,464.69,2389925,11105.8,48830,1026858,42.97,FMCG
2019-11-21,DABUR, EQ, 21-Nov-2019,468.8,470.0,473.9,462.4,463.75,464.25,467.94,2168444,10146.98,94660,1053546,48.59,FMCG
2019-11-22,DABUR, EQ, 22-Nov-2019,464.25,464.1,464.9,457.05,463.8,463.8,461.6,1117561,5158.63,21076,569971,51.0,FMCG
2019-11-25,DABUR, EQ, 25-Nov-2019,463.8,463.7,470.7,463.65,470.5,469.6,467.35,1229982,5748.27,27538,620301,50.43,FMCG
2019-11-26,DABUR, EQ, 26-Nov-2019,469.6,470.3,476.95,459.0,466.35,462.75,464.12,6724984,31211.8,69543,5501296,81.8,FMCG
2019-11-27,DABUR, EQ, 27-Nov-2019,462.75,465.1,470.45,462.85,468.6,469.3,467.06,1173971,5483.1,23538,586173,49.93,FMCG
2019-11-28,DABUR, EQ, 28-Nov-2019,469.3,467.0,471.75,464.3,466.0,466.25,466.96,893025,4170.08,20655,428255,47.96,FMCG
2019-11-29,DABUR, EQ, 29-Nov-2019,466.25,466.75,466.9,457.3,458.4,459.1,459.94,3751777,17255.94,68748,2412944,64.31,FMCG
2019-12-02,DABUR, EQ, 02-Dec-2019,459.1,458.9,459.1,449.25,453.6,453.75,451.73,3468701,15669.2,45738,2392097,68.96,FMCG
2019-12-03,DABUR, EQ, 03-Dec-2019,453.75,453.6,454.8,449.7,453.0,451.05,451.5,2600811,11742.7,36245,1762566,67.77,FMCG
2019-12-04,DABUR, EQ, 04-Dec-2019,451.05,452.9,458.75,446.15,457.85,457.8,453.04,3264668,14790.19,45053,2011224,61.61,FMCG
2019-12-05,DABUR, EQ, 05-Dec-2019,457.8,456.1,466.85,455.6,466.5,466.1,462.5,2047971,9471.96,36587,1177999,57.52,FMCG
2019-12-06,DABUR, EQ, 06-Dec-2019,466.1,468.75,471.85,460.9,463.25,463.8,466.77,1614204,7534.62,24387,569307,35.27,FMCG
2019-12-09,DABUR, EQ, 09-Dec-2019,463.8,463.85,468.5,461.5,463.05,465.35,464.34,1721369,7992.97,37685,1079738,62.73,FMCG
2019-12-10,DABUR, EQ, 10-Dec-2019,465.35,463.65,464.9,455.0,458.5,456.9,459.23,1963909,9018.8,36653,1180809,60.13,FMCG
2019-12-11,DABUR, EQ, 11-Dec-2019,456.9,458.5,459.15,448.4,451.4,451.4,451.84,2047964,9253.42,52031,1274886,62.25,FMCG
2019-12-12,DABUR, EQ, 12-Dec-2019,451.4,453.1,460.35,451.7,458.75,457.7,456.61,974325,4448.88,26601,530222,54.42,FMCG
2019-12-13,DABUR, EQ, 13-Dec-2019,457.7,460.0,462.8,457.65,459.75,460.0,459.88,855397,3933.82,29764,468094,54.72,FMCG
2019-12-16,DABUR, EQ, 16-Dec-2019,460.0,461.0,462.0,456.0,458.0,459.5,459.46,903982,4153.42,16986,542863,60.05,FMCG
2019-12-17,DABUR, EQ, 17-Dec-2019,459.5,459.0,462.4,456.4,460.0,460.6,460.15,1011059,4652.36,40368,667563,66.03,FMCG
2019-12-18,DABUR, EQ, 18-Dec-2019,460.6,458.5,464.2,457.2,463.0,462.8,460.2,1178799,5424.8,24014,620355,52.63,FMCG
2019-12-19,DABUR, EQ, 19-Dec-2019,462.8,463.6,466.0,458.5,459.9,460.0,461.87,1348905,6230.21,16588,570547,42.3,FMCG
2019-12-20,DABUR, EQ, 20-Dec-2019,460.0,459.9,461.95,457.7,459.45,459.8,460.0,1603344,7375.36,18140,1006985,62.81,FMCG
2019-12-23,DABUR, EQ, 23-Dec-2019,459.8,458.0,462.9,456.95,460.1,461.0,460.41,1339055,6165.14,21022,845635,63.15,FMCG
2019-12-24,DABUR, EQ, 24-Dec-2019,461.0,459.5,461.0,454.65,457.75,457.7,457.28,748881,3424.47,13404,321304,42.9,FMCG
2019-12-26,DABUR, EQ, 26-Dec-2019,457.7,457.7,461.2,456.7,456.85,457.6,458.99,744378,3416.62,15854,394658,53.02,FMCG
2019-12-27,DABUR, EQ, 27-Dec-2019,457.6,459.9,460.9,455.9,459.15,459.8,459.35,1081584,4968.22,19303,634932,58.7,FMCG
2019-12-30,DABUR, EQ, 30-Dec-2019,459.8,459.5,465.65,458.35,463.0,462.6,463.17,1349981,6252.68,27018,781282,57.87,FMCG
2019-12-31,DABUR, EQ, 31-Dec-2019,462.6,462.6,466.8,457.5,458.0,458.4,461.85,1167751,5393.27,22093,476851,40.83,FMCG
2020-01-01,DABUR, EQ, 01-Jan-2020,458.4,459.7,460.8,457.55,459.0,459.8,459.73,495678,2278.8,9069,278581,56.2,FMCG
2020-01-02,DABUR, EQ, 02-Jan-2020,459.8,459.8,462.2,458.0,460.1,459.95,460.36,502422,2312.94,13149,233847,46.54,FMCG
2020-01-03,DABUR, EQ, 03-Jan-2020,459.95,459.0,460.7,453.55,457.0,455.6,456.53,1376230,6282.91,21527,769172,55.89,FMCG
2020-01-06,DABUR, EQ, 06-Jan-2020,455.6,454.0,456.45,445.7,449.0,448.0,450.66,1415568,6379.33,27837,650530,45.96,FMCG
2020-01-07,DABUR, EQ, 07-Jan-2020,448.0,450.3,456.0,449.15,452.75,453.5,453.29,966767,4382.24,35195,469532,48.57,FMCG
2020-01-08,DABUR, EQ, 08-Jan-2020,453.5,449.8,457.95,446.6,456.65,456.65,454.11,1291151,5863.25,23634,760848,58.93,FMCG
2020-01-09,DABUR, EQ, 09-Jan-2020,456.65,459.15,464.0,457.75,460.75,460.7,461.08,1811623,8353.0,55758,1352659,74.67,FMCG
2020-01-10,DABUR, EQ, 10-Jan-2020,460.7,463.0,469.0,459.9,469.0,466.85,464.84,1037751,4823.88,23980,622187,59.96,FMCG
2020-01-13,DABUR, EQ, 13-Jan-2020,466.85,469.75,479.45,469.5,477.75,478.7,475.94,2755979,13116.72,33278,1032435,37.46,FMCG
2020-01-14,DABUR, EQ, 14-Jan-2020,478.7,480.95,483.65,477.55,483.3,482.65,480.89,1804874,8679.41,34719,1036665,57.44,FMCG
2020-01-15,DABUR, EQ, 15-Jan-2020,482.65,481.95,492.1,480.25,489.8,490.55,486.42,1346372,6549.09,32937,668866,49.68,FMCG
2020-01-16,DABUR, EQ, 16-Jan-2020,490.55,491.75,494.4,485.35,487.7,487.6,488.66,2012701,9835.24,31692,1212119,60.22,FMCG
2020-01-17,DABUR, EQ, 17-Jan-2020,487.6,488.0,491.95,486.7,488.25,489.65,488.79,1015739,4964.79,24510,628832,61.91,FMCG
2020-01-20,DABUR, EQ, 20-Jan-2020,489.65,489.65,492.7,484.55,485.2,486.05,488.6,1406615,6872.67,23304,452797,32.19,FMCG
2020-01-21,DABUR, EQ, 21-Jan-2020,486.05,485.4,488.35,480.45,487.5,487.0,485.29,788507,3826.53,22632,350651,44.47,FMCG
2020-01-22,DABUR, EQ, 22-Jan-2020,487.0,489.2,494.0,486.25,487.0,486.8,489.6,1140015,5581.47,23053,424116,37.2,FMCG
2020-01-23,DABUR, EQ, 23-Jan-2020,486.8,486.7,492.0,482.75,492.0,489.8,486.21,798731,3883.51,21899,421048,52.71,FMCG
2020-01-24,DABUR, EQ, 24-Jan-2020,489.8,490.05,501.9,490.0,500.15,500.5,498.56,2564212,12784.08,45098,851071,33.19,FMCG
2020-01-27,DABUR, EQ, 27-Jan-2020,500.5,500.4,505.85,491.65,492.6,493.2,499.74,1640739,8199.45,27376,530697,32.34,FMCG
2020-01-28,DABUR, EQ, 28-Jan-2020,493.2,493.25,499.2,486.75,489.9,488.4,491.24,1372031,6739.99,20801,569050,41.48,FMCG
2020-01-29,DABUR, EQ, 29-Jan-2020,488.4,490.9,495.5,488.7,491.35,491.6,491.97,830287,4084.73,16475,372847,44.91,FMCG
2020-01-30,DABUR, EQ, 30-Jan-2020,491.6,492.0,496.2,472.15,478.5,478.75,484.95,7747030,37568.92,111246,2023740,26.12,FMCG
