Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,DALBHARAT, EQ, 23-Aug-2019,933.95,927.15,940.75,909.0,909.0,914.8,920.25,44177,406.54,10833,35829,81.1,Cement
2019-10-01,DALBHARAT, EQ, 01-Oct-2019,822.6,820.3,820.3,796.1,801.1,800.15,803.28,152047,1221.37,3735,108635,71.45,Cement
2019-10-03,DALBHARAT, EQ, 03-Oct-2019,800.15,807.5,814.8,792.0,792.0,794.3,803.64,45131,362.69,3069,31528,69.86,Cement
2019-10-04,DALBHARAT, EQ, 04-Oct-2019,794.3,797.5,803.15,791.55,794.5,795.9,796.0,72660,578.37,2590,56923,78.34,Cement
2019-10-07,DALBHARAT, EQ, 07-Oct-2019,795.9,791.6,794.5,776.85,780.0,779.8,780.19,387620,3024.18,2009,372965,96.22,Cement
2019-10-09,DALBHARAT, EQ, 09-Oct-2019,779.8,779.85,785.95,763.6,773.9,771.5,773.5,32761,253.41,2296,17548,53.56,Cement
2019-10-10,DALBHARAT, EQ, 10-Oct-2019,771.5,775.9,794.7,775.9,778.0,781.85,780.84,35898,280.31,1286,28942,80.62,Cement
2019-10-11,DALBHARAT, EQ, 11-Oct-2019,781.85,784.9,794.9,779.95,784.55,783.0,782.97,27165,212.7,1108,19291,71.01,Cement
2019-10-14,DALBHARAT, EQ, 14-Oct-2019,783.0,780.0,820.0,780.0,807.25,810.45,812.51,58138,472.38,4255,39510,67.96,Cement
2019-10-15,DALBHARAT, EQ, 15-Oct-2019,810.45,808.65,816.0,799.25,806.9,808.8,805.12,242468,1952.15,4307,224193,92.46,Cement
2019-10-16,DALBHARAT, EQ, 16-Oct-2019,808.8,814.9,819.95,802.0,807.15,810.95,807.98,55072,444.97,3000,41485,75.33,Cement
2019-10-17,DALBHARAT, EQ, 17-Oct-2019,810.95,810.55,815.0,797.75,809.0,807.35,805.6,319977,2577.74,2069,301264,94.15,Cement
2019-10-18,DALBHARAT, EQ, 18-Oct-2019,807.35,809.6,832.0,807.65,810.05,817.15,816.82,120027,980.41,3864,87944,73.27,Cement
2019-10-22,DALBHARAT, EQ, 22-Oct-2019,817.15,815.0,838.05,796.8,802.4,804.5,810.46,141546,1147.18,4015,119358,84.32,Cement
2019-10-23,DALBHARAT, EQ, 23-Oct-2019,804.5,805.0,865.25,798.8,810.0,810.5,814.51,160635,1308.38,6246,94283,58.69,Cement
2019-10-24,DALBHARAT, EQ, 24-Oct-2019,810.5,810.0,827.7,805.35,809.0,810.4,812.22,68041,552.64,2059,45115,66.31,Cement
2019-10-25,DALBHARAT, EQ, 25-Oct-2019,810.4,820.0,838.8,806.1,808.0,808.1,812.58,91957,747.23,2967,58361,63.47,Cement
2019-10-27,DALBHARAT, EQ, 27-Oct-2019,808.1,801.1,823.0,801.1,815.0,814.4,813.75,4177,33.99,320,2537,60.74,Cement
2019-10-29,DALBHARAT, EQ, 29-Oct-2019,814.4,819.4,831.95,808.0,810.95,812.85,816.35,102761,838.89,2435,77703,75.62,Cement
2019-10-30,DALBHARAT, EQ, 30-Oct-2019,812.85,819.0,822.0,808.5,814.95,814.35,814.1,39173,318.91,1877,27099,69.18,Cement
2019-10-31,DALBHARAT, EQ, 31-Oct-2019,814.35,817.6,819.0,806.25,808.05,809.8,810.09,83389,675.53,2222,61785,74.09,Cement
2019-11-01,DALBHARAT, EQ, 01-Nov-2019,809.8,810.15,825.3,808.5,811.6,814.3,811.62,108850,883.44,2157,95015,87.29,Cement
2019-11-04,DALBHARAT, EQ, 04-Nov-2019,814.3,815.2,844.0,807.0,814.0,812.75,826.89,100817,833.64,4569,52942,52.51,Cement
2019-11-05,DALBHARAT, EQ, 05-Nov-2019,812.75,818.0,844.0,800.5,823.0,823.35,815.74,4437139,36195.34,27399,3206682,72.27,Cement
2019-11-06,DALBHARAT, EQ, 06-Nov-2019,823.35,827.85,838.45,819.95,820.0,821.15,829.5,169716,1407.8,4456,84610,49.85,Cement
2019-11-07,DALBHARAT, EQ, 07-Nov-2019,821.15,821.55,829.0,815.0,825.0,825.2,822.11,121314,997.33,7862,87021,71.73,Cement
2019-11-08,DALBHARAT, EQ, 08-Nov-2019,825.2,826.0,837.0,816.2,821.0,820.05,829.02,117768,976.32,4263,60862,51.68,Cement
2019-11-11,DALBHARAT, EQ, 11-Nov-2019,820.05,825.0,830.0,815.5,822.9,822.9,822.3,64098,527.08,1827,45811,71.47,Cement
2019-11-13,DALBHARAT, EQ, 13-Nov-2019,822.9,825.0,826.5,815.85,824.0,821.6,821.28,123785,1016.63,4464,105308,85.07,Cement
2019-11-14,DALBHARAT, EQ, 14-Nov-2019,821.6,824.0,841.7,817.9,829.3,829.85,828.38,146853,1216.5,3704,85270,58.06,Cement
2019-11-15,DALBHARAT, EQ, 15-Nov-2019,829.85,830.0,838.5,827.7,833.0,829.8,833.23,81794,681.53,4038,58591,71.63,Cement
2019-11-18,DALBHARAT, EQ, 18-Nov-2019,829.8,834.0,840.0,828.0,834.6,831.6,833.17,61500,512.4,4968,42002,68.3,Cement
2019-11-19,DALBHARAT, EQ, 19-Nov-2019,831.6,833.0,855.0,833.0,847.8,843.2,843.12,96909,817.06,6871,57643,59.48,Cement
2019-11-20,DALBHARAT, EQ, 20-Nov-2019,843.2,850.0,852.5,838.1,840.0,841.0,843.44,53124,448.07,1980,33584,63.22,Cement
2019-11-21,DALBHARAT, EQ, 21-Nov-2019,841.0,836.0,855.0,836.0,853.0,852.2,846.95,122039,1033.61,5034,94837,77.71,Cement
2019-11-22,DALBHARAT, EQ, 22-Nov-2019,852.2,855.0,885.35,855.0,873.0,867.8,871.58,220658,1923.21,8534,125435,56.85,Cement
2019-11-25,DALBHARAT, EQ, 25-Nov-2019,867.8,870.3,883.1,865.0,866.0,871.55,871.77,67761,590.72,2859,40065,59.13,Cement
2019-11-26,DALBHARAT, EQ, 26-Nov-2019,871.55,874.75,877.35,865.0,869.9,868.9,869.43,117274,1019.62,4002,69304,59.1,Cement
2019-11-27,DALBHARAT, EQ, 27-Nov-2019,868.9,870.0,897.7,868.2,882.5,882.25,886.56,89642,794.73,3412,45670,50.95,Cement
2019-11-28,DALBHARAT, EQ, 28-Nov-2019,882.25,887.2,888.0,868.0,883.9,875.55,874.86,55813,488.29,1776,37365,66.95,Cement
