Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,DIVISLAB, EQ, 23-Aug-2019,1568.5,1564.95,1577.45,1540.55,1571.0,1571.6,1561.38,469022,7323.2,40431,168076,35.84,Pharma
2019-10-01,DIVISLAB, EQ, 01-Oct-2019,1665.5,1671.9,1688.95,1607.5,1624.0,1622.55,1651.05,412172,6805.18,21082,130596,31.68,Pharma
2019-10-03,DIVISLAB, EQ, 03-Oct-2019,1622.55,1610.0,1647.9,1595.05,1630.0,1628.35,1625.02,348048,5655.83,29222,125086,35.94,Pharma
2019-10-04,DIVISLAB, EQ, 04-Oct-2019,1628.35,1636.0,1650.0,1619.05,1622.35,1622.25,1636.25,282510,4622.57,24476,130052,46.03,Pharma
2019-10-07,DIVISLAB, EQ, 07-Oct-2019,1622.25,1631.0,1655.95,1616.55,1650.0,1646.65,1641.12,476604,7821.67,26111,220011,46.16,Pharma
2019-10-09,DIVISLAB, EQ, 09-Oct-2019,1646.65,1650.55,1655.0,1621.2,1654.0,1650.6,1640.95,248324,4074.86,23500,101032,40.69,Pharma
2019-10-10,DIVISLAB, EQ, 10-Oct-2019,1650.6,1645.0,1680.0,1641.0,1669.8,1667.15,1668.13,566891,9456.49,26555,295103,52.06,Pharma
2019-10-11,DIVISLAB, EQ, 11-Oct-2019,1667.15,1677.55,1695.0,1651.7,1689.1,1689.95,1681.93,598374,10064.24,29204,291248,48.67,Pharma
2019-10-14,DIVISLAB, EQ, 14-Oct-2019,1689.95,1696.0,1719.7,1670.05,1695.0,1683.7,1694.89,571690,9689.5,27124,161267,28.21,Pharma
2019-10-15,DIVISLAB, EQ, 15-Oct-2019,1683.7,1685.0,1701.8,1679.05,1690.15,1693.1,1689.57,545212,9211.72,23341,290446,53.27,Pharma
2019-10-16,DIVISLAB, EQ, 16-Oct-2019,1693.1,1696.0,1724.8,1690.85,1723.0,1720.2,1708.71,306125,5230.8,18500,108371,35.4,Pharma
2019-10-17,DIVISLAB, EQ, 17-Oct-2019,1720.2,1723.0,1734.3,1705.1,1722.4,1722.95,1716.4,348490,5981.49,14580,126778,36.38,Pharma
2019-10-18,DIVISLAB, EQ, 18-Oct-2019,1722.95,1720.0,1742.6,1717.05,1741.0,1738.0,1733.74,271062,4699.52,13512,93215,34.39,Pharma
2019-10-22,DIVISLAB, EQ, 22-Oct-2019,1738.0,1732.4,1773.55,1726.25,1752.05,1741.15,1749.23,814403,14245.81,33462,522621,64.17,Pharma
2019-10-23,DIVISLAB, EQ, 23-Oct-2019,1741.15,1739.0,1752.4,1725.75,1735.4,1735.35,1736.93,228759,3973.39,10289,75649,33.07,Pharma
2019-10-24,DIVISLAB, EQ, 24-Oct-2019,1735.35,1736.0,1779.05,1735.35,1769.0,1764.05,1756.62,283296,4976.43,10832,96398,34.03,Pharma
2019-10-25,DIVISLAB, EQ, 25-Oct-2019,1764.05,1761.0,1774.0,1747.55,1755.35,1759.15,1760.44,199141,3505.75,7295,29290,14.71,Pharma
2019-10-27,DIVISLAB, EQ, 27-Oct-2019,1759.15,1767.0,1769.8,1753.05,1756.95,1759.5,1760.43,15839,278.84,1091,5658,35.72,Pharma
2019-10-29,DIVISLAB, EQ, 29-Oct-2019,1759.5,1757.0,1761.5,1736.55,1746.2,1754.35,1748.06,343418,6003.16,24846,148962,43.38,Pharma
2019-10-30,DIVISLAB, EQ, 30-Oct-2019,1754.35,1740.05,1760.95,1729.0,1739.95,1736.6,1741.84,335535,5844.47,27793,170533,50.82,Pharma
2019-10-31,DIVISLAB, EQ, 31-Oct-2019,1736.6,1744.0,1759.4,1738.5,1748.9,1755.05,1750.01,334257,5849.52,16567,176640,52.85,Pharma
2019-11-01,DIVISLAB, EQ, 01-Nov-2019,1755.05,1753.0,1771.85,1738.8,1743.0,1743.15,1752.39,339865,5955.77,15375,151296,44.52,Pharma
2019-11-04,DIVISLAB, EQ, 04-Nov-2019,1743.15,1755.0,1755.0,1716.45,1735.0,1735.15,1729.1,515116,8906.87,19377,307034,59.6,Pharma
2019-11-05,DIVISLAB, EQ, 05-Nov-2019,1735.15,1735.0,1738.25,1676.8,1679.4,1687.45,1696.42,587695,9969.8,32362,281751,47.94,Pharma
