Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,DIXON, EQ, 23-Aug-2019,2302.0,2310.0,2360.0,2290.25,2300.0,2320.95,2331.34,5977,139.34,1407,2213,37.03
2019-10-01,DIXON, EQ, 01-Oct-2019,2904.05,2905.0,2940.0,2840.0,2910.0,2902.9,2884.68,6438,185.72,938,4385,68.11
2019-10-03,DIXON, EQ, 03-Oct-2019,2902.9,2904.1,2995.95,2845.0,2931.0,2922.85,2932.2,10333,302.98,2080,5226,50.58
2019-10-04,DIXON, EQ, 04-Oct-2019,2922.85,2923.0,3015.0,2899.25,3000.0,3001.65,2983.39,22833,681.2,4146,11509,50.41
2019-10-07,DIXON, EQ, 07-Oct-2019,3001.65,2992.0,3060.0,2921.0,2938.9,2984.2,3017.13,16448,496.26,2774,9084,55.23
2019-10-09,DIXON, EQ, 09-Oct-2019,2984.2,2950.05,3035.0,2848.4,3025.0,3000.85,2949.32,11173,329.53,2876,5927,53.05
2019-10-10,DIXON, EQ, 10-Oct-2019,3000.85,3031.15,3232.0,2962.0,3000.0,2991.9,3089.52,53168,1642.63,9352,18710,35.19
2019-10-11,DIXON, EQ, 11-Oct-2019,2991.9,3016.0,3098.5,3015.8,3046.0,3056.95,3068.69,10472,321.35,2353,4179,39.91
2019-10-14,DIXON, EQ, 14-Oct-2019,3056.95,3019.0,3144.1,3019.0,3090.0,3080.8,3102.09,9709,301.18,1971,3664,37.74
2019-10-15,DIXON, EQ, 15-Oct-2019,3080.8,3125.0,3125.0,3031.55,3050.0,3052.85,3067.07,4079,125.11,853,1723,42.24
2019-10-16,DIXON, EQ, 16-Oct-2019,3052.85,3080.0,3125.0,3000.0,3010.0,3018.25,3062.48,6197,189.78,1490,2206,35.6
2019-10-17,DIXON, EQ, 17-Oct-2019,3018.25,3023.9,3125.0,3003.0,3030.0,3026.85,3068.03,14366,440.75,3447,5618,39.11
2019-10-18,DIXON, EQ, 18-Oct-2019,3026.85,3068.0,3125.0,3042.65,3100.0,3085.2,3093.77,9378,290.13,2376,3446,36.75
2019-10-22,DIXON, EQ, 22-Oct-2019,3085.2,3100.0,3189.4,2979.8,2990.0,2991.35,3062.14,18937,579.88,3998,8504,44.91
2019-10-23,DIXON, EQ, 23-Oct-2019,2991.35,3029.9,3058.7,2970.0,2994.0,2986.35,3018.55,7158,216.07,2196,3745,52.32
2019-10-24,DIXON, EQ, 24-Oct-2019,2986.35,3000.0,3080.0,3000.0,3011.1,3016.7,3041.1,13809,419.95,1828,3603,26.09
2019-10-25,DIXON, EQ, 25-Oct-2019,3016.7,3012.0,3080.05,2970.0,2970.1,2981.8,3011.74,17794,535.91,2696,8097,45.5
2019-10-27,DIXON, EQ, 27-Oct-2019,2981.8,2999.0,3050.0,2999.0,3042.3,3038.85,3033.73,2363,71.69,549,1506,63.73
2019-10-29,DIXON, EQ, 29-Oct-2019,3038.85,3042.85,3063.8,3007.0,3010.0,3010.8,3023.36,12780,386.38,1853,10227,80.02
2019-10-30,DIXON, EQ, 30-Oct-2019,3010.8,3025.0,3040.0,2963.1,2967.0,2971.55,3000.61,7347,220.45,1763,3924,53.41
2019-10-31,DIXON, EQ, 31-Oct-2019,2971.55,2995.0,3099.55,2901.1,3000.0,3019.95,2995.39,28253,846.29,4687,14633,51.79
2019-11-01,DIXON, EQ, 01-Nov-2019,3019.95,3029.0,3039.0,2975.0,3005.0,3013.35,3006.68,4188,125.92,992,1987,47.45
2019-11-04,DIXON, EQ, 04-Nov-2019,3013.35,3032.0,3040.0,3010.0,3012.0,3015.25,3026.16,4477,135.48,1060,2454,54.81
2019-11-05,DIXON, EQ, 05-Nov-2019,3015.25,3037.95,3037.95,2935.35,2952.0,2952.5,2965.68,8051,238.77,1866,3784,47.0
2019-11-06,DIXON, EQ, 06-Nov-2019,2952.5,2974.95,2975.05,2785.4,2790.0,2811.35,2862.17,16171,462.84,5522,7815,48.33
2019-11-07,DIXON, EQ, 07-Nov-2019,2811.35,2782.0,2809.75,2662.55,2746.7,2747.0,2716.07,28715,779.92,4182,14663,51.06
2019-11-08,DIXON, EQ, 08-Nov-2019,2747.0,2710.0,2788.0,2701.0,2721.05,2729.1,2724.91,9336,254.4,1727,3835,41.08
2019-11-11,DIXON, EQ, 11-Nov-2019,2729.1,2750.0,3049.9,2742.15,3000.0,2989.4,2945.2,58960,1736.49,9270,19365,32.84
2019-11-13,DIXON, EQ, 13-Nov-2019,2989.4,3004.1,3074.9,2921.2,2992.25,2999.7,3006.89,245259,7374.68,17030,106197,43.3
2019-11-14,DIXON, EQ, 14-Nov-2019,2999.7,3060.0,3359.6,3051.0,3278.85,3263.15,3249.82,384991,12511.51,43679,142434,37.0
2019-11-15,DIXON, EQ, 15-Nov-2019,3263.15,3285.0,3375.0,3251.0,3292.0,3281.1,3321.68,116594,3872.88,20809,51335,44.03
2019-11-18,DIXON, EQ, 18-Nov-2019,3281.1,3319.85,3397.0,3315.0,3339.0,3344.9,3355.18,75481,2532.52,10749,35896,47.56
2019-11-19,DIXON, EQ, 19-Nov-2019,3344.9,3359.8,3381.9,3176.5,3240.0,3232.45,3252.12,55600,1808.18,10940, 28514, 51.28
2019-11-20,DIXON, EQ, 20-Nov-2019,3232.45,3262.0,3398.0,3036.4,3130.0,3103.55,3209.65,132428,4250.48,17110, 59528, 44.95
2019-11-21,DIXON, EQ, 21-Nov-2019,3103.55,3096.7,3175.0,3050.0,3152.0,3139.85,3118.79,128632,4011.76,11869,55862,43.43
2019-11-22,DIXON, EQ, 22-Nov-2019,3139.85,3170.0,3205.0,3130.0,3176.5,3177.0,3166.98,66858,2117.38,7872,19320,28.9
2019-11-25,DIXON, EQ, 25-Nov-2019,3177.0,3205.0,3208.75,3142.0,3190.0,3190.3,3182.41,41561,1322.64,7092,22734,54.7
2019-11-26,DIXON, EQ, 26-Nov-2019,3190.3,3200.0,3259.0,3152.0,3215.0,3222.05,3217.59,48396,1557.18,6084, 29040, 60.00
2019-11-27,DIXON, EQ, 27-Nov-2019,3222.05,3249.0,3280.8,3207.05,3275.0,3257.65,3236.12,56554,1830.16,7276,37394,66.12
2019-11-28,DIXON, EQ, 28-Nov-2019,3257.65,3284.9,3348.6,3262.0,3337.85,3339.15,3316.11,41637,1380.73,8507,16864,40.5
2019-11-29,DIXON, EQ, 29-Nov-2019,3339.15,3321.35,3349.0,3276.05,3310.9,3307.45,3312.48,11596,384.11,2641,5288,45.6
2019-12-02,DIXON, EQ, 02-Dec-2019,3307.45,3336.0,3350.0,3258.0,3278.0,3272.5,3308.11,14977,495.45,3110, 7417, 49.52
2019-12-03,DIXON, EQ, 03-Dec-2019,3272.5,3300.0,3329.9,3250.0,3291.0,3289.35,3311.18,35286,1168.38,3166,27836,78.89
2019-12-04,DIXON, EQ, 04-Dec-2019,3289.35,3299.0,3594.8,3271.95,3480.0,3483.35,3457.13,149897,5182.13,17013,59164,39.47
2019-12-05,DIXON, EQ, 05-Dec-2019,3483.35,3509.0,3597.0,3483.9,3514.7,3511.0,3549.3,75572,2682.28,11036,30024,39.73
2019-12-06,DIXON, EQ, 06-Dec-2019,3511.0,3543.0,3543.0,3415.65,3435.6,3450.35,3469.53,28578,991.52,4222,12683,44.38
2019-12-09,DIXON, EQ, 09-Dec-2019,3450.35,3450.0,3525.0,3402.05,3504.0,3504.2,3479.37,24221,842.74,4293,7252,29.94
2019-12-10,DIXON, EQ, 10-Dec-2019,3504.2,3524.35,3524.35,3441.0,3445.35,3453.65,3464.05,14682,508.59,3740,8051,54.84
2019-12-11,DIXON, EQ, 11-Dec-2019,3453.65,3458.85,3484.0,3430.7,3436.0,3443.35,3445.78,13081,450.74,4416,8464,64.7
2019-12-12,DIXON, EQ, 12-Dec-2019,3443.35,3472.0,3490.0,3380.0,3380.0,3412.8,3428.95,23826,816.98,4279,14655,61.51
2019-12-13,DIXON, EQ, 13-Dec-2019,3412.8,3486.95,3572.0,3461.35,3570.0,3548.45,3516.66,32394,1139.19,4449,13569,41.89
2019-12-16,DIXON, EQ, 16-Dec-2019,3548.45,3568.0,3642.2,3531.0,3537.0,3565.0,3593.72,103191,3708.39,12731,72800,70.55
2019-12-17,DIXON, EQ, 17-Dec-2019,3565.0,3571.45,3579.0,3535.0,3555.0,3548.45,3560.23,10855,386.46,1798,4315,39.75
2019-12-18,DIXON, EQ, 18-Dec-2019,3548.45,3550.0,3693.5,3550.0,3620.0,3622.3,3644.17,58162,2119.52,8660,12173,20.93
2019-12-19,DIXON, EQ, 19-Dec-2019,3622.3,3632.0,3739.4,3623.0,3656.0,3657.5,3687.58,63047,2324.91,8280,21373,33.9
2019-12-20,DIXON, EQ, 20-Dec-2019,3657.5,3687.0,3730.0,3667.1,3699.0,3711.75,3712.07,40413,1500.16,7605,16521,40.88
2019-12-23,DIXON, EQ, 23-Dec-2019,3711.75,3718.0,3749.0,3644.05,3745.0,3740.55,3712.35,40897,1518.24,11651,14688,35.91
2019-12-24,DIXON, EQ, 24-Dec-2019,3740.55,3745.1,3795.0,3675.75,3722.05,3747.45,3747.29,73619,2758.72,12316,31072,42.21
2019-12-26,DIXON, EQ, 26-Dec-2019,3747.45,3736.0,3950.0,3722.05,3910.3,3912.4,3846.27,84690,3257.41,12274,30596,36.13
2019-12-27,DIXON, EQ, 27-Dec-2019,3912.4,3958.0,4055.0,3876.95,3888.5,3906.5,3973.52,149925,5957.31,22376,47898,31.95
2019-12-30,DIXON, EQ, 30-Dec-2019,3906.5,3914.0,3958.0,3831.0,3856.0,3870.65,3900.74,38013,1482.79,6106,13044,34.31
2019-12-31,DIXON, EQ, 31-Dec-2019,3870.65,3860.65,3900.0,3784.05,3800.0,3799.3,3828.38,30842,1180.75,6047,11888,38.54
2020-01-01,DIXON, EQ, 01-Jan-2020,3799.3,3770.0,3839.0,3770.0,3790.0,3786.55,3799.92,14306,543.62,2593,4621,32.3
2020-01-02,DIXON, EQ, 02-Jan-2020,3786.55,3780.0,3935.1,3779.0,3912.0,3905.7,3863.88,33288,1286.21,5742,10703,32.15
2020-01-03,DIXON, EQ, 03-Jan-2020,3905.7,3911.0,4049.0,3881.85,3952.0,3952.3,3968.74,49637,1969.97,7384,17106,34.46
2020-01-06,DIXON, EQ, 06-Jan-2020,3952.3,4020.0,4035.0,3901.0,3966.0,3959.25,3960.99,57131,2262.95,8807,20905,36.59
2020-01-07,DIXON, EQ, 07-Jan-2020,3959.25,4040.0,4314.9,4018.0,4240.0,4235.05,4158.68,182707,7598.19,25698,44244,24.22
2020-01-08,DIXON, EQ, 08-Jan-2020,4235.05,4199.0,4254.0,4088.3,4130.0,4142.55,4162.6,155457,6471.06,21979,71152,45.77
2020-01-09,DIXON, EQ, 09-Jan-2020,4142.55,4185.2,4221.0,4128.0,4170.0,4163.1,4179.39,59546,2488.66,8084,26801,45.01
2020-01-10,DIXON, EQ, 10-Jan-2020,4163.1,4177.0,4250.1,4155.0,4182.95,4188.9,4210.69,64980,2736.11,13921,25869,39.81
2020-01-13,DIXON, EQ, 13-Jan-2020,4188.9,4230.0,4280.0,4172.0,4180.0,4190.1,4210.27,35458,1492.88,4778,13815,38.96
2020-01-14,DIXON, EQ, 14-Jan-2020,4190.1,4211.6,4229.0,4125.05,4142.0,4145.6,4170.61,34539,1440.49,6814,13931,40.33
2020-01-15,DIXON, EQ, 15-Jan-2020,4145.6,4142.0,4156.0,4101.0,4119.0,4137.4,4136.22,34488,1426.5,6174,21501,62.34
2020-01-16,DIXON, EQ, 16-Jan-2020,4137.4,4137.4,4213.0,4110.0,4119.95,4149.55,4166.37,69370,2890.21,8359,35261,50.83
2020-01-17,DIXON, EQ, 17-Jan-2020,4149.55,4170.0,4185.0,4138.05,4170.0,4165.65,4164.6,82381,3430.84,6966, 64684, 78.52
2020-01-20,DIXON, EQ, 20-Jan-2020,4165.65,4193.0,4250.0,4160.0,4215.0,4204.95,4215.85,60409,2546.76,7267,37562,62.18
2020-01-21,DIXON, EQ, 21-Jan-2020,4204.95,4203.0,4230.0,4132.2,4162.1,4158.9,4176.46,22413,936.07,4101,11703,52.22
2020-01-22,DIXON, EQ, 22-Jan-2020,4158.9,4198.0,4198.0,4144.0,4160.15,4161.65,4164.43,13050,543.46,2072,6988,53.55
2020-01-23,DIXON, EQ, 23-Jan-2020,4161.65,4173.0,4200.0,4135.65,4189.55,4189.5,4170.85,11152,465.13,2767,4841,43.41
2020-01-24,DIXON, EQ, 24-Jan-2020,4189.5,4215.6,4249.9,4185.45,4220.25,4220.7,4216.81,28761,1212.8,5699,12883,44.79
2020-01-27,DIXON, EQ, 27-Jan-2020,4220.7,4220.0,4393.5,4211.0,4333.0,4319.3,4316.59,89818,3877.07,11173,40939,45.58
2020-01-28,DIXON, EQ, 28-Jan-2020,4319.3,4346.25,4498.0,4339.05,4434.0,4424.25,4420.61,59760,2641.76,9763,19704,32.97
2020-01-29,DIXON, EQ, 29-Jan-2020,4424.25,4464.0,4489.95,4242.4,4253.05,4324.3,4374.88,151969,6648.46,20446,54770,36.04
2020-01-30,DIXON, EQ, 30-Jan-2020,4324.3,4200.0,4528.0,4100.0,4500.0,4499.4,4385.09,223574,9803.93,30996,82860,37.06
2020-01-31,DIXON, EQ, 31-Jan-2020,4499.4,4534.9,4719.95,4460.0,4618.0,4654.25,4610.79,138375,6380.18,19875,40116,28.99
2020-02-01,DIXON, EQ, 01-Feb-2020,4654.25,4595.0,4698.0,4398.0,4400.0,4446.65,4572.21,103790,4745.5,16743,23359,22.51
2020-02-03,DIXON, EQ, 03-Feb-2020,4446.65,4365.0,4895.0,4365.0,4770.0,4746.55,4704.61,199992,9408.84,31457,58468,29.24
2020-02-04,DIXON, EQ, 04-Feb-2020,4746.55,4820.0,4841.1,4715.0,4768.0,4763.55,4774.02,93021,4440.84,16410,41425,44.53
2020-02-05,DIXON, EQ, 05-Feb-2020,4763.55,4799.0,4808.0,4632.2,4656.0,4655.95,4701.06,58820,2765.16,8551,33714,57.32
2020-02-06,DIXON, EQ, 06-Feb-2020,4655.95,4687.9,4798.0,4645.05,4680.0,4664.45,4717.82,36767,1734.6,6942,13532,36.8
2020-02-07,DIXON, EQ, 07-Feb-2020,4664.45,4670.5,4691.8,4515.05,4603.0,4597.35,4586.32,44292,2031.37,9086,17899,40.41
2020-02-10,DIXON, EQ, 10-Feb-2020,4597.35,4610.0,4723.0,4561.0,4617.0,4613.7,4645.26,55831,2593.5,9987,21081,37.76
2020-02-11,DIXON, EQ, 11-Feb-2020,4613.7,4620.0,4695.0,4591.0,4616.6,4619.15,4646.33,31967,1485.29,6531,11271,35.26
2020-02-12,DIXON, EQ, 12-Feb-2020,4619.15,4669.0,4669.0,4601.0,4615.0,4619.8,4630.26,19492,902.53,3724,9016,46.25
2020-02-13,DIXON, EQ, 13-Feb-2020,4619.8,4648.0,4760.0,4600.0,4715.0,4692.65,4701.37,69438,3264.54,11944,18804,27.08
2020-02-14,DIXON, EQ, 14-Feb-2020,4692.65,4719.5,4743.0,4437.7,4495.15,4489.7,4595.11,64059,2943.58,14139, 34868, 54.43
2020-02-17,DIXON, EQ, 17-Feb-2020,4489.7,4512.6,4646.0,4290.0,4520.5,4535.85,4512.87,119285,5383.18,23501,49774,41.73
2020-02-18,DIXON, EQ, 18-Feb-2020,4535.85,4530.0,4572.15,4457.0,4499.85,4503.55,4504.93,60633,2731.48,10294,36473,60.15
