Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,DLF, EQ, 23-Aug-2019,144.45,141.5,154.45,136.7,152.6,152.1,146.33,42604662,62343.08,258786,5488870,12.88
2019-10-01,DLF, EQ, 01-Oct-2019,155.6,156.0,157.95,132.55,145.05,144.2,145.62,18836234,27428.62,111920,4111330,21.83
2019-10-03,DLF, EQ, 03-Oct-2019,144.2,145.65,152.0,144.6,150.25,149.9,148.95,12704415,18923.35,113682,2961539,23.31
2019-10-04,DLF, EQ, 04-Oct-2019,149.9,151.4,153.2,145.6,148.0,147.35,149.76,13947473,20887.34,122908,4224933,30.29
2019-10-07,DLF, EQ, 07-Oct-2019,147.35,148.0,148.05,142.75,143.2,143.9,145.48,6301348,9167.01,54764,1329379,21.1
2019-10-09,DLF, EQ, 09-Oct-2019,143.9,143.9,149.75,138.35,147.15,147.75,143.21,15540451,22255.67,103039,3792177,24.4
2019-10-10,DLF, EQ, 10-Oct-2019,147.75,146.5,146.9,139.5,142.4,142.45,141.58,12393751,17547.5,100118,1565357,12.63
2019-10-11,DLF, EQ, 11-Oct-2019,142.45,142.5,146.9,140.75,146.0,145.6,143.6,11600032,16657.5,60435,2385238,20.56
2019-10-14,DLF, EQ, 14-Oct-2019,145.6,150.0,157.85,149.0,154.45,154.85,154.1,19269942,29694.48,109565,5524297,28.67
2019-10-15,DLF, EQ, 15-Oct-2019,154.85,154.5,159.4,152.0,156.35,156.15,154.63,8060089,12463.46,50904,808852,10.04
2019-10-16,DLF, EQ, 16-Oct-2019,156.15,156.0,160.85,155.5,158.9,159.75,158.99,11931455,18970.37,67515,3218373,26.97
2019-10-17,DLF, EQ, 17-Oct-2019,159.75,157.55,164.75,156.7,163.95,163.85,161.13,9272454,14940.85,50194,1732764,18.69
2019-10-18,DLF, EQ, 18-Oct-2019,163.85,163.6,169.6,162.8,168.45,168.85,166.44,12716934,21166.0,74882,3677972,28.92
2019-10-22,DLF, EQ, 22-Oct-2019,168.85,170.0,183.0,169.35,177.2,178.2,177.8,21273741,37825.58,150187,4157567,19.54
2019-10-23,DLF, EQ, 23-Oct-2019,178.2,177.6,178.8,174.0,176.0,174.95,175.89,9737277,17126.74,63245,1934227,19.86
2019-10-24,DLF, EQ, 24-Oct-2019,174.95,176.05,180.45,174.7,176.25,176.5,177.05,8220431,14554.03,53209,436965,5.32
2019-10-25,DLF, EQ, 25-Oct-2019,176.5,176.5,182.0,174.65,180.6,181.0,178.49,9432267,16835.8,66981,1787438,18.95
2019-10-27,DLF, EQ, 27-Oct-2019,181.0,182.0,182.0,179.05,179.35,179.8,180.2,832544,1500.23,6956,164446,19.75
2019-10-29,DLF, EQ, 29-Oct-2019,179.8,179.8,183.95,178.65,180.45,180.95,181.84,7767341,14124.17,58276,1310662,16.87
2019-10-30,DLF, EQ, 30-Oct-2019,180.95,182.0,183.0,179.25,182.5,181.55,181.07,6563814,11884.92,56719,1380107,21.03
2019-10-31,DLF, EQ, 31-Oct-2019,181.55,185.8,190.6,181.9,183.8,183.3,186.25,16086336,29960.79,99018,2404197,14.95
2019-11-01,DLF, EQ, 01-Nov-2019,183.3,184.4,186.75,182.6,185.2,185.15,185.14,5112995,9466.11,28443,1207195,23.61
2019-11-04,DLF, EQ, 04-Nov-2019,185.15,185.3,188.4,182.3,184.0,184.3,185.12,6416447,11878.13,48930,866353,13.5
2019-11-05,DLF, EQ, 05-Nov-2019,184.3,183.1,187.4,182.05,184.0,184.35,184.35,7847108,14466.3,71747,2140174,27.27
2019-11-06,DLF, EQ, 06-Nov-2019,184.35,186.55,194.2,185.8,191.1,191.5,190.5,15940992,30367.98,105413,1898563,11.91
2019-11-07,DLF, EQ, 07-Nov-2019,191.5,197.0,197.8,188.3,192.0,192.5,192.89,23939489,46175.75,144361,3893694,16.26
2019-11-08,DLF, EQ, 08-Nov-2019,192.5,196.0,209.75,196.0,202.85,203.1,204.37,45666495,93330.85,283978,10161070,22.25
2019-11-11,DLF, EQ, 11-Nov-2019,203.1,200.0,208.65,199.05,208.0,207.65,206.02,14939800,30778.95,149204,4164587,27.88
2019-11-13,DLF, EQ, 13-Nov-2019,207.65,210.2,214.4,201.15,202.05,202.2,207.6,22014078,45701.03,132252,7218009,32.79
2019-11-14,DLF, EQ, 14-Nov-2019,202.2,202.85,209.85,202.5,209.35,208.9,207.31,13244986,27458.02,86094,3238658,24.45
2019-11-15,DLF, EQ, 15-Nov-2019,208.9,210.0,215.6,208.35,211.8,211.75,211.46,12386416,26192.9,68286,2913272,23.52
2019-11-18,DLF, EQ, 18-Nov-2019,211.75,211.85,218.45,211.3,216.5,216.0,215.03,12188767,26209.25,68651,3403482,27.92
2019-11-19,DLF, EQ, 19-Nov-2019,216.0,217.3,217.75,212.05,215.9,214.95,214.7,9625573,20666.37,45124, 3285264, 34.13
2019-11-20,DLF, EQ, 20-Nov-2019,214.95,215.1,218.7,211.35,212.05,212.1,214.6,9963070,21380.61,63595, 3564583, 35.78
2019-11-21,DLF, EQ, 21-Nov-2019,212.1,213.4,218.9,209.0,216.7,216.85,214.33,11285129,24187.05,66955,2912567,25.81
2019-11-22,DLF, EQ, 22-Nov-2019,216.85,216.95,219.35,214.25,218.35,217.25,216.2,7459722,16128.15,53189,1443343,19.35
2019-11-25,DLF, EQ, 25-Nov-2019,217.25,220.0,226.6,217.6,220.1,220.35,221.67,24412232,54115.44,133682,4333304,17.75
2019-11-26,DLF, EQ, 26-Nov-2019,220.35,222.25,222.6,215.0,216.5,220.05,219.79,73850039,162315.74,223560, 55141833, 74.67
2019-11-27,DLF, EQ, 27-Nov-2019,220.05,217.85,218.15,213.6,215.65,215.85,215.56,8209601,17696.27,90942,2169324,26.42
2019-11-28,DLF, EQ, 28-Nov-2019,215.85,216.5,220.8,214.7,218.25,217.95,218.15,10068332,21963.67,74972,2195559,21.81
2019-11-29,DLF, EQ, 29-Nov-2019,217.95,218.1,224.2,215.0,220.0,219.7,219.45,11696442,25668.02,79432,1371223,11.72
2019-12-02,DLF, EQ, 02-Dec-2019,219.7,219.0,219.5,214.6,219.0,218.1,216.75,5896996,12781.6,51880, 1417435, 24.04
2019-12-03,DLF, EQ, 03-Dec-2019,218.1,218.0,222.8,215.5,219.15,218.9,218.85,8871643,19415.35,68545,1517282,17.1
2019-12-04,DLF, EQ, 04-Dec-2019,218.9,218.0,224.1,217.0,219.75,220.25,220.33,10927951,24077.31,92408,1454517,13.31
2019-12-05,DLF, EQ, 05-Dec-2019,220.25,220.25,222.9,217.7,220.75,221.1,220.46,8570953,18895.24,54477,1522317,17.76
