Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,DRREDDY, EQ, 23-Aug-2019,2545.4,2545.1,2560.65,2524.0,2547.0,2541.25,2542.17,572710,14559.26,63270,178666,31.2,Pharma
2019-10-01,DRREDDY, EQ, 01-Oct-2019,2702.25,2690.0,2720.0,2644.9,2697.2,2689.35,2684.62,972020,26095.02,37692,520937,53.59,Pharma
2019-10-03,DRREDDY, EQ, 03-Oct-2019,2689.35,2679.8,2684.45,2636.0,2677.0,2677.15,2665.11,297000,7915.38,25745,106821,35.97,Pharma
2019-10-04,DRREDDY, EQ, 04-Oct-2019,2677.15,2687.0,2699.0,2611.35,2613.05,2617.7,2646.75,444204,11756.97,27822,176818,39.81,Pharma
2019-10-07,DRREDDY, EQ, 07-Oct-2019,2617.7,2630.0,2645.0,2576.25,2624.0,2616.45,2607.11,519253,13537.52,33981,187058,36.02,Pharma
2019-10-09,DRREDDY, EQ, 09-Oct-2019,2616.45,2624.75,2676.0,2600.3,2656.2,2663.4,2638.82,466444,12308.62,28809,154321,33.08,Pharma
2019-10-10,DRREDDY, EQ, 10-Oct-2019,2663.4,2626.15,2666.9,2612.05,2648.0,2633.5,2636.26,288141,7596.14,17777,120892,41.96,Pharma
2019-10-11,DRREDDY, EQ, 11-Oct-2019,2633.5,2645.0,2659.0,2607.0,2651.4,2651.4,2634.23,546907,14406.79,38505,238109,43.54,Pharma
2019-10-14,DRREDDY, EQ, 14-Oct-2019,2651.4,2652.0,2682.6,2621.0,2650.0,2651.9,2663.47,301437,8028.67,13464,100463,33.33,Pharma
2019-10-15,DRREDDY, EQ, 15-Oct-2019,2651.9,2662.0,2696.9,2654.55,2683.0,2684.65,2682.75,342159,9179.27,21776,151696,44.33,Pharma
2019-10-16,DRREDDY, EQ, 16-Oct-2019,2684.65,2711.0,2728.4,2687.0,2704.0,2701.45,2704.81,327837,8867.36,20694,115539,35.24,Pharma
2019-10-17,DRREDDY, EQ, 17-Oct-2019,2701.45,2711.0,2734.0,2699.0,2726.0,2727.4,2718.57,305014,8292.01,31019,145412,47.67,Pharma
2019-10-18,DRREDDY, EQ, 18-Oct-2019,2727.4,2720.0,2744.95,2710.05,2722.0,2724.85,2724.39,289279,7881.09,19230,100432,34.72,Pharma
2019-10-22,DRREDDY, EQ, 22-Oct-2019,2724.85,2722.25,2820.7,2710.85,2819.9,2810.75,2784.59,699344,19473.84,44810,396778,56.74,Pharma
2019-10-23,DRREDDY, EQ, 23-Oct-2019,2810.75,2806.8,2841.95,2755.05,2818.95,2826.7,2814.89,979592,27574.4,54877,457937,46.75,Pharma
2019-10-24,DRREDDY, EQ, 24-Oct-2019,2826.7,2839.75,2849.95,2770.0,2826.0,2825.3,2808.79,602632,16926.69,50146,287004,47.63,Pharma
2019-10-25,DRREDDY, EQ, 25-Oct-2019,2825.3,2824.0,2824.0,2779.95,2792.0,2794.95,2795.64,500795,14000.42,32150,261459,52.21,Pharma
2019-10-27,DRREDDY, EQ, 27-Oct-2019,2794.95,2779.0,2793.0,2775.0,2782.0,2785.6,2785.0,22603,629.49,1510,3549,15.7,Pharma
2019-10-29,DRREDDY, EQ, 29-Oct-2019,2785.6,2775.0,2820.0,2753.45,2794.0,2802.5,2783.41,533768,14856.94,32246,259397,48.6,Pharma
2019-10-30,DRREDDY, EQ, 30-Oct-2019,2802.5,2829.0,2829.0,2741.55,2750.0,2759.9,2768.05,593147,16418.59,36073,291036,49.07,Pharma
2019-10-31,DRREDDY, EQ, 31-Oct-2019,2759.9,2779.9,2814.9,2770.1,2788.0,2783.2,2790.88,720238,20100.95,35177,331741,46.06,Pharma
2019-11-01,DRREDDY, EQ, 01-Nov-2019,2783.2,2784.0,2829.15,2735.85,2750.0,2756.6,2776.85,3000855,83329.13,121774,919550,30.64,Pharma
2019-11-04,DRREDDY, EQ, 04-Nov-2019,2756.6,2765.25,2810.0,2748.55,2802.0,2797.8,2779.44,808849,22481.43,53726,247657,30.62,Pharma
2019-11-05,DRREDDY, EQ, 05-Nov-2019,2797.8,2793.8,2849.5,2792.0,2809.95,2815.7,2824.19,843662,23826.6,58850,299713,35.53,Pharma
2019-11-06,DRREDDY, EQ, 06-Nov-2019,2815.7,2820.1,2880.0,2820.1,2860.45,2862.7,2861.47,900469,25766.64,41982,279750,31.07,Pharma
2019-11-07,DRREDDY, EQ, 07-Nov-2019,2862.7,2862.0,2883.2,2829.0,2877.75,2871.05,2850.77,441155,12576.31,24282,155905,35.34,Pharma
2019-11-08,DRREDDY, EQ, 08-Nov-2019,2871.05,2860.0,2860.0,2812.3,2812.35,2822.1,2842.59,318986,9067.45,19013,141007,44.2,Pharma
2019-11-11,DRREDDY, EQ, 11-Nov-2019,2822.1,2812.35,2827.35,2795.0,2812.85,2815.75,2814.81,306664,8631.99,15465,147000,47.94,Pharma
2019-11-13,DRREDDY, EQ, 13-Nov-2019,2815.75,2820.0,2823.85,2755.0,2758.0,2763.15,2777.09,456683,12682.5,27435,253268,55.46,Pharma
2019-11-14,DRREDDY, EQ, 14-Nov-2019,2763.15,2775.0,2777.35,2724.95,2730.55,2734.05,2744.35,648568,17799.0,36432,408003,62.91,Pharma
2019-11-15,DRREDDY, EQ, 15-Nov-2019,2734.05,2748.0,2748.0,2712.3,2728.0,2730.8,2730.86,378845,10345.72,19828,194631,51.37,Pharma
2019-11-18,DRREDDY, EQ, 18-Nov-2019,2730.8,2733.0,2759.0,2732.0,2735.65,2737.0,2745.61,422773,11607.69,21928,234213,55.4,Pharma
2019-11-19,DRREDDY, EQ, 19-Nov-2019,2737.0,2741.0,2760.45,2724.5,2751.0,2743.0,2736.58,476925,13051.41,17780,326458,68.45,Pharma
2019-11-20,DRREDDY, EQ, 20-Nov-2019,2743.0,2746.35,2863.95,2745.0,2828.0,2838.65,2825.56,997976,28198.38,49514,295810,29.64,Pharma
2019-11-21,DRREDDY, EQ, 21-Nov-2019,2838.65,2828.0,2890.0,2810.2,2879.15,2879.25,2865.5,958939,27478.41,53099,455321,47.48,Pharma
2019-11-22,DRREDDY, EQ, 22-Nov-2019,2879.25,2855.0,2904.75,2843.0,2858.05,2871.25,2866.91,549551,15755.13,31645,177760,32.35,Pharma
2019-11-25,DRREDDY, EQ, 25-Nov-2019,2871.25,2860.0,2936.0,2850.05,2929.0,2920.65,2891.59,468795,13555.63,24299,217471,46.39,Pharma
2019-11-26,DRREDDY, EQ, 26-Nov-2019,2920.65,2920.25,2975.0,2907.15,2975.0,2965.85,2956.91,1056168,31229.95,64941,511319,48.41,Pharma
