Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,EICHERMOT, EQ, 23-Aug-2019,15523.35,15530.0,15574.75,15265.15,15377.0,15383.45,15388.68,208325,32058.48,41284,97498,46.8
2019-10-01,EICHERMOT, EQ, 01-Oct-2019,17765.2,17960.0,18280.0,17594.0,17825.0,17826.85,17922.85,200842,35996.61,50144,17398,8.66
2019-10-03,EICHERMOT, EQ, 03-Oct-2019,17826.85,17825.0,18340.0,17723.1,18299.9,18284.65,18159.99,122882,22315.36,32040,9200,7.49
2019-10-04,EICHERMOT, EQ, 04-Oct-2019,18284.65,18450.0,18508.95,17857.45,17934.95,17999.0,18258.9,143155,26138.53,33315,8515,5.95
2019-10-07,EICHERMOT, EQ, 07-Oct-2019,17999.0,17934.95,18153.3,17654.65,17987.95,18000.6,17891.45,79460,14216.55,21208,4880,6.14
2019-10-09,EICHERMOT, EQ, 09-Oct-2019,18000.6,17950.05,18300.0,17833.1,18211.9,18239.35,18062.53,111285,20100.89,28967,19863,17.85
2019-10-10,EICHERMOT, EQ, 10-Oct-2019,18239.35,18195.0,18195.0,17851.75,18082.0,18052.5,18023.81,82354,14843.32,20048,11505,13.97
2019-10-11,EICHERMOT, EQ, 11-Oct-2019,18052.5,18091.0,18349.0,17900.0,18200.0,18201.15,18174.81,94699,17211.37,22058,3810,4.02
2019-10-14,EICHERMOT, EQ, 14-Oct-2019,18201.15,18100.0,18450.0,18080.0,18300.0,18327.95,18304.58,77467,14180.01,17972,9924,12.81
2019-10-15,EICHERMOT, EQ, 15-Oct-2019,18327.95,18310.0,19300.0,18285.0,19187.9,19199.1,19007.28,230411,43794.86,51654,27804,12.07
2019-10-16,EICHERMOT, EQ, 16-Oct-2019,19199.1,19188.0,19300.0,18902.6,19201.0,19220.6,19087.64,108475,20705.31,26992,6653,6.13
2019-10-17,EICHERMOT, EQ, 17-Oct-2019,19220.6,19500.0,20789.0,19455.0,20750.0,20491.85,20109.49,398637,80163.87,85793,61461,15.42
2019-10-18,EICHERMOT, EQ, 18-Oct-2019,20491.85,20600.0,20680.0,20065.1,20226.15,20275.9,20340.92,295066,60019.14,73051,73135,24.79
2019-10-22,EICHERMOT, EQ, 22-Oct-2019,20275.9,20276.0,20513.25,19855.0,19963.45,19978.85,20166.65,161392,32547.35,38364,46386,28.74
2019-10-23,EICHERMOT, EQ, 23-Oct-2019,19978.85,19976.0,20740.9,19779.0,20480.0,20521.2,20466.8,185473,37960.39,41596,24830,13.39
2019-10-24,EICHERMOT, EQ, 24-Oct-2019,20521.2,20640.0,21188.55,20521.15,21114.95,21032.35,20962.73,224848,47134.29,54911,50335,22.39
2019-10-25,EICHERMOT, EQ, 25-Oct-2019,21032.35,21150.0,21415.0,20950.05,21365.0,21321.75,21230.82,150522,31957.06,38868,22309,14.82
2019-10-27,EICHERMOT, EQ, 27-Oct-2019,21321.75,21500.0,21688.6,21100.15,21275.2,21323.65,21438.66,24888,5335.65,7121,3169,12.73
2019-10-29,EICHERMOT, EQ, 29-Oct-2019,21323.65,21323.65,22150.0,21323.65,22110.0,22049.4,21829.87,191047,41705.31,51138,66673,34.9
2019-10-30,EICHERMOT, EQ, 30-Oct-2019,22049.4,22250.0,22599.0,21600.0,22529.95,22511.5,22176.29,202269,44855.76,51901,29186,14.43
2019-10-31,EICHERMOT, EQ, 31-Oct-2019,22511.5,22545.0,22680.2,22301.0,22630.0,22538.1,22533.87,137654,31018.77,36390,19563,14.21
2019-11-01,EICHERMOT, EQ, 01-Nov-2019,22538.1,22587.0,22888.0,21900.05,22000.0,21976.15,22403.39,187025,41899.95,45716,33100,17.7
2019-11-04,EICHERMOT, EQ, 04-Nov-2019,21976.15,22240.0,22280.0,21560.0,21740.05,21740.7,21892.6,157014,34374.44,38953,15451,9.84
2019-11-05,EICHERMOT, EQ, 05-Nov-2019,21740.7,21750.0,21947.3,21230.5,21310.0,21287.15,21467.47,149412,32074.98,41698,42260,28.28
2019-11-06,EICHERMOT, EQ, 06-Nov-2019,21287.15,21370.0,21750.0,21034.15,21500.3,21605.55,21447.59,144445,30979.97,35673,16047,11.11
2019-11-07,EICHERMOT, EQ, 07-Nov-2019,21605.55,21670.0,21700.0,21171.15,21420.0,21423.95,21380.48,105586,22574.8,28726,16198,15.34
2019-11-08,EICHERMOT, EQ, 08-Nov-2019,21423.95,21250.0,22055.7,21200.0,21640.0,21689.65,21710.9,187411,40688.61,50646,9753,5.2
2019-11-11,EICHERMOT, EQ, 11-Nov-2019,21689.65,21640.0,21817.65,21310.05,21340.55,21376.9,21473.0,94416,20273.95,24313,13580,14.38
2019-11-13,EICHERMOT, EQ, 13-Nov-2019,21376.9,21370.0,21824.0,21200.0,21386.0,21352.2,21540.48,158907,34229.33,37658,37726,23.74
2019-11-14,EICHERMOT, EQ, 14-Nov-2019,21352.2,21500.0,21725.0,21355.0,21560.0,21558.15,21545.09,98083,21132.07,27888,17923,18.27
2019-11-15,EICHERMOT, EQ, 15-Nov-2019,21558.15,21850.0,21900.0,21241.3,21275.0,21324.05,21543.71,119533,25751.84,28995,34644,28.98
2019-11-18,EICHERMOT, EQ, 18-Nov-2019,21324.05,21429.0,21580.0,21250.0,21485.0,21477.4,21437.41,69466,14891.71,19056,15866,22.84
2019-11-19,EICHERMOT, EQ, 19-Nov-2019,21477.4,21600.0,21799.95,21424.2,21780.05,21747.35,21600.37,90606,19571.23,25060, 25012, 27.61
2019-11-20,EICHERMOT, EQ, 20-Nov-2019,21747.35,21747.0,21747.0,21395.0,21485.0,21489.8,21503.5,73575,15821.2,19391, 13898, 18.89
2019-11-21,EICHERMOT, EQ, 21-Nov-2019,21489.8,21550.0,21998.0,21450.0,21940.0,21954.6,21801.74,130374,28423.8,34144,28891,22.16
2019-11-22,EICHERMOT, EQ, 22-Nov-2019,21954.6,21766.3,22965.0,21600.0,22850.0,22753.2,22292.0,251227,56003.51,52885,72922,29.03
2019-11-25,EICHERMOT, EQ, 25-Nov-2019,22753.2,22760.0,23416.0,22760.0,23322.0,23261.3,23184.1,197138,45704.67,47356,35717,18.12
2019-11-26,EICHERMOT, EQ, 26-Nov-2019,23261.3,23349.8,23450.0,22727.0,22990.8,22805.7,23021.66,199734,45982.08,48580, 78403, 39.25
2019-11-27,EICHERMOT, EQ, 27-Nov-2019,22805.7,22990.8,23400.0,22872.4,23005.6,23021.65,23039.29,134019,30877.03,35328,32769,24.45
2019-11-28,EICHERMOT, EQ, 28-Nov-2019,23021.65,23165.5,23165.5,22905.0,23051.0,23091.6,23048.55,94321,21739.63,27135,22706,24.07
2019-11-29,EICHERMOT, EQ, 29-Nov-2019,23091.6,23052.0,23079.95,22650.0,22885.0,22881.4,22865.88,111578,25513.29,34398,38849,34.82
2019-12-02,EICHERMOT, EQ, 02-Dec-2019,22881.4,22715.0,22750.0,21640.45,21691.0,21713.1,22072.92,239978,52970.15,54261, 89639, 37.35
2019-12-03,EICHERMOT, EQ, 03-Dec-2019,21713.1,21713.0,21991.95,21222.0,21325.0,21372.75,21570.59,205408,44307.72,53587,39598,19.28
2019-12-04,EICHERMOT, EQ, 04-Dec-2019,21372.75,21325.75,21768.95,21135.0,21469.9,21408.0,21477.02,159741,34307.61,39220,20502,12.83
