Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,EXIDEIND, EQ, 23-Aug-2019,170.6,170.05,178.3,168.3,176.45,177.0,173.95,1145749,1993.01,14316,237462,20.73,Others
2019-10-01,EXIDEIND, EQ, 01-Oct-2019,195.2,195.25,199.0,190.8,194.0,193.1,195.98,2351879,4609.12,24857,730622,31.07,Others
2019-10-03,EXIDEIND, EQ, 03-Oct-2019,193.1,194.3,199.55,192.8,196.3,196.25,196.62,1480761,2911.49,24663,433907,29.3,Others
2019-10-04,EXIDEIND, EQ, 04-Oct-2019,196.25,196.9,197.15,189.15,189.7,190.05,193.1,1185674,2289.59,15747,243335,20.52,Others
2019-10-07,EXIDEIND, EQ, 07-Oct-2019,190.05,189.1,191.6,185.5,185.5,186.2,187.97,1272057,2391.07,15681,516244,40.58,Others
2019-10-09,EXIDEIND, EQ, 09-Oct-2019,186.2,186.0,191.8,184.35,191.1,190.8,187.2,1682602,3149.86,26824,647156,38.46,Others
2019-10-10,EXIDEIND, EQ, 10-Oct-2019,190.8,190.5,190.5,182.05,184.1,184.05,184.69,1373162,2536.07,17401,369854,26.93,Others
2019-10-11,EXIDEIND, EQ, 11-Oct-2019,184.05,184.95,188.15,182.3,182.9,183.45,184.56,1072033,1978.57,12301,344031,32.09,Others
2019-10-14,EXIDEIND, EQ, 14-Oct-2019,183.45,183.55,186.85,182.45,183.35,184.65,184.94,1694992,3134.7,14799,753718,44.47,Others
2019-10-15,EXIDEIND, EQ, 15-Oct-2019,184.65,184.0,189.5,183.15,187.8,187.45,186.4,2598070,4842.68,20484,1013838,39.02,Others
2019-10-16,EXIDEIND, EQ, 16-Oct-2019,187.45,187.5,189.7,181.8,181.95,182.85,185.57,3518746,6529.84,28485,1458799,41.46,Others
2019-10-17,EXIDEIND, EQ, 17-Oct-2019,182.85,182.85,182.85,170.6,178.5,177.75,175.18,12172436,21323.29,89778,4478667,36.79,Others
2019-10-18,EXIDEIND, EQ, 18-Oct-2019,177.75,178.6,184.2,176.7,183.0,183.0,182.13,2520836,4591.1,23490,559412,22.19,Others
2019-10-22,EXIDEIND, EQ, 22-Oct-2019,183.0,184.15,184.5,180.0,180.1,180.2,181.86,2669870,4855.33,32878,1389108,52.03,Others
2019-10-23,EXIDEIND, EQ, 23-Oct-2019,180.2,180.05,180.95,178.2,179.2,179.65,179.57,1974828,3546.24,21939,751997,38.08,Others
2019-10-24,EXIDEIND, EQ, 24-Oct-2019,179.65,180.0,181.95,175.0,176.05,175.85,177.45,2123589,3768.4,21774,1049174,49.41,Others
2019-10-25,EXIDEIND, EQ, 25-Oct-2019,175.85,176.95,177.8,174.3,176.35,176.6,176.47,2017819,3560.93,25691,1092838,54.16,Others
2019-10-27,EXIDEIND, EQ, 27-Oct-2019,176.6,177.4,179.0,176.8,177.25,177.65,177.73,207072,368.02,3252,111572,53.88,Others
2019-10-29,EXIDEIND, EQ, 29-Oct-2019,177.65,178.2,185.5,177.75,183.7,183.3,183.03,3371009,6169.87,53965,1688342,50.08,Others
2019-10-30,EXIDEIND, EQ, 30-Oct-2019,183.3,183.2,184.4,180.5,181.9,181.5,182.23,2543054,4634.1,36174,1234141,48.53,Others
2019-10-31,EXIDEIND, EQ, 31-Oct-2019,181.5,183.05,195.9,182.55,192.55,193.1,191.52,7222117,13832.15,56268,2969468,41.12,Others
2019-11-01,EXIDEIND, EQ, 01-Nov-2019,193.1,192.4,196.95,189.65,195.4,195.5,193.92,2458583,4767.8,20702,911511,37.07,Others
2019-11-04,EXIDEIND, EQ, 04-Nov-2019,195.5,197.0,197.0,186.0,187.1,187.5,190.17,2773646,5274.56,36065,1227194,44.24,Others
2019-11-05,EXIDEIND, EQ, 05-Nov-2019,187.5,189.0,192.15,185.7,188.7,188.7,189.16,2366978,4477.33,24133,789828,33.37,Others
2019-11-06,EXIDEIND, EQ, 06-Nov-2019,188.7,188.7,194.0,184.1,186.9,186.45,188.43,5834021,10993.1,52770,1201472,20.59,Others
2019-11-07,EXIDEIND, EQ, 07-Nov-2019,186.45,192.05,192.65,188.0,188.85,188.7,190.02,3411971,6483.42,36462,1366817,40.06,Others
2019-11-08,EXIDEIND, EQ, 08-Nov-2019,188.7,189.0,191.25,186.0,186.6,186.55,188.8,1856594,3505.32,15837,596017,32.1,Others
2019-11-11,EXIDEIND, EQ, 11-Nov-2019,186.55,187.5,191.3,186.55,190.8,190.6,189.87,2885129,5478.04,19735,922543,31.98,Others
2019-11-13,EXIDEIND, EQ, 13-Nov-2019,190.6,191.65,193.8,186.6,187.3,187.35,190.29,2058014,3916.2,29609,605439,29.42,Others
2019-11-14,EXIDEIND, EQ, 14-Nov-2019,187.35,188.25,191.45,187.35,190.75,190.7,189.77,1649089,3129.46,16960,475441,28.83,Others
2019-11-15,EXIDEIND, EQ, 15-Nov-2019,190.7,192.0,193.5,188.0,189.05,190.2,191.66,1777249,3406.25,13056,380541,21.41,Others
2019-11-18,EXIDEIND, EQ, 18-Nov-2019,190.2,189.5,191.95,186.75,190.0,189.8,189.46,1502657,2847.0,17728,203997,13.58,Others
2019-11-19,EXIDEIND, EQ, 19-Nov-2019,189.8,192.0,192.95,189.1,190.25,190.05,190.59,1594984,3039.95,15502,314511,19.72,Others
2019-11-20,EXIDEIND, EQ, 20-Nov-2019,190.05,190.95,191.75,188.0,188.5,188.7,189.81,1238989,2351.78,9487,275374,22.23,Others
2019-11-21,EXIDEIND, EQ, 21-Nov-2019,188.7,189.0,191.35,186.8,187.35,187.75,188.92,1627019,3073.75,14779,474596,29.17,Others
2019-11-22,EXIDEIND, EQ, 22-Nov-2019,187.75,187.75,194.3,187.75,192.45,193.1,191.98,4535172,8706.63,28990,1912791,42.18,Others
2019-11-25,EXIDEIND, EQ, 25-Nov-2019,193.1,193.5,198.7,192.45,198.0,197.75,195.57,3378424,6607.12,39201,995598,29.47,Others
2019-11-26,EXIDEIND, EQ, 26-Nov-2019,197.75,198.95,200.7,192.1,192.65,193.45,196.06,2851357,5590.47,24478,853549,29.93,Others
2019-11-27,EXIDEIND, EQ, 27-Nov-2019,193.45,194.0,195.95,190.5,192.4,192.2,192.73,1688855,3255.01,14745,614202,36.37,Others
2019-11-28,EXIDEIND, EQ, 28-Nov-2019,192.2,192.4,194.85,192.4,194.55,194.2,193.76,1249436,2420.94,13008,559492,44.78,Others
2019-11-29,EXIDEIND, EQ, 29-Nov-2019,194.2,195.0,196.0,193.0,195.5,195.05,194.69,1560798,3038.78,11630,684840,43.88,Others
2019-12-02,EXIDEIND, EQ, 02-Dec-2019,195.05,195.0,197.7,192.15,193.4,193.5,195.01,1102788,2150.58,11419,269126,24.4,Others
2019-12-03,EXIDEIND, EQ, 03-Dec-2019,193.5,194.0,194.85,190.25,191.0,191.7,192.35,2033394,3911.23,17306,1232817,60.63,Others
2019-12-04,EXIDEIND, EQ, 04-Dec-2019,191.7,190.95,192.7,187.15,188.05,187.9,188.61,2036531,3841.19,24739,1071898,52.63,Others
2019-12-05,EXIDEIND, EQ, 05-Dec-2019,187.9,188.5,189.55,186.15,186.65,187.0,187.66,1359121,2550.57,24069,467279,34.38,Others
2019-12-06,EXIDEIND, EQ, 06-Dec-2019,187.0,187.15,187.45,181.6,182.1,182.4,184.22,1624797,2993.22,28004,672253,41.37,Others
