Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,FACT, EQ, 23-Aug-2019,32.0,31.8,32.45,30.05,31.9,31.85,31.46,84097,26.45,1118,34110,40.56
2019-10-01,FACT, EQ, 01-Oct-2019,39.5,41.65,42.0,39.4,39.9,39.65,40.77,225857,92.09,1661,71399,31.61
2019-10-03,FACT, EQ, 03-Oct-2019,39.65,39.5,39.95,39.1,39.25,39.55,39.52,47252,18.67,469,22631,47.89
2019-10-04,FACT, EQ, 04-Oct-2019,39.55,40.95,41.35,38.7,39.0,39.0,39.86,129434,51.59,1090,59226,45.76
2019-10-07,FACT, EQ, 07-Oct-2019,39.0,39.1,39.4,38.25,38.7,38.6,38.65,46448,17.95,458,25103,54.05
2019-10-09,FACT, EQ, 09-Oct-2019,38.6,39.3,39.5,37.6,39.5,39.1,38.76,78516,30.43,704,39787,50.67
2019-10-10,FACT, EQ, 10-Oct-2019,39.1,38.95,39.7,38.1,38.6,38.3,38.64,96525,37.3,821,27248,28.23
2019-10-11,FACT, EQ, 11-Oct-2019,38.3,38.6,39.3,37.8,38.0,38.2,38.39,76312,29.29,696,30569,40.06
2019-10-14,FACT, EQ, 14-Oct-2019,38.2,38.2,38.95,38.0,38.7,38.55,38.49,63459,24.43,634,23346,36.79
2019-10-15,FACT, EQ, 15-Oct-2019,38.55,38.85,39.3,38.2,38.35,38.4,38.75,100347,38.88,742,34441,34.32
2019-10-16,FACT, EQ, 16-Oct-2019,38.4,38.4,38.95,37.8,38.15,38.0,38.37,97698,37.49,862,31308,32.05
2019-10-17,FACT, EQ, 17-Oct-2019,38.0,38.25,38.8,38.05,38.5,38.35,38.33,54137,20.75,439,28968,53.51
2019-10-18,FACT, EQ, 18-Oct-2019,38.35,38.55,40.7,38.35,39.6,39.7,39.55,131878,52.16,1077,64599,48.98
2019-10-22,FACT, EQ, 22-Oct-2019,39.7,41.0,42.75,40.5,40.55,40.8,41.3,292323,120.74,2744,106760,36.52
2019-10-23,FACT, EQ, 23-Oct-2019,40.8,41.25,41.5,40.2,40.5,40.6,40.81,109034,44.5,968,36132,33.14
2019-10-24,FACT, EQ, 24-Oct-2019,40.6,40.5,41.3,39.3,40.9,40.55,40.27,164585,66.28,1195,37088,22.53
2019-10-25,FACT, EQ, 25-Oct-2019,40.55,40.6,40.7,39.55,39.55,39.65,39.87,46400,18.5,427,25105,54.11
2019-10-27,FACT, EQ, 27-Oct-2019,39.65,39.7,39.9,39.4,39.4,39.6,39.64,13286,5.27,146,11238,84.59
2019-10-29,FACT, EQ, 29-Oct-2019,39.6,39.9,40.75,39.15,40.05,39.95,39.82,98660,39.29,701,46244,46.87
2019-10-30,FACT, EQ, 30-Oct-2019,39.95,42.9,43.05,40.9,41.15,41.15,41.88,360980,151.17,2961,117777,32.63
2019-10-31,FACT, EQ, 31-Oct-2019,41.15,41.4,42.0,40.6,40.85,40.95,41.34,150274,62.12,1138,56132,37.35
2019-11-01,FACT, EQ, 01-Nov-2019,40.95,41.1,41.6,40.35,40.5,40.55,40.93,60052,24.58,529,30786,51.27
2019-11-04,FACT, EQ, 04-Nov-2019,40.55,40.85,40.9,40.0,40.0,40.1,40.39,69952,28.26,595,31484,45.01
2019-11-05,FACT, EQ, 05-Nov-2019,40.1,40.3,40.85,39.3,40.2,40.15,39.94,73513,29.36,669,25890,35.22
2019-11-06,FACT, EQ, 06-Nov-2019,40.15,40.15,40.3,39.45,39.7,39.55,39.8,75612,30.09,651,39131,51.75
2019-11-07,FACT, EQ, 07-Nov-2019,39.55,39.65,40.1,39.3,39.5,39.75,39.66,60627,24.05,557,31206,51.47
2019-11-08,FACT, EQ, 08-Nov-2019,39.75,39.5,40.4,38.7,38.9,38.9,39.48,107850,42.58,897,39988,37.08
2019-11-11,FACT, EQ, 11-Nov-2019,38.9,38.9,40.0,38.55,39.9,39.4,39.18,78908,30.92,625,27858,35.3
2019-11-13,FACT, EQ, 13-Nov-2019,39.4,39.75,39.75,38.35,38.7,38.65,39.1,44398,17.36,381,18794,42.33
2019-11-14,FACT, EQ, 14-Nov-2019,38.65,38.05,42.9,37.9,40.9,40.65,41.29,1486937,613.95,9143,156177,10.5
2019-11-15,FACT, EQ, 15-Nov-2019,40.65,41.0,41.0,39.5,39.5,39.6,39.92,124519,49.71,1037,65540,52.63
2019-11-18,FACT, EQ, 18-Nov-2019,39.6,41.55,42.0,39.75,40.85,40.35,40.63,387853,157.58,3240,104499,26.94
2019-11-19,FACT, EQ, 19-Nov-2019,40.35,40.3,40.35,39.5,39.65,39.7,39.81,56013,22.3,405, 38436, 68.62
2019-11-20,FACT, EQ, 20-Nov-2019,39.7,40.0,40.6,39.6,40.0,40.0,40.1,102474,41.1,833, 43557, 42.51
2019-11-21,FACT, EQ, 21-Nov-2019,40.0,39.8,39.9,39.1,39.2,39.3,39.5,47680,18.84,370,32022,67.16
2019-11-22,FACT, EQ, 22-Nov-2019,39.3,39.55,39.6,39.05,39.05,39.15,39.25,37844,14.85,297,23163,61.21
2019-11-25,FACT, EQ, 25-Nov-2019,39.15,39.05,39.4,38.7,38.9,38.95,39.04,56666,22.12,385,35836,63.24
2019-11-26,FACT, EQ, 26-Nov-2019,38.95,39.05,39.6,38.25,38.6,38.5,38.9,97321,37.86,622, 46118, 47.39
2019-11-27,FACT, EQ, 27-Nov-2019,38.5,38.55,39.05,38.3,38.75,38.6,38.56,45561,17.57,393,21536,47.27
2019-11-28,FACT, EQ, 28-Nov-2019,38.6,38.35,38.95,38.05,38.45,38.4,38.52,92766,35.73,670,42417,45.72
2019-11-29,FACT, EQ, 29-Nov-2019,38.4,39.4,39.9,38.7,39.05,39.15,39.24,232791,91.34,1776,68505,29.43
2019-12-02,FACT, EQ, 02-Dec-2019,39.15,39.2,39.2,38.3,38.35,38.6,38.53,36630,14.11,341, 23229, 63.42
2019-12-03,FACT, EQ, 03-Dec-2019,38.6,38.6,38.75,37.8,38.2,38.15,38.26,48538,18.57,311,30432,62.7
2019-12-04,FACT, EQ, 04-Dec-2019,38.15,37.75,38.7,37.75,38.2,38.2,38.21,38051,14.54,341,15233,40.03
2019-12-05,FACT, EQ, 05-Dec-2019,38.2,38.45,38.45,37.9,38.0,37.95,38.12,38294,14.6,268,21702,56.67
2019-12-06,FACT, EQ, 06-Dec-2019,37.95,38.0,38.0,36.85,37.2,37.25,37.34,47398,17.7,426,25726,54.28
2019-12-09,FACT, EQ, 09-Dec-2019,37.25,37.5,37.7,36.25,36.45,36.5,36.83,45109,16.61,434,25756,57.1
