Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,FEDERALBNK, EQ, 23-Aug-2019,80.4,80.4,82.75,79.15,81.15,80.7,80.93,17420302,14098.48,32664,9323917,53.52
2019-10-01,FEDERALBNK, EQ, 01-Oct-2019,90.4,91.0,93.25,80.0,88.1,87.75,87.81,20529595,18027.88,54041,4266322,20.78
2019-10-03,FEDERALBNK, EQ, 03-Oct-2019,87.75,87.45,89.55,85.4,89.3,88.8,87.9,10668940,9378.49,36547,2074895,19.45
2019-10-04,FEDERALBNK, EQ, 04-Oct-2019,88.8,89.35,89.7,84.35,85.6,85.75,86.27,15297600,13197.8,50776,4706978,30.77
2019-10-07,FEDERALBNK, EQ, 07-Oct-2019,85.75,85.8,86.0,83.8,85.0,84.9,84.88,12809772,10872.66,37620,6851038,53.48
2019-10-09,FEDERALBNK, EQ, 09-Oct-2019,84.9,85.25,86.45,84.0,85.85,85.9,85.49,12713788,10869.3,31848,6561192,51.61
2019-10-10,FEDERALBNK, EQ, 10-Oct-2019,85.9,85.8,85.8,83.4,84.25,84.3,84.45,6218988,5251.75,35119,1830842,29.44
2019-10-11,FEDERALBNK, EQ, 11-Oct-2019,84.3,84.85,85.45,83.4,84.0,84.15,84.5,12880443,10884.15,30801,2755304,21.39
2019-10-14,FEDERALBNK, EQ, 14-Oct-2019,84.15,84.9,85.25,82.25,82.45,83.25,84.33,7823663,6597.63,25756,1712213,21.89
2019-10-15,FEDERALBNK, EQ, 15-Oct-2019,83.25,82.55,85.9,81.7,85.45,84.95,83.71,9662559,8088.84,37154,1926759,19.94
2019-10-16,FEDERALBNK, EQ, 16-Oct-2019,84.95,86.0,86.85,79.0,82.3,82.25,82.26,69563240,57223.38,146799,20779181,29.87
2019-10-17,FEDERALBNK, EQ, 17-Oct-2019,82.25,82.3,84.9,81.7,84.1,84.35,83.52,23933766,19989.87,73579,5238284,21.89
2019-10-18,FEDERALBNK, EQ, 18-Oct-2019,84.35,84.35,84.8,83.5,83.85,84.0,84.19,11094728,9340.52,42811,3440643,31.01
2019-10-22,FEDERALBNK, EQ, 22-Oct-2019,84.0,84.5,84.95,83.15,83.65,83.55,84.18,12037083,10133.04,45206,4266923,35.45
2019-10-23,FEDERALBNK, EQ, 23-Oct-2019,83.55,83.6,84.5,82.8,83.25,83.3,83.77,12081585,10120.85,28040,3291395,27.24
2019-10-24,FEDERALBNK, EQ, 24-Oct-2019,83.3,83.45,83.9,80.35,81.05,81.0,81.43,21751109,17711.89,53493,10475602,48.16
2019-10-25,FEDERALBNK, EQ, 25-Oct-2019,81.0,81.0,81.4,79.7,80.15,80.25,80.3,15135361,12153.56,40843,6423376,42.44
2019-10-27,FEDERALBNK, EQ, 27-Oct-2019,80.25,81.25,81.75,80.6,80.85,80.85,80.96,1799905,1457.28,11423,1034279,57.46
2019-10-29,FEDERALBNK, EQ, 29-Oct-2019,80.85,81.35,82.6,80.65,82.2,82.1,82.01,20074360,16462.71,32841,12346753,61.51
2019-10-30,FEDERALBNK, EQ, 30-Oct-2019,82.1,82.45,82.85,81.75,82.0,82.05,82.37,9109830,7504.04,23371,4481315,49.19
2019-10-31,FEDERALBNK, EQ, 31-Oct-2019,82.05,82.45,85.2,81.95,83.85,83.8,83.21,25192218,20963.46,56024,12217294,48.5
