Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,GAIL, EQ, 23-Aug-2019,120.65,120.7,126.15,119.5,124.65,124.4,123.65,10133080,12529.99,90805,5935715,58.58,Oil & Gas
2019-10-01,GAIL, EQ, 01-Oct-2019,134.5,134.1,136.5,130.65,133.0,132.9,133.89,7793321,10434.36,55882,3376683,43.33,Oil & Gas
2019-10-03,GAIL, EQ, 03-Oct-2019,132.9,133.0,133.7,130.85,131.55,131.7,132.13,8352681,11036.74,86546,4255286,50.95,Oil & Gas
2019-10-04,GAIL, EQ, 04-Oct-2019,131.7,132.0,133.8,129.8,131.75,132.15,131.98,11743792,15498.93,98292,5784282,49.25,Oil & Gas
2019-10-07,GAIL, EQ, 07-Oct-2019,132.15,132.0,132.7,129.0,130.1,130.2,130.57,6694946,8741.71,46991,2498045,37.31,Oil & Gas
2019-10-09,GAIL, EQ, 09-Oct-2019,130.2,130.0,132.65,128.4,131.4,132.1,131.09,7500511,9832.55,71885,3689103,49.18,Oil & Gas
2019-10-10,GAIL, EQ, 10-Oct-2019,132.1,131.4,132.1,126.4,127.3,127.35,128.21,12077572,15485.15,121067,6797173,56.28,Oil & Gas
2019-10-11,GAIL, EQ, 11-Oct-2019,127.35,127.25,128.65,124.55,125.1,124.95,125.93,8061315,10151.41,81597,3316221,41.14,Oil & Gas
2019-10-14,GAIL, EQ, 14-Oct-2019,124.95,125.5,127.75,123.55,126.0,125.85,125.73,12739190,16017.32,62705,5772269,45.31,Oil & Gas
2019-10-15,GAIL, EQ, 15-Oct-2019,125.85,126.0,129.15,125.55,127.75,128.1,127.17,10131996,12884.52,49419,4745576,46.84,Oil & Gas
2019-10-16,GAIL, EQ, 16-Oct-2019,128.1,128.0,128.0,126.0,126.85,126.8,126.76,8264171,10475.97,68705,4093782,49.54,Oil & Gas
2019-10-17,GAIL, EQ, 17-Oct-2019,126.8,126.7,129.05,125.85,128.4,128.75,127.39,8167657,10404.5,63643,3851178,47.15,Oil & Gas
2019-10-18,GAIL, EQ, 18-Oct-2019,128.75,128.5,130.4,127.8,129.5,129.55,129.09,8902057,11491.24,58541,3801119,42.7,Oil & Gas
2019-10-22,GAIL, EQ, 22-Oct-2019,129.55,129.55,130.95,128.8,129.5,129.5,129.69,7644747,9914.62,68513,4030529,52.72,Oil & Gas
2019-10-23,GAIL, EQ, 23-Oct-2019,129.5,129.9,129.9,128.1,128.7,128.65,128.95,3492488,4503.41,25954,1386267,39.69,Oil & Gas
2019-10-24,GAIL, EQ, 24-Oct-2019,128.65,129.1,129.1,123.35,123.8,123.85,125.05,14228647,17792.25,72946,8439360,59.31,Oil & Gas
2019-10-25,GAIL, EQ, 25-Oct-2019,123.85,123.8,124.8,122.35,122.8,123.05,123.57,8026780,9918.36,52076,4276529,53.28,Oil & Gas
2019-10-27,GAIL, EQ, 27-Oct-2019,123.05,124.0,124.0,122.6,123.85,123.65,123.61,637741,788.34,5514,341973,53.62,Oil & Gas
2019-10-29,GAIL, EQ, 29-Oct-2019,123.65,123.65,127.55,123.0,125.95,125.85,125.6,12817648,16098.64,97691,8527757,66.53,Oil & Gas
2019-10-30,GAIL, EQ, 30-Oct-2019,125.85,127.65,134.0,125.6,133.8,133.6,130.5,15923937,20780.14,81531,5942773,37.32,Oil & Gas
2019-10-31,GAIL, EQ, 31-Oct-2019,133.6,134.4,139.6,132.7,138.0,137.35,136.86,19882917,27212.68,92111,9188305,46.21,Oil & Gas
2019-11-01,GAIL, EQ, 01-Nov-2019,137.35,138.0,138.7,134.7,134.85,135.15,136.69,6401816,8750.88,44681,1986744,31.03,Oil & Gas
2019-11-04,GAIL, EQ, 04-Nov-2019,135.15,136.45,139.75,136.3,137.0,137.05,137.65,7028979,9675.26,45415,2041804,29.05,Oil & Gas
2019-11-05,GAIL, EQ, 05-Nov-2019,137.05,136.85,138.5,135.15,137.65,137.4,137.25,7519917,10321.3,43707,3789170,50.39,Oil & Gas
2019-11-06,GAIL, EQ, 06-Nov-2019,137.4,137.3,139.2,136.05,136.1,136.7,137.14,6194082,8494.39,44131,3262421,52.67,Oil & Gas
2019-11-07,GAIL, EQ, 07-Nov-2019,136.7,137.25,137.35,131.3,131.85,132.1,133.47,11264143,15034.54,49044,7237879,64.26,Oil & Gas
2019-11-08,GAIL, EQ, 08-Nov-2019,132.1,131.8,131.95,125.9,126.95,127.05,128.15,21300806,27296.52,113804,8943911,41.99,Oil & Gas
2019-11-11,GAIL, EQ, 11-Nov-2019,127.05,126.9,130.8,125.0,130.2,130.35,128.53,12800817,16452.34,80443,5140304,40.16,Oil & Gas
2019-11-13,GAIL, EQ, 13-Nov-2019,130.35,129.9,129.9,123.25,124.05,123.85,125.26,19372452,24266.14,142712,9867807,50.94,Oil & Gas
2019-11-14,GAIL, EQ, 14-Nov-2019,123.85,124.5,125.0,119.6,122.9,121.8,121.57,22833339,27759.54,126331,12491619,54.71,Oil & Gas
2019-11-15,GAIL, EQ, 15-Nov-2019,121.8,122.95,124.5,122.0,124.3,124.3,123.56,9604176,11867.27,46868,3350334,34.88,Oil & Gas
2019-11-18,GAIL, EQ, 18-Nov-2019,124.3,123.7,125.25,121.75,124.7,124.8,123.91,9735179,12062.67,47643,3613555,37.12,Oil & Gas
2019-11-19,GAIL, EQ, 19-Nov-2019,124.8,124.7,125.8,123.15,125.3,125.1,124.79,7848669,9794.25,50693,2936257,37.41,Oil & Gas
2019-11-20,GAIL, EQ, 20-Nov-2019,125.1,125.2,125.35,123.8,124.1,124.5,124.55,9542169,11885.24,38517,4694500,49.2,Oil & Gas
2019-11-21,GAIL, EQ, 21-Nov-2019,124.5,124.5,124.5,121.4,121.85,121.95,122.42,9596989,11748.48,68031,4843297,50.47,Oil & Gas
2019-11-22,GAIL, EQ, 22-Nov-2019,121.95,122.0,122.65,121.05,122.1,122.35,121.92,6850221,8351.63,42464,2643922,38.6,Oil & Gas
2019-11-25,GAIL, EQ, 25-Nov-2019,122.35,123.0,123.0,121.5,122.0,122.1,122.17,6419808,7842.94,47218,2998815,46.71,Oil & Gas
2019-11-26,GAIL, EQ, 26-Nov-2019,122.1,122.1,126.1,122.1,125.1,125.0,124.61,25282027,31504.42,89845,12946118,51.21,Oil & Gas
2019-11-27,GAIL, EQ, 27-Nov-2019,125.0,125.6,126.5,123.45,124.45,124.45,124.99,9810571,12262.37,45061,3287549,33.51,Oil & Gas
2019-11-28,GAIL, EQ, 28-Nov-2019,124.45,125.2,126.35,124.15,126.05,125.8,124.99,8177000,10220.11,40895,3487055,42.64,Oil & Gas
2019-11-29,GAIL, EQ, 29-Nov-2019,125.8,125.05,128.45,125.05,126.0,126.05,126.33,9439278,11924.6,57305,3465942,36.72,Oil & Gas
2019-12-02,GAIL, EQ, 02-Dec-2019,126.05,127.85,127.85,125.4,126.5,126.6,126.61,5961306,7547.49,28547,2993373,50.21,Oil & Gas
2019-12-03,GAIL, EQ, 03-Dec-2019,126.6,126.1,126.55,123.0,123.6,123.55,124.83,8613500,10752.32,67251,4414633,51.25,Oil & Gas
2019-12-04,GAIL, EQ, 04-Dec-2019,123.55,123.0,124.0,122.0,123.8,123.25,122.92,6473150,7956.73,35871,3439619,53.14,Oil & Gas
