Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,GLENMARK, EQ, 23-Aug-2019,359.9,361.9,370.4,353.5,368.4,368.15,362.54,1190796,4317.06,26813,261613,21.97
2019-10-01,GLENMARK, EQ, 01-Oct-2019,325.05,326.0,332.2,317.0,319.5,319.7,325.84,840551,2738.82,20555,171541,20.41
2019-10-03,GLENMARK, EQ, 03-Oct-2019,319.7,320.0,324.25,313.15,319.4,319.55,320.28,767353,2457.66,12672,142637,18.59
2019-10-04,GLENMARK, EQ, 04-Oct-2019,319.55,321.0,327.2,315.0,315.3,315.45,321.17,862341,2769.6,28644,242975,28.18
2019-10-07,GLENMARK, EQ, 07-Oct-2019,315.45,302.0,308.05,270.0,285.65,285.6,284.58,9995055,28444.08,131533,1148556,11.49
2019-10-09,GLENMARK, EQ, 09-Oct-2019,285.6,287.4,293.25,280.8,291.0,290.85,287.36,2718540,7811.93,31964,410773,15.11
2019-10-10,GLENMARK, EQ, 10-Oct-2019,290.85,290.9,298.95,288.3,289.0,289.75,293.68,1676721,4924.2,30148,285527,17.03
2019-10-11,GLENMARK, EQ, 11-Oct-2019,289.75,289.75,290.95,280.25,285.3,286.5,284.28,1430154,4065.66,24682,241434,16.88
2019-10-14,GLENMARK, EQ, 14-Oct-2019,286.5,286.0,289.0,276.55,280.05,280.2,281.51,2350700,6617.56,35523,513267,21.83
2019-10-15,GLENMARK, EQ, 15-Oct-2019,280.2,280.5,287.4,277.25,286.95,286.45,283.66,1248986,3542.85,23652,297000,23.78
2019-10-16,GLENMARK, EQ, 16-Oct-2019,286.45,285.5,288.8,281.95,285.5,285.9,285.61,896868,2561.53,13723,101517,11.32
2019-10-17,GLENMARK, EQ, 17-Oct-2019,285.9,287.0,290.0,282.65,288.45,288.55,285.92,1182377,3380.65,30779,256363,21.68
2019-10-18,GLENMARK, EQ, 18-Oct-2019,288.55,290.0,301.5,287.1,299.35,299.85,295.57,1927084,5695.94,33060,341887,17.74
2019-10-22,GLENMARK, EQ, 22-Oct-2019,299.85,301.0,305.4,292.95,298.05,299.1,301.07,1623701,4888.43,29101,489611,30.15
2019-10-23,GLENMARK, EQ, 23-Oct-2019,299.1,300.5,302.0,292.7,299.2,299.2,298.31,1131376,3375.04,29751,413456,36.54
2019-10-24,GLENMARK, EQ, 24-Oct-2019,299.2,300.0,314.8,299.2,303.0,304.25,308.02,2128953,6557.55,53076,464060,21.8
2019-10-25,GLENMARK, EQ, 25-Oct-2019,304.25,305.75,314.5,303.15,311.0,310.75,310.14,2025089,6280.67,40292,809244,39.96
2019-10-27,GLENMARK, EQ, 27-Oct-2019,310.75,314.75,314.75,310.0,313.9,312.05,312.43,93126,290.96,2146,33286,35.74
2019-10-29,GLENMARK, EQ, 29-Oct-2019,312.05,313.6,315.05,306.55,308.85,309.15,309.53,1059344,3279.02,38459,556665,52.55
2019-10-30,GLENMARK, EQ, 30-Oct-2019,309.15,309.2,316.65,306.9,309.65,309.7,310.51,1424761,4423.97,20754,535421,37.58
2019-10-31,GLENMARK, EQ, 31-Oct-2019,309.7,308.5,319.0,308.5,315.9,315.4,314.66,1448084,4556.59,36411,536596,37.06
2019-11-01,GLENMARK, EQ, 01-Nov-2019,315.4,317.0,321.8,314.85,315.45,315.75,317.87,1334886,4243.17,24662,203866,15.27
2019-11-04,GLENMARK, EQ, 04-Nov-2019,315.75,318.0,322.95,315.1,316.95,316.15,318.48,812407,2587.37,11471,172229,21.2
