Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,SECTOR
2019-08-23,GMRINFRA, EQ, 23-Aug-2019,14.7,14.75,15.1,14.45,14.9,14.95,14.9,24054836,3583.65,3338,16980910,70.59,Others
2019-10-01,GMRINFRA, EQ, 01-Oct-2019,17.0,17.1,17.3,16.15,16.3,16.35,16.66,17430833,2903.57,18883,5265655,30.21,Others
2019-10-03,GMRINFRA, EQ, 03-Oct-2019,16.35,16.4,17.0,16.4,16.9,16.9,16.81,12434052,2089.61,10130,3584783,28.83,Others
2019-10-04,GMRINFRA, EQ, 04-Oct-2019,16.9,16.95,17.05,16.4,16.45,16.5,16.79,10697351,1795.57,6691,3875009,36.22,Others
2019-10-07,GMRINFRA, EQ, 07-Oct-2019,16.5,16.65,16.7,16.3,16.5,16.4,16.47,10933970,1800.68,10529,3252564,29.75,Others
2019-10-09,GMRINFRA, EQ, 09-Oct-2019,16.4,16.5,17.4,16.4,17.4,17.3,16.9,18907912,3196.31,9930,6581615,34.81,Others
2019-10-10,GMRINFRA, EQ, 10-Oct-2019,17.3,17.25,17.65,17.1,17.2,17.2,17.29,9317041,1610.69,5606,2788079,29.92,Others
2019-10-11,GMRINFRA, EQ, 11-Oct-2019,17.2,17.3,17.5,16.9,17.15,17.2,17.11,12119775,2073.64,4576,6107703,50.39,Others
2019-10-14,GMRINFRA, EQ, 14-Oct-2019,17.2,17.25,17.45,17.05,17.15,17.1,17.28,7354497,1271.03,6287,3187508,43.34,Others
2019-10-15,GMRINFRA, EQ, 15-Oct-2019,17.1,17.2,17.35,17.0,17.25,17.3,17.17,8408087,1443.97,4143,3388695,40.3,Others
2019-10-16,GMRINFRA, EQ, 16-Oct-2019,17.3,17.3,17.45,17.1,17.45,17.35,17.3,6478275,1120.53,4161,2630666,40.61,Others
2019-10-17,GMRINFRA, EQ, 17-Oct-2019,17.35,17.55,17.65,17.2,17.65,17.55,17.45,8131829,1418.63,4219,3228056,39.7,Others
2019-10-18,GMRINFRA, EQ, 18-Oct-2019,17.55,17.55,19.15,17.45,19.1,19.1,18.63,30202445,5627.06,27155,12392666,41.03,Others
2019-10-22,GMRINFRA, EQ, 22-Oct-2019,19.1,19.0,19.65,18.75,19.1,19.1,19.26,14965673,2881.79,23726,4832287,32.29,Others
2019-10-23,GMRINFRA, EQ, 23-Oct-2019,19.1,19.0,19.8,18.65,19.75,19.7,19.37,14116374,2734.27,10245,5673155,40.19,Others
2019-10-24,GMRINFRA, EQ, 24-Oct-2019,19.7,19.8,20.45,19.6,19.75,19.95,20.09,25282420,5078.65,30021,7246802,28.66,Others
2019-10-25,GMRINFRA, EQ, 25-Oct-2019,19.95,19.8,20.5,19.6,19.7,19.85,20.07,16257834,3263.15,21745,3251400,20.0,Others
