Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,GNFC, EQ, 23-Aug-2019,177.35,176.0,181.35,168.5,179.0,178.7,174.83,286570,501.0,9080,95446,33.31
2019-10-01,GNFC, EQ, 01-Oct-2019,202.4,206.5,208.75,196.25,199.0,200.15,202.43,260447,527.23,8820,117151,44.98
2019-10-03,GNFC, EQ, 03-Oct-2019,200.15,197.9,198.75,194.05,195.0,196.05,196.51,187051,367.57,6998,78385,41.91
2019-10-04,GNFC, EQ, 04-Oct-2019,196.05,197.0,199.45,194.05,196.3,196.3,196.22,212001,415.98,3433,73394,34.62
2019-10-07,GNFC, EQ, 07-Oct-2019,196.3,197.8,197.8,190.55,193.0,192.55,192.8,128692,248.12,2564,53193,41.33
2019-10-09,GNFC, EQ, 09-Oct-2019,192.55,192.9,199.7,190.05,198.65,198.95,195.56,157851,308.7,2909,68603,43.46
2019-10-10,GNFC, EQ, 10-Oct-2019,198.95,198.8,205.45,196.7,200.5,201.2,201.28,264249,531.89,7188,77836,29.46
2019-10-11,GNFC, EQ, 11-Oct-2019,201.2,202.0,203.25,196.6,200.2,200.85,199.77,163499,326.62,4465,49073,30.01
2019-10-14,GNFC, EQ, 14-Oct-2019,200.85,201.0,205.9,201.0,203.1,204.0,203.6,174672,355.63,4346,74083,42.41
2019-10-15,GNFC, EQ, 15-Oct-2019,204.0,204.4,205.7,191.5,196.7,197.05,198.25,239606,475.03,6314,121322,50.63
2019-10-16,GNFC, EQ, 16-Oct-2019,197.05,197.1,201.2,193.5,194.0,194.55,196.95,191928,378.01,5310,94552,49.26
2019-10-17,GNFC, EQ, 17-Oct-2019,194.55,195.1,198.45,192.25,196.7,197.35,195.67,217290,425.17,5886,74443,34.26
2019-10-18,GNFC, EQ, 18-Oct-2019,197.35,200.0,205.7,197.25,198.05,199.55,201.79,500631,1010.24,12590,245173,48.97
2019-10-22,GNFC, EQ, 22-Oct-2019,199.55,199.5,202.0,197.75,198.3,198.55,199.13,246526,490.91,8507,128547,52.14
2019-10-23,GNFC, EQ, 23-Oct-2019,198.55,198.55,205.85,195.3,201.0,200.05,201.24,456587,918.82,8460,115147,25.22
2019-10-24,GNFC, EQ, 24-Oct-2019,200.05,201.35,210.3,199.2,210.0,207.25,204.36,476344,973.43,8245,229895,48.26
2019-10-25,GNFC, EQ, 25-Oct-2019,207.25,209.0,209.0,201.25,201.3,202.2,204.88,304606,624.07,7670,107508,35.29
2019-10-27,GNFC, EQ, 27-Oct-2019,202.2,203.9,206.85,201.9,203.6,205.0,204.27,69396,141.76,1230,34184,49.26
2019-10-29,GNFC, EQ, 29-Oct-2019,205.0,206.25,207.0,202.55,204.3,205.5,204.9,234036,479.54,7028,57470,24.56
2019-10-30,GNFC, EQ, 30-Oct-2019,205.5,206.5,209.1,205.0,206.25,206.05,206.76,284415,588.05,7626,104518,36.75
2019-10-31,GNFC, EQ, 31-Oct-2019,206.05,206.0,223.5,206.0,217.95,216.55,216.94,1246242,2703.62,18041,307335,24.66
2019-11-01,GNFC, EQ, 01-Nov-2019,216.55,217.65,224.6,214.25,220.95,221.7,220.77,752736,1661.84,12608,245939,32.67
2019-11-04,GNFC, EQ, 04-Nov-2019,221.7,221.45,224.5,216.8,218.5,219.4,220.09,525180,1155.85,8985,155160,29.54
2019-11-05,GNFC, EQ, 05-Nov-2019,219.4,219.55,219.9,210.2,211.95,211.5,214.47,306277,656.86,10293,140081,45.74
2019-11-06,GNFC, EQ, 06-Nov-2019,211.5,202.35,209.0,199.2,205.25,203.9,204.31,572736,1170.14,11154,196612,34.33
2019-11-07,GNFC, EQ, 07-Nov-2019,203.9,205.45,209.25,203.0,206.0,206.0,206.26,351698,725.42,8531,129895,36.93
2019-11-08,GNFC, EQ, 08-Nov-2019,206.0,203.65,211.0,201.3,202.5,202.85,205.76,419821,863.8,8614,92393,22.01
2019-11-11,GNFC, EQ, 11-Nov-2019,202.85,202.4,204.75,200.05,200.95,201.75,202.42,193997,392.69,4328,72277,37.26
2019-11-13,GNFC, EQ, 13-Nov-2019,201.75,202.6,202.85,195.75,196.3,197.05,199.24,192252,383.04,6684,79187,41.19
2019-11-14,GNFC, EQ, 14-Nov-2019,197.05,196.65,197.1,192.25,193.2,193.2,193.39,195636,378.33,5803,89740,45.87
2019-11-15,GNFC, EQ, 15-Nov-2019,193.2,193.9,195.9,191.5,193.4,192.4,193.07,179532,346.62,7462,67354,37.52
2019-11-18,GNFC, EQ, 18-Nov-2019,192.4,191.2,196.8,190.45,193.8,193.45,193.68,144823,280.49,5211,43107,29.77
2019-11-19,GNFC, EQ, 19-Nov-2019,193.45,193.95,195.4,191.0,195.0,194.3,193.17,154033,297.55,4745, 62928, 40.85
2019-11-20,GNFC, EQ, 20-Nov-2019,194.3,194.95,196.9,192.9,192.9,193.7,194.78,176258,343.32,4169, 59761, 33.91
2019-11-21,GNFC, EQ, 21-Nov-2019,193.7,193.95,194.3,190.3,190.5,190.8,191.27,156325,299.0,5589,78578,50.27
2019-11-22,GNFC, EQ, 22-Nov-2019,190.8,191.05,192.6,188.5,188.65,188.95,190.2,186560,354.84,7304,82658,44.31
2019-11-25,GNFC, EQ, 25-Nov-2019,188.95,190.0,192.55,189.0,190.35,190.7,190.52,224255,427.24,5936,106728,47.59
2019-11-26,GNFC, EQ, 26-Nov-2019,190.7,191.8,196.6,191.0,195.3,195.0,194.83,386785,753.57,8174, 191021, 49.39
2019-11-27,GNFC, EQ, 27-Nov-2019,195.0,195.0,196.0,189.75,190.3,190.75,192.67,167442,322.62,5042,93435,55.8
2019-11-28,GNFC, EQ, 28-Nov-2019,190.75,191.3,194.5,190.3,192.05,192.65,192.27,110445,212.35,2959,38740,35.08
2019-11-29,GNFC, EQ, 29-Nov-2019,192.65,192.0,194.9,191.25,192.3,193.3,193.65,164969,319.47,3893,71044,43.07
