Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,GODREJCP, EQ, 23-Aug-2019,607.8,607.8,607.8,593.4,602.5,600.4,599.91,504221,3024.87,21110,182082,36.11
2019-10-01,GODREJCP, EQ, 01-Oct-2019,687.3,688.9,694.4,673.3,684.9,680.0,682.49,861264,5878.05,43359,506268,58.78
2019-10-03,GODREJCP, EQ, 03-Oct-2019,680.0,678.1,681.2,655.3,660.0,659.95,663.74,1224879,8130.0,30675,667912,54.53
2019-10-04,GODREJCP, EQ, 04-Oct-2019,659.95,664.7,685.85,657.0,670.05,668.55,670.56,1487678,9975.8,37633,450863,30.31
2019-10-07,GODREJCP, EQ, 07-Oct-2019,668.55,670.0,674.9,665.6,670.1,670.65,670.75,400986,2689.62,12249,124082,30.94
2019-10-09,GODREJCP, EQ, 09-Oct-2019,670.65,670.65,675.95,658.0,671.75,673.0,666.48,1025701,6836.08,27401,669878,65.31
2019-10-10,GODREJCP, EQ, 10-Oct-2019,673.0,672.0,682.6,671.65,680.0,680.1,677.87,500575,3393.24,16774,269854,53.91
2019-10-11,GODREJCP, EQ, 11-Oct-2019,680.1,676.0,694.95,676.0,692.8,692.35,687.19,984496,6765.31,30577,552320,56.1
2019-10-14,GODREJCP, EQ, 14-Oct-2019,692.35,692.35,695.0,688.0,690.7,690.7,691.05,634142,4382.22,19431,376731,59.41
2019-10-15,GODREJCP, EQ, 15-Oct-2019,690.7,690.7,695.0,684.05,690.0,689.75,689.51,797085,5495.98,31392,511527,64.17
2019-10-16,GODREJCP, EQ, 16-Oct-2019,689.75,694.05,713.45,693.1,709.0,706.45,706.77,1404836,9928.99,48465,380748,27.1
2019-10-17,GODREJCP, EQ, 17-Oct-2019,706.45,710.0,717.65,703.65,715.0,714.7,710.0,1389802,9867.58,46656,541403,38.96
2019-10-18,GODREJCP, EQ, 18-Oct-2019,714.7,715.0,730.0,713.1,718.0,716.9,721.78,1207247,8713.66,43362,582143,48.22
2019-10-22,GODREJCP, EQ, 22-Oct-2019,716.9,710.05,714.5,695.0,702.45,699.9,702.12,1074009,7540.81,40713,576530,53.68
2019-10-23,GODREJCP, EQ, 23-Oct-2019,699.9,704.25,723.4,692.25,721.05,715.4,705.49,743339,5244.2,28996,361069,48.57
2019-10-24,GODREJCP, EQ, 24-Oct-2019,715.4,718.0,725.8,707.55,713.5,714.25,716.52,663418,4753.55,21717,202908,30.59
2019-10-25,GODREJCP, EQ, 25-Oct-2019,714.25,718.7,718.7,700.0,704.0,702.6,704.72,1076799,7588.47,21366,677114,62.88
2019-10-27,GODREJCP, EQ, 27-Oct-2019,702.6,706.8,715.0,701.4,704.65,705.7,707.21,65422,462.67,2750,22493,34.38
2019-10-29,GODREJCP, EQ, 29-Oct-2019,705.7,702.25,721.5,698.0,718.95,717.8,709.28,594444,4216.27,31888,327770,55.14
2019-10-30,GODREJCP, EQ, 30-Oct-2019,717.8,721.35,740.0,718.8,739.0,732.95,727.71,671410,4885.94,22131,304402,45.34
2019-10-31,GODREJCP, EQ, 31-Oct-2019,732.95,733.05,743.95,729.5,738.1,740.35,738.14,1237548,9134.8,37450,700253,56.58
2019-11-01,GODREJCP, EQ, 01-Nov-2019,740.35,741.9,762.5,731.55,738.05,738.05,747.42,919650,6873.66,38659,411354,44.73
2019-11-04,GODREJCP, EQ, 04-Nov-2019,738.05,738.0,740.85,718.5,723.4,721.0,727.15,863358,6277.88,57353,470773,54.53
2019-11-05,GODREJCP, EQ, 05-Nov-2019,721.0,724.7,725.0,708.6,723.0,721.5,714.95,761475,5444.16,48455,417615,54.84
2019-11-06,GODREJCP, EQ, 06-Nov-2019,721.5,724.0,758.0,719.3,742.85,741.55,741.96,3447075,25576.0,87061,804190,23.33
2019-11-07,GODREJCP, EQ, 07-Nov-2019,741.55,760.0,764.0,742.0,753.55,752.65,751.08,1038973,7803.54,24059,219137,21.09
2019-11-08,GODREJCP, EQ, 08-Nov-2019,752.65,750.3,751.85,730.05,736.35,734.5,738.92,436629,3226.34,16611,181909,41.66
2019-11-11,GODREJCP, EQ, 11-Nov-2019,734.5,736.35,744.85,721.3,736.0,732.6,728.37,626373,4562.33,30115,349090,55.73
2019-11-13,GODREJCP, EQ, 13-Nov-2019,732.6,733.0,743.1,720.0,726.0,729.35,728.85,688455,5017.77,28069,328031,47.65
2019-11-14,GODREJCP, EQ, 14-Nov-2019,729.35,725.75,725.75,712.95,714.0,715.45,717.61,478181,3431.46,11935,193439,40.45
2019-11-15,GODREJCP, EQ, 15-Nov-2019,715.45,714.95,718.8,710.0,710.6,710.65,713.01,547792,3905.81,22829,288826,52.73
2019-11-18,GODREJCP, EQ, 18-Nov-2019,710.65,710.65,732.8,705.2,715.3,717.3,713.26,488224,3482.3,13107,188504,38.61
2019-11-19,GODREJCP, EQ, 19-Nov-2019,717.3,718.0,721.45,700.05,701.9,703.3,707.83,338202,2393.88,12083, 169468, 50.11
2019-11-20,GODREJCP, EQ, 20-Nov-2019,703.3,701.0,720.85,691.8,712.2,713.25,706.97,698332,4937.0,30424, 281790, 40.35
2019-11-21,GODREJCP, EQ, 21-Nov-2019,713.25,714.0,732.0,706.75,725.0,726.3,720.21,988623,7120.17,34418,505235,51.1
