Date,SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2019-08-23,GODREJPROP, EQ, 23-Aug-2019,889.5,880.0,899.0,873.05,887.75,891.65,888.64,92238,819.66,8554,43995,47.7
2019-10-01,GODREJPROP, EQ, 01-Oct-2019,1038.7,1033.0,1038.0,950.0,982.9,983.25,999.68,228011,2279.39,18049,81804,35.88
2019-10-03,GODREJPROP, EQ, 03-Oct-2019,983.25,980.0,1054.0,962.05,1001.0,1006.55,1025.47,426253,4371.08,31727,93228,21.87
2019-10-04,GODREJPROP, EQ, 04-Oct-2019,1006.55,1011.15,1029.0,978.05,1006.55,1001.6,1006.09,158239,1592.02,12952,39241,24.8
2019-10-07,GODREJPROP, EQ, 07-Oct-2019,1001.6,1007.85,1013.95,985.45,998.6,993.25,994.62,73992,735.94,7910,12902,17.44
2019-10-09,GODREJPROP, EQ, 09-Oct-2019,993.25,999.45,1020.0,979.0,993.0,995.25,999.38,127845,1277.66,13403,36758,28.75
2019-10-10,GODREJPROP, EQ, 10-Oct-2019,995.25,998.85,998.85,972.0,974.0,978.55,980.38,95037,931.73,8409,39133,41.18
2019-10-11,GODREJPROP, EQ, 11-Oct-2019,978.55,981.8,995.0,975.0,990.1,991.15,987.01,102401,1010.7,8698,40141,39.2
2019-10-14,GODREJPROP, EQ, 14-Oct-2019,991.15,991.0,1032.0,976.9,994.3,996.2,1010.36,166391,1681.15,13955,37234,22.38
2019-10-15,GODREJPROP, EQ, 15-Oct-2019,996.2,996.0,1004.4,975.95,983.0,987.2,991.68,94817,940.28,10237,42588,44.92
2019-10-16,GODREJPROP, EQ, 16-Oct-2019,987.2,990.8,1010.0,980.05,990.1,990.2,998.45,144830,1446.05,19242,43067,29.74
2019-10-17,GODREJPROP, EQ, 17-Oct-2019,990.2,995.0,1014.0,985.2,992.0,991.3,997.53,452792,4516.72,23685,297543,65.71
2019-10-18,GODREJPROP, EQ, 18-Oct-2019,991.3,999.85,999.95,967.1,968.3,974.95,984.88,273475,2693.41,17972,152471,55.75
2019-10-22,GODREJPROP, EQ, 22-Oct-2019,974.95,974.95,987.0,960.0,962.6,966.95,975.25,197339,1924.55,18377,102301,51.84
